date,open,high,low,close,average,volume,count
1612800000,12.7,12.7,12.7,12.7,12.7,0,0
1612800001,12.7,12.7,12.7,12.7,12.7,0,0
1612800002,12.7,12.79,12.7,12.79,12.73286,7,6
1612800003,12.7222,12.79,12.71,12.79,12.73636,9,6
1612800004,12.79,12.79,12.79,12.79,12.79,0,0
1612800005,12.775,12.775,12.775,12.775,12.775,1,1
1612800006,12.78,12.78,12.78,12.78,12.78,3,3
1612800007,12.78,12.78,12.78,12.78,12.78,0,0
1612800008,12.78,12.78,12.78,12.78,12.78,0,0
1612800009,12.8,12.8,12.8,12.8,12.8,2,2
1612800010,12.8,12.8,12.8,12.8,12.8,0,0
1612800011,12.82,12.82,12.82,12.82,12.82,1,1
1612800012,12.82,12.82,12.82,12.82,12.82,0,0
1612800013,12.82,12.82,12.82,12.82,12.82,6,4
1612800014,12.85,12.85,12.85,12.85,12.85,1,1
1612800015,12.86,12.86,12.86,12.86,12.86,1,1
1612800016,12.86,12.86,12.86,12.86,12.86,1,1
1612800017,12.86,12.86,12.86,12.86,12.86,0,0
1612800018,12.87,12.87,12.87,12.87,12.87,5,1
1612800019,12.87,12.87,12.87,12.87,12.87,0,0
1612800020,12.844,12.844,12.844,12.844,12.844,10,1
1612800021,12.844,12.844,12.844,12.844,12.844,0,0
1612800022,12.844,12.844,12.844,12.844,12.844,0,0
1612800023,12.844,12.844,12.844,12.844,12.844,0,0
1612800024,12.83,12.83,12.82,12.82,12.8298,102,3
1612800025,12.85,12.85,12.84,12.84,12.84857,14,6
1612800026,12.8,12.8,12.8,12.8,12.8,2,1
1612800027,12.85,12.85,12.85,12.85,12.85,1,1
1612800028,12.85,12.85,12.85,12.85,12.85,0,0
1612800029,12.85,12.85,12.85,12.85,12.85,0,0
1612800030,12.85,12.85,12.85,12.85,12.85,0,0
1612800031,12.82,12.825,12.78,12.8,12.80912,17,11
1612800032,12.8,12.8,12.8,12.8,12.8,0,0
1612800033,12.77,12.77,12.77,12.77,12.77,1,1
1612800034,12.77,12.77,12.77,12.77,12.77,0,0
1612800035,12.77,12.77,12.77,12.77,12.77,0,0
1612800036,12.77,12.77,12.77,12.77,12.77,0,0
1612800037,12.75,12.75,12.71,12.71,12.712,20,2
1612800038,12.71,12.71,12.62,12.62,12.65523,129,40
1612800039,12.6199,12.6199,12.6199,12.6199,12.6199,15,1
1612800040,12.61,12.61,12.61,12.61,12.61,1,1
1612800041,12.61,12.61,12.61,12.61,12.61,0,0
1612800042,12.62,12.62,12.615,12.62,12.61976,21,15
1612800043,12.62,12.62,12.62,12.62,12.62,0,0
1612800044,12.62,12.62,12.62,12.62,12.62,0,0
1612800045,12.62,12.62,12.62,12.62,12.62,0,0
1612800046,12.62,12.62,12.62,12.62,12.62,0,0
1612800047,12.62,12.62,12.62,12.62,12.62,0,0
1612800048,12.64,12.64,12.58,12.58,12.615,40,24
1612800049,12.58,12.58,12.58,12.58,12.58,0,0
1612800050,12.58,12.58,12.57,12.57,12.57222,18,9
1612800051,12.57,12.57,12.57,12.57,12.57,0,0
1612800052,12.57,12.58,12.57,12.58,12.578,5,3
1612800053,12.57,12.65,12.57,12.65,12.64776,85,9
1612800054,12.65,12.65,12.65,12.65,12.65,0,0
1612800055,12.5904,12.64,12.5904,12.64,12.6152,2,2
1612800056,12.64,12.64,12.64,12.64,12.64,0,0
1612800057,12.65,12.65,12.65,12.65,12.65,1,1
1612800058,12.65,12.65,12.65,12.65,12.65,1,1
1612800059,12.65,12.65,12.65,12.65,12.65,3,2
1612800060,12.65,12.65,12.65,12.65,12.65,0,0
1612800061,12.65,12.65,12.65,12.65,12.65,0,0
1612800062,12.65,12.65,12.65,12.65,12.65,3,1
1612800063,12.65,12.65,12.65,12.65,12.65,0,0
1612800064,12.65,12.65,12.65,12.65,12.65,6,2
1612800065,12.65,12.65,12.65,12.65,12.65,0,0
1612800066,12.65,12.65,12.65,12.65,12.65,1,1
1612800067,12.6422,12.6422,12.6422,12.6422,12.6422,1,1
1612800068,12.65,12.65,12.65,12.65,12.65,3,1
1612800069,12.65,12.65,12.65,12.65,12.65,0,0
1612800070,12.65,12.65,12.65,12.65,12.65,7,2
1612800071,12.65,12.65,12.65,12.65,12.65,2,2
1612800072,12.65,12.65,12.65,12.65,12.65,1,1
1612800073,12.65,12.65,12.65,12.65,12.65,4,1
1612800074,12.65,12.65,12.65,12.65,12.65,2,2
1612800075,12.65,12.65,12.65,12.65,12.65,0,0
1612800076,12.65,12.65,12.65,12.65,12.65,4,2
1612800077,12.65,12.65,12.65,12.65,12.65,1,1
1612800078,12.65,12.65,12.65,12.65,12.65,0,0
1612800079,12.65,12.65,12.65,12.65,12.65,0,0
1612800080,12.65,12.65,12.65,12.65,12.65,0,0
1612800081,12.65,12.65,12.65,12.65,12.65,0,0
1612800082,12.65,12.65,12.65,12.65,12.65,3,1
1612800083,12.65,12.65,12.65,12.65,12.65,1,1
1612800084,12.65,12.65,12.65,12.65,12.65,0,0
1612800085,12.65,12.65,12.65,12.65,12.65,9,1
1612800086,12.65,12.65,12.65,12.65,12.65,0,0
1612800087,12.65,12.65,12.6119,12.6119,12.61428,16,2
1612800088,12.6119,12.6119,12.6119,12.6119,12.6119,0,0
1612800089,12.64,12.65,12.64,12.65,12.64719,9,2
1612800090,12.64,12.64,12.64,12.64,12.64,1,1
1612800091,12.6104,12.65,12.6104,12.65,12.614,11,2
1612800092,12.64,12.64,12.64,12.64,12.64,2,1
1612800093,12.65,12.65,12.615,12.62,12.62786,7,4
1612800094,12.65,12.65,12.65,12.65,12.65,1,1
1612800095,12.65,12.65,12.65,12.65,12.65,2,2
1612800096,12.65,12.66,12.65,12.66,12.6525,4,4
1612800097,12.65,12.65,12.65,12.65,12.65,1,1
1612800098,12.65,12.65,12.65,12.65,12.65,0,0
1612800099,12.65,12.65,12.65,12.65,12.65,0,0
1612800100,12.65,12.65,12.65,12.65,12.65,0,0
1612800101,12.65,12.65,12.65,12.65,12.65,0,0
1612800102,12.69,12.69,12.69,12.69,12.69,1,1
1612800103,12.69,12.69,12.69,12.69,12.69,0,0
1612800104,12.69,12.69,12.69,12.69,12.69,0,0
1612800105,12.69,12.69,12.69,12.69,12.69,0,0
1612800106,12.69,12.69,12.69,12.69,12.69,0,0
1612800107,12.69,12.69,12.69,12.69,12.69,4,1
1612800108,12.69,12.69,12.69,12.69,12.69,2,2
1612800109,12.69,12.69,12.69,12.69,12.69,6,5
1612800110,12.7,12.7,12.7,12.7,12.7,3,3
1612800111,12.7,12.7,12.7,12.7,12.7,2,2
1612800112,12.7,12.7,12.7,12.7,12.7,2,2
1612800113,12.7,12.7,12.7,12.7,12.7,3,3
1612800114,12.7,12.7,12.7,12.7,12.7,3,3
1612800115,12.7,12.7,12.7,12.7,12.7,0,0
1612800116,12.7,12.7,12.7,12.7,12.7,1,1
1612800117,12.7,12.7,12.7,12.7,12.7,0,0
1612800118,12.7,12.7,12.7,12.7,12.7,1,1
1612800119,12.7,12.7,12.7,12.7,12.7,2,2
1612800120,12.7,12.7,12.7,12.7,12.7,2,2
1612800121,12.7,12.7,12.7,12.7,12.7,47,15
1612800122,12.7,12.7,12.7,12.7,12.7,3,3
1612800123,12.7,12.7,12.7,12.7,12.7,1,1
1612800124,12.7,12.71,12.6958,12.71,12.70113,14,11
1612800125,12.71,12.71,12.71,12.71,12.71,0,0
1612800126,12.71,12.71,12.71,12.71,12.71,0,0
1612800127,12.71,12.71,12.71,12.71,12.71,0,0
1612800128,12.71,12.71,12.71,12.71,12.71,0,0
1612800129,12.71,12.71,12.71,12.71,12.71,0,0
1612800130,12.71,12.71,12.71,12.71,12.71,0,0
1612800131,12.71,12.71,12.71,12.71,12.71,0,0
1612800132,12.71,12.71,12.71,12.71,12.71,0,0
1612800133,12.71,12.71,12.71,12.71,12.71,0,0
1612800134,12.71,12.71,12.71,12.71,12.71,0,0
1612800135,12.77,12.77,12.77,12.77,12.77,1,1
1612800136,12.77,12.77,12.77,12.77,12.77,0,0
1612800137,12.77,12.77,12.77,12.77,12.77,0,0
1612800138,12.77,12.77,12.77,12.77,12.77,1,1
1612800139,12.77,12.77,12.77,12.77,12.77,0,0
1612800140,12.77,12.77,12.77,12.77,12.77,0,0
1612800141,12.76,12.76,12.76,12.76,12.76,4,1
1612800142,12.73,12.73,12.58,12.58,12.65075,60,32
1612800143,12.58,12.58,12.58,12.58,12.58,0,0
1612800144,12.65,12.65,12.65,12.65,12.65,6,1
1612800145,12.65,12.65,12.65,12.65,12.65,0,0
1612800146,12.65,12.65,12.65,12.65,12.65,0,0
1612800147,12.65,12.65,12.65,12.65,12.65,0,0
1612800148,12.65,12.65,12.65,12.65,12.65,0,0
1612800149,12.65,12.65,12.65,12.65,12.65,0,0
1612800150,12.65,12.65,12.65,12.65,12.65,0,0
1612800151,12.65,12.65,12.65,12.65,12.65,0,0
1612800152,12.65,12.65,12.65,12.65,12.65,0,0
1612800153,12.63,12.63,12.63,12.63,12.63,1,1
1612800154,12.63,12.63,12.63,12.63,12.63,2,2
1612800155,12.63,12.63,12.63,12.63,12.63,0,0
1612800156,12.63,12.63,12.63,12.63,12.63,0,0
1612800157,12.63,12.63,12.63,12.63,12.63,0,0
1612800158,12.68,12.68,12.68,12.68,12.68,1,1
1612800159,12.68,12.68,12.68,12.68,12.68,0,0
1612800160,12.68,12.68,12.68,12.68,12.68,0,0
1612800161,12.6735,12.72,12.67,12.72,12.6807,5,5
1612800162,12.72,12.72,12.72,12.72,12.72,0,0
1612800163,12.72,12.72,12.72,12.72,12.72,0,0
1612800164,12.72,12.72,12.72,12.72,12.72,0,0
1612800165,12.72,12.72,12.72,12.72,12.72,0,0
1612800166,12.72,12.72,12.72,12.72,12.72,0,0
1612800167,12.72,12.72,12.72,12.72,12.72,0,0
1612800168,12.72,12.72,12.72,12.72,12.72,0,0
1612800169,12.72,12.72,12.72,12.72,12.72,0,0
1612800170,12.72,12.72,12.72,12.72,12.72,0,0
1612800171,12.72,12.72,12.72,12.72,12.72,0,0
1612800172,12.72,12.72,12.72,12.72,12.72,0,0
1612800173,12.72,12.72,12.72,12.72,12.72,0,0
1612800174,12.7488,12.7488,12.7488,12.7488,12.7488,1,1
1612800175,12.69,12.69,12.69,12.69,12.69,1,1
1612800176,12.69,12.69,12.69,12.69,12.69,0,0
1612800177,12.69,12.7,12.69,12.7,12.69846,6,6
1612800178,12.7,12.7,12.7,12.7,12.7,0,0
1612800179,12.7,12.7,12.7,12.7,12.7,0,0
1612800180,12.7,12.7,12.7,12.7,12.7,0,0
1612800181,12.69,12.76,12.69,12.76,12.69185,37,2
1612800182,12.76,12.76,12.76,12.76,12.76,0,0
1612800183,12.76,12.76,12.76,12.76,12.76,0,0
1612800184,12.76,12.76,12.76,12.76,12.76,0,0
1612800185,12.76,12.76,12.76,12.76,12.76,0,0
1612800186,12.76,12.76,12.76,12.76,12.76,0,0
1612800187,12.76,12.76,12.76,12.76,12.76,0,0
1612800188,12.76,12.76,12.76,12.76,12.76,0,0
1612800189,12.76,12.76,12.76,12.76,12.76,0,0
1612800190,12.76,12.76,12.76,12.76,12.76,0,0
1612800191,12.76,12.76,12.76,12.76,12.76,0,0
1612800192,12.76,12.76,12.76,12.76,12.76,0,0
1612800193,12.76,12.76,12.76,12.76,12.76,0,0
1612800194,12.76,12.76,12.76,12.76,12.76,0,0
1612800195,12.75,12.75,12.75,12.75,12.75,1,1
1612800196,12.75,12.75,12.75,12.75,12.75,0,0
1612800197,12.75,12.75,12.75,12.75,12.75,0,0
1612800198,12.7565,12.7565,12.755,12.755,12.75538,4,2
1612800199,12.755,12.755,12.755,12.755,12.755,0,0
1612800200,12.755,12.755,12.755,12.755,12.755,0,0
1612800201,12.7,12.7,12.61,12.61,12.62201,60,46
1612800202,12.5872,12.5872,12.5872,12.5872,12.5872,2,1
1612800203,12.5872,12.5872,12.5872,12.5872,12.5872,0,0
