date,open,high,low,close,average,volume,count
1625558400,6.75,6.75,6.5,6.5,6.62944,29,12
1625559300,6.5,6.5,6.5,6.5,6.5,2,1
1625560200,6.5,6.5,6.5,6.5,6.5,0,0
1625561100,6.5,6.5,6.5,6.5,6.5,0,0
1625562000,6.5,6.5,6.5,6.5,6.5,0,0
1625562900,6.5,6.5,6.5,6.5,6.5,0,0
1625563800,6.5,6.5,6.5,6.5,6.5,0,0
1625564700,6.5,6.5,6.5,6.5,6.5,0,0
1625565600,6.5,6.5,6.5,6.5,6.5,0,0
1625566500,6.6,6.6,6.6,6.6,6.6,1,1
1625567400,6.6,6.6,6.6,6.6,6.6,0,0
1625568300,6.6,6.6,6.6,6.6,6.6,0,0
1625569200,6.6,6.6,6.6,6.6,6.6,0,0
1625570100,6.53,6.53,6.52,6.52,6.52588,3,3
1625571000,6.52,6.52,6.52,6.52,6.52,3,1
1625571900,6.52,6.52,6.52,6.52,6.52,0,0
1625572800,6.5201,6.5201,6.5201,6.5201,6.5201,6,1
1625573700,6.55,6.55,6.55,6.55,6.55,2,2
1625574600,6.53,6.53,6.53,6.53,6.53,2,1
1625575500,6.54,6.54,6.48,6.5,6.50667,24,10
1625576400,6.47,6.48,6.4,6.4,6.43482,22,12
1625577300,6.4,6.4,6.37,6.37,6.39333,10,9
1625578200,6.38,6.49,6.21,6.21,6.33065,1445,311
1625579100,6.259,6.31,6.22,6.26,6.265,343,87
1625580000,6.26,6.34,6.21,6.34,6.25813,357,104
1625580900,6.33,6.41,6.28,6.33,6.3258,1240,409
1625581800,6.35,6.36,6.265,6.265,6.30173,705,138
1625582700,6.27,6.42,6.27,6.3499,6.32961,1034,268
1625583600,6.34,6.35,6.3,6.35,6.32453,159,71
1625584500,6.34,6.35,6.32,6.33,6.33916,46,29
1625585400,6.33,6.36,6.3208,6.3208,6.33513,77,30
1625586300,6.32,6.32,6.2418,6.2501,6.29398,425,133
1625587200,6.25,6.25,6.175,6.18,6.20107,654,146
1625588100,6.17,6.2,6.15,6.19,6.17622,287,93
1625589000,6.2,6.21,6.16,6.16,6.18315,85,51
1625589900,6.155,6.22,6.155,6.22,6.19857,92,22
1625590800,6.2199,6.2209,6.17,6.19,6.19926,177,43
1625591700,6.185,6.22,6.185,6.22,6.20372,54,24
1625592600,6.225,6.24,6.21,6.24,6.21987,93,30
1625593500,6.24,6.2424,6.22,6.225,6.23497,17,11
1625594400,6.2207,6.2382,6.2,6.2382,6.21676,96,33
1625595300,6.24,6.26,6.2316,6.235,6.24337,108,25
1625596200,6.2308,6.265,6.225,6.265,6.25242,118,28
1625597100,6.27,6.27,6.23,6.25,6.26261,27,8
1625598000,6.25,6.265,6.25,6.265,6.25542,52,30
