date,open,high,low,close,average,volume,count
1612521000,49.1,49.13,49.1,49.13,49.108,4,2
1612521060,49.13,49.13,49.13,49.13,49.13,0,0
1612521120,49.13,49.13,49.13,49.13,49.13,0,0
1612521180,49.13,49.13,49.13,49.13,49.13,0,0
1612521240,49.13,49.13,49.13,49.13,49.13,0,0
1612521300,49.13,49.13,49.13,49.13,49.13,0,0
1612521360,49.13,49.13,49.13,49.13,49.13,0,0
1612521420,49.13,49.13,49.13,49.13,49.13,0,0
1612521480,49.13,49.13,49.13,49.13,49.13,0,0
1612521540,49.13,49.13,49.13,49.13,49.13,0,0
1612521600,49.13,49.13,49.13,49.13,49.13,0,0
1612521660,49.13,49.13,49.13,49.13,49.13,0,0
1612521720,49.13,49.13,49.13,49.13,49.13,0,0
1612521780,49.13,49.13,49.13,49.13,49.13,0,0
1612521840,49.13,49.13,49.13,49.13,49.13,0,0
1612521900,49.13,49.13,49.13,49.13,49.13,0,0
1612521960,49.13,49.13,49.13,49.13,49.13,0,0
1612522020,49.13,49.13,49.13,49.13,49.13,0,0
1612522080,49.13,49.13,49.13,49.13,49.13,0,0
1612522140,49.13,49.13,49.13,49.13,49.13,0,0
1612522200,49.13,49.13,49.13,49.13,49.13,0,0
1612522260,49.13,49.13,49.13,49.13,49.13,0,0
1612522320,49.13,49.13,49.13,49.13,49.13,0,0
1612522380,49.13,49.13,49.13,49.13,49.13,0,0
1612522440,49.13,49.13,49.13,49.13,49.13,0,0
1612522500,49.13,49.13,49.13,49.13,49.13,0,0
1612522560,49.13,49.13,49.13,49.13,49.13,0,0
1612522620,49.13,49.13,49.13,49.13,49.13,0,0
1612522680,49.13,49.13,49.13,49.13,49.13,0,0
1612522740,49.13,49.13,49.13,49.13,49.13,0,0
1612522800,49.13,49.13,49.13,49.13,49.13,0,0
1612522860,49.29,49.3,49.29,49.3,49.295,2,2
1612522920,49.3,49.3,49.3,49.3,49.3,0,0
1612522980,49.3,49.3,49.3,49.3,49.3,0,0
1612523040,49.3,49.3,49.3,49.3,49.3,0,0
1612523100,49.3,49.3,49.3,49.3,49.3,0,0
1612523160,49.3,49.3,49.3,49.3,49.3,0,0
1612523220,49.3,49.3,49.3,49.3,49.3,0,0
1612523280,49.3,49.3,49.3,49.3,49.3,0,0
1612523340,49.3,49.3,49.3,49.3,49.3,0,0
1612523400,49.3,49.3,49.3,49.3,49.3,0,0
1612523460,49.3,49.3,49.3,49.3,49.3,0,0
1612523520,49.3,49.3,49.3,49.3,49.3,0,0
1612523580,49.3,49.3,49.3,49.3,49.3,0,0
1612523640,49.3,49.3,49.3,49.3,49.3,0,0
1612523700,49.32,49.32,49.32,49.32,49.32,2,2
1612523760,49.32,49.32,49.32,49.32,49.32,0,0
1612523820,49.32,49.32,49.32,49.32,49.32,0,0
1612523880,49.32,49.32,49.32,49.32,49.32,0,0
1612523940,49.32,49.32,49.32,49.32,49.32,0,0
1612524000,49.32,49.32,49.32,49.32,49.32,0,0
1612524060,49.32,49.32,49.32,49.32,49.32,0,0
1612524120,49.32,49.32,49.32,49.32,49.32,0,0
1612524180,49.32,49.32,49.32,49.32,49.32,0,0
1612524240,49.32,49.32,49.32,49.32,49.32,0,0
1612524300,49.32,49.32,49.32,49.32,49.32,0,0
1612524360,49.32,49.32,49.32,49.32,49.32,0,0
1612524420,49.32,49.32,49.32,49.32,49.32,0,0
1612524480,49.32,49.32,49.32,49.32,49.32,0,0
1612524540,49.32,49.32,49.32,49.32,49.32,0,0
1612524600,49.32,49.32,49.32,49.32,49.32,0,0
1612524660,49.32,49.32,49.32,49.32,49.32,0,0
1612524720,49.32,49.32,49.32,49.32,49.32,0,0
1612524780,49.32,49.32,49.32,49.32,49.32,0,0
1612524840,49.32,49.32,49.32,49.32,49.32,0,0
1612524900,49.32,49.32,49.32,49.32,49.32,0,0
1612524960,49.32,49.32,49.32,49.32,49.32,0,0
1612525020,49.32,49.32,49.32,49.32,49.32,0,0
1612525080,49.32,49.32,49.32,49.32,49.32,0,0
1612525140,49.32,49.32,49.32,49.32,49.32,0,0
1612525200,49.32,49.32,49.32,49.32,49.32,0,0
1612525260,49.32,49.32,49.32,49.32,49.32,0,0
