date,open,high,low,close,average,volume,count
1631520000,35.5,35.68,35.5,35.68,35.608,2,2
1631520060,35.35,35.35,35.35,35.35,35.35,1,1
1631520120,35.36,35.36,35.35,35.35,35.356,4,2
1631520180,35.35,35.35,35.35,35.35,35.35,0,0
1631520240,35.35,35.35,35.35,35.35,35.35,0,0
1631520300,35.35,35.35,35.35,35.35,35.35,9,2
1631520360,35.35,35.35,35.35,35.35,35.35,0,0
1631520420,35.35,35.35,35.35,35.35,35.35,0,0
1631520480,35.27,35.27,35.23,35.23,35.255,4,3
1631520540,35.05,35.05,35.0,35.0,35.012,24,11
1631520600,35.0,35.0,35.0,35.0,35.0,0,0
1631520660,35.0,35.0,35.0,35.0,35.0,0,0
1631520720,35.0,35.0,35.0,35.0,35.0,0,0
1631520780,35.0,35.0,35.0,35.0,35.0,0,0
1631520840,35.0,35.0,35.0,35.0,35.0,0,0
1631520900,35.16,35.16,35.16,35.16,35.16,2,1
1631520960,35.16,35.16,35.16,35.16,35.16,0,0
1631521020,35.16,35.16,35.16,35.16,35.16,0,0
1631521080,34.99,35.0,34.99,35.0,34.998,6,4
1631521140,35.0,35.0,35.0,35.0,35.0,0,0
1631521200,35.0,35.0,35.0,35.0,35.0,0,0
1631521260,35.0,35.0,35.0,35.0,35.0,0,0
1631521320,34.99,34.99,34.99,34.99,34.99,1,1
1631521380,34.99,34.99,34.99,34.99,34.99,0,0
1631521440,34.99,34.99,34.99,34.99,34.99,0,0
1631521500,34.99,34.99,34.99,34.99,34.99,0,0
1631521560,35.1,35.1,35.1,35.1,35.1,2,1
1631521620,35.1,35.1,35.1,35.1,35.1,0,0
1631521680,35.1,35.1,35.1,35.1,35.1,0,0
1631521740,35.17,35.17,35.16,35.16,35.164,13,4
1631521800,35.16,35.16,35.16,35.16,35.16,0,0
1631521860,35.16,35.16,35.16,35.16,35.16,0,0
1631521920,35.16,35.16,35.16,35.16,35.16,0,0
1631521980,35.16,35.16,35.16,35.16,35.16,0,0
1631522040,35.16,35.16,35.16,35.16,35.16,0,0
1631522100,35.16,35.16,35.16,35.16,35.16,0,0
1631522160,35.16,35.16,35.16,35.16,35.16,0,0
1631522220,35.16,35.16,35.16,35.16,35.16,0,0
1631522280,35.19,35.2,35.19,35.2,35.199,9,2
1631522340,35.2,35.2,35.2,35.2,35.2,1,1
1631522400,35.2,35.2,35.2,35.2,35.2,0,0
1631522460,35.15,35.15,35.15,35.15,35.15,3,2
1631522520,35.15,35.15,35.15,35.15,35.15,0,0
1631522580,35.15,35.15,35.15,35.15,35.15,0,0
1631522640,35.15,35.15,35.15,35.15,35.15,0,0
1631522700,35.15,35.15,35.15,35.15,35.15,0,0
1631522760,35.15,35.15,35.15,35.15,35.15,0,0
1631522820,35.15,35.15,35.15,35.15,35.15,0,0
1631522880,35.15,35.15,35.15,35.15,35.15,0,0
1631522940,35.15,35.15,35.15,35.15,35.15,0,0
1631523000,35.15,35.15,35.15,35.15,35.15,0,0
1631523060,35.04,35.04,35.04,35.04,35.04,1,1
1631523120,35.04,35.04,35.04,35.04,35.04,0,0
1631523180,35.04,35.04,35.04,35.04,35.04,0,0
1631523240,35.04,35.04,35.04,35.04,35.04,0,0
1631523300,35.08,35.08,35.06,35.06,35.07,2,2
1631523360,35.06,35.06,35.06,35.06,35.06,0,0
1631523420,35.06,35.06,35.06,35.06,35.06,0,0
1631523480,35.15,35.15,35.15,35.15,35.15,1,1
1631523540,35.15,35.15,35.15,35.15,35.15,0,0
1631523600,35.15,35.15,35.15,35.15,35.15,0,0
1631523660,35.15,35.15,35.15,35.15,35.15,0,0
1631523720,35.15,35.15,35.15,35.15,35.15,0,0
1631523780,35.15,35.15,35.15,35.15,35.15,0,0
1631523840,35.15,35.15,35.15,35.15,35.15,0,0
1631523900,35.15,35.15,35.15,35.15,35.15,0,0
1631523960,35.31,35.31,35.31,35.31,35.31,2,1
1631524020,35.31,35.31,35.31,35.31,35.31,0,0
1631524080,35.31,35.31,35.31,35.31,35.31,31,2
1631524140,35.31,35.31,35.31,35.31,35.31,0,0
1631524200,35.31,35.31,35.31,35.31,35.31,0,0
1631524260,35.31,35.31,35.31,35.31,35.31,0,0
1631524320,35.31,35.31,35.31,35.31,35.31,0,0
1631524380,35.31,35.31,35.31,35.31,35.31,0,0
1631524440,35.31,35.31,35.31,35.31,35.31,0,0
1631524500,35.31,35.31,35.31,35.31,35.31,0,0
1631524560,35.31,35.31,35.31,35.31,35.31,0,0
1631524620,35.31,35.31,35.31,35.31,35.31,0,0
1631524680,35.07,35.07,35.07,35.07,35.07,1,1
1631524740,35.07,35.07,35.07,35.07,35.07,0,0
1631524800,35.08,35.08,35.04,35.04,35.054,21,8
1631524860,35.04,35.04,35.04,35.04,35.04,0,0
1631524920,35.04,35.04,35.04,35.04,35.04,0,0
1631524980,35.04,35.04,35.04,35.04,35.04,0,0
1631525040,35.04,35.04,35.04,35.04,35.04,0,0
1631525100,35.04,35.04,35.04,35.04,35.04,0,0
1631525160,35.04,35.04,35.04,35.04,35.04,0,0
1631525220,35.04,35.04,35.04,35.04,35.04,0,0
1631525280,35.28,35.28,35.28,35.28,35.28,1,1
1631525340,35.28,35.28,35.28,35.28,35.28,0,0
1631525400,35.28,35.28,35.28,35.28,35.28,0,0
1631525460,35.28,35.28,35.28,35.28,35.28,0,0
1631525520,35.28,35.28,35.28,35.28,35.28,0,0
1631525580,35.28,35.28,35.28,35.28,35.28,0,0
