date,open,high,low,close,average,volume,count
1639990800,33.39,33.39,33.39,33.39,33.39,2,1
1639990805,33.39,33.39,33.39,33.39,33.39,0,0
1639990810,33.39,33.39,33.39,33.39,33.39,0,0
1639990815,33.18,33.18,33.18,33.18,33.18,1,1
1639990820,33.18,33.18,33.18,33.18,33.18,0,0
1639990825,33.18,33.18,33.18,33.18,33.18,0,0
1639990830,33.18,33.18,33.18,33.18,33.18,0,0
1639990835,33.18,33.18,33.18,33.18,33.18,0,0
1639990840,33.18,33.18,33.18,33.18,33.18,0,0
1639990845,33.18,33.18,33.18,33.18,33.18,0,0
1639990850,33.18,33.18,33.18,33.18,33.18,0,0
1639990855,33.18,33.18,33.18,33.18,33.18,0,0
1639990860,33.18,33.18,33.18,33.18,33.18,0,0
1639990865,33.0,33.0,33.0,33.0,33.0,1,1
1639990870,33.0,33.0,33.0,33.0,33.0,0,0
1639990875,33.0,33.0,33.0,33.0,33.0,0,0
1639990880,33.0,33.0,33.0,33.0,33.0,0,0
1639990885,33.0,33.0,33.0,33.0,33.0,0,0
1639990890,33.0,33.0,33.0,33.0,33.0,0,0
1639990895,33.0,33.0,33.0,33.0,33.0,0,0
1639990900,33.0,33.0,33.0,33.0,33.0,0,0
1639990905,33.0,33.0,33.0,33.0,33.0,0,0
1639990910,33.0,33.0,33.0,33.0,33.0,0,0
1639990915,33.0,33.0,33.0,33.0,33.0,0,0
1639990920,33.0,33.0,33.0,33.0,33.0,0,0
1639990925,33.0,33.0,33.0,33.0,33.0,0,0
1639990930,33.0,33.0,33.0,33.0,33.0,1,1
1639990935,33.0,33.0,33.0,33.0,33.0,0,0
1639990940,33.0,33.0,33.0,33.0,33.0,0,0
1639990945,33.0,33.0,33.0,33.0,33.0,0,0
1639990950,33.0,33.0,33.0,33.0,33.0,0,0
1639990955,33.0,33.0,33.0,33.0,33.0,0,0
1639990960,33.0,33.0,33.0,33.0,33.0,0,0
1639990965,33.0,33.0,33.0,33.0,33.0,0,0
1639990970,33.0,33.0,33.0,33.0,33.0,0,0
1639990975,33.0,33.0,33.0,33.0,33.0,0,0
1639990980,33.0,33.0,33.0,33.0,33.0,0,0
1639990985,33.0,33.0,33.0,33.0,33.0,0,0
1639990990,32.9,32.9,32.9,32.9,32.9,1,1
1639990995,32.9,32.9,32.9,32.9,32.9,0,0
1639991000,32.9,32.9,32.9,32.9,32.9,3,1
1639991005,32.9,32.9,32.9,32.9,32.9,5,1
1639991010,32.9,32.9,32.9,32.9,32.9,0,0
1639991015,32.9,32.9,32.9,32.9,32.9,2,1
1639991020,32.9,32.9,32.9,32.9,32.9,0,0
1639991025,32.9,32.9,32.9,32.9,32.9,0,0
1639991030,32.9,32.9,32.9,32.9,32.9,0,0
1639991035,32.9,32.9,32.9,32.9,32.9,0,0
1639991040,32.9,32.9,32.9,32.9,32.9,0,0
1639991045,32.9,32.9,32.9,32.9,32.9,0,0
1639991050,32.9,32.9,32.9,32.9,32.9,0,0
1639991055,32.9,32.9,32.9,32.9,32.9,0,0
1639991060,32.9,32.9,32.9,32.9,32.9,0,0
1639991065,32.9,32.9,32.9,32.9,32.9,0,0
1639991070,32.9,32.9,32.9,32.9,32.9,0,0
1639991075,32.9,32.9,32.9,32.9,32.9,0,0
1639991080,32.9,32.9,32.9,32.9,32.9,0,0
1639991085,32.9,32.9,32.9,32.9,32.9,0,0
1639991090,32.9,32.9,32.9,32.9,32.9,0,0
1639991095,32.9,32.9,32.9,32.9,32.9,0,0
1639991100,32.78,32.78,32.78,32.78,32.78,1,1
1639991105,32.78,32.78,32.78,32.78,32.78,0,0
1639991110,32.78,32.78,32.78,32.78,32.78,0,0
1639991115,32.78,32.78,32.78,32.78,32.78,0,0
1639991120,32.78,32.78,32.78,32.78,32.78,0,0
1639991125,32.78,32.78,32.78,32.78,32.78,0,0
1639991130,32.78,32.78,32.78,32.78,32.78,0,0
1639991135,32.78,32.78,32.78,32.78,32.78,0,0
1639991140,32.78,32.78,32.78,32.78,32.78,0,0
1639991145,32.53,32.53,32.53,32.53,32.53,3,1
1639991150,32.53,32.53,32.53,32.53,32.53,0,0
1639991155,32.53,32.53,32.53,32.53,32.53,0,0
1639991160,32.53,32.53,32.53,32.53,32.53,0,0
1639991165,32.53,32.53,32.53,32.53,32.53,0,0
1639991170,32.53,32.53,32.53,32.53,32.53,0,0
1639991175,32.53,32.53,32.53,32.53,32.53,0,0
1639991180,32.6,32.6,32.6,32.6,32.6,1,1
1639991185,32.51,32.51,32.51,32.51,32.51,1,1
