date,open,high,low,close,average,volume,count
1660919400,13.59,13.59,13.58,13.59,13.59,0,0
1660919401,13.58,13.59,13.58,13.58,13.582,1,1
1660919402,13.58,13.59,13.58,13.58,13.58,0,0
1660919403,13.58,13.59,13.58,13.58,13.58,0,0
1660919404,13.58,13.59,13.58,13.58,13.58,0,0
1660919405,13.58,13.59,13.58,13.58,13.58,0,0
1660919406,13.58,13.59,13.58,13.58,13.58,0,0
1660919407,13.58,13.59,13.58,13.58,13.58,0,0
1660919408,13.58,13.59,13.58,13.58,13.58,0,0
1660919409,13.58,13.59,13.58,13.58,13.58,0,0
1660919410,13.58,13.59,13.58,13.58,13.58,0,0
1660919411,13.58,13.59,13.58,13.58,13.58,0,0
1660919412,13.58,13.59,13.58,13.58,13.58,0,0
1660919413,13.58,13.58,13.57,13.58,13.579,14,5
1660919414,13.57,13.57,13.54,13.54,13.556,91,37
1660919415,13.54,13.54,13.52,13.52,13.531,112,33
1660919416,13.52,13.52,13.51,13.51,13.514,23,13
1660919417,13.52,13.52,13.52,13.52,13.52,2,2
1660919418,13.52,13.52,13.51,13.52,13.517,3,3
1660919419,13.52,13.52,13.51,13.52,13.52,0,0
1660919420,13.52,13.52,13.51,13.52,13.52,0,0
1660919421,13.52,13.52,13.52,13.52,13.52,11,5
1660919422,13.52,13.53,13.52,13.52,13.522,1,1
1660919423,13.52,13.52,13.52,13.52,13.52,5,1
1660919424,13.52,13.52,13.52,13.52,13.52,0,0
1660919425,13.52,13.53,13.52,13.53,13.524,11,9
1660919426,13.53,13.53,13.53,13.53,13.53,0,0
1660919427,13.52,13.52,13.52,13.52,13.52,2,2
1660919428,13.52,13.52,13.52,13.52,13.52,0,0
1660919429,13.52,13.52,13.52,13.52,13.52,3,2
1660919430,13.52,13.52,13.51,13.52,13.519,46,18
1660919431,13.52,13.52,13.52,13.52,13.52,1,1
1660919432,13.52,13.52,13.52,13.52,13.52,0,0
1660919433,13.52,13.52,13.52,13.52,13.52,0,0
1660919434,13.52,13.52,13.52,13.52,13.52,0,0
1660919435,13.52,13.52,13.52,13.52,13.52,0,0
1660919436,13.53,13.53,13.52,13.53,13.526,48,6
1660919437,13.53,13.53,13.52,13.53,13.53,0,0
1660919438,13.53,13.54,13.53,13.53,13.531,57,19
1660919439,13.53,13.54,13.53,13.53,13.53,21,8
1660919440,13.54,13.54,13.53,13.54,13.538,9,3
1660919441,13.54,13.55,13.54,13.54,13.548,141,22
1660919442,13.54,13.55,13.54,13.55,13.548,2,2
1660919443,13.55,13.55,13.55,13.55,13.55,0,0
