date,open,high,low,close,average,volume,count
1626964200,9.35,9.35,9.34,9.35,9.345,3,3
1626964201,9.35,9.35,9.34,9.35,9.35,0,0
1626964202,9.35,9.36,9.34,9.36,9.351,7,4
1626964203,9.35,9.35,9.34,9.35,9.345,3,1
1626964204,9.35,9.35,9.34,9.35,9.35,0,0
1626964205,9.35,9.35,9.34,9.35,9.35,0,0
1626964206,9.35,9.35,9.34,9.35,9.35,0,0
1626964207,9.36,9.39,9.36,9.39,9.383,8,5
1626964208,9.34,9.34,9.34,9.34,9.34,1,1
1626964209,9.34,9.34,9.34,9.34,9.34,0,0
1626964210,9.34,9.34,9.34,9.34,9.34,0,0
1626964211,9.34,9.34,9.34,9.34,9.34,0,0
1626964212,9.34,9.34,9.34,9.34,9.34,0,0
1626964213,9.34,9.34,9.34,9.34,9.34,0,0
1626964214,9.34,9.34,9.34,9.34,9.34,0,0
1626964215,9.38,9.38,9.38,9.38,9.38,1,1
1626964216,9.38,9.38,9.38,9.38,9.38,0,0
1626964217,9.36,9.36,9.36,9.36,9.36,1,1
1626964218,9.38,9.38,9.38,9.38,9.38,1,1
1626964219,9.38,9.38,9.38,9.38,9.38,0,0
1626964220,9.38,9.38,9.38,9.38,9.38,0,0
1626964221,9.38,9.38,9.38,9.38,9.38,0,0
1626964222,9.37,9.37,9.37,9.37,9.37,1,1
1626964223,9.34,9.34,9.34,9.34,9.34,3,1
1626964224,9.34,9.34,9.34,9.34,9.34,0,0
1626964225,9.35,9.35,9.35,9.35,9.35,1,1
1626964226,9.35,9.35,9.35,9.35,9.35,0,0
1626964227,9.34,9.35,9.33,9.34,9.34,21,12
1626964228,9.33,9.35,9.33,9.35,9.34,30,9
1626964229,9.34,9.35,9.31,9.32,9.321,24,6
1626964230,9.33,9.34,9.3,9.33,9.316,3,3
1626964231,9.33,9.33,9.33,9.33,9.33,2,2
1626964232,9.33,9.33,9.33,9.33,9.33,0,0
1626964233,9.33,9.33,9.32,9.33,9.329,60,1
1626964234,9.33,9.33,9.32,9.33,9.329,16,16
1626964235,9.33,9.33,9.32,9.32,9.325,6,6
1626964236,9.32,9.33,9.32,9.32,9.32,0,0
1626964237,9.32,9.33,9.32,9.32,9.32,0,0
1626964238,9.33,9.33,9.32,9.32,9.323,10,6
1626964239,9.32,9.33,9.32,9.32,9.32,0,0
1626964240,9.33,9.33,9.33,9.33,9.33,2,2
1626964241,9.33,9.33,9.33,9.33,9.33,0,0
1626964242,9.33,9.33,9.33,9.33,9.33,0,0
1626964243,9.33,9.33,9.33,9.33,9.33,9,9
1626964244,9.33,9.33,9.33,9.33,9.33,0,0
1626964245,9.33,9.33,9.33,9.33,9.33,0,0
1626964246,9.33,9.33,9.31,9.32,9.32,26,16
1626964247,9.32,9.33,9.3,9.33,9.32,7,3
1626964248,9.33,9.33,9.33,9.33,9.33,0,0
1626964249,9.33,9.33,9.33,9.33,9.33,0,0
1626964250,9.32,9.32,9.31,9.32,9.318,3,1
1626964251,9.32,9.32,9.31,9.32,9.32,0,0
1626964252,9.32,9.32,9.31,9.32,9.32,0,0
1626964253,9.32,9.32,9.31,9.32,9.32,0,0
1626964254,9.32,9.32,9.31,9.32,9.32,0,0
1626964255,9.31,9.32,9.31,9.31,9.31,2,2
1626964256,9.31,9.31,9.31,9.31,9.31,1,1
1626964257,9.3,9.31,9.3,9.3,9.3,35,10
1626964258,9.3,9.3,9.29,9.3,9.3,10,2
1626964259,9.29,9.3,9.29,9.3,9.297,2,2
1626964260,9.3,9.3,9.3,9.3,9.3,1,1
1626964261,9.3,9.3,9.3,9.3,9.3,0,0
1626964262,9.3,9.3,9.3,9.3,9.3,0,0
1626964263,9.3,9.3,9.3,9.3,9.3,0,0
1626964264,9.3,9.3,9.3,9.3,9.3,0,0
1626964265,9.3,9.3,9.3,9.3,9.3,0,0
1626964266,9.29,9.3,9.29,9.29,9.295,1,1
1626964267,9.29,9.3,9.29,9.29,9.29,0,0
1626964268,9.29,9.3,9.29,9.29,9.293,2,2
1626964269,9.29,9.3,9.29,9.29,9.29,0,0
1626964270,9.29,9.3,9.29,9.29,9.29,0,0
1626964271,9.3,9.3,9.29,9.3,9.295,5,1
1626964272,9.3,9.3,9.29,9.3,9.3,0,0
1626964273,9.3,9.3,9.29,9.3,9.3,0,0
1626964274,9.3,9.3,9.29,9.3,9.3,0,0
1626964275,9.3,9.3,9.29,9.3,9.3,0,0
1626964276,9.29,9.3,9.29,9.29,9.295,1,1
1626964277,9.29,9.3,9.29,9.29,9.293,2,2
1626964278,9.29,9.3,9.29,9.29,9.29,1,1
1626964279,9.29,9.3,9.29,9.29,9.29,0,0
1626964280,9.29,9.3,9.29,9.29,9.29,0,0
1626964281,9.29,9.3,9.29,9.29,9.29,0,0
1626964282,9.3,9.3,9.3,9.3,9.3,5,2
1626964283,9.3,9.34,9.3,9.34,9.309,45,24
1626964284,9.34,9.34,9.33,9.34,9.34,0,0
1626964285,9.36,9.36,9.34,9.35,9.353,2,2
1626964286,9.36,9.36,9.34,9.35,9.351,10,6
1626964287,9.35,9.35,9.34,9.35,9.35,0,0
1626964288,9.36,9.36,9.36,9.36,9.36,1,1
1626964289,9.35,9.35,9.34,9.35,9.345,3,2
1626964290,9.35,9.36,9.35,9.35,9.354,1,1
1626964291,9.34,9.34,9.34,9.34,9.34,1,1
1626964292,9.35,9.35,9.35,9.35,9.35,1,1
1626964293,9.35,9.35,9.35,9.35,9.35,0,0
1626964294,9.35,9.35,9.35,9.35,9.35,0,0
1626964295,9.35,9.35,9.35,9.35,9.35,0,0
1626964296,9.35,9.35,9.35,9.35,9.35,0,0
1626964297,9.35,9.35,9.35,9.35,9.35,0,0
1626964298,9.35,9.35,9.35,9.35,9.35,0,0
1626964299,9.35,9.35,9.35,9.35,9.35,0,0
1626964300,9.35,9.35,9.35,9.35,9.35,0,0
1626964301,9.34,9.35,9.34,9.34,9.342,30,1
1626964302,9.34,9.35,9.34,9.34,9.34,0,0
1626964303,9.34,9.35,9.34,9.34,9.34,0,0
1626964304,9.34,9.34,9.31,9.31,9.314,13,5
1626964305,9.33,9.33,9.32,9.33,9.325,5,2
1626964306,9.33,9.33,9.3,9.3,9.311,9,8
1626964307,9.32,9.32,9.31,9.32,9.315,1,1
1626964308,9.29,9.3,9.27,9.28,9.283,15,13
1626964309,9.28,9.28,9.28,9.28,9.28,0,0
1626964310,9.28,9.28,9.28,9.28,9.28,2,2
1626964311,9.28,9.28,9.28,9.28,9.28,0,0
1626964312,9.27,9.28,9.27,9.27,9.27,5,1
1626964313,9.27,9.28,9.27,9.27,9.27,0,0
1626964314,9.27,9.28,9.27,9.27,9.27,0,0
1626964315,9.27,9.28,9.27,9.27,9.273,35,12
1626964316,9.28,9.28,9.27,9.27,9.273,4,4
1626964317,9.27,9.28,9.27,9.27,9.27,0,0
1626964318,9.27,9.28,9.27,9.27,9.27,4,2
1626964319,9.28,9.28,9.27,9.27,9.275,3,3
1626964320,9.27,9.28,9.27,9.27,9.27,0,0
1626964321,9.27,9.28,9.27,9.27,9.27,0,0
1626964322,9.27,9.28,9.27,9.27,9.27,0,0
1626964323,9.28,9.28,9.27,9.28,9.275,6,2
1626964324,9.28,9.28,9.27,9.28,9.28,0,0
1626964325,9.28,9.28,9.27,9.28,9.274,4,4
1626964326,9.28,9.28,9.27,9.28,9.275,12,2
1626964327,9.28,9.28,9.27,9.28,9.275,3,1
1626964328,9.28,9.28,9.26,9.26,9.267,33,23
1626964329,9.26,9.26,9.26,9.26,9.26,1,1
1626964330,9.27,9.27,9.26,9.27,9.263,11,8
1626964331,9.27,9.27,9.26,9.27,9.265,1,1
1626964332,9.26,9.26,9.26,9.26,9.26,5,5
1626964333,9.27,9.27,9.26,9.27,9.265,1,1
1626964334,9.27,9.27,9.25,9.25,9.258,10,9
1626964335,9.25,9.26,9.25,9.25,9.253,10,7
1626964336,9.25,9.25,9.22,9.22,9.245,21,15
1626964337,9.21,9.22,9.21,9.22,9.215,38,16
1626964338,9.22,9.25,9.22,9.22,9.224,24,22
1626964339,9.25,9.25,9.25,9.25,9.25,13,5
1626964340,9.25,9.25,9.25,9.25,9.25,4,4
1626964341,9.23,9.25,9.23,9.25,9.246,15,10
1626964342,9.25,9.25,9.25,9.25,9.25,0,0
1626964343,9.24,9.24,9.23,9.24,9.235,1,1
1626964344,9.24,9.24,9.23,9.24,9.24,4,4
1626964345,9.25,9.31,9.25,9.31,9.268,54,13
1626964346,9.31,9.31,9.31,9.31,9.31,0,0
1626964347,9.31,9.31,9.31,9.31,9.31,0,0
1626964348,9.31,9.31,9.31,9.31,9.31,0,0
1626964349,9.31,9.31,9.31,9.31,9.31,0,0
1626964350,9.29,9.29,9.29,9.29,9.29,8,2
1626964351,9.26,9.32,9.26,9.32,9.275,5,3
1626964352,9.31,9.31,9.31,9.31,9.31,1,1
1626964353,9.29,9.29,9.28,9.29,9.285,3,2
1626964354,9.29,9.29,9.28,9.29,9.29,0,0
1626964355,9.29,9.29,9.28,9.29,9.29,0,0
1626964356,9.29,9.29,9.28,9.29,9.29,0,0
1626964357,9.29,9.29,9.28,9.29,9.29,0,0
1626964358,9.29,9.29,9.28,9.29,9.29,0,0
1626964359,9.31,9.31,9.3,9.31,9.306,4,3
1626964360,9.31,9.31,9.31,9.31,9.31,0,0
1626964361,9.29,9.3,9.29,9.29,9.295,1,1
1626964362,9.29,9.3,9.29,9.29,9.29,0,0
1626964363,9.29,9.3,9.29,9.29,9.29,0,0
1626964364,9.29,9.3,9.29,9.29,9.29,0,0
1626964365,9.29,9.3,9.29,9.29,9.29,0,0
1626964366,9.29,9.3,9.29,9.29,9.29,0,0
1626964367,9.31,9.32,9.31,9.32,9.311,4,3
1626964368,9.34,9.34,9.34,9.34,9.34,4,1
1626964369,9.34,9.34,9.34,9.34,9.34,0,0
1626964370,9.32,9.32,9.31,9.32,9.315,2,2
1626964371,9.3,9.3,9.29,9.3,9.297,3,1
1626964372,9.3,9.3,9.29,9.3,9.3,0,0
1626964373,9.3,9.3,9.29,9.3,9.3,0,0
1626964374,9.32,9.32,9.32,9.32,9.32,1,1
1626964375,9.32,9.32,9.32,9.32,9.32,0,0
1626964376,9.34,9.34,9.34,9.34,9.34,1,1
1626964377,9.34,9.34,9.34,9.34,9.34,0,0
1626964378,9.34,9.34,9.34,9.34,9.34,0,0
1626964379,9.34,9.34,9.34,9.34,9.34,0,0
1626964380,9.33,9.33,9.32,9.32,9.323,3,3
1626964381,9.32,9.32,9.3,9.32,9.312,8,5
1626964382,9.34,9.34,9.3,9.3,9.309,8,8
1626964383,9.3,9.31,9.3,9.3,9.3,0,0
1626964384,9.29,9.3,9.28,9.28,9.282,18,9
1626964385,9.28,9.28,9.28,9.28,9.28,0,0
1626964386,9.28,9.28,9.28,9.28,9.28,0,0
1626964387,9.28,9.28,9.28,9.28,9.28,0,0
1626964388,9.28,9.28,9.28,9.28,9.28,0,0
1626964389,9.28,9.28,9.28,9.28,9.28,0,0
1626964390,9.28,9.28,9.28,9.28,9.28,0,0
1626964391,9.28,9.28,9.28,9.28,9.28,0,0
1626964392,9.28,9.28,9.28,9.28,9.28,0,0
1626964393,9.28,9.28,9.28,9.28,9.28,0,0
1626964394,9.28,9.28,9.28,9.28,9.28,0,0
1626964395,9.28,9.28,9.28,9.28,9.28,0,0
1626964396,9.28,9.28,9.28,9.28,9.28,0,0
1626964397,9.28,9.28,9.28,9.28,9.28,0,0
1626964398,9.28,9.28,9.28,9.28,9.28,0,0
1626964399,9.3,9.3,9.3,9.3,9.3,20,1
1626964400,9.3,9.3,9.3,9.3,9.3,0,0
1626964401,9.29,9.3,9.29,9.29,9.295,1,1
1626964402,9.3,9.3,9.29,9.3,9.3,3,1
1626964403,9.3,9.3,9.29,9.3,9.3,0,0
1626964404,9.28,9.28,9.28,9.28,9.28,1,1
1626964405,9.28,9.28,9.28,9.28,9.28,0,0
1626964406,9.28,9.29,9.27,9.29,9.288,13,12
1626964407,9.29,9.29,9.26,9.27,9.276,52,19
1626964408,9.27,9.27,9.27,9.27,9.27,4,2
1626964409,9.27,9.27,9.27,9.27,9.27,1,1
1626964410,9.27,9.27,9.27,9.27,9.27,4,3
1626964411,9.27,9.27,9.27,9.27,9.27,0,0
1626964412,9.27,9.27,9.27,9.27,9.27,0,0
1626964413,9.27,9.27,9.27,9.27,9.27,0,0
1626964414,9.27,9.27,9.27,9.27,9.27,11,6
1626964415,9.27,9.27,9.26,9.27,9.269,2,2
1626964416,9.27,9.27,9.26,9.27,9.27,0,0
1626964417,9.27,9.27,9.26,9.27,9.27,0,0
1626964418,9.27,9.27,9.26,9.27,9.27,0,0
1626964419,9.27,9.27,9.26,9.27,9.27,0,0
1626964420,9.27,9.27,9.26,9.27,9.27,0,0
1626964421,9.27,9.27,9.26,9.27,9.27,0,0
1626964422,9.27,9.27,9.26,9.27,9.27,0,0
1626964423,9.27,9.27,9.26,9.27,9.27,0,0
1626964424,9.27,9.27,9.26,9.27,9.27,0,0
1626964425,9.27,9.27,9.26,9.27,9.27,0,0
1626964426,9.27,9.27,9.26,9.27,9.27,0,0
1626964427,9.27,9.27,9.26,9.27,9.27,0,0
1626964428,9.27,9.27,9.26,9.27,9.27,0,0
1626964429,9.26,9.26,9.23,9.23,9.25,27,21
1626964430,9.24,9.24,9.24,9.24,9.24,1,1
1626964431,9.24,9.24,9.24,9.24,9.24,0,0
1626964432,9.25,9.25,9.25,9.25,9.25,1,1
1626964433,9.25,9.25,9.25,9.25,9.25,0,0
1626964434,9.25,9.25,9.25,9.25,9.25,1,1
1626964435,9.25,9.25,9.25,9.25,9.25,0,0
