date,open,high,low,close,average,volume,count
1655452800,162.32,162.54,162.3,162.3,162.388,25,11
1655453100,162.67,162.7,162.56,162.7,162.679,14,8
1655453400,162.7,162.7,162.7,162.7,162.7,3,1
1655453700,162.75,162.79,162.5,162.66,162.665,29,12
1655454000,162.66,162.66,162.66,162.66,162.66,4,2
1655454300,162.66,162.66,162.66,162.66,162.66,0,0
1655454600,162.81,163.18,162.81,163.18,162.879,5,2
1655454900,162.65,162.65,162.59,162.59,162.606,7,4
1655455200,162.8,162.8,162.8,162.8,162.8,5,3
1655455500,162.53,162.53,162.5,162.5,162.524,5,2
1655455800,162.5,162.5,162.5,162.5,162.5,0,0
1655456100,162.42,162.42,162.42,162.42,162.42,1,1
1655456400,162.42,162.42,162.42,162.42,162.42,0,0
1655456700,162.54,162.54,162.54,162.54,162.54,1,1
1655457000,162.66,162.66,162.66,162.66,162.66,3,2
1655457300,162.66,162.66,162.66,162.66,162.66,0,0
1655457600,162.66,162.66,162.66,162.66,162.66,0,0
1655457900,162.66,162.66,162.66,162.66,162.66,0,0
1655458200,162.6,162.83,162.6,162.83,162.779,5,3
1655458500,162.57,162.57,162.57,162.57,162.57,1,1
1655458800,162.5,162.5,162.5,162.5,162.5,1,1
1655459100,162.5,162.5,162.5,162.5,162.5,0,0
1655459400,162.57,162.57,162.57,162.57,162.57,1,1
1655459700,162.9,162.92,162.9,162.92,162.91,2,2
1655460000,162.78,162.78,162.78,162.78,162.78,1,1
1655460300,162.78,162.78,162.78,162.78,162.78,0,0
1655460600,162.78,162.78,162.78,162.78,162.78,0,0
1655460900,162.7,162.7,162.69,162.69,162.695,2,2
1655461200,162.69,162.69,162.69,162.69,162.69,0,0
1655461500,162.83,162.86,162.83,162.86,162.854,5,3
1655461800,162.86,162.86,162.86,162.86,162.86,0,0
1655462100,162.74,162.74,162.74,162.74,162.74,1,1
1655462400,162.85,162.99,162.85,162.99,162.902,3,2
1655462700,162.99,162.99,162.99,162.99,162.99,0,0
1655463000,162.99,162.99,162.99,162.99,162.99,0,0
