date,open,high,low,close,average,volume,count
1660312800,180.33,180.38,179.8,179.84,180.035,198,79
1660312801,179.89,180.14,179.86,179.96,179.896,52,17
1660312802,179.98,180.07,179.95,180.0,180.043,47,7
1660312803,180.0,180.0,180.0,180.0,180.0,1,1
1660312804,180.05,180.05,179.83,179.89,179.93,35,20
1660312805,179.83,179.94,179.64,179.89,179.817,79,50
1660312806,179.93,179.98,179.73,179.98,179.922,11,6
1660312807,179.98,180.09,179.75,180.08,180.002,14,8
1660312808,180.09,180.1,180.03,180.03,180.045,24,11
1660312809,179.97,180.14,179.95,180.05,180.009,19,12
1660312810,179.96,180.02,179.88,179.93,179.935,40,26
1660312811,179.97,180.06,179.97,180.06,180.015,2,2
1660312812,180.06,180.06,180.06,180.06,180.06,0,0
1660312813,180.01,180.04,179.99,180.03,180.021,21,5
1660312814,180.03,180.06,179.95,179.99,180.01,21,19
1660312815,179.99,179.99,179.98,179.99,179.99,0,0
1660312816,179.99,180.04,179.99,180.02,180.003,6,6
1660312817,179.97,180.01,179.97,180.01,179.992,4,3
1660312818,179.97,180.01,179.93,179.97,179.952,34,19
1660312819,179.93,179.94,179.9,179.9,179.911,8,4
1660312820,179.87,179.91,179.84,179.87,179.861,9,4
1660312821,179.91,179.92,179.84,179.92,179.902,16,5
1660312822,179.98,179.98,179.8,179.84,179.891,14,9
1660312823,179.92,179.92,179.82,179.82,179.829,11,3
1660312824,179.8,179.8,179.79,179.8,179.797,4,2
1660312825,179.74,179.85,179.74,179.78,179.805,33,15
1660312826,179.8,179.8,179.77,179.78,179.791,18,7
1660312827,179.75,179.8,179.63,179.64,179.652,75,12
1660312828,179.72,179.74,179.71,179.71,179.721,11,8
1660312829,179.74,179.74,179.7,179.7,179.728,27,15
1660312830,179.69,179.7,179.5,179.5,179.576,50,26
1660312831,179.5,179.51,179.44,179.44,179.472,33,17
1660312832,179.49,179.5,179.42,179.5,179.453,20,16
1660312833,179.48,179.5,179.44,179.49,179.465,23,5
1660312834,179.5,179.57,179.49,179.5,179.513,12,5
1660312835,179.5,179.5,179.38,179.39,179.42,27,18
1660312836,179.4,179.4,179.35,179.4,179.391,14,7
1660312837,179.32,179.32,179.14,179.14,179.202,11,10
1660312838,179.18,179.32,179.18,179.25,179.227,25,7
1660312839,179.21,179.27,179.2,179.21,179.227,18,5
1660312840,179.22,179.23,179.22,179.23,179.228,5,2
1660312841,179.26,179.26,179.22,179.22,179.249,7,5
1660312842,179.25,179.3,179.22,179.3,179.239,19,12
1660312843,179.25,179.26,179.19,179.19,179.221,30,16
1660312844,179.15,179.2,179.15,179.19,179.181,8,7
1660312845,179.18,179.3,179.18,179.18,179.226,5,4
1660312846,179.23,179.31,179.23,179.3,179.282,14,8
1660312847,179.33,179.44,179.19,179.22,179.31,115,70
1660312848,179.22,179.22,179.2,179.22,179.21,9,8
1660312849,179.2,179.27,179.2,179.25,179.233,16,6
1660312850,179.27,179.27,179.27,179.27,179.27,1,1
1660312851,179.38,179.38,179.34,179.34,179.371,8,3
1660312852,179.39,179.39,179.31,179.31,179.349,17,11
1660312853,179.27,179.27,179.27,179.27,179.27,3,1
1660312854,179.28,179.3,179.22,179.29,179.269,16,10
1660312855,179.3,179.3,179.26,179.27,179.282,7,2
1660312856,179.31,179.37,179.3,179.37,179.316,16,5
1660312857,179.4,179.4,179.35,179.35,179.366,3,3
1660312858,179.4,179.43,179.38,179.41,179.394,11,8
1660312859,179.47,179.53,179.47,179.53,179.507,3,2
1660312860,179.52,179.53,179.49,179.53,179.514,12,6
1660312861,179.51,179.52,179.5,179.52,179.512,14,4
1660312862,179.5,179.52,179.49,179.5,179.504,22,8
1660312863,179.48,179.48,179.47,179.47,179.473,3,2
1660312864,179.51,179.53,179.47,179.5,179.5,28,14
1660312865,179.56,179.57,179.51,179.51,179.557,12,3
1660312866,179.56,179.56,179.55,179.56,179.555,3,1
1660312867,179.56,179.59,179.5,179.53,179.531,39,23
1660312868,179.61,179.68,179.61,179.64,179.649,5,5
1660312869,179.6,179.71,179.6,179.7,179.655,11,5
1660312870,179.74,179.74,179.68,179.7,179.723,23,6
1660312871,179.73,179.73,179.65,179.68,179.711,28,7
1660312872,179.68,179.68,179.68,179.68,179.68,0,0
1660312873,179.65,179.65,179.55,179.56,179.613,13,11
1660312874,179.55,179.57,179.54,179.57,179.553,26,4
1660312875,179.59,179.61,179.58,179.59,179.608,46,7
1660312876,179.59,179.59,179.59,179.59,179.59,0,0
1660312877,179.64,179.64,179.64,179.64,179.64,1,1
