date,open,high,low,close,average,volume,count
1612533600,52.7,52.7,52.7,52.7,52.7,0,0
1612533601,52.71,52.71,52.71,52.71,52.71,1,1
1612533602,52.71,52.71,52.71,52.71,52.71,0,0
1612533603,52.71,52.71,52.71,52.71,52.71,0,0
1612533604,52.78,52.78,52.78,52.78,52.78,1,1
1612533605,52.78,52.78,52.78,52.78,52.78,0,0
1612533606,52.78,52.78,52.78,52.78,52.78,0,0
1612533607,52.78,52.78,52.78,52.78,52.78,0,0
1612533608,52.78,52.78,52.78,52.78,52.78,0,0
1612533609,52.78,52.78,52.78,52.78,52.78,0,0
1612533610,52.78,52.78,52.78,52.78,52.78,0,0
1612533611,52.78,52.78,52.78,52.78,52.78,0,0
1612533612,52.78,52.78,52.78,52.78,52.78,0,0
1612533613,52.78,52.78,52.78,52.78,52.78,0,0
1612533614,52.78,52.78,52.78,52.78,52.78,0,0
1612533615,52.78,52.78,52.78,52.78,52.78,0,0
1612533616,52.78,52.78,52.78,52.78,52.78,0,0
1612533617,52.78,52.78,52.78,52.78,52.78,0,0
1612533618,52.78,52.78,52.78,52.78,52.78,0,0
1612533619,52.78,52.78,52.78,52.78,52.78,0,0
1612533620,52.78,52.78,52.78,52.78,52.78,1,1
1612533621,52.78,52.78,52.78,52.78,52.78,0,0
1612533622,52.78,52.78,52.78,52.78,52.78,0,0
1612533623,52.78,52.78,52.78,52.78,52.78,0,0
1612533624,52.78,52.78,52.78,52.78,52.78,0,0
1612533625,52.78,52.78,52.78,52.78,52.78,0,0
1612533626,52.78,52.78,52.78,52.78,52.78,0,0
1612533627,52.78,52.78,52.78,52.78,52.78,0,0
1612533628,52.78,52.78,52.78,52.78,52.78,0,0
1612533629,52.78,52.78,52.78,52.78,52.78,0,0
1612533630,52.78,52.78,52.78,52.78,52.78,0,0
1612533631,52.78,52.78,52.78,52.78,52.78,0,0
1612533632,52.78,52.78,52.78,52.78,52.78,0,0
1612533633,52.78,52.78,52.78,52.78,52.78,0,0
1612533634,52.78,52.78,52.78,52.78,52.78,0,0
1612533635,52.78,52.78,52.78,52.78,52.78,0,0
1612533636,52.78,52.78,52.78,52.78,52.78,0,0
1612533637,52.78,52.78,52.78,52.78,52.78,0,0
1612533638,52.78,52.78,52.78,52.78,52.78,0,0
1612533639,52.78,52.78,52.78,52.78,52.78,0,0
1612533640,52.78,52.78,52.78,52.78,52.78,0,0
1612533641,53.12,53.12,53.12,53.12,53.12,2,2
1612533642,53.12,53.12,53.12,53.12,53.12,0,0
1612533643,53.12,53.12,53.12,53.12,53.12,0,0
1612533644,53.12,53.12,53.12,53.12,53.12,0,0
1612533645,53.12,53.12,53.12,53.12,53.12,0,0
1612533646,53.12,53.12,53.12,53.12,53.12,0,0
1612533647,53.12,53.12,53.12,53.12,53.12,0,0
1612533648,53.12,53.12,53.12,53.12,53.12,0,0
1612533649,53.12,53.12,53.12,53.12,53.12,0,0
1612533650,53.12,53.12,53.12,53.12,53.12,0,0
1612533651,53.12,53.12,53.12,53.12,53.12,0,0
1612533652,53.12,53.12,53.12,53.12,53.12,0,0
1612533653,53.12,53.12,53.12,53.12,53.12,0,0
1612533654,53.12,53.12,53.12,53.12,53.12,0,0
1612533655,53.12,53.12,53.12,53.12,53.12,0,0
1612533656,53.12,53.12,53.12,53.12,53.12,0,0
1612533657,53.12,53.12,53.12,53.12,53.12,0,0
1612533658,53.12,53.12,53.12,53.12,53.12,0,0
1612533659,53.12,53.12,53.12,53.12,53.12,0,0
1612533660,53.12,53.12,53.12,53.12,53.12,0,0
1612533661,53.12,53.12,53.12,53.12,53.12,0,0
1612533662,53.12,53.12,53.12,53.12,53.12,0,0
1612533663,53.12,53.12,53.12,53.12,53.12,0,0
1612533664,53.12,53.12,53.12,53.12,53.12,0,0
1612533665,53.5,53.5,53.49,53.5,53.498,1,1
1612533666,53.5,53.5,53.49,53.5,53.5,0,0
1612533667,53.5,53.5,53.49,53.5,53.5,0,0
1612533668,53.5,53.5,53.49,53.5,53.5,0,0
1612533669,53.5,53.5,53.49,53.5,53.5,0,0
1612533670,53.5,53.5,53.49,53.5,53.5,0,0
1612533671,53.5,53.5,53.49,53.5,53.5,0,0
1612533672,53.17,53.17,53.17,53.17,53.17,7,4
1612533673,53.17,53.17,53.17,53.17,53.17,0,0
1612533674,53.17,53.17,53.17,53.17,53.17,0,0
1612533675,53.17,53.17,53.17,53.17,53.17,0,0
1612533676,53.12,53.12,53.12,53.12,53.12,5,1
1612533677,53.12,53.12,53.12,53.12,53.12,0,0
1612533678,53.12,53.12,53.12,53.12,53.12,0,0
1612533679,53.5,53.5,53.5,53.5,53.5,1,1
1612533680,53.5,53.5,53.5,53.5,53.5,0,0
1612533681,53.5,53.5,53.5,53.5,53.5,0,0
1612533682,53.5,53.5,53.5,53.5,53.5,0,0
1612533683,53.5,53.5,53.5,53.5,53.5,0,0
1612533684,53.5,53.5,53.5,53.5,53.5,0,0
1612533685,53.5,53.5,53.5,53.5,53.5,0,0
1612533686,53.5,53.5,53.5,53.5,53.5,0,0
1612533687,53.5,53.5,53.5,53.5,53.5,0,0
1612533688,53.5,53.5,53.5,53.5,53.5,0,0
1612533689,53.5,53.5,53.5,53.5,53.5,0,0
1612533690,53.5,53.5,53.5,53.5,53.5,0,0
1612533691,53.5,53.5,53.5,53.5,53.5,0,0
1612533692,53.5,53.5,53.5,53.5,53.5,0,0
1612533693,53.5,53.5,53.5,53.5,53.5,0,0
1612533694,53.5,53.5,53.5,53.5,53.5,0,0
1612533695,53.5,53.5,53.5,53.5,53.5,0,0
1612533696,53.5,53.5,53.5,53.5,53.5,0,0
1612533697,53.25,53.25,53.25,53.25,53.25,1,1
1612533698,53.25,53.25,53.25,53.25,53.25,0,0
1612533699,53.25,53.25,53.25,53.25,53.25,0,0
1612533700,53.25,53.25,53.25,53.25,53.25,0,0
1612533701,53.25,53.25,53.25,53.25,53.25,0,0
1612533702,53.25,53.25,53.25,53.25,53.25,0,0
1612533703,53.25,53.25,53.25,53.25,53.25,0,0
1612533704,53.25,53.25,53.25,53.25,53.25,0,0
1612533705,53.25,53.25,53.25,53.25,53.25,0,0
1612533706,53.25,53.25,53.25,53.25,53.25,0,0
1612533707,53.25,53.25,53.25,53.25,53.25,0,0
1612533708,53.25,53.25,53.25,53.25,53.25,0,0
1612533709,53.25,53.25,53.25,53.25,53.25,0,0
1612533710,53.25,53.25,53.25,53.25,53.25,0,0
1612533711,53.25,53.25,53.25,53.25,53.25,0,0
1612533712,53.25,53.25,53.25,53.25,53.25,0,0
1612533713,53.25,53.25,53.25,53.25,53.25,0,0
1612533714,53.25,53.25,53.25,53.25,53.25,0,0
1612533715,53.25,53.25,53.25,53.25,53.25,0,0
1612533716,53.25,53.25,53.25,53.25,53.25,0,0
1612533717,53.25,53.25,53.25,53.25,53.25,0,0
1612533718,53.25,53.25,53.25,53.25,53.25,0,0
1612533719,53.25,53.25,53.25,53.25,53.25,0,0
1612533720,53.25,53.25,53.25,53.25,53.25,0,0
1612533721,53.25,53.25,53.25,53.25,53.25,0,0
1612533722,53.25,53.25,53.25,53.25,53.25,0,0
1612533723,53.25,53.25,53.25,53.25,53.25,0,0
1612533724,53.25,53.25,53.25,53.25,53.25,0,0
1612533725,53.25,53.25,53.25,53.25,53.25,0,0
1612533726,53.25,53.25,53.25,53.25,53.25,3,1
1612533727,53.25,53.25,53.25,53.25,53.25,0,0
1612533728,53.25,53.25,53.25,53.25,53.25,0,0
1612533729,53.25,53.25,53.25,53.25,53.25,0,0
1612533730,53.5,53.5,53.5,53.5,53.5,1,1
1612533731,53.5,53.5,53.5,53.5,53.5,0,0
1612533732,53.5,53.5,53.5,53.5,53.5,0,0
1612533733,53.5,53.5,53.5,53.5,53.5,0,0
1612533734,53.5,53.5,53.5,53.5,53.5,0,0
1612533735,53.5,53.5,53.5,53.5,53.5,0,0
1612533736,53.5,53.5,53.49,53.5,53.5,10,1
1612533737,53.5,53.5,53.49,53.5,53.5,0,0
1612533738,53.5,53.5,53.49,53.5,53.5,0,0
1612533739,53.5,53.5,53.49,53.5,53.5,0,0
1612533740,53.5,53.5,53.49,53.5,53.5,0,0
1612533741,53.5,53.5,53.49,53.5,53.5,0,0
1612533742,53.5,53.5,53.49,53.5,53.5,0,0
1612533743,53.5,53.5,53.49,53.5,53.5,0,0
1612533744,53.5,53.5,53.49,53.5,53.5,0,0
1612533745,53.5,53.5,53.49,53.5,53.5,0,0
1612533746,53.5,53.5,53.49,53.5,53.5,0,0
1612533747,53.5,53.5,53.49,53.5,53.5,0,0
1612533748,53.5,53.5,53.49,53.5,53.5,0,0
1612533749,53.5,53.5,53.49,53.5,53.5,0,0
1612533750,53.5,53.5,53.49,53.5,53.5,0,0
1612533751,53.5,53.5,53.49,53.5,53.5,0,0
1612533752,53.5,53.5,53.49,53.5,53.5,0,0
1612533753,53.5,53.5,53.49,53.5,53.5,0,0
1612533754,53.5,53.5,53.49,53.5,53.5,0,0
1612533755,53.5,53.5,53.49,53.5,53.5,0,0
1612533756,53.5,53.5,53.49,53.5,53.5,0,0
1612533757,53.5,53.5,53.49,53.5,53.5,0,0
1612533758,53.5,53.5,53.49,53.5,53.5,0,0
1612533759,53.5,53.5,53.49,53.5,53.5,0,0
1612533760,53.5,53.5,53.49,53.5,53.5,0,0
1612533761,53.5,53.5,53.49,53.5,53.5,0,0
1612533762,53.5,53.5,53.49,53.5,53.5,0,0
1612533763,53.5,53.5,53.49,53.5,53.5,0,0
1612533764,53.5,53.5,53.49,53.5,53.5,0,0
1612533765,53.35,53.35,53.35,53.35,53.35,1,1
1612533766,53.35,53.35,53.35,53.35,53.35,0,0
1612533767,53.35,53.35,53.35,53.35,53.35,0,0
1612533768,53.35,53.35,53.35,53.35,53.35,0,0
1612533769,53.35,53.35,53.35,53.35,53.35,0,0
1612533770,53.35,53.35,53.35,53.35,53.35,0,0
1612533771,53.35,53.35,53.35,53.35,53.35,0,0
1612533772,53.35,53.35,53.35,53.35,53.35,0,0
1612533773,53.35,53.35,53.35,53.35,53.35,0,0
1612533774,53.35,53.35,53.35,53.35,53.35,0,0
1612533775,53.35,53.35,53.35,53.35,53.35,0,0
1612533776,53.35,53.35,53.35,53.35,53.35,0,0
1612533777,53.35,53.35,53.35,53.35,53.35,0,0
1612533778,53.35,53.35,53.35,53.35,53.35,0,0
1612533779,53.35,53.35,53.35,53.35,53.35,0,0
1612533780,53.35,53.35,53.35,53.35,53.35,0,0
