date,open,high,low,close,average,volume,count
1628170200,3.47,3.49,3.45,3.47,3.452,1717,30
1628170201,3.47,3.49,3.46,3.48,3.483,199,55
1628170202,3.46,3.48,3.46,3.46,3.462,195,41
1628170203,3.47,3.47,3.46,3.46,3.463,71,14
1628170204,3.47,3.47,3.46,3.47,3.464,114,15
1628170205,3.46,3.47,3.46,3.47,3.468,29,7
1628170206,3.47,3.47,3.45,3.46,3.455,42,7
1628170207,3.46,3.47,3.46,3.47,3.47,67,4
1628170208,3.46,3.47,3.46,3.47,3.465,19,4
1628170209,3.46,3.47,3.46,3.47,3.461,13,4
1628170210,3.47,3.47,3.46,3.47,3.468,2,1
1628170211,3.47,3.47,3.46,3.47,3.468,1,1
1628170212,3.47,3.47,3.46,3.46,3.468,7,3
1628170213,3.47,3.47,3.46,3.47,3.47,32,2
1628170214,3.46,3.47,3.46,3.46,3.461,29,3
1628170215,3.46,3.47,3.46,3.46,3.463,146,72
1628170216,3.46,3.46,3.45,3.46,3.459,22,3
1628170217,3.45,3.46,3.45,3.45,3.451,219,77
1628170218,3.45,3.45,3.44,3.44,3.445,114,13
1628170219,3.44,3.44,3.43,3.44,3.433,22,10
1628170220,3.44,3.44,3.43,3.44,3.439,46,4
1628170221,3.44,3.44,3.43,3.44,3.435,35,1
1628170222,3.44,3.44,3.43,3.44,3.437,5,2
1628170223,3.43,3.44,3.42,3.44,3.426,319,61
1628170224,3.44,3.44,3.43,3.44,3.438,52,6
1628170225,3.44,3.44,3.43,3.44,3.44,0,0
1628170226,3.44,3.44,3.43,3.44,3.437,15,2
1628170227,3.44,3.44,3.43,3.44,3.439,6,4
1628170228,3.43,3.43,3.43,3.43,3.43,46,1
1628170229,3.43,3.44,3.43,3.43,3.434,15,6
1628170230,3.44,3.44,3.43,3.43,3.433,28,5
1628170231,3.44,3.44,3.43,3.43,3.438,16,5
1628170232,3.43,3.44,3.43,3.43,3.43,0,0
1628170233,3.43,3.45,3.43,3.45,3.439,37,14
1628170234,3.45,3.45,3.45,3.45,3.45,5,1
1628170235,3.45,3.45,3.44,3.45,3.445,21,5
1628170236,3.45,3.47,3.45,3.47,3.452,212,25
1628170237,3.46,3.47,3.46,3.47,3.464,32,4
1628170238,3.47,3.48,3.46,3.48,3.47,118,15
1628170239,3.48,3.48,3.47,3.47,3.475,41,3
1628170240,3.48,3.48,3.46,3.47,3.471,288,37
1628170241,3.47,3.47,3.46,3.46,3.465,38,5
1628170242,3.47,3.47,3.46,3.47,3.466,11,4
1628170243,3.46,3.47,3.46,3.47,3.466,5,2
1628170244,3.47,3.47,3.46,3.47,3.468,8,2
1628170245,3.47,3.47,3.46,3.46,3.469,52,7
1628170246,3.47,3.47,3.46,3.46,3.468,44,8
1628170247,3.47,3.47,3.46,3.47,3.47,25,4
1628170248,3.46,3.47,3.46,3.47,3.468,15,5
1628170249,3.47,3.47,3.46,3.47,3.462,16,10
1628170250,3.47,3.47,3.46,3.47,3.465,18,7
1628170251,3.46,3.47,3.46,3.47,3.461,9,3
1628170252,3.47,3.47,3.46,3.47,3.469,10,2
1628170253,3.47,3.47,3.46,3.46,3.46,42,3
1628170254,3.46,3.47,3.46,3.47,3.465,2,2
1628170255,3.46,3.47,3.46,3.47,3.465,11,3
1628170256,3.47,3.47,3.46,3.47,3.465,10,1
1628170257,3.47,3.47,3.46,3.47,3.467,256,130
1628170258,3.47,3.47,3.46,3.46,3.461,66,4
1628170259,3.47,3.47,3.46,3.47,3.47,11,2
1628170260,3.47,3.47,3.46,3.47,3.468,47,15
1628170261,3.47,3.47,3.46,3.47,3.463,608,55
1628170262,3.47,3.47,3.46,3.47,3.467,23,5
1628170263,3.47,3.47,3.46,3.47,3.47,0,0
1628170264,3.46,3.47,3.46,3.47,3.469,15,7
1628170265,3.46,3.47,3.45,3.46,3.461,205,70
1628170266,3.46,3.46,3.44,3.45,3.452,97,34
1628170267,3.45,3.45,3.44,3.45,3.446,53,6
1628170268,3.45,3.45,3.44,3.45,3.449,19,8
1628170269,3.45,3.45,3.44,3.45,3.446,22,11
1628170270,3.45,3.45,3.44,3.45,3.449,15,4
1628170271,3.45,3.45,3.44,3.44,3.443,92,17
1628170272,3.44,3.44,3.43,3.43,3.435,21,8
1628170273,3.43,3.44,3.43,3.43,3.43,113,7
1628170274,3.44,3.44,3.41,3.43,3.424,218,44
1628170275,3.43,3.43,3.42,3.42,3.423,3,2
1628170276,3.43,3.43,3.41,3.42,3.42,104,23
1628170277,3.43,3.43,3.42,3.43,3.423,10,3
1628170278,3.42,3.42,3.42,3.42,3.42,55,21
1628170279,3.42,3.43,3.41,3.43,3.419,37,11
1628170280,3.42,3.43,3.4,3.41,3.411,320,35
1628170281,3.41,3.42,3.41,3.41,3.411,83,5
1628170282,3.42,3.42,3.41,3.41,3.411,11,2
1628170283,3.41,3.42,3.41,3.41,3.411,27,4
1628170284,3.42,3.43,3.41,3.43,3.422,88,41
1628170285,3.43,3.43,3.42,3.42,3.421,45,9
1628170286,3.43,3.43,3.41,3.42,3.421,23,14
1628170287,3.42,3.42,3.41,3.42,3.42,6,2
1628170288,3.42,3.44,3.41,3.43,3.433,268,19
1628170289,3.44,3.44,3.43,3.44,3.44,50,1
1628170290,3.42,3.44,3.42,3.44,3.429,92,3
1628170291,3.44,3.44,3.44,3.44,3.44,2,2
1628170292,3.44,3.44,3.43,3.43,3.434,5,3
1628170293,3.43,3.44,3.43,3.43,3.43,0,0
1628170294,3.43,3.43,3.42,3.43,3.43,15,4
1628170295,3.43,3.44,3.42,3.42,3.438,53,4
1628170296,3.44,3.44,3.44,3.44,3.44,14,1
1628170297,3.43,3.44,3.43,3.43,3.432,18,3
1628170298,3.43,3.44,3.43,3.43,3.436,23,5
1628170299,3.43,3.44,3.43,3.43,3.43,5,2
1628170300,3.44,3.45,3.43,3.45,3.44,111,23
1628170301,3.44,3.45,3.44,3.44,3.442,2,1
1628170302,3.45,3.45,3.44,3.45,3.446,4,1
1628170303,3.44,3.44,3.44,3.44,3.44,8,4
1628170304,3.45,3.45,3.44,3.44,3.446,43,5
1628170305,3.44,3.44,3.43,3.44,3.438,5,4
1628170306,3.44,3.44,3.44,3.44,3.44,1,1
1628170307,3.44,3.44,3.43,3.43,3.435,10,2
1628170308,3.44,3.44,3.43,3.44,3.439,30,5
1628170309,3.44,3.44,3.43,3.44,3.431,22,4
1628170310,3.44,3.44,3.43,3.44,3.438,2,2
1628170311,3.44,3.44,3.43,3.44,3.439,27,3
1628170312,3.44,3.44,3.43,3.43,3.431,22,2
1628170313,3.43,3.43,3.43,3.43,3.43,0,0
1628170314,3.44,3.44,3.43,3.43,3.431,94,7
1628170315,3.43,3.43,3.42,3.42,3.423,21,6
1628170316,3.42,3.43,3.42,3.43,3.423,53,2
1628170317,3.43,3.43,3.42,3.42,3.428,31,2
1628170318,3.43,3.43,3.42,3.43,3.425,5,1
1628170319,3.43,3.43,3.42,3.43,3.428,39,6
1628170320,3.43,3.43,3.42,3.43,3.429,75,4
1628170321,3.42,3.42,3.41,3.42,3.42,58,20
1628170322,3.41,3.41,3.38,3.39,3.394,704,162
1628170323,3.38,3.38,3.37,3.38,3.374,135,68
1628170324,3.37,3.39,3.36,3.36,3.363,254,71
1628170325,3.35,3.37,3.35,3.35,3.354,93,26
1628170326,3.37,3.37,3.34,3.36,3.35,314,94
1628170327,3.34,3.36,3.34,3.35,3.345,25,3
1628170328,3.35,3.35,3.34,3.35,3.349,64,7
1628170329,3.35,3.36,3.35,3.35,3.35,96,5
1628170330,3.35,3.36,3.35,3.36,3.358,119,11
1628170331,3.35,3.36,3.35,3.35,3.351,50,6
1628170332,3.35,3.36,3.34,3.35,3.347,73,18
1628170333,3.36,3.36,3.34,3.34,3.344,151,36
1628170334,3.34,3.35,3.34,3.35,3.341,5,3
1628170335,3.34,3.35,3.34,3.34,3.346,29,10
1628170336,3.35,3.36,3.35,3.36,3.351,16,9
1628170337,3.35,3.36,3.34,3.35,3.343,35,15
1628170338,3.34,3.35,3.33,3.33,3.338,54,18
1628170339,3.33,3.34,3.33,3.34,3.333,149,13
1628170340,3.33,3.34,3.33,3.33,3.334,19,9
1628170341,3.33,3.34,3.33,3.34,3.332,11,2
1628170342,3.33,3.34,3.33,3.34,3.33,52,3
1628170343,3.33,3.34,3.33,3.34,3.337,32,6
1628170344,3.33,3.34,3.33,3.33,3.331,10,1
1628170345,3.34,3.34,3.33,3.34,3.333,24,5
1628170346,3.33,3.34,3.33,3.34,3.333,12,5
1628170347,3.34,3.34,3.33,3.33,3.333,18,3
1628170348,3.34,3.34,3.33,3.34,3.332,12,4
1628170349,3.34,3.34,3.33,3.34,3.335,25,10
1628170350,3.33,3.34,3.33,3.33,3.331,11,5
1628170351,3.34,3.34,3.33,3.33,3.333,14,5
1628170352,3.33,3.34,3.33,3.33,3.333,21,6
1628170353,3.33,3.34,3.33,3.34,3.333,44,6
1628170354,3.33,3.34,3.33,3.33,3.331,104,3
1628170355,3.34,3.35,3.33,3.35,3.341,136,19
1628170356,3.35,3.35,3.34,3.35,3.347,66,10
1628170357,3.35,3.36,3.34,3.36,3.351,90,11
1628170358,3.35,3.36,3.35,3.36,3.356,18,4
1628170359,3.36,3.36,3.36,3.36,3.36,7,2
1628170360,3.36,3.36,3.35,3.36,3.354,57,7
1628170361,3.36,3.37,3.36,3.36,3.36,40,14
1628170362,3.36,3.37,3.36,3.37,3.362,48,7
1628170363,3.37,3.37,3.36,3.37,3.365,80,30
1628170364,3.37,3.37,3.36,3.36,3.369,102,20
1628170365,3.36,3.37,3.36,3.37,3.362,31,4
1628170366,3.37,3.37,3.35,3.35,3.364,16,5
1628170367,3.35,3.36,3.35,3.35,3.355,22,4
1628170368,3.36,3.38,3.35,3.38,3.373,201,17
1628170369,3.38,3.38,3.38,3.38,3.38,0,0
1628170370,3.38,3.38,3.37,3.37,3.375,20,2
1628170371,3.37,3.37,3.36,3.37,3.37,32,7
1628170372,3.37,3.38,3.37,3.37,3.373,25,11
1628170373,3.38,3.38,3.37,3.38,3.377,4,2
1628170374,3.38,3.38,3.37,3.37,3.379,31,7
