date,open,high,low,close,average,volume,count
1624867200,3.9,3.9,3.9,3.9,3.9,4,1
1624867205,3.9,3.9,3.9,3.9,3.9,0,0
1624867210,3.9,3.9,3.9,3.9,3.9,0,0
1624867215,3.9,3.9,3.9,3.9,3.9,4,2
1624867220,3.99,3.99,3.99,3.99,3.99,4,1
1624867225,3.91,3.92,3.91,3.92,3.91867,7,3
1624867230,3.92,3.92,3.92,3.92,3.92,0,0
1624867235,3.92,3.92,3.92,3.92,3.92,0,0
1624867240,3.92,3.92,3.92,3.92,3.92,0,0
1624867245,3.91,3.91,3.91,3.91,3.91,1,1
1624867250,3.91,3.91,3.91,3.91,3.91,0,0
1624867255,3.88,3.88,3.88,3.88,3.88,3,1
1624867260,3.87,3.87,3.87,3.87,3.87,4,2
1624867265,3.86,3.86,3.86,3.86,3.86,1,1
1624867270,3.86,3.86,3.86,3.86,3.86,0,0
1624867275,3.87,3.87,3.87,3.87,3.87,1,1
1624867280,3.87,3.87,3.87,3.87,3.87,0,0
1624867285,3.87,3.87,3.87,3.87,3.87,0,0
1624867290,3.86,3.87,3.86,3.87,3.86741,4,3
1624867295,3.87,3.87,3.87,3.87,3.87,1,1
1624867300,3.87,3.87,3.87,3.87,3.87,0,0
1624867305,3.87,3.87,3.87,3.87,3.87,0,0
1624867310,3.85,3.87,3.82,3.87,3.86175,42,19
1624867315,3.81,3.87,3.81,3.87,3.84543,2,2
1624867320,3.87,3.87,3.87,3.87,3.87,0,0
1624867325,3.87,3.87,3.87,3.87,3.87,0,0
1624867330,3.87,3.87,3.87,3.87,3.87,0,0
1624867335,3.87,3.87,3.87,3.87,3.87,0,0
1624867340,3.87,3.87,3.87,3.87,3.87,0,0
1624867345,3.87,3.87,3.87,3.87,3.87,0,0
1624867350,3.87,3.87,3.87,3.87,3.87,0,0
1624867355,3.83,3.83,3.82,3.82,3.828,5,2
1624867360,3.82,3.82,3.82,3.82,3.82,2,1
1624867365,3.82,3.82,3.82,3.82,3.82,1,1
1624867370,3.82,3.82,3.81,3.81,3.81333,3,2
1624867375,3.81,3.81,3.81,3.81,3.81,0,0
1624867380,3.81,3.81,3.81,3.81,3.81,0,0
1624867385,3.81,3.81,3.81,3.81,3.81,0,0
1624867390,3.81,3.81,3.81,3.81,3.81,0,0
1624867395,3.81,3.81,3.81,3.81,3.81,0,0
1624867400,3.81,3.81,3.81,3.81,3.81,0,0
1624867405,3.81,3.81,3.81,3.81,3.81,0,0
1624867410,3.81,3.81,3.81,3.81,3.81,0,0
