date,open,high,low,close,average,volume,count
1625040000,14.04,14.36,13.8,14.13,14.11665,195,100
1625040060,14.25,14.7,14.15,14.61,14.47794,155,72
1625040120,14.6,14.87,14.58,14.84,14.74259,306,143
1625040180,14.84,14.87,14.61,14.7,14.72642,208,104
1625040240,14.69,14.74,14.07,14.1,14.45169,179,92
1625040300,14.07,14.49,14.02,14.47,14.23164,169,69
1625040360,14.43,14.47,14.2,14.2,14.35562,60,29
1625040420,14.2,14.35,14.2,14.28,14.27568,22,17
1625040480,14.31,14.35,14.29,14.34,14.32788,44,20
1625040540,14.3,14.3,14.24,14.24,14.28442,32,12
1625040600,14.23,14.25,14.22,14.24,14.22984,20,16
1625040660,14.25,14.28,14.24,14.28,14.25297,23,13
1625040720,14.26,14.26,14.1,14.12,14.16838,56,31
1625040780,14.1,14.11,13.97,14.0,14.02563,76,38
1625040840,13.98,13.98,13.65,13.65,13.75191,115,68
1625040900,13.65,13.66,13.61,13.61,13.63428,149,94
1625040960,13.6,13.61,13.27,13.27,13.5013,157,82
1625041020,13.27,13.5,13.11,13.5,13.31259,233,138
1625041080,13.52,13.68,13.49,13.62,13.57037,126,71
1625041140,13.67,13.73,13.63,13.73,13.67692,82,38
1625041200,13.71,13.8,13.71,13.75,13.76971,16,13
1625041260,13.75,13.75,13.6,13.6,13.64531,24,18
1625041320,13.58,13.58,13.4,13.41,13.49013,51,29
1625041380,13.41,13.44,13.31,13.43,13.38241,114,51
1625041440,13.42,13.54,13.35,13.37,13.42749,63,32
1625041500,13.32,13.32,13.15,13.15,13.21933,174,69
1625041560,13.16,13.16,12.85,12.87,13.02679,259,105
1625041620,12.85,13.16,12.83,13.0,13.02006,162,80
1625041680,13.0,13.0,12.87,12.87,12.92668,67,29
1625041740,12.85,12.91,12.8,12.91,12.83559,135,64
1625041800,12.9,12.91,12.88,12.88,12.89122,31,16
1625041860,12.88,12.88,12.84,12.84,12.85927,27,17
1625041920,12.85,12.94,12.81,12.94,12.87196,43,32
1625041980,12.94,13.18,12.94,13.04,13.09418,78,49
1625042040,13.09,13.19,13.09,13.19,13.13233,32,19
1625042100,13.15,13.23,13.15,13.19,13.18878,31,21
1625042160,13.19,13.22,13.19,13.19,13.19826,42,21
1625042220,13.19,13.2,13.17,13.2,13.19218,22,12
1625042280,13.24,13.36,13.24,13.28,13.30855,100,56
1625042340,13.3,13.36,13.3,13.34,13.34389,45,26
1625042400,13.28,13.32,13.03,13.03,13.23379,40,32
1625042460,13.03,13.08,13.03,13.08,13.05413,12,4
1625042520,13.11,13.11,13.08,13.09,13.09173,4,4
1625042580,13.03,13.03,13.0,13.0,13.0056,17,8
