date,open,high,low,close,average,volume,count
1625238000,20.7064,20.7064,20.7064,20.7064,20.7064,1,1
1625238001,20.71,20.71,20.71,20.71,20.71,20,1
1625238002,20.6914,20.7352,20.6914,20.7352,20.7021,7,3
1625238003,20.67,20.7327,20.67,20.7327,20.70135,2,2
1625238004,20.7398,20.7398,20.7398,20.7398,20.7398,5,1
1625238005,20.7398,20.7398,20.7398,20.7398,20.7398,0,0
1625238006,20.7022,20.7022,20.7022,20.7022,20.7022,2,1
1625238007,20.6601,20.6601,20.6601,20.6601,20.6601,2,1
1625238008,20.6601,20.6601,20.6601,20.6601,20.6601,0,0
1625238009,20.7,20.74,20.7,20.725,20.72531,9,5
1625238010,20.7,20.75,20.7,20.75,20.7098,10,3
1625238011,20.71,20.71,20.71,20.71,20.71,1,1
1625238012,20.7,20.75,20.7,20.7,20.72235,14,6
1625238013,20.7,20.7,20.7,20.7,20.7,0,0
1625238014,20.67,20.67,20.67,20.67,20.67,5,1
1625238015,20.73,20.73,20.715,20.715,20.72317,5,3
1625238016,20.715,20.715,20.715,20.715,20.715,0,0
1625238017,20.715,20.715,20.66,20.6675,20.69145,11,4
1625238018,20.6675,20.6675,20.6675,20.6675,20.6675,0,0
1625238019,20.7024,20.7024,20.7024,20.7024,20.7024,1,1
1625238020,20.686,20.686,20.66,20.66,20.68152,11,2
1625238021,20.66,20.66,20.66,20.66,20.66,0,0
1625238022,20.66,20.66,20.66,20.66,20.66,0,0
1625238023,20.66,20.66,20.66,20.66,20.66,0,0
1625238024,20.69,20.69,20.69,20.69,20.69,1,1
1625238025,20.69,20.69,20.69,20.69,20.69,0,0
1625238026,20.6851,20.6851,20.6851,20.6851,20.6851,1,1
1625238027,20.6851,20.6851,20.6851,20.6851,20.6851,0,0
1625238028,20.6703,20.6703,20.6703,20.6703,20.6703,5,1
1625238029,20.7057,20.7057,20.7057,20.7057,20.7057,5,1
1625238030,20.7,20.7,20.7,20.7,20.7,1,1
1625238031,20.71,20.7299,20.71,20.7299,20.71975,10,3
1625238032,20.73,20.75,20.73,20.7344,20.74773,24,8
1625238033,20.7344,20.7344,20.7344,20.7344,20.7344,0,0
1625238034,20.75,20.75,20.7417,20.7417,20.74872,16,3
1625238035,20.7529,20.76,20.7529,20.76,20.75958,17,4
1625238036,20.76,20.77,20.76,20.763,20.76267,15,3
1625238037,20.763,20.763,20.763,20.763,20.763,0,0
1625238038,20.763,20.763,20.763,20.763,20.763,0,0
1625238039,20.76,20.76,20.75,20.75,20.75529,25,8
1625238040,20.755,20.755,20.755,20.755,20.755,1,1
1625238041,20.74,20.74,20.74,20.74,20.74,1,1
1625238042,20.74,20.74,20.74,20.74,20.74,0,0
1625238043,20.69,20.69,20.53,20.53,20.62286,224,52
1625238044,20.53,20.55,20.53,20.55,20.53333,6,2
1625238045,20.54,20.639,20.54,20.54,20.55648,111,43
1625238046,20.61,20.61,20.61,20.61,20.61,5,1
1625238047,20.6068,20.61,20.5929,20.5929,20.60164,41,3
1625238048,20.6028,20.68,20.5401,20.68,20.6014,61,5
1625238049,20.68,20.68,20.68,20.68,20.68,0,0
1625238050,20.645,20.645,20.645,20.645,20.645,25,1
1625238051,20.61,20.61,20.53,20.53,20.58773,35,12
1625238052,20.5441,20.605,20.5301,20.5678,20.56627,13,4
1625238053,20.5997,20.6,20.59,20.6,20.59848,6,4
1625238054,20.5501,20.6647,20.5501,20.6647,20.56616,12,7
1625238055,20.6647,20.6647,20.6647,20.6647,20.6647,0,0
1625238056,20.6647,20.6647,20.6647,20.6647,20.6647,0,0
1625238057,20.663,20.663,20.6,20.6,20.6333,9,3
1625238058,20.6001,20.663,20.6001,20.663,20.63155,4,2
1625238059,20.6,20.6,20.57,20.57,20.57305,9,2
1625238060,20.57,20.68,20.55,20.57,20.58224,15,8
1625238061,20.56,20.56,20.56,20.56,20.56,1,1
1625238062,20.67,20.67,20.67,20.67,20.67,1,1
1625238063,20.68,20.68,20.58,20.58,20.64515,3,2
1625238064,20.67,20.67,20.58,20.58,20.58375,24,3
1625238065,20.63,20.63,20.59,20.59,20.59364,11,2
1625238066,20.6,20.6,20.6,20.6,20.6,1,1
1625238067,20.6125,20.6499,20.59,20.59,20.64344,21,5
1625238068,20.59,20.59,20.55,20.59,20.56978,66,24
1625238069,20.59,20.64,20.5,20.5,20.53171,366,64
1625238070,20.6,20.6,20.45,20.45,20.49621,292,52
1625238071,20.45,20.5,20.43,20.43,20.45456,96,13
1625238072,20.42,20.5,20.42,20.4703,20.47906,26,19
1625238073,20.48,20.552,20.4,20.4001,20.44664,65,16
