date,open,high,low,close,average,volume,count
1633357800,83.7,83.72,83.7,83.7,83.707,120,17
1633357801,83.7,83.72,83.7,83.71,83.712,16,5
1633357802,83.71,83.72,83.71,83.72,83.715,23,4
1633357803,83.71,83.73,83.7,83.72,83.718,61,28
1633357804,83.72,83.72,83.71,83.71,83.713,24,5
1633357805,83.7,83.71,83.7,83.7,83.703,50,17
1633357806,83.7,83.7,83.68,83.68,83.697,20,14
1633357807,83.69,83.69,83.65,83.65,83.669,52,19
1633357808,83.65,83.67,83.65,83.65,83.655,28,12
1633357809,83.65,83.66,83.63,83.63,83.647,109,39
1633357810,83.63,83.66,83.63,83.63,83.638,20,11
1633357811,83.64,83.66,83.64,83.65,83.643,26,6
1633357812,83.66,83.67,83.65,83.67,83.66,28,11
1633357813,83.66,83.67,83.65,83.65,83.662,41,10
1633357814,83.65,83.66,83.64,83.66,83.65,7,5
1633357815,83.66,83.69,83.66,83.68,83.674,25,14
1633357816,83.69,83.69,83.68,83.68,83.681,22,3
1633357817,83.69,83.7,83.69,83.7,83.692,11,5
1633357818,83.7,83.7,83.69,83.69,83.691,8,4
1633357819,83.7,83.7,83.69,83.69,83.693,2,2
1633357820,83.7,83.74,83.7,83.73,83.718,33,25
1633357821,83.74,83.74,83.72,83.73,83.729,68,15
1633357822,83.73,83.73,83.72,83.73,83.726,26,5
1633357823,83.72,83.72,83.72,83.72,83.72,3,3
1633357824,83.72,83.72,83.7,83.7,83.716,14,12
1633357825,83.71,83.71,83.7,83.7,83.705,12,6
1633357826,83.71,83.71,83.7,83.71,83.71,1,1
1633357827,83.7,83.71,83.7,83.7,83.705,1,1
1633357828,83.71,83.72,83.71,83.72,83.716,9,6
1633357829,83.73,83.74,83.73,83.73,83.735,1,1
1633357830,83.74,83.75,83.73,83.75,83.735,18,7
1633357831,83.76,83.76,83.75,83.76,83.758,14,2
1633357832,83.76,83.76,83.7,83.71,83.734,22,12
1633357833,83.7,83.72,83.7,83.72,83.713,19,6
1633357834,83.72,83.72,83.71,83.72,83.72,5,1
1633357835,83.72,83.72,83.71,83.72,83.72,0,0
1633357836,83.72,83.73,83.71,83.72,83.72,6,4
1633357837,83.72,83.73,83.72,83.73,83.726,4,4
1633357838,83.74,83.75,83.74,83.75,83.745,8,5
1633357839,83.74,83.74,83.73,83.73,83.739,8,7
1633357840,83.74,83.74,83.72,83.72,83.73,16,10
1633357841,83.72,83.72,83.71,83.71,83.712,6,6
1633357842,83.72,83.73,83.72,83.72,83.723,3,3
1633357843,83.72,83.72,83.72,83.72,83.72,0,0
1633357844,83.73,83.73,83.72,83.73,83.725,1,1
1633357845,83.72,83.72,83.72,83.72,83.72,5,1
1633357846,83.73,83.74,83.73,83.74,83.731,10,7
1633357847,83.74,83.74,83.73,83.73,83.735,25,3
1633357848,83.74,83.76,83.74,83.76,83.754,13,7
1633357849,83.76,83.76,83.76,83.76,83.76,1,1
1633357850,83.76,83.76,83.76,83.76,83.76,0,0
1633357851,83.77,83.77,83.76,83.77,83.766,1,1
1633357852,83.77,83.77,83.76,83.77,83.768,6,4
1633357853,83.77,83.77,83.76,83.77,83.768,2,1
1633357854,83.77,83.77,83.75,83.76,83.764,19,9
1633357855,83.76,83.77,83.75,83.77,83.764,10,3
1633357856,83.77,83.77,83.76,83.77,83.766,17,4
1633357857,83.77,83.77,83.76,83.76,83.76,23,15
1633357858,83.76,83.76,83.76,83.76,83.76,0,0
1633357859,83.76,83.77,83.76,83.76,83.761,11,4
1633357860,83.77,83.77,83.76,83.77,83.766,4,4
1633357861,83.77,83.77,83.76,83.76,83.763,17,5
1633357862,83.75,83.77,83.75,83.75,83.753,21,5
1633357863,83.75,83.75,83.75,83.75,83.75,1,1
1633357864,83.74,83.76,83.74,83.76,83.742,25,3
1633357865,83.75,83.76,83.69,83.7,83.704,97,42
1633357866,83.7,83.7,83.67,83.69,83.694,86,25
1633357867,83.69,83.69,83.66,83.67,83.675,33,13
1633357868,83.67,83.68,83.66,83.67,83.67,18,13
1633357869,83.68,83.69,83.68,83.68,83.681,22,17
1633357870,83.68,83.68,83.67,83.67,83.676,4,4
1633357871,83.67,83.67,83.67,83.67,83.67,0,0
1633357872,83.67,83.68,83.67,83.68,83.677,7,7
1633357873,83.67,83.68,83.66,83.66,83.672,16,9
1633357874,83.65,83.66,83.63,83.63,83.651,34,14
1633357875,83.64,83.65,83.63,83.65,83.637,4,4
1633357876,83.64,83.64,83.63,83.63,83.633,2,2
1633357877,83.65,83.65,83.64,83.65,83.649,7,4
1633357878,83.65,83.65,83.63,83.64,83.643,18,6
1633357879,83.64,83.65,83.64,83.64,83.641,13,6
1633357880,83.65,83.67,83.65,83.67,83.664,17,15
1633357881,83.67,83.67,83.66,83.67,83.667,33,11
1633357882,83.65,83.66,83.63,83.63,83.646,8,7
1633357883,83.63,83.64,83.61,83.61,83.627,21,13
1633357884,83.6,83.61,83.6,83.6,83.6,4,2
1633357885,83.61,83.61,83.61,83.61,83.61,3,2
1633357886,83.62,83.62,83.6,83.6,83.601,34,21
1633357887,83.6,83.6,83.59,83.59,83.599,30,19
1633357888,83.58,83.59,83.58,83.58,83.58,23,1
1633357889,83.6,83.6,83.58,83.58,83.591,82,37
1633357890,83.57,83.58,83.56,83.57,83.568,14,8
1633357891,83.57,83.57,83.56,83.57,83.568,3,2
1633357892,83.57,83.59,83.56,83.58,83.577,19,5
1633357893,83.57,83.57,83.57,83.57,83.57,1,1
1633357894,83.57,83.58,83.57,83.58,83.575,2,2
1633357895,83.57,83.58,83.57,83.58,83.572,75,15
1633357896,83.57,83.57,83.55,83.57,83.569,110,13
1633357897,83.56,83.57,83.56,83.56,83.564,8,4
1633357898,83.57,83.57,83.57,83.57,83.57,1,1
1633357899,83.57,83.57,83.55,83.56,83.565,30,5
1633357900,83.56,83.56,83.54,83.55,83.551,32,23
1633357901,83.55,83.56,83.55,83.56,83.554,58,28
1633357902,83.56,83.57,83.56,83.57,83.567,3,2
1633357903,83.56,83.57,83.55,83.55,83.56,22,3
1633357904,83.57,83.58,83.57,83.58,83.573,12,11
1633357905,83.58,83.59,83.56,83.56,83.571,17,8
1633357906,83.57,83.6,83.56,83.59,83.585,69,47
1633357907,83.59,83.61,83.59,83.61,83.603,2,2
1633357908,83.62,83.62,83.61,83.62,83.615,3,3
1633357909,83.61,83.62,83.61,83.62,83.614,29,8
1633357910,83.61,83.61,83.59,83.59,83.607,10,8
1633357911,83.61,83.61,83.6,83.61,83.61,12,11
1633357912,83.62,83.65,83.61,83.63,83.65,1013,14
1633357913,83.63,83.63,83.59,83.6,83.609,18,13
