date,open,high,low,close,average,volume,count
1632409200,14.78,14.78,14.78,14.78,14.78,0,0
1632409201,14.72,14.72,14.72,14.72,14.72,5,1
1632409202,14.72,14.72,14.72,14.72,14.72,0,0
1632409203,14.78,14.8,14.75,14.76,14.787,22,9
1632409204,14.8,14.82,14.8,14.82,14.807,3,2
1632409205,14.82,14.82,14.81,14.82,14.82,3,1
1632409206,14.8,14.8,14.8,14.8,14.8,2,2
1632409207,14.8,14.8,14.8,14.8,14.8,0,0
1632409208,14.75,14.75,14.75,14.75,14.75,1,1
1632409209,14.78,14.78,14.75,14.77,14.768,19,10
1632409210,14.77,14.78,14.77,14.77,14.77,0,0
1632409211,14.8,14.8,14.74,14.74,14.75,6,2
1632409212,14.79,14.8,14.79,14.8,14.799,34,13
1632409213,14.8,14.8,14.75,14.75,14.765,5,2
1632409214,14.75,14.75,14.75,14.75,14.75,0,0
1632409215,14.75,14.75,14.75,14.75,14.75,0,0
1632409216,14.81,14.81,14.8,14.81,14.81,7,1
1632409217,14.75,14.8,14.74,14.77,14.781,32,9
1632409218,14.82,14.82,14.81,14.82,14.82,3,1
1632409219,14.82,14.82,14.81,14.82,14.82,0,0
1632409220,14.81,14.83,14.81,14.83,14.823,8,6
1632409221,14.75,14.75,14.75,14.75,14.75,2,1
1632409222,14.75,14.75,14.75,14.75,14.75,1,1
1632409223,14.75,14.75,14.75,14.75,14.75,0,0
1632409224,14.83,14.84,14.83,14.83,14.834,3,1
1632409225,14.83,14.84,14.83,14.83,14.83,0,0
1632409226,14.83,14.84,14.83,14.83,14.83,0,0
1632409227,14.83,14.84,14.83,14.83,14.83,0,0
1632409228,14.83,14.84,14.83,14.83,14.83,0,0
1632409229,14.83,14.83,14.82,14.83,14.83,29,2
1632409230,14.83,14.83,14.82,14.83,14.83,0,0
1632409231,14.75,14.75,14.75,14.75,14.75,3,2
1632409232,14.75,14.75,14.75,14.75,14.75,0,0
1632409233,14.75,14.79,14.75,14.75,14.757,8,3
1632409234,14.8,14.8,14.75,14.75,14.776,13,3
1632409235,14.75,14.75,14.75,14.75,14.75,0,0
1632409236,14.75,14.75,14.74,14.75,14.748,3,3
1632409237,14.74,14.75,14.72,14.73,14.736,20,7
1632409238,14.7,14.75,14.66,14.66,14.669,66,13
1632409239,14.7,14.71,14.62,14.66,14.633,92,20
1632409240,14.66,14.7,14.66,14.66,14.667,6,4
1632409241,14.71,14.75,14.66,14.66,14.722,11,3
1632409242,14.74,14.74,14.74,14.74,14.74,3,1
1632409243,14.74,14.74,14.74,14.74,14.74,0,0
1632409244,14.7,14.71,14.7,14.7,14.702,15,1
1632409245,14.7,14.71,14.7,14.7,14.7,0,0
1632409246,14.73,14.8,14.71,14.8,14.733,32,11
1632409247,14.8,14.8,14.8,14.8,14.8,0,0
1632409248,14.82,14.82,14.82,14.82,14.82,1,1
1632409249,14.74,14.75,14.67,14.68,14.699,20,3
1632409250,14.83,14.83,14.83,14.83,14.83,1,1
1632409251,14.77,14.78,14.77,14.77,14.774,1,1
1632409252,14.7,14.8,14.7,14.8,14.767,3,3
1632409253,14.68,14.8,14.68,14.8,14.689,16,2
1632409254,14.8,14.8,14.8,14.8,14.8,0,0
1632409255,14.81,14.82,14.71,14.72,14.775,15,8
1632409256,14.82,14.82,14.82,14.82,14.82,1,1
1632409257,14.78,14.78,14.78,14.78,14.78,1,1
1632409258,14.8,14.8,14.8,14.8,14.8,1,1
1632409259,14.8,14.8,14.8,14.8,14.8,0,0
1632409260,14.81,14.81,14.81,14.81,14.81,1,1
1632409261,14.82,14.82,14.82,14.82,14.82,5,1
1632409262,14.83,14.83,14.82,14.83,14.83,12,4
1632409263,14.87,14.89,14.83,14.89,14.875,38,10
1632409264,14.86,14.9,14.83,14.84,14.879,23,11
1632409265,14.78,14.78,14.77,14.78,14.78,5,1
1632409266,14.78,14.78,14.77,14.78,14.78,0,0
1632409267,14.78,14.78,14.77,14.78,14.78,0,0
1632409268,14.82,14.82,14.75,14.75,14.783,14,12
1632409269,14.75,14.75,14.75,14.75,14.75,0,0
1632409270,14.75,14.75,14.75,14.75,14.75,0,0
1632409271,14.75,14.75,14.75,14.75,14.75,0,0
1632409272,14.82,14.82,14.81,14.82,14.82,1,1
1632409273,14.8,14.8,14.75,14.75,14.77,2,2
1632409274,14.75,14.76,14.75,14.75,14.75,0,0
1632409275,14.75,14.76,14.75,14.75,14.75,0,0
1632409276,14.75,14.76,14.75,14.75,14.75,0,0
1632409277,14.75,14.76,14.75,14.75,14.75,0,0
1632409278,14.75,14.76,14.75,14.75,14.75,0,0
1632409279,14.75,14.76,14.75,14.75,14.75,0,0
1632409280,14.75,14.76,14.75,14.75,14.75,0,0
1632409281,14.75,14.76,14.75,14.75,14.75,0,0
1632409282,14.8,14.8,14.8,14.8,14.8,3,1
1632409283,14.79,14.8,14.79,14.79,14.795,6,2
1632409284,14.79,14.8,14.79,14.79,14.79,0,0
1632409285,14.79,14.8,14.79,14.79,14.79,0,0
1632409286,14.77,14.77,14.76,14.76,14.761,11,3
1632409287,14.76,14.76,14.76,14.76,14.76,0,0
1632409288,14.76,14.76,14.76,14.76,14.76,0,0
1632409289,14.76,14.76,14.76,14.76,14.76,0,0
1632409290,14.76,14.76,14.76,14.76,14.76,0,0
1632409291,14.76,14.76,14.76,14.76,14.76,0,0
1632409292,14.76,14.76,14.76,14.76,14.76,0,0
1632409293,14.76,14.76,14.76,14.76,14.76,0,0
1632409294,14.76,14.76,14.76,14.76,14.76,0,0
1632409295,14.8,14.8,14.8,14.8,14.8,1,1
1632409296,14.8,14.8,14.8,14.8,14.8,0,0
1632409297,14.8,14.8,14.8,14.8,14.8,0,0
1632409298,14.75,14.83,14.75,14.8,14.788,27,10
1632409299,14.75,14.75,14.75,14.75,14.75,5,2
