date,open,high,low,close,average,volume,count
1626445800,284.03,284.17,284.02,284.02,284.072,3,3
1626445801,284.09,284.23,284.08,284.22,284.169,8,8
1626445802,284.24,284.48,284.24,284.41,284.34,46,10
1626445803,284.47,284.5,284.33,284.49,284.41,26,9
1626445804,284.64,284.77,284.63,284.77,284.722,37,18
1626445805,284.73,284.84,284.41,284.84,284.607,59,8
1626445806,284.57,284.83,284.56,284.62,284.638,27,10
1626445807,284.62,284.62,284.61,284.62,284.615,1,1
1626445808,284.42,284.53,284.42,284.47,284.43,35,6
1626445809,284.52,284.52,284.51,284.52,284.519,1,1
1626445810,284.72,284.86,284.55,284.55,284.733,38,31
1626445811,284.61,285.1,284.61,285.0,284.826,51,23
1626445812,284.77,285.2,284.7,284.88,285.013,53,45
1626445813,284.81,285.25,284.81,285.25,285.093,10,10
1626445814,285.33,285.41,285.23,285.23,285.3,9,8
1626445815,285.21,285.63,285.16,285.34,285.44,47,24
1626445816,285.2,285.89,285.2,285.84,285.653,65,27
1626445817,285.9,285.91,285.7,285.71,285.801,28,14
1626445818,285.75,285.87,285.64,285.68,285.722,39,24
1626445819,285.81,285.9,285.55,285.8,285.76,28,13
1626445820,285.86,286.0,285.86,285.88,285.976,53,29
1626445821,285.89,286.0,285.8,285.99,285.93,55,21
1626445822,285.97,286.21,285.92,286.18,286.057,60,29
1626445823,286.22,286.3,286.02,286.02,286.207,28,17
1626445824,286.25,286.47,286.16,286.3,286.356,29,21
1626445825,286.47,286.53,286.26,286.38,286.45,61,50
1626445826,286.3,286.7,286.29,286.69,286.459,70,22
1626445827,286.78,286.86,286.58,286.85,286.736,26,20
1626445828,286.85,286.87,286.62,286.84,286.841,48,19
1626445829,286.86,286.86,286.66,286.86,286.849,34,9
1626445830,286.87,286.87,286.64,286.65,286.76,46,28
1626445831,286.72,286.86,286.64,286.77,286.828,185,16
1626445832,286.65,286.87,286.64,286.87,286.721,8,6
1626445833,286.66,286.87,286.66,286.75,286.761,55,33
1626445834,286.77,286.87,286.75,286.75,286.833,21,12
1626445835,286.81,286.83,286.65,286.66,286.7,34,28
1626445836,286.63,286.73,286.54,286.63,286.628,10,5
1626445837,286.65,286.65,286.54,286.54,286.56,21,8
1626445838,286.54,286.54,286.39,286.39,286.451,24,23
1626445839,286.36,286.47,286.31,286.47,286.37,8,8
1626445840,286.44,286.54,286.3,286.3,286.41,31,19
1626445841,286.5,286.53,286.49,286.49,286.522,35,32
1626445842,286.5,286.51,286.41,286.41,286.448,2,2
1626445843,286.59,286.59,286.51,286.51,286.582,11,3
1626445844,286.36,286.5,286.3,286.3,286.381,15,14
1626445845,286.3,286.48,286.3,286.48,286.39,10,4
1626445846,286.47,286.47,286.39,286.39,286.404,8,3
1626445847,286.32,286.44,286.3,286.43,286.343,21,12
1626445848,286.36,286.36,286.26,286.29,286.277,8,7
1626445849,286.36,286.41,286.22,286.22,286.279,8,4
1626445850,286.36,286.36,286.27,286.27,286.294,7,2
1626445851,286.27,286.32,286.25,286.32,286.283,3,3
1626445852,286.3,286.41,286.27,286.4,286.341,35,22
1626445853,286.34,286.34,286.27,286.27,286.295,31,8
1626445854,286.35,286.35,286.17,286.17,286.271,19,12
1626445855,286.17,286.29,286.11,286.12,286.193,38,31
1626445856,286.12,286.12,285.91,285.91,286.019,21,15
1626445857,285.91,286.08,285.91,286.07,286.025,37,17
1626445858,286.02,286.04,286.02,286.03,286.022,43,9
1626445859,286.11,286.15,286.02,286.07,286.075,15,5
1626445860,286.08,286.09,286.08,286.09,286.081,6,2
1626445861,286.09,286.3,286.08,286.3,286.21,7,7
1626445862,286.48,286.75,286.46,286.65,286.624,64,27
1626445863,286.63,286.75,286.5,286.63,286.57,42,11
1626445864,286.74,286.75,286.54,286.73,286.685,40,32
1626445865,286.67,287.5,286.67,287.1,287.072,303,164
1626445866,287.06,287.45,287.03,287.45,287.236,50,31
1626445867,287.47,287.83,287.4,287.6,287.605,104,40
