date,open,high,low,close,average,volume,count
1633334400,59.8,59.8,59.8,59.8,59.8,1,1
1633334700,59.8,59.8,59.8,59.8,59.8,0,0
1633335000,59.8,59.8,59.8,59.8,59.8,0,0
1633335300,59.8,59.8,59.8,59.8,59.8,0,0
1633335600,59.8,59.8,59.8,59.8,59.8,0,0
1633335900,59.8,59.8,59.8,59.8,59.8,0,0
1633336200,59.8,59.8,59.8,59.8,59.8,0,0
1633336500,59.8,59.8,59.8,59.8,59.8,0,0
1633336800,59.8,59.8,59.8,59.8,59.8,0,0
1633337100,59.8,59.8,59.8,59.8,59.8,0,0
1633337400,59.8,59.8,59.8,59.8,59.8,0,0
1633337700,59.8,59.8,59.8,59.8,59.8,0,0
1633338000,59.8,59.8,59.8,59.8,59.8,0,0
1633338300,59.8,59.8,59.8,59.8,59.8,0,0
1633338600,59.8,59.8,59.8,59.8,59.8,0,0
1633338900,59.8,59.8,59.8,59.8,59.8,0,0
1633339200,59.8,59.8,59.8,59.8,59.8,0,0
1633339500,59.8,59.8,59.8,59.8,59.8,0,0
1633339800,59.8,59.8,59.8,59.8,59.8,0,0
1633340100,59.8,59.8,59.8,59.8,59.8,0,0
1633340400,59.8,59.8,59.8,59.8,59.8,0,0
1633340700,59.8,59.8,59.8,59.8,59.8,0,0
1633341000,59.8,59.8,59.8,59.8,59.8,0,0
1633341300,59.8,59.8,59.8,59.8,59.8,0,0
1633341600,59.8,59.8,59.8,59.8,59.8,0,0
1633341900,59.8,59.8,59.8,59.8,59.8,0,0
1633342200,59.8,59.8,59.8,59.8,59.8,0,0
1633342500,59.8,59.8,59.8,59.8,59.8,0,0
1633342800,59.8,59.8,59.8,59.8,59.8,0,0
1633343100,59.8,59.8,59.8,59.8,59.8,0,0
1633343400,59.8,59.8,59.8,59.8,59.8,0,0
1633343700,59.8,59.8,59.8,59.8,59.8,0,0
1633344000,59.8,59.8,59.8,59.8,59.8,0,0
1633344300,59.8,59.8,59.8,59.8,59.8,0,0
1633344600,59.8,59.8,59.8,59.8,59.8,0,0
1633344900,59.8,59.8,59.8,59.8,59.8,0,0
1633345200,59.37,59.37,59.37,59.37,59.37,1,1
1633345500,59.37,59.37,59.37,59.37,59.37,1,1
1633345800,59.37,59.37,59.37,59.37,59.37,1,1
1633346100,59.35,59.35,59.35,59.35,59.35,6,1
1633346400,59.35,59.35,59.35,59.35,59.35,0,0
1633346700,59.2,59.2,59.2,59.2,59.2,1,1
1633347000,59.2,59.2,59.2,59.2,59.2,0,0
1633347300,59.2,59.2,59.2,59.2,59.2,0,0
1633347600,59.2,59.2,59.2,59.2,59.2,0,0
1633347900,59.2,59.2,59.2,59.2,59.2,0,0
1633348200,59.2,59.2,59.2,59.2,59.2,0,0
1633348500,59.12,59.12,59.12,59.12,59.12,1,1
1633348800,59.62,59.62,59.62,59.62,59.62,1,1
1633349100,59.33,59.33,59.33,59.33,59.33,6,3
1633349400,59.33,59.33,59.33,59.33,59.33,0,0
1633349700,59.33,59.33,59.33,59.33,59.33,0,0
