date,open,high,low,close,average,volume,count
1632484800,63.6,63.6,63.59,63.6,63.598,5,1
1632485700,62.87,62.87,62.87,62.87,62.87,2,1
1632486600,62.87,62.87,62.87,62.87,62.87,0,0
1632487500,62.87,62.87,62.87,62.87,62.87,0,0
1632488400,62.77,62.9,62.77,62.8,62.818,4,4
1632489300,62.5,63.04,62.49,63.04,63.011,18,4
1632490200,63.0,63.42,62.63,63.16,63.11,1347,663
1632491100,63.13,63.34,62.82,63.31,63.051,732,361
1632492000,63.31,63.35,63.07,63.08,63.218,452,368
1632492900,63.06,63.44,63.06,63.37,63.329,846,347
1632493800,63.4,63.45,63.22,63.3,63.29,825,367
1632494700,63.26,63.43,63.22,63.3,63.312,421,330
1632495600,63.29,63.64,63.28,63.53,63.544,487,328
1632496500,63.53,63.63,63.43,63.46,63.532,567,294
1632497400,63.47,63.6,63.45,63.51,63.527,382,228
1632498300,63.5,63.7,63.49,63.65,63.59,388,230
1632499200,63.66,63.74,63.59,63.73,63.645,455,206
1632500100,63.71,63.78,63.7,63.75,63.729,312,176
1632501000,63.76,63.87,63.72,63.87,63.794,357,236
1632501900,63.86,63.87,63.79,63.85,63.84,229,183
1632502800,63.85,63.94,63.82,63.9,63.887,464,262
1632503700,63.91,63.95,63.84,63.93,63.897,281,194
1632504600,63.92,63.94,63.78,63.85,63.821,366,204
1632505500,63.85,63.85,63.73,63.77,63.78,530,205
1632506400,63.77,63.85,63.76,63.77,63.802,353,214
1632507300,63.77,63.86,63.77,63.82,63.814,634,277
1632508200,63.82,63.84,63.78,63.8,63.81,302,196
1632509100,63.8,63.93,63.79,63.92,63.845,509,299
1632510000,63.91,63.91,63.73,63.77,63.812,467,239
1632510900,63.78,63.87,63.77,63.78,63.816,541,307
1632511800,63.79,63.88,63.79,63.83,63.841,770,476
1632512700,63.83,63.83,63.61,63.61,63.719,3613,2145
1632513600,63.61,63.7,63.61,63.61,63.61,4916,17
1632514500,63.61,63.61,63.61,63.61,63.61,0,0
1632515400,63.61,63.61,63.61,63.61,63.61,0,0
1632516300,63.61,63.61,63.61,63.61,63.61,0,0
1632517200,62.63,63.55,62.63,63.55,63.396,5,2
1632518100,63.55,63.55,63.55,63.55,63.55,0,0
1632519000,63.55,63.55,63.55,63.55,63.55,0,0
1632519900,63.55,63.55,63.55,63.55,63.55,0,0
1632520800,63.56,63.61,63.56,63.61,63.577,3,3
1632521700,63.61,63.61,63.61,63.61,63.61,0,0
1632522600,63.61,63.61,63.61,63.61,63.61,0,0
1632523500,63.61,63.61,63.61,63.61,63.61,0,0
1632524400,63.61,63.61,63.61,63.61,63.61,0,0
1632525300,63.61,63.61,63.61,63.61,63.61,0,0
1632526200,63.61,63.61,63.61,63.61,63.61,0,0
1632527100,63.61,63.61,63.61,63.61,63.61,0,0
1632741300,62.92,62.97,62.92,62.97,62.953,3,3
1632742200,62.96,62.96,62.96,62.96,62.96,1,1
1632743100,62.96,62.96,62.96,62.96,62.96,0,0
1632744000,63.11,63.77,63.11,63.11,63.359,8,6
1632744900,62.91,62.91,62.72,62.72,62.815,4,4
1632745800,62.72,62.72,62.72,62.72,62.72,0,0
1632746700,62.5,62.93,62.49,62.82,62.621,15,13
