date,open,high,low,close,average,volume,count
1623936600,3.46,3.49,3.45,3.48,3.45251,2311,119
1623936601,3.49,3.49,3.43,3.449,3.46528,430,108
1623936602,3.45,3.4796,3.43,3.45,3.46109,104,37
1623936603,3.46,3.47,3.44,3.46,3.45995,129,63
1623936604,3.4496,3.48,3.4496,3.47,3.46555,147,54
1623936605,3.47,3.47,3.46,3.4699,3.46587,190,30
1623936606,3.465,3.47,3.46,3.463,3.46504,102,26
1623936607,3.461,3.47,3.46,3.47,3.46517,153,52
1623936608,3.455,3.455,3.455,3.455,3.455,15,1
1623936609,3.4501,3.4592,3.45,3.4578,3.45487,35,4
1623936610,3.46,3.47,3.46,3.47,3.46578,54,17
1623936611,3.465,3.47,3.45,3.47,3.46289,92,32
1623936612,3.47,3.47,3.46,3.47,3.46689,102,21
1623936613,3.47,3.47,3.465,3.4658,3.46926,231,76
1623936614,3.47,3.47,3.46,3.46,3.46654,225,39
1623936615,3.4673,3.47,3.46,3.4677,3.46918,40,23
1623936616,3.47,3.47,3.46,3.46,3.46453,189,38
1623936617,3.4608,3.47,3.4608,3.47,3.46719,100,18
1623936618,3.46,3.47,3.46,3.4699,3.46536,81,15
1623936619,3.461,3.47,3.46,3.4699,3.46744,141,20
1623936620,3.47,3.47,3.461,3.4685,3.46895,224,38
1623936621,3.465,3.48,3.46,3.48,3.46977,187,22
1623936622,3.47,3.5,3.47,3.5,3.48934,343,70
1623936623,3.49,3.5,3.49,3.4985,3.49894,619,109
1623936624,3.5,3.53,3.49,3.53,3.50999,453,78
1623936625,3.5292,3.53,3.52,3.5298,3.52803,534,54
1623936626,3.5279,3.55,3.5279,3.55,3.54062,473,94
1623936627,3.5401,3.55,3.53,3.5301,3.5421,688,162
1623936628,3.54,3.55,3.51,3.51,3.52957,436,132
1623936629,3.51,3.5389,3.5,3.5199,3.51473,455,133
1623936630,3.5116,3.52,3.5,3.5185,3.51108,195,66
1623936631,3.5,3.529,3.5,3.51,3.5125,269,43
1623936632,3.52,3.55,3.51,3.54,3.5308,194,75
1623936633,3.54,3.5511,3.53,3.5415,3.54398,145,54
1623936634,3.54,3.57,3.54,3.57,3.56171,466,72
1623936635,3.56,3.58,3.56,3.5799,3.57861,155,35
1623936636,3.5703,3.6,3.5701,3.5701,3.58872,678,100
1623936637,3.58,3.6,3.5743,3.5999,3.58869,326,49
1623936638,3.59,3.6,3.5782,3.5899,3.58791,298,76
1623936639,3.58,3.59,3.57,3.58,3.57751,232,87
1623936640,3.57,3.58,3.55,3.55,3.56086,319,86
1623936641,3.55,3.56,3.54,3.5401,3.5485,239,48
1623936642,3.54,3.55,3.53,3.5313,3.54131,741,68
1623936643,3.5305,3.54,3.53,3.535,3.53628,104,23
1623936644,3.53,3.54,3.53,3.54,3.53603,229,42
1623936645,3.531,3.55,3.531,3.5411,3.54243,57,27
1623936646,3.5401,3.57,3.54,3.5585,3.55591,376,65
1623936647,3.57,3.57,3.55,3.57,3.56379,434,103
1623936648,3.57,3.57,3.56,3.565,3.56379,149,28
1623936649,3.57,3.58,3.5601,3.58,3.57435,159,24
1623936650,3.5707,3.6,3.57,3.5907,3.59286,416,58
1623936651,3.6,3.61,3.59,3.61,3.6007,530,88
1623936652,3.6,3.6,3.59,3.59,3.59948,181,53
1623936653,3.5917,3.5999,3.58,3.59,3.58827,263,60
1623936654,3.59,3.59,3.57,3.57,3.57685,162,75
1623936655,3.57,3.58,3.55,3.56,3.56144,212,72
1623936656,3.5519,3.57,3.55,3.56,3.56135,235,82
1623936657,3.57,3.58,3.56,3.5694,3.57059,131,34
1623936658,3.56,3.5799,3.56,3.5749,3.57815,71,7
1623936659,3.58,3.59,3.5601,3.57,3.57458,95,38
1623936660,3.571,3.59,3.57,3.5848,3.58117,81,14
1623936661,3.57,3.6,3.57,3.6,3.58738,336,70
1623936662,3.59,3.6,3.58,3.6,3.5914,211,63
1623936663,3.6,3.6,3.58,3.59,3.5874,177,40
1623936664,3.58,3.59,3.57,3.57,3.57588,108,29
1623936665,3.5776,3.59,3.57,3.59,3.57886,347,129
1623936666,3.5817,3.584,3.56,3.5692,3.56974,203,76
1623936667,3.565,3.57,3.56,3.56,3.56167,101,24
1623936668,3.56,3.57,3.54,3.55,3.55126,312,93
1623936669,3.5564,3.58,3.55,3.57,3.55586,431,175
