date,open,high,low,close,average,volume,count
1625149800,80.79,80.79,80.78,80.78,80.784,22,8
1625149801,80.79,80.79,80.79,80.79,80.79,1,1
1625149802,80.79,80.8,80.79,80.8,80.798,26,20
1625149803,80.78,80.79,80.77,80.77,80.776,24,18
1625149804,80.78,80.79,80.77,80.79,80.781,19,4
1625149805,80.8,80.8,80.79,80.79,80.791,9,6
1625149806,80.79,80.79,80.79,80.79,80.79,7,4
1625149807,80.79,80.79,80.78,80.79,80.788,13,6
1625149808,80.8,80.81,80.79,80.8,80.801,26,14
1625149809,80.81,80.82,80.81,80.81,80.81,14,13
1625149810,80.82,80.85,80.82,80.84,80.837,14,9
1625149811,80.84,80.85,80.83,80.84,80.839,37,18
1625149812,80.84,80.84,80.83,80.83,80.832,5,4
1625149813,80.83,80.83,80.8,80.8,80.818,145,31
1625149814,80.8,80.81,80.77,80.78,80.796,109,23
1625149815,80.78,80.78,80.77,80.77,80.771,14,7
1625149816,80.79,80.79,80.78,80.79,80.79,25,1
1625149817,80.78,80.79,80.77,80.77,80.783,74,27
1625149818,80.79,80.79,80.77,80.77,80.781,11,5
1625149819,80.79,80.79,80.77,80.77,80.776,9,4
1625149820,80.78,80.78,80.74,80.75,80.756,349,131
1625149821,80.75,80.75,80.74,80.75,80.75,8,7
1625149822,80.75,80.75,80.75,80.75,80.75,1,1
1625149823,80.75,80.75,80.74,80.75,80.75,16,14
1625149824,80.75,80.78,80.75,80.78,80.757,49,34
1625149825,80.77,80.78,80.77,80.78,80.772,5,5
1625149826,80.78,80.78,80.77,80.78,80.78,0,0
1625149827,80.78,80.78,80.77,80.77,80.772,10,2
1625149828,80.77,80.78,80.77,80.77,80.77,0,0
1625149829,80.79,80.79,80.78,80.78,80.781,15,11
1625149830,80.78,80.78,80.76,80.78,80.775,71,31
1625149831,80.76,80.78,80.76,80.77,80.765,90,19
1625149832,80.77,80.77,80.76,80.77,80.769,1,1
1625149833,80.77,80.78,80.77,80.77,80.771,11,11
1625149834,80.76,80.77,80.75,80.76,80.76,23,15
1625149835,80.76,80.77,80.75,80.77,80.757,81,14
1625149836,80.78,80.78,80.75,80.78,80.774,16,6
1625149837,80.78,80.78,80.77,80.78,80.775,4,1
1625149838,80.78,80.81,80.77,80.81,80.794,54,24
1625149839,80.81,80.83,80.81,80.83,80.827,15,12
1625149840,80.81,80.81,80.8,80.81,80.81,10,7
1625149841,80.81,80.81,80.81,80.81,80.81,14,5
1625149842,80.81,80.81,80.81,80.81,80.81,0,0
1625149843,80.82,80.82,80.81,80.81,80.815,53,8
1625149844,80.82,80.82,80.79,80.81,80.807,32,18
1625149845,80.8,80.8,80.8,80.8,80.8,1,1
