date,open,high,low,close,average,volume,count
1637312400,77.83,77.83,77.65,77.8,77.808,58,9
1637312700,77.68,77.85,77.68,77.85,77.772,15,5
1637313000,77.79,77.8,77.79,77.8,77.798,12,5
1637313300,77.8,77.8,77.8,77.8,77.8,1,1
1637313600,77.91,78.09,77.88,78.0,77.979,56,23
1637313900,78.06,78.16,78.06,78.13,78.118,26,4
1637314200,78.05,78.05,77.98,78.0,78.005,27,8
1637314500,78.03,78.27,77.97,78.0,78.031,62,15
1637314800,78.01,78.01,78.0,78.0,78.004,2,2
1637315100,78.0,78.0,78.0,78.0,78.0,5,3
1637315400,78.0,78.0,77.98,77.98,77.998,13,6
1637315700,77.98,77.98,77.98,77.98,77.98,0,0
1637316000,77.97,78.1,77.97,78.1,78.045,15,8
1637316300,77.95,77.95,77.95,77.95,77.95,1,1
1637316600,77.76,77.76,77.74,77.74,77.748,19,7
1637316900,77.75,77.75,77.75,77.75,77.75,9,1
1637317200,78.04,78.08,78.04,78.08,78.061,11,5
1637317500,78.08,78.08,78.08,78.08,78.08,0,0
1637317800,77.9,77.9,77.9,77.9,77.9,7,7
1637318100,77.9,77.9,77.9,77.9,77.9,0,0
1637318400,77.9,77.9,77.9,77.9,77.9,0,0
1637318700,77.9,77.9,77.9,77.9,77.9,0,0
1637319000,77.91,77.91,77.91,77.91,77.91,1,1
1637319300,77.98,78.35,77.98,78.34,78.173,51,29
1637319600,78.13,78.73,78.13,78.48,78.49,120,43
1637319900,78.48,78.7,78.48,78.67,78.596,42,15
1637320200,78.56,78.6,78.44,78.44,78.564,65,14
1637320500,78.26,78.26,78.26,78.26,78.26,1,1
1637320800,78.44,78.44,78.44,78.44,78.44,3,1
1637321100,78.44,78.44,78.42,78.44,78.433,5,3
1637321400,78.34,78.46,78.31,78.46,78.429,14,9
1637321700,78.46,78.46,78.46,78.46,78.46,0,0
1637322000,78.3,78.3,78.25,78.3,78.299,36,10
1637322300,78.37,78.6,78.37,78.6,78.446,20,6
1637322600,78.26,78.36,78.26,78.36,78.312,9,6
1637322900,78.42,78.47,78.42,78.47,78.443,13,6
1637323200,78.45,78.58,78.45,78.58,78.526,88,44
1637323500,78.55,78.6,78.55,78.55,78.591,85,44
1637323800,78.55,78.61,78.55,78.61,78.599,109,37
1637324100,78.62,78.7,78.6,78.6,78.635,126,74
1637324400,78.6,78.6,78.6,78.6,78.6,54,20
1637324700,78.6,78.62,78.6,78.6,78.601,62,28
1637325000,78.61,78.63,78.6,78.6,78.609,56,29
1637325300,78.61,78.7,78.6,78.7,78.636,68,45
1637325600,78.73,78.74,78.66,78.66,78.703,62,27
1637325900,78.65,78.7,78.6,78.65,78.647,28,25
1637326200,78.64,78.64,78.61,78.62,78.622,8,7
1637326500,78.61,78.7,78.61,78.61,78.668,43,24
1637326800,78.55,78.81,78.44,78.72,78.576,372,62
1637327100,78.65,78.65,78.6,78.65,78.617,49,24
1637327400,78.64,78.69,78.6,78.67,78.645,26,19
1637327700,78.69,78.76,78.67,78.76,78.693,76,33
1637328000,78.74,79.18,78.66,79.11,78.869,245,86
1637328300,79.11,79.24,79.0,79.2,79.079,212,91
1637328600,79.17,79.24,79.08,79.15,79.177,139,77
1637328900,79.17,79.3,79.17,79.25,79.265,119,56
1637329200,79.18,79.18,79.0,79.07,79.121,12,10
1637329500,79.06,79.14,79.02,79.06,79.06,42,26
1637329800,79.07,79.25,79.07,79.24,79.221,171,46
1637330100,79.3,79.3,79.2,79.25,79.223,151,40
1637330400,79.23,79.25,79.08,79.08,79.187,126,34
1637330700,79.05,79.19,79.01,79.19,79.06,57,26
1637331000,79.16,79.16,79.01,79.12,79.127,124,68
1637331300,79.0,79.16,79.0,79.07,79.066,225,51
1637331600,79.0,79.0,78.8,78.85,78.962,226,48
1637331900,78.85,79.25,78.77,79.12,79.034,1018,254
1637332200,79.0,80.55,78.93,80.13,79.85,39672,13241
1637332500,80.15,80.67,79.51,80.49,80.232,13386,6421
1637332800,80.5,81.0,80.13,80.95,80.631,11665,5953
1637333100,80.96,81.43,80.96,81.41,81.194,13500,6783
1637333400,81.43,81.73,80.94,81.02,81.316,13189,6597
1637333700,81.03,81.05,80.5,80.93,80.833,8154,4304
1637334000,80.94,81.04,80.11,80.14,80.537,10946,5375
1637334300,80.14,80.47,80.07,80.33,80.32,5311,2459
1637334600,80.34,80.83,80.14,80.82,80.449,5511,2872
1637334900,80.83,81.22,80.78,81.21,80.977,5426,2690
1637335200,81.22,81.48,81.11,81.24,81.317,8657,4073
1637335500,81.25,81.55,81.13,81.16,81.376,6529,3284
1637335800,81.17,81.58,81.16,81.44,81.42,6235,3217
1637336100,81.44,81.94,81.37,81.89,81.709,6986,3311
1637336400,81.88,81.93,81.71,81.84,81.818,4688,2565
1637336700,81.84,82.23,81.75,82.15,82.008,8596,4224
1637337000,82.16,82.25,81.94,82.24,82.09,5500,2585
1637337300,82.24,82.29,81.99,81.99,82.178,4969,2308
1637337600,82.0,82.06,81.85,81.97,81.983,5207,2491
1637337900,81.97,82.32,81.97,82.08,82.177,4515,1926
1637338200,82.1,82.14,81.93,82.01,82.039,2512,1128
1637338500,82.01,82.13,81.76,82.07,81.955,3671,1702
1637338800,82.08,82.23,81.95,82.22,82.099,2438,972
1637339100,82.22,82.6,82.2,82.59,82.409,5768,2336
1637339400,82.59,83.1,82.58,82.89,82.917,8093,3651
1637339700,82.9,83.39,82.9,83.39,83.226,6466,2695
1637340000,83.39,83.4,83.13,83.32,83.27,5044,1805
1637340300,83.33,83.37,82.95,83.04,83.137,4621,1938
1637340600,83.04,83.06,82.8,82.81,82.905,3715,1751
1637340900,82.81,83.02,82.75,82.92,82.906,3699,1500
1637341200,82.92,83.23,82.89,83.23,83.046,2699,1189
1637341500,83.23,83.47,83.19,83.32,83.366,4317,1850
1637341800,83.33,83.57,83.31,83.51,83.437,3504,1653
1637342100,83.51,83.54,83.24,83.29,83.377,2737,1127
1637342400,83.29,83.49,83.23,83.26,83.382,2597,1143
1637342700,83.26,83.42,83.23,83.33,83.298,1924,931
1637343000,83.34,83.5,83.28,83.5,83.393,3088,1255
1637343300,83.49,83.79,83.46,83.78,83.625,4340,1644
1637343600,83.78,83.79,83.53,83.71,83.673,2472,1197
1637343900,83.71,83.71,83.21,83.27,83.445,3640,1453
1637344200,83.27,83.35,83.14,83.21,83.234,2058,1040
1637344500,83.22,83.27,83.09,83.15,83.171,2078,887
1637344800,83.15,83.3,83.12,83.15,83.201,2528,1056
1637345100,83.16,83.44,83.15,83.31,83.327,1331,724
1637345400,83.31,83.53,83.31,83.47,83.444,2114,1050
1637345700,83.49,83.49,83.15,83.2,83.235,1757,972
1637346000,83.2,83.21,82.97,83.06,83.061,3047,1450
1637346300,83.06,83.08,82.91,83.01,83.008,2860,1493
1637346600,83.0,83.44,83.0,83.3,83.233,2200,1005
1637346900,83.28,83.37,82.96,83.0,83.186,1996,909
1637347200,82.99,83.07,82.91,82.95,82.995,2239,1112
1637347500,82.95,82.96,82.6,82.8,82.76,3330,1783
1637347800,82.79,83.04,82.7,83.03,82.787,2781,922
1637348100,83.03,83.1,82.96,83.09,83.038,1863,913
1637348400,83.08,83.26,83.05,83.15,83.159,1724,862
1637348700,83.15,83.32,83.03,83.19,83.207,2479,1226
1637349000,83.17,83.36,83.17,83.33,83.298,1988,824
1637349300,83.33,83.43,83.27,83.4,83.352,2167,1070
1637349600,83.4,83.5,83.36,83.44,83.436,2120,1125
1637349900,83.44,83.44,83.22,83.3,83.323,2230,1194
1637350200,83.3,83.44,83.11,83.2,83.281,1920,1036
1637350500,83.19,83.25,83.07,83.15,83.169,1705,907
