date,open,high,low,close,average,volume,count
1623927600,11.5,11.5,11.45,11.45,11.455,11,3
1623927900,11.45,11.45,11.45,11.45,11.45,2,1
1623928200,11.45,11.45,11.45,11.45,11.45,0,0
1623928500,11.45,11.45,11.45,11.45,11.45,0,0
1623928800,11.45,11.45,11.45,11.45,11.45,0,0
1623929100,11.45,11.45,11.45,11.45,11.45,0,0
1623929400,11.45,11.45,11.45,11.45,11.45,0,0
1623929700,11.4,11.4,11.4,11.4,11.4,16,6
1623930000,11.4,11.4,11.4,11.4,11.4,0,0
1623930300,11.4,11.4,11.4,11.4,11.4,0,0
1623930600,11.3,11.36,11.3,11.3,11.309,11,5
1623930900,11.3,11.3,11.3,11.3,11.3,0,0
1623931200,11.35,11.36,11.35,11.35,11.35,32,3
1623931500,11.31,11.32,11.31,11.31,11.31,1,1
1623931800,11.31,11.31,11.31,11.31,11.31,0,0
1623932100,11.31,11.31,11.31,11.31,11.31,0,0
1623932400,11.31,11.31,11.31,11.31,11.31,0,0
1623932700,11.31,11.31,11.31,11.31,11.31,0,0
1623933000,11.31,11.31,11.31,11.31,11.31,0,0
1623933300,11.31,11.31,11.31,11.31,11.31,0,0
1623933600,11.31,11.31,11.31,11.31,11.31,0,0
1623933900,11.31,11.31,11.31,11.31,11.31,0,0
1623934200,11.31,11.31,11.31,11.31,11.31,0,0
1623934500,11.31,11.31,11.31,11.31,11.31,0,0
1623934800,11.31,11.31,11.31,11.31,11.31,0,0
1623935100,11.31,11.31,11.31,11.31,11.31,0,0
1623935400,11.31,11.31,11.31,11.31,11.31,0,0
1623935700,11.34,11.34,11.32,11.32,11.338,11,2
1623936000,11.33,11.33,11.31,11.31,11.325,12,4
1623936300,11.31,11.31,11.09,11.16,11.27,286,48
1623936600,11.2,11.34,11.19,11.33,11.204,542,25
1623936900,11.29,11.35,11.28,11.32,11.32,60,33
1623937200,11.3,11.31,11.16,11.28,11.224,447,85
1623937500,11.22,11.4,11.18,11.2,11.244,656,98
1623937800,11.23,11.26,11.17,11.2,11.2,244,32
1623938100,11.23,11.26,11.21,11.24,11.247,286,25
1623938400,11.25,11.27,11.19,11.23,11.245,404,83
1623938700,11.21,11.21,11.16,11.19,11.18,147,22
1623939000,11.16,11.17,11.1,11.16,11.136,518,114
1623939300,11.17,11.21,11.16,11.2,11.188,159,104
1623939600,11.2,11.21,11.16,11.19,11.172,145,19
1623939900,11.2,11.23,11.17,11.22,11.188,126,41
1623940200,11.22,11.22,11.16,11.18,11.188,39,23
1623940500,11.16,11.17,11.13,11.15,11.149,165,29
1623940800,11.17,11.19,11.15,11.16,11.166,105,54
1623941100,11.19,11.19,11.11,11.12,11.147,118,33
1623941400,11.13,11.19,11.12,11.14,11.162,83,35
1623941700,11.14,11.17,11.11,11.11,11.126,143,56
1623942000,11.11,11.13,10.96,11.0,11.02,1338,256
1623942300,11.01,11.11,11.0,11.06,11.069,731,118
1623942600,11.05,11.06,11.01,11.03,11.034,134,46
1623942900,11.04,11.07,11.0,11.01,11.029,434,108
1623943200,11.01,11.07,11.0,11.05,11.034,210,59
1623943500,11.03,11.06,11.01,11.05,11.038,110,43
1623943800,11.03,11.1,11.03,11.09,11.081,183,48
1623944100,11.11,11.12,11.1,11.1,11.11,220,60
1623944400,11.12,11.15,11.08,11.11,11.111,153,21
1623944700,11.1,11.12,11.09,11.1,11.102,69,22
1623945000,11.09,11.1,11.04,11.04,11.057,17,11
1623945300,11.05,11.05,11.0,11.02,11.016,119,62
1623945600,11.02,11.06,11.01,11.05,11.038,37,15
1623945900,11.08,11.08,11.06,11.06,11.066,28,17
1623946200,11.05,11.08,11.05,11.07,11.072,50,23
1623946500,11.06,11.07,11.04,11.05,11.056,65,14
1623946800,11.07,11.07,11.04,11.04,11.06,60,22
1623947100,11.06,11.08,11.05,11.08,11.062,101,30
1623947400,11.06,11.08,11.05,11.07,11.066,90,30
1623947700,11.07,11.08,11.01,11.05,11.051,302,57
1623948000,11.08,11.1,11.03,11.04,11.068,300,42
1623948300,11.11,11.11,11.04,11.07,11.084,115,55
1623948600,11.07,11.1,11.03,11.05,11.059,265,58
1623948900,11.05,11.07,11.03,11.05,11.063,155,37
1623949200,11.07,11.12,11.07,11.11,11.098,161,82
1623949500,11.11,11.17,11.09,11.16,11.115,114,68
1623949800,11.14,11.15,11.11,11.11,11.123,22,4
1623950100,11.09,11.11,11.09,11.1,11.102,22,3
1623950400,11.1,11.17,11.1,11.12,11.128,18,9
1623950700,11.16,11.16,11.12,11.12,11.153,6,2
1623951000,11.15,11.15,11.12,11.12,11.128,18,6
1623951300,11.14,11.16,11.12,11.15,11.143,11,9
1623951600,11.17,11.17,11.15,11.16,11.166,22,6
1623951900,11.16,11.23,11.16,11.2,11.195,222,24
1623952200,11.22,11.23,11.13,11.15,11.197,270,49
1623952500,11.16,11.19,11.16,11.19,11.164,13,7
1623952800,11.16,11.17,11.16,11.16,11.161,21,6
1623953100,11.2,11.2,11.13,11.13,11.188,136,25
1623953400,11.15,11.16,11.13,11.13,11.148,75,7
1623953700,11.13,11.13,11.13,11.13,11.13,2,2
1623954000,11.14,11.14,11.13,11.13,11.131,27,7
1623954300,11.13,11.19,11.12,11.19,11.151,97,38
1623954600,11.15,11.15,11.14,11.15,11.141,58,7
1623954900,11.14,11.16,11.13,11.13,11.139,22,13
1623955200,11.15,11.15,11.13,11.13,11.146,5,2
1623955500,11.14,11.17,11.13,11.15,11.149,52,8
1623955800,11.15,11.17,11.12,11.13,11.159,64,16
1623956100,11.12,11.16,11.12,11.16,11.14,23,9
1623956400,11.15,11.15,11.12,11.12,11.146,17,8
1623956700,11.12,11.13,11.11,11.12,11.123,4,4
1623957000,11.13,11.15,11.12,11.12,11.134,17,9
1623957300,11.12,11.13,11.1,11.11,11.116,38,23
1623957600,11.1,11.13,11.1,11.12,11.122,21,14
1623957900,11.13,11.13,11.11,11.13,11.12,20,11
1623958200,11.1,11.13,11.1,11.13,11.126,30,18
1623958500,11.14,11.14,11.12,11.13,11.134,14,5
1623958800,11.14,11.14,11.1,11.11,11.117,66,38
1623959100,11.11,11.13,11.11,11.12,11.119,140,69
1623959400,11.13,11.13,11.1,11.12,11.12,153,73
1623959700,11.1,11.15,11.1,11.13,11.117,258,102
1623960000,11.1,11.1,11.1,11.1,11.1,53,3
1623960300,11.01,11.01,11.01,11.01,11.01,2,1
1623960600,11.01,11.01,11.01,11.01,11.01,0,0
1623960900,11.06,11.06,11.06,11.06,11.06,3,2
1623961200,11.06,11.06,11.06,11.06,11.06,0,0
1623961500,11.06,11.06,11.06,11.06,11.06,0,0
1623961800,11.17,11.17,11.17,11.17,11.17,6,4
1623962100,11.17,11.17,11.17,11.17,11.17,0,0
1623962400,11.17,11.17,11.17,11.17,11.17,0,0
1623962700,11.17,11.17,11.17,11.17,11.17,0,0
1623963000,11.18,11.18,11.17,11.18,11.179,7,2
1623963300,11.18,11.18,11.18,11.18,11.18,0,0
1623963600,11.18,11.18,11.18,11.18,11.18,0,0
1623963900,11.18,11.18,11.18,11.18,11.18,0,0
1623964200,11.18,11.18,11.18,11.18,11.18,0,0
1623964500,11.17,11.17,11.15,11.15,11.166,4,2
1623964800,11.15,11.15,11.15,11.15,11.15,0,0
1623965100,11.15,11.15,11.15,11.15,11.15,0,0
1623965400,11.15,11.15,11.15,11.15,11.15,0,0
1623965700,11.16,11.16,11.16,11.16,11.16,1,1
1623966000,11.1,11.1,11.1,11.1,11.1,5,1
1623966300,11.1,11.1,11.1,11.1,11.1,0,0
1623966600,11.1,11.1,11.1,11.1,11.1,0,0
1623966900,11.1,11.1,11.1,11.1,11.1,0,0
1623967200,11.1,11.1,11.1,11.1,11.1,0,0
1623967500,11.1,11.1,11.1,11.1,11.1,0,0
1623967800,11.1,11.1,11.1,11.1,11.1,0,0
1623968100,11.1,11.1,11.1,11.1,11.1,0,0
1623968400,11.1,11.1,11.1,11.1,11.1,0,0
1623968700,11.1,11.1,11.1,11.1,11.1,0,0
1623969000,11.17,11.17,11.17,11.17,11.17,6,2
1623969300,11.17,11.17,11.17,11.17,11.17,0,0
1623969600,11.17,11.17,11.17,11.17,11.17,0,0
1623969900,11.17,11.17,11.17,11.17,11.17,0,0
1623970200,11.17,11.17,11.17,11.17,11.17,0,0
1623970500,11.17,11.17,11.17,11.17,11.17,0,0
1623970800,11.17,11.17,11.17,11.17,11.17,0,0
1623971100,11.17,11.17,11.17,11.17,11.17,0,0
1623971400,11.17,11.17,11.17,11.17,11.17,0,0
1623971700,11.17,11.17,11.17,11.17,11.17,0,0
1623972000,11.17,11.17,11.17,11.17,11.17,0,0
1623972300,11.17,11.17,11.17,11.17,11.17,0,0
1623972600,11.17,11.17,11.17,11.17,11.17,0,0
1623972900,11.17,11.17,11.17,11.17,11.17,0,0
1623973200,11.11,11.11,11.1,11.1,11.107,3,3
1623973500,11.1,11.1,11.1,11.1,11.1,0,0
1623973800,11.1,11.1,11.1,11.1,11.1,0,0
1623974100,11.17,11.17,11.17,11.17,11.17,3,1
1624014000,11.2,11.2,11.2,11.2,11.2,10,2
1624014300,11.2,11.2,11.2,11.2,11.2,0,0
1624014600,11.2,11.2,11.2,11.2,11.2,0,0
1624014900,11.2,11.2,11.2,11.2,11.2,0,0
1624015200,11.2,11.2,11.2,11.2,11.2,0,0
1624015500,11.2,11.2,11.2,11.2,11.2,0,0
1624015800,11.2,11.2,11.2,11.2,11.2,0,0
1624016100,11.2,11.2,11.2,11.2,11.2,0,0
1624016400,11.2,11.2,11.2,11.2,11.2,0,0
1624016700,11.2,11.2,11.2,11.2,11.2,0,0
1624017000,11.2,11.2,11.2,11.2,11.2,0,0
1624017300,11.2,11.2,11.2,11.2,11.2,0,0
1624017600,11.11,11.12,11.11,11.11,11.11,40,2
1624017900,11.11,11.11,11.11,11.11,11.11,0,0
1624018200,11.11,11.11,11.11,11.11,11.11,0,0
1624018500,11.16,11.16,11.16,11.16,11.16,2,1
1624018800,11.16,11.16,11.16,11.16,11.16,0,0
1624019100,11.11,11.12,11.11,11.11,11.11,6,2
1624019400,11.11,11.11,11.11,11.11,11.11,0,0
1624019700,11.11,11.11,11.11,11.11,11.11,1,1
1624020000,11.15,11.15,11.15,11.15,11.15,1,1
1624020300,11.15,11.15,11.15,11.15,11.15,0,0
1624020600,11.15,11.15,11.15,11.15,11.15,0,0
1624020900,11.0,11.15,11.0,11.15,11.045,7,2
1624021200,11.15,11.15,11.15,11.15,11.15,0,0
1624021500,11.12,11.15,11.12,11.15,11.135,2,2
1624021800,11.07,11.08,11.04,11.08,11.071,23,4
1624022100,11.06,11.06,11.03,11.04,11.042,12,3
1624022400,11.0,11.01,11.0,11.01,11.009,18,3
1624022700,11.0,11.0,10.99,11.0,11.0,96,29
1624023000,11.0,11.06,10.97,10.99,11.008,538,60
1624023300,11.0,11.15,11.0,11.11,11.058,64,19
1624023600,11.15,11.15,11.09,11.11,11.136,110,30
1624023900,11.09,11.13,11.07,11.09,11.093,234,27
1624024200,11.08,11.09,11.01,11.05,11.035,80,30
1624024500,11.05,11.08,10.95,11.05,11.005,646,132
1624024800,11.01,11.1,11.01,11.03,11.057,340,46
1624025100,11.0,11.04,11.0,11.03,11.021,30,16
1624025400,11.02,11.04,11.02,11.02,11.023,50,22
1624025700,11.03,11.03,11.0,11.01,11.011,170,28
1624026000,11.0,11.05,10.98,11.03,10.994,147,23
1624026300,11.01,11.05,11.01,11.01,11.038,34,11
1624026600,11.02,11.14,11.01,11.1,11.088,199,49
1624026900,11.1,11.15,11.1,11.13,11.116,77,16
1624027200,11.13,11.14,11.07,11.07,11.123,94,47
1624027500,11.07,11.08,11.03,11.08,11.054,166,22
1624027800,11.07,11.09,11.05,11.05,11.068,11,4
1624028100,11.09,11.09,11.06,11.07,11.084,31,9
1624028400,11.06,11.12,11.06,11.12,11.078,92,14
1624028700,11.13,11.13,11.1,11.1,11.115,105,37
1624029000,11.12,11.18,11.12,11.15,11.142,156,54
1624029300,11.16,11.25,11.15,11.23,11.199,91,48
1624029600,11.22,11.22,11.16,11.17,11.188,50,32
1624029900,11.17,11.18,11.09,11.09,11.139,24,15
1624030200,11.1,11.17,11.09,11.12,11.11,69,17
1624030500,11.14,11.16,11.12,11.12,11.147,22,7
1624030800,11.13,11.16,11.13,11.15,11.148,3,3
1624031100,11.14,11.15,11.14,11.15,11.144,5,4
1624031400,11.14,11.15,11.14,11.14,11.147,6,3
1624031700,11.14,11.16,11.13,11.14,11.152,35,22
1624032000,11.14,11.15,11.12,11.13,11.133,29,23
1624032300,11.13,11.13,11.13,11.13,11.13,1,1
1624032600,11.16,11.16,11.11,11.11,11.151,14,3
1624032900,11.1,11.12,11.09,11.12,11.104,76,31
1624033200,11.12,11.13,11.11,11.11,11.119,20,9
1624033500,11.14,11.14,11.1,11.11,11.11,46,28
1624033800,11.13,11.13,11.1,11.1,11.111,18,5
1624034100,11.12,11.14,11.1,11.12,11.126,61,13
1624034400,11.12,11.12,11.07,11.08,11.112,468,27
1624034700,11.07,11.09,11.07,11.09,11.083,19,9
1624035000,11.1,11.13,11.09,11.13,11.12,479,18
1624035300,11.11,11.12,11.1,11.12,11.11,599,82
1624035600,11.1,11.13,11.1,11.1,11.114,25,18
1624035900,11.12,11.16,11.12,11.15,11.139,17,13
1624036200,11.16,11.16,11.14,11.14,11.15,9,7
1624036500,11.12,11.12,11.11,11.12,11.117,1,1
1624036800,11.12,11.14,11.1,11.1,11.123,26,10
1624037100,11.1,11.12,11.1,11.12,11.11,29,9
1624037400,11.11,11.13,11.1,11.13,11.114,8,8
1624037700,11.13,11.15,11.12,11.15,11.14,59,13
