date,open,high,low,close,average,volume,count
1623312395,20.96,20.96,20.96,20.96,20.96,1,1
1623312400,20.96,20.96,20.96,20.96,20.96,0,0
1623312405,20.96,20.96,20.96,20.96,20.96,0,0
1623312410,20.96,20.96,20.96,20.96,20.96,0,0
1623312415,20.96,20.96,20.96,20.96,20.96,0,0
1623312420,20.96,20.96,20.96,20.96,20.96,0,0
1623312425,20.96,20.96,20.96,20.96,20.96,0,0
1623312430,20.99,20.99,20.99,20.99,20.99,1,1
1623312435,20.99,20.99,20.99,20.99,20.99,0,0
1623312440,20.99,20.99,20.99,20.99,20.99,0,0
1623312445,20.99,20.99,20.99,20.99,20.99,0,0
1623312450,20.99,20.99,20.99,20.99,20.99,0,0
1623312455,20.99,20.99,20.99,20.99,20.99,0,0
1623312460,20.99,20.99,20.99,20.99,20.99,0,0
1623312465,20.99,20.99,20.99,20.99,20.99,0,0
1623312470,20.99,20.99,20.99,20.99,20.99,0,0
1623312475,20.99,20.99,20.99,20.99,20.99,0,0
1623312480,20.99,20.99,20.99,20.99,20.99,0,0
1623312485,20.99,20.99,20.99,20.99,20.99,0,0
1623312490,20.99,20.99,20.99,20.99,20.99,0,0
1623312495,20.99,20.99,20.99,20.99,20.99,0,0
1623312500,20.99,20.99,20.99,20.99,20.99,0,0
1623312505,20.99,20.99,20.99,20.99,20.99,0,0
1623312510,20.99,20.99,20.99,20.99,20.99,0,0
1623312515,20.99,20.99,20.99,20.99,20.99,0,0
1623312520,20.99,20.99,20.99,20.99,20.99,0,0
1623312525,20.99,20.99,20.99,20.99,20.99,0,0
1623312530,20.99,20.99,20.99,20.99,20.99,0,0
1623312535,20.99,20.99,20.99,20.99,20.99,0,0
1623312540,20.99,20.99,20.99,20.99,20.99,0,0
1623312545,20.99,20.99,20.99,20.99,20.99,0,0
1623312550,20.99,20.99,20.99,20.99,20.99,0,0
1623312555,20.99,20.99,20.99,20.99,20.99,0,0
1623312560,20.99,20.99,20.99,20.99,20.99,0,0
1623312565,20.99,20.99,20.99,20.99,20.99,0,0
1623312570,20.99,20.99,20.99,20.99,20.99,0,0
1623312575,20.99,20.99,20.99,20.99,20.99,0,0
1623312580,20.99,20.99,20.99,20.99,20.99,0,0
1623312585,20.99,20.99,20.99,20.99,20.99,0,0
1623312590,20.99,20.99,20.99,20.99,20.99,0,0
