date,open,high,low,close,average,volume,count
1623421800,21.85,21.85,21.85,21.85,21.85,0,0
1623421801,21.85,21.85,21.85,21.85,21.85,0,0
1623421802,21.85,21.85,21.85,21.85,21.85,0,0
1623421803,21.85,21.85,21.85,21.85,21.85,0,0
1623421804,21.87,21.88,21.87,21.872,21.8726,10,3
1623421805,21.872,21.872,21.872,21.872,21.872,0,0
1623421806,21.872,21.872,21.872,21.872,21.872,0,0
1623421807,21.872,21.872,21.872,21.872,21.872,0,0
1623421808,21.872,21.872,21.872,21.872,21.872,0,0
1623421809,21.872,21.872,21.872,21.872,21.872,0,0
1623421810,21.872,21.872,21.872,21.872,21.872,0,0
1623421811,21.872,21.872,21.872,21.872,21.872,0,0
1623421812,21.872,21.872,21.872,21.872,21.872,0,0
1623421813,21.872,21.872,21.872,21.872,21.872,0,0
1623421814,21.872,21.872,21.872,21.872,21.872,0,0
1623421815,21.8867,21.8867,21.8867,21.8867,21.8867,5,1
1623421816,21.8867,21.8867,21.8867,21.8867,21.8867,0,0
1623421817,21.8867,21.8867,21.8867,21.8867,21.8867,0,0
1623421818,21.8867,21.8867,21.8867,21.8867,21.8867,0,0
1623421819,21.8867,21.8867,21.8867,21.8867,21.8867,0,0
1623421820,21.8867,21.8867,21.8867,21.8867,21.8867,0,0
1623421821,21.8867,21.8867,21.8867,21.8867,21.8867,0,0
1623421822,21.8867,21.8867,21.8867,21.8867,21.8867,0,0
1623421823,21.8867,21.8867,21.8867,21.8867,21.8867,0,0
1623421824,21.8867,21.8867,21.8867,21.8867,21.8867,0,0
1623421825,21.8867,21.8867,21.8867,21.8867,21.8867,0,0
1623421826,21.8867,21.8867,21.8867,21.8867,21.8867,0,0
1623421827,21.8867,21.8867,21.8867,21.8867,21.8867,0,0
1623421828,21.8867,21.8867,21.8867,21.8867,21.8867,0,0
1623421829,21.86,21.86,21.86,21.86,21.86,1,1
1623421830,21.86,21.86,21.86,21.86,21.86,0,0
1623421831,21.875,21.875,21.851,21.851,21.86795,8,2
1623421832,21.851,21.851,21.851,21.851,21.851,0,0
1623421833,21.8562,21.8562,21.8562,21.8562,21.8562,2,1
1623421834,21.87,21.87,21.87,21.87,21.87,2,1
1623421835,21.87,21.87,21.87,21.87,21.87,0,0
1623421836,21.87,21.87,21.87,21.87,21.87,0,0
1623421837,21.87,21.87,21.87,21.87,21.87,1,1
1623421838,21.875,21.875,21.875,21.875,21.875,1,1
1623421839,21.89,21.89,21.89,21.89,21.89,1,1
1623421840,21.89,21.89,21.89,21.89,21.89,0,0
1623421841,21.9,21.93,21.9,21.93,21.9101,95,5
1623421842,21.93,21.93,21.93,21.93,21.93,0,0
1623421843,21.93,21.93,21.93,21.93,21.93,0,0
1623421844,21.93,21.95,21.93,21.935,21.94769,55,11
1623421845,21.93,21.93,21.93,21.93,21.93,5,1
1623421846,21.93,21.93,21.93,21.93,21.93,0,0
1623421847,21.93,21.93,21.93,21.93,21.93,0,0
1623421848,21.9682,21.9682,21.93,21.93,21.93955,4,4
