date,open,high,low,close,average,volume,count
1628514000,12.7,12.7,12.7,12.7,12.7,0,0
1628514001,12.7,12.7,12.7,12.7,12.7,1,1
1628514002,12.7,12.7,12.7,12.7,12.7,0,0
1628514003,12.67,12.67,12.65,12.65,12.653,35,6
1628514004,12.65,12.65,12.65,12.65,12.65,0,0
1628514005,12.65,12.65,12.65,12.65,12.65,0,0
1628514006,12.65,12.65,12.65,12.65,12.65,0,0
1628514007,12.65,12.65,12.65,12.65,12.65,0,0
1628514008,12.65,12.65,12.65,12.65,12.65,0,0
1628514009,12.65,12.65,12.65,12.65,12.65,0,0
1628514010,12.65,12.65,12.65,12.65,12.65,0,0
1628514011,12.65,12.65,12.65,12.65,12.65,0,0
1628514012,12.65,12.65,12.65,12.65,12.65,0,0
1628514013,12.65,12.65,12.65,12.65,12.65,0,0
1628514014,12.65,12.65,12.65,12.65,12.65,0,0
1628514015,12.65,12.65,12.65,12.65,12.65,0,0
1628514016,12.65,12.65,12.65,12.65,12.65,0,0
1628514017,12.65,12.65,12.65,12.65,12.65,0,0
1628514018,12.65,12.65,12.65,12.65,12.65,0,0
1628514019,12.65,12.65,12.65,12.65,12.65,0,0
1628514020,12.65,12.65,12.65,12.65,12.65,0,0
1628514021,12.65,12.65,12.65,12.65,12.65,0,0
1628514022,12.65,12.65,12.65,12.65,12.65,0,0
1628514023,12.65,12.65,12.65,12.65,12.65,0,0
1628514024,12.65,12.65,12.65,12.65,12.65,0,0
1628514025,12.65,12.65,12.65,12.65,12.65,0,0
1628514026,12.65,12.65,12.65,12.65,12.65,0,0
1628514027,12.65,12.65,12.65,12.65,12.65,0,0
1628514028,12.65,12.65,12.65,12.65,12.65,0,0
1628514029,12.65,12.65,12.65,12.65,12.65,0,0
1628514030,12.67,12.67,12.67,12.67,12.67,1,1
1628514031,12.67,12.67,12.67,12.67,12.67,0,0
1628514032,12.67,12.67,12.67,12.67,12.67,0,0
1628514033,12.67,12.67,12.67,12.67,12.67,0,0
1628514034,12.67,12.67,12.67,12.67,12.67,0,0
1628514035,12.67,12.67,12.67,12.67,12.67,0,0
1628514036,12.67,12.67,12.67,12.67,12.67,0,0
1628514037,12.67,12.67,12.67,12.67,12.67,0,0
1628514038,12.67,12.67,12.67,12.67,12.67,0,0
1628514039,12.67,12.67,12.67,12.67,12.67,0,0
1628514040,12.67,12.67,12.67,12.67,12.67,0,0
1628514041,12.67,12.67,12.67,12.67,12.67,0,0
1628514042,12.67,12.67,12.67,12.67,12.67,3,1
1628514043,12.67,12.67,12.67,12.67,12.67,0,0
1628514044,12.67,12.67,12.67,12.67,12.67,0,0
1628514045,12.67,12.67,12.67,12.67,12.67,0,0
1628514046,12.67,12.67,12.67,12.67,12.67,0,0
1628514047,12.67,12.67,12.67,12.67,12.67,0,0
1628514048,12.69,12.69,12.69,12.69,12.69,3,3
1628514049,12.69,12.69,12.69,12.69,12.69,0,0
1628514050,12.69,12.69,12.69,12.69,12.69,0,0
1628514051,12.69,12.69,12.69,12.69,12.69,0,0
1628514052,12.69,12.69,12.69,12.69,12.69,0,0
1628514053,12.69,12.69,12.69,12.69,12.69,0,0
1628514054,12.69,12.69,12.69,12.69,12.69,0,0
1628514055,12.68,12.68,12.68,12.68,12.68,5,1
1628514056,12.68,12.68,12.68,12.68,12.68,0,0
1628514057,12.68,12.68,12.68,12.68,12.68,0,0
1628514058,12.68,12.68,12.68,12.68,12.68,0,0
1628514059,12.68,12.68,12.68,12.68,12.68,0,0
1628514060,12.67,12.67,12.65,12.65,12.653,21,8
1628514061,12.7,12.7,12.7,12.7,12.7,2,1
1628514062,12.7,12.7,12.7,12.7,12.7,0,0
1628514063,12.7,12.7,12.7,12.7,12.7,0,0
1628514064,12.7,12.7,12.7,12.7,12.7,0,0
1628514065,12.7,12.7,12.7,12.7,12.7,0,0
1628514066,12.7,12.7,12.7,12.7,12.7,0,0
1628514067,12.7,12.7,12.7,12.7,12.7,0,0
1628514068,12.66,12.66,12.66,12.66,12.66,1,1
1628514069,12.69,12.69,12.69,12.69,12.69,1,1
1628514070,12.69,12.69,12.69,12.69,12.69,0,0
1628514071,12.69,12.69,12.69,12.69,12.69,0,0
1628514072,12.69,12.69,12.69,12.69,12.69,0,0
1628514073,12.69,12.69,12.69,12.69,12.69,0,0
1628514074,12.68,12.68,12.68,12.68,12.68,1,1
1628514075,12.68,12.68,12.68,12.68,12.68,0,0
1628514076,12.68,12.68,12.68,12.68,12.68,0,0
1628514077,12.68,12.68,12.68,12.68,12.68,0,0
1628514078,12.68,12.68,12.68,12.68,12.68,0,0
1628514079,12.68,12.68,12.68,12.68,12.68,0,0
1628514080,12.68,12.68,12.68,12.68,12.68,0,0
1628514081,12.68,12.68,12.68,12.68,12.68,0,0
1628514082,12.68,12.68,12.68,12.68,12.68,0,0
1628514083,12.68,12.68,12.68,12.68,12.68,0,0
