date,open,high,low,close,average,volume,count
1638973800,20.63,20.63,20.58,20.58,20.63,3916,6
1638973801,20.57,20.63,20.53,20.62,20.571,22,12
1638973802,20.63,20.63,20.58,20.58,20.61,24,10
1638973803,20.6,20.6,20.52,20.52,20.551,54,28
1638973804,20.54,20.55,20.53,20.54,20.534,56,38
1638973805,20.55,20.6,20.53,20.6,20.56,25,16
1638973806,20.58,20.62,20.57,20.62,20.591,41,27
1638973807,20.63,20.64,20.61,20.64,20.622,49,23
1638973808,20.62,20.64,20.62,20.62,20.623,17,13
1638973809,20.65,20.65,20.6,20.61,20.61,57,37
1638973810,20.63,20.63,20.61,20.62,20.619,22,14
1638973811,20.61,20.62,20.61,20.61,20.611,14,12
1638973812,20.6,20.6,20.59,20.6,20.592,34,29
1638973813,20.59,20.59,20.57,20.57,20.581,38,21
1638973814,20.56,20.57,20.53,20.57,20.556,45,19
1638973815,20.6,20.6,20.56,20.56,20.584,29,15
1638973816,20.58,20.6,20.58,20.59,20.586,38,20
1638973817,20.6,20.6,20.57,20.59,20.582,68,15
1638973818,20.6,20.6,20.6,20.6,20.6,4,4
1638973819,20.6,20.6,20.6,20.6,20.6,0,0
1638973820,20.6,20.61,20.6,20.6,20.603,3,1
1638973821,20.61,20.61,20.6,20.61,20.606,34,17
1638973822,20.63,20.63,20.6,20.63,20.614,205,52
1638973823,20.63,20.65,20.63,20.65,20.636,20,17
1638973824,20.64,20.67,20.63,20.67,20.651,924,45
1638973825,20.67,20.68,20.64,20.68,20.668,50,12
1638973826,20.69,20.69,20.68,20.68,20.688,114,27
1638973827,20.68,20.68,20.66,20.67,20.672,27,8
1638973828,20.68,20.68,20.67,20.68,20.678,9,2
1638973829,20.67,20.68,20.67,20.67,20.676,37,6
1638973830,20.67,20.67,20.67,20.67,20.67,3,3
1638973831,20.68,20.68,20.67,20.68,20.678,3,1
1638973832,20.67,20.68,20.64,20.64,20.656,100,32
1638973833,20.62,20.62,20.59,20.61,20.616,112,15
1638973834,20.59,20.61,20.59,20.59,20.595,22,10
1638973835,20.59,20.59,20.58,20.58,20.582,38,17
1638973836,20.57,20.58,20.56,20.56,20.563,78,22
1638973837,20.56,20.58,20.56,20.58,20.565,24,9
1638973838,20.58,20.58,20.56,20.56,20.572,9,5
1638973839,20.58,20.58,20.58,20.58,20.58,4,3
1638973840,20.57,20.59,20.57,20.58,20.578,12,4
1638973841,20.58,20.59,20.58,20.59,20.585,10,6
1638973842,20.59,20.59,20.59,20.59,20.59,2,2
1638973843,20.59,20.6,20.59,20.59,20.591,14,10
1638973844,20.59,20.59,20.58,20.58,20.582,78,43
1638973845,20.59,20.59,20.56,20.57,20.57,37,22
1638973846,20.57,20.57,20.56,20.56,20.562,45,18
1638973847,20.55,20.56,20.53,20.55,20.549,113,29
1638973848,20.56,20.56,20.56,20.56,20.56,10,2
1638973849,20.55,20.6,20.55,20.6,20.586,39,24
1638973850,20.58,20.61,20.58,20.61,20.589,23,12
1638973851,20.61,20.64,20.61,20.64,20.628,32,13
1638973852,20.64,20.65,20.63,20.65,20.639,74,18
1638973853,20.64,20.69,20.64,20.68,20.681,29,18
1638973854,20.66,20.69,20.66,20.68,20.684,172,119
1638973855,20.69,20.69,20.68,20.69,20.685,193,44
1638973856,20.69,20.69,20.68,20.69,20.687,182,56
1638973857,20.69,20.69,20.68,20.69,20.69,135,18
1638973858,20.69,20.69,20.68,20.69,20.686,10,6
1638973859,20.69,20.69,20.68,20.69,20.689,50,31
1638973860,20.69,20.73,20.69,20.71,20.703,399,67
1638973861,20.75,20.75,20.74,20.74,20.748,206,61
1638973862,20.73,20.75,20.7,20.72,20.717,137,65
1638973863,20.74,20.75,20.73,20.74,20.739,43,19
1638973864,20.74,20.74,20.73,20.74,20.739,10,4
1638973865,20.73,20.74,20.71,20.72,20.727,44,15
1638973866,20.73,20.75,20.72,20.72,20.731,70,10
1638973867,20.74,20.74,20.74,20.74,20.74,17,3
1638973868,20.74,20.75,20.74,20.75,20.748,17,12
1638973869,20.74,20.75,20.74,20.75,20.749,139,34
1638973870,20.75,20.75,20.73,20.75,20.746,73,49
1638973871,20.75,20.77,20.75,20.77,20.764,63,12
1638973872,20.76,20.77,20.75,20.77,20.764,15,7
1638973873,20.77,20.77,20.74,20.75,20.756,50,19
1638973874,20.75,20.75,20.73,20.74,20.733,149,25
1638973875,20.74,20.75,20.73,20.75,20.737,47,25
1638973876,20.74,20.74,20.73,20.73,20.738,5,4
1638973877,20.74,20.75,20.74,20.75,20.748,22,14
1638973878,20.74,20.76,20.74,20.76,20.752,23,5
1638973879,20.75,20.76,20.75,20.76,20.755,7,2
