date,open,high,low,close,average,volume,count
1626271200,43.92,43.96,43.915,43.95,43.94334,54,37
1626271201,43.95,43.9699,43.95,43.9699,43.96541,129,29
1626271202,43.9697,43.99,43.965,43.98,43.97493,57,33
1626271203,43.97,43.98,43.97,43.9705,43.97293,19,5
1626271204,43.97,43.9798,43.9601,43.9798,43.96857,44,20
1626271205,43.96,43.97,43.95,43.9698,43.95985,39,20
1626271206,43.95,43.965,43.94,43.94,43.95138,43,20
1626271207,43.94,43.96,43.94,43.9406,43.945,10,6
1626271208,43.96,43.97,43.941,43.95,43.95679,41,19
1626271209,43.95,43.96,43.94,43.96,43.94819,7,5
1626271210,43.96,43.971,43.96,43.971,43.96432,21,10
1626271211,43.97,44.0,43.97,43.9977,43.98407,30,25
1626271212,43.995,43.995,43.95,43.97,43.95977,118,34
1626271213,43.978,43.978,43.95,43.95,43.95903,13,10
1626271214,43.946,44.0,43.946,43.9801,43.97933,58,37
1626271215,43.9819,43.99,43.9801,43.99,43.98314,9,7
1626271216,43.98,44.0,43.98,43.995,43.99498,85,26
1626271217,44.01,44.02,44.0001,44.0001,44.00291,67,6
1626271218,43.98,43.9899,43.98,43.9807,43.98434,12,5
1626271219,43.9879,43.9969,43.98,43.9969,43.98908,9,9
1626271220,43.999,44.0,43.9981,44.0,43.99891,4,3
1626271221,43.99,43.99,43.99,43.99,43.99,1,1
1626271222,43.9999,44.01,43.9999,44.009,44.00689,39,12
1626271223,44.0,44.0,43.975,43.975,43.98747,11,8
1626271224,43.98,43.98,43.96,43.97,43.97154,40,21
1626271225,43.975,44.0,43.975,44.0,43.98375,8,8
1626271226,43.9819,44.01,43.9819,44.01,43.99374,33,17
1626271227,44.01,44.0182,44.008,44.0182,44.00998,21,8
1626271228,44.0001,44.02,43.9929,43.9929,44.00897,91,11
1626271229,44.0,44.0099,44.0,44.0,44.00152,13,6
1626271230,43.9925,44.0,43.9925,44.0,43.99438,4,2
1626271231,43.99,43.9967,43.98,43.9967,43.98745,49,20
