date,open,high,low,close,average,volume,count
1639472400,33.37,33.37,33.36,33.37,33.36837,6,4
1639472405,33.37,33.37,33.37,33.37,33.37,0,0
1639472410,33.38,33.38,33.38,33.38,33.38,1,1
1639472415,33.38,33.38,33.38,33.38,33.38,0,0
1639472420,33.38,33.38,33.38,33.38,33.38,0,0
1639472425,33.38,33.38,33.38,33.38,33.38,0,0
1639472430,33.38,33.38,33.38,33.38,33.38,0,0
1639472435,33.38,33.38,33.38,33.38,33.38,0,0
1639472440,33.38,33.38,33.38,33.38,33.38,0,0
1639472445,33.38,33.38,33.38,33.38,33.38,0,0
1639472450,33.38,33.38,33.38,33.38,33.38,0,0
1639472455,33.38,33.38,33.38,33.38,33.38,0,0
1639472460,33.38,33.38,33.38,33.38,33.38,0,0
1639472465,33.38,33.38,33.38,33.38,33.38,0,0
1639472470,33.38,33.38,33.38,33.38,33.38,0,0
1639472475,33.38,33.38,33.38,33.38,33.38,0,0
1639472480,33.38,33.38,33.38,33.38,33.38,0,0
1639472485,33.38,33.38,33.38,33.38,33.38,0,0
1639472490,33.38,33.38,33.38,33.38,33.38,0,0
1639472495,33.38,33.38,33.38,33.38,33.38,0,0
1639472500,33.38,33.38,33.38,33.38,33.38,0,0
1639472505,33.38,33.38,33.38,33.38,33.38,0,0
1639472510,33.38,33.38,33.38,33.38,33.38,0,0
1639472515,33.38,33.38,33.38,33.38,33.38,0,0
1639472520,33.38,33.38,33.38,33.38,33.38,0,0
1639472525,33.38,33.38,33.38,33.38,33.38,0,0
1639472530,33.44,33.44,33.44,33.44,33.44,2,1
1639472535,33.44,33.44,33.44,33.44,33.44,0,0
1639472540,33.44,33.44,33.44,33.44,33.44,0,0
1639472545,33.44,33.44,33.44,33.44,33.44,0,0
1639472550,33.44,33.44,33.44,33.44,33.44,0,0
1639472555,33.44,33.44,33.44,33.44,33.44,0,0
1639472560,33.44,33.44,33.44,33.44,33.44,0,0
1639472565,33.44,33.44,33.44,33.44,33.44,0,0
1639472570,33.44,33.44,33.44,33.44,33.44,0,0
1639472575,33.44,33.44,33.44,33.44,33.44,0,0
1639472580,33.44,33.44,33.44,33.44,33.44,0,0
1639472585,33.44,33.44,33.44,33.44,33.44,0,0
1639472590,33.44,33.44,33.44,33.44,33.44,0,0
1639472595,33.44,33.44,33.44,33.44,33.44,0,0
1639472600,33.44,33.44,33.44,33.44,33.44,0,0
1639472605,33.44,33.44,33.44,33.44,33.44,0,0
1639472610,33.44,33.44,33.44,33.44,33.44,0,0
1639472615,33.44,33.44,33.44,33.44,33.44,0,0
1639472620,33.44,33.44,33.44,33.44,33.44,0,0
1639472625,33.44,33.44,33.44,33.44,33.44,0,0
1639472630,33.44,33.44,33.44,33.44,33.44,0,0
1639472635,33.44,33.44,33.44,33.44,33.44,0,0
1639472640,33.44,33.44,33.44,33.44,33.44,0,0
1639472645,33.44,33.44,33.44,33.44,33.44,0,0
1639472650,33.44,33.44,33.44,33.44,33.44,0,0
1639472655,33.44,33.44,33.44,33.44,33.44,0,0
1639472660,33.44,33.44,33.44,33.44,33.44,0,0
1639472665,33.44,33.44,33.44,33.44,33.44,0,0
1639472670,33.44,33.44,33.44,33.44,33.44,0,0
1639472675,33.44,33.44,33.44,33.44,33.44,0,0
1639472680,33.44,33.44,33.44,33.44,33.44,0,0
1639472685,33.44,33.44,33.44,33.44,33.44,0,0
1639472690,33.44,33.44,33.44,33.44,33.44,0,0
1639472695,33.44,33.44,33.44,33.44,33.44,0,0
1639472700,33.44,33.44,33.44,33.44,33.44,0,0
1639472705,33.44,33.44,33.44,33.44,33.44,0,0
1639472710,33.44,33.44,33.44,33.44,33.44,0,0
1639472715,33.44,33.44,33.44,33.44,33.44,0,0
1639472720,33.44,33.44,33.44,33.44,33.44,0,0
1639472725,33.44,33.44,33.44,33.44,33.44,0,0
1639472730,33.44,33.44,33.44,33.44,33.44,0,0
1639472735,33.44,33.44,33.44,33.44,33.44,0,0
1639472740,33.44,33.44,33.44,33.44,33.44,0,0
1639472745,33.44,33.44,33.44,33.44,33.44,0,0
1639472750,33.44,33.44,33.44,33.44,33.44,0,0
1639472755,33.44,33.44,33.44,33.44,33.44,0,0
1639472760,33.38,33.38,33.38,33.38,33.38,2,2
1639472765,33.38,33.38,33.38,33.38,33.38,0,0
1639472770,33.38,33.38,33.38,33.38,33.38,2,1
1639472775,33.38,33.38,33.38,33.38,33.38,1,1
1639472780,33.38,33.38,33.38,33.38,33.38,0,0
1639472785,33.38,33.38,33.38,33.38,33.38,0,0
1639472790,33.38,33.38,33.38,33.38,33.38,0,0
1639472795,33.38,33.38,33.38,33.38,33.38,0,0
1639472800,33.38,33.38,33.38,33.38,33.38,0,0
1639472805,33.38,33.38,33.38,33.38,33.38,0,0
1639472810,33.38,33.38,33.38,33.38,33.38,0,0
1639472815,33.38,33.38,33.38,33.38,33.38,0,0
1639472820,33.38,33.38,33.38,33.38,33.38,0,0
1639472825,33.38,33.38,33.38,33.38,33.38,0,0
1639472830,33.38,33.38,33.38,33.38,33.38,0,0
1639472835,33.38,33.38,33.38,33.38,33.38,0,0
1639472840,33.38,33.38,33.38,33.38,33.38,0,0
1639472845,33.38,33.38,33.38,33.38,33.38,0,0
1639472850,33.38,33.38,33.38,33.38,33.38,0,0
1639472855,33.38,33.38,33.38,33.38,33.38,0,0
1639472860,33.38,33.38,33.38,33.38,33.38,0,0
1639472865,33.38,33.38,33.38,33.38,33.38,0,0
1639472870,33.38,33.38,33.38,33.38,33.38,0,0
1639472875,33.38,33.38,33.38,33.38,33.38,0,0
1639472880,33.38,33.38,33.38,33.38,33.38,0,0
1639472885,33.38,33.38,33.38,33.38,33.38,0,0
1639472890,33.38,33.38,33.38,33.38,33.38,0,0
1639472895,33.38,33.38,33.38,33.38,33.38,0,0
1639472900,33.38,33.38,33.38,33.38,33.38,0,0
1639472905,33.38,33.38,33.38,33.38,33.38,0,0
1639472910,33.38,33.38,33.38,33.38,33.38,0,0
1639472915,33.38,33.38,33.38,33.38,33.38,0,0
1639472920,33.33,33.34,33.33,33.34,33.33467,2,2
1639472925,33.34,33.34,33.34,33.34,33.34,0,0
1639472930,33.34,33.34,33.34,33.34,33.34,0,0
1639472935,33.34,33.34,33.34,33.34,33.34,0,0
1639472940,33.34,33.34,33.34,33.34,33.34,0,0
1639472945,33.34,33.34,33.34,33.34,33.34,0,0
1639472950,33.34,33.34,33.34,33.34,33.34,0,0
1639472955,33.34,33.34,33.34,33.34,33.34,0,0
1639472960,33.34,33.34,33.34,33.34,33.34,0,0
1639472965,33.33,33.33,33.33,33.33,33.33,2,2
1639472970,33.33,33.33,33.33,33.33,33.33,0,0
1639472975,33.33,33.33,33.33,33.33,33.33,0,0
1639472980,33.33,33.33,33.33,33.33,33.33,0,0
1639472985,33.33,33.33,33.33,33.33,33.33,0,0
1639472990,33.33,33.33,33.33,33.33,33.33,0,0
1639472995,33.33,33.33,33.33,33.33,33.33,0,0
1639473000,33.33,33.33,33.33,33.33,33.33,0,0
1639473005,33.33,33.33,33.33,33.33,33.33,0,0
1639473010,33.33,33.33,33.33,33.33,33.33,0,0
1639473015,33.33,33.33,33.33,33.33,33.33,0,0
1639473020,33.34,33.34,33.33,33.33,33.33694,8,3
1639473025,33.33,33.33,33.33,33.33,33.33,0,0
1639473030,33.33,33.33,33.33,33.33,33.33,0,0
1639473035,33.33,33.33,33.33,33.33,33.33,1,1
1639473040,33.33,33.33,33.33,33.33,33.33,0,0
1639473045,33.33,33.33,33.33,33.33,33.33,0,0
1639473050,33.33,33.33,33.33,33.33,33.33,0,0
1639473055,33.33,33.33,33.33,33.33,33.33,0,0
1639473060,33.33,33.33,33.33,33.33,33.33,0,0
