date,open,high,low,close,average,volume,count
1639126800,33.9,34.27,33.88,33.9,33.96308,65,32
1639127700,33.9,33.97,33.88,33.97,33.93423,42,24
1639128600,33.96,34.08,33.96,34.08,34.01067,54,22
1639129500,34.05,34.15,34.01,34.15,34.06363,27,13
1639130400,34.15,34.15,33.91,33.91,34.02123,49,17
1639131300,33.99,34.0,33.96,34.0,33.99544,21,11
1639132200,34.04,34.05,34.04,34.05,34.04892,9,6
1639133100,34.07,34.07,33.98,33.98,34.00486,29,12
1639134000,34.0,34.05,33.95,34.05,34.00076,62,16
1639134900,34.07,34.1,34.04,34.1,34.07618,38,12
1639135800,34.16,34.16,34.12,34.14,34.13087,22,6
1639136700,34.12,34.12,34.05,34.05,34.09364,19,6
1639137600,34.03,34.06,33.96,34.01,34.00444,135,45
1639138500,34.02,34.03,33.97,34.01,34.00104,19,17
1639139400,33.97,33.97,33.94,33.94,33.95356,22,15
1639140300,33.94,33.96,33.94,33.94,33.94866,17,11
1639141200,33.94,34.05,33.93,34.0,33.99677,388,98
1639142100,33.98,34.04,33.9,33.9,33.98745,203,66
1639143000,33.9,34.73,33.9,34.32,34.4374,1358,399
1639143900,34.28,34.45,34.19,34.19,34.36185,406,140
1639144800,34.21,34.28,34.06,34.21,34.14863,1067,301
1639145700,34.21,34.49,33.88,33.88,34.2618,1299,407
1639146600,33.9,34.55,33.5519,33.5888,34.07015,28865,8785
1639147500,33.59,33.91,33.25,33.54,33.52405,26085,8465
1639148400,33.555,34.18,33.52,34.12,33.85508,17616,6258
1639149300,34.11,34.3,33.5948,33.665,33.97371,15699,5918
1639150200,33.6591,33.67,33.31,33.4991,33.46793,20160,9284
1639151100,33.495,33.8999,33.35,33.86,33.6498,15385,7009
1639152000,33.85,33.89,33.62,33.845,33.75113,11749,5352
1639152900,33.84,33.9791,33.66,33.91,33.84262,9422,4076
1639153800,33.91,33.9579,33.55,33.7395,33.69513,9806,3902
1639154700,33.72,33.84,33.51,33.71,33.69379,9504,3848
1639155600,33.71,33.95,33.695,33.935,33.85394,10433,4214
1639156500,33.94,33.99,33.77,33.915,33.86606,7346,2726
1639157400,33.915,33.9695,33.8,33.8301,33.88297,5128,1826
1639158300,33.82,34.15,33.81,34.05,34.02751,7048,2320
1639159200,34.04,34.15,33.97,34.092,34.08386,5579,2083
1639160100,34.09,34.135,33.955,34.035,34.06415,5905,2197
1639161000,34.035,34.07,33.86,33.9003,33.93376,6210,2354
1639161900,33.91,34.02,33.85,33.98,33.95638,5331,2046
1639162800,33.97,34.08,33.872,33.9612,33.96983,6105,2410
1639163700,33.965,34.03,33.89,33.97,33.96495,4728,1983
1639164600,33.965,34.2278,33.93,34.205,34.1091,7169,2844
1639165500,34.205,34.248,34.0501,34.065,34.15976,6293,2285
1639166400,34.061,34.081,33.9,33.945,33.97561,6166,2542
1639167300,33.945,34.0199,33.905,34.01,33.95994,6261,2485
1639168200,34.0,34.1882,33.99,34.165,34.09342,8919,3504
1639169100,34.165,34.29,34.111,34.25,34.22082,16380,6259
1639170000,34.27,34.29,34.15,34.27,34.25979,8917,64
1639170900,34.25,34.3,34.24,34.29,34.26993,90,32
1639171800,34.28,34.28,34.25,34.26,34.26197,70,18
1639172700,34.27,34.28,34.27,34.27,34.27123,74,23
1639173600,34.26,34.28,34.26,34.28,34.2741,24,12
1639174500,34.28,34.28,34.24,34.25,34.25288,172,27
1639175400,34.25,34.26,34.25,34.26,34.25165,52,16
1639176300,34.24,34.31,34.24,34.31,34.28129,109,31
1639177200,34.31,34.31,34.26,34.26,34.28345,39,10
1639178100,34.28,34.28,34.24,34.25,34.26046,32,12
1639179000,34.24,34.26,34.24,34.24,34.24777,29,9
1639179900,34.25,34.27,34.25,34.27,34.26103,55,17
1639180800,34.25,34.27,34.24,34.26,34.24708,62,21
1639181700,34.26,34.27,34.26,34.26,34.26048,20,9
1639182600,34.25,34.31,34.25,34.31,34.29429,135,25
1639183500,34.31,34.34,34.31,34.33,34.32571,143,38
1639386000,34.12,34.68,34.12,34.66,34.48943,221,81
1639386900,34.67,34.67,34.61,34.64,34.64362,20,15
1639387800,34.64,34.66,34.6,34.6,34.63057,94,26
1639388700,34.6,34.6,34.52,34.57,34.55445,24,14
1639389600,34.57,34.79,34.55,34.72,34.66471,173,65
1639390500,34.73,34.73,34.66,34.69,34.67833,70,18
1639391400,34.66,34.66,34.61,34.61,34.6176,24,6
1639392300,34.65,34.65,34.65,34.65,34.65,2,2
1639393200,34.66,34.7,34.66,34.7,34.68,8,4
1639394100,34.7,34.73,34.7,34.7,34.71475,17,8
1639395000,34.7,34.74,34.68,34.71,34.70666,51,42
1639395900,34.7,34.7,34.69,34.7,34.69788,9,6
1639396800,34.68,34.69,34.33,34.37,34.51429,490,126
1639397700,34.39,34.53,34.39,34.5,34.45908,134,52
1639398600,34.51,34.51,34.36,34.36,34.43899,145,68
1639399500,34.39,34.6,34.39,34.52,34.51884,130,72
1639400400,34.4001,34.675,34.31,34.44,34.46022,844,155
1639401300,34.41,34.44,34.28,34.38,34.36868,188,68
1639402200,34.41,34.44,34.36,34.39,34.38819,330,106
1639403100,34.4,34.43,34.32,34.34,34.37136,298,110
1639404000,34.33,34.33,34.13,34.13,34.21619,297,91
1639404900,34.15,34.16,33.6,33.6,33.97928,1085,331
1639405800,33.68,34.2,32.9,33.97,33.58686,39829,11943
1639406700,33.9604,34.51,33.91,34.3755,34.20909,23444,9225
1639407600,34.38,34.6697,34.25,34.28,34.47353,21320,9382
1639408500,34.2878,34.2878,33.63,33.81,33.90121,19568,7752
1639409400,33.82,34.15,33.75,34.0188,33.9297,15868,6437
1639410300,34.015,34.19,33.88,33.99,34.05902,11472,4640
1639411200,33.99,34.12,33.88,33.9149,33.99999,8939,3940
1639412100,33.92,33.9701,33.53,33.6099,33.75998,10264,4151
1639413000,33.6,33.78,33.42,33.425,33.56908,11461,3966
1639413900,33.42,33.59,33.335,33.58,33.42316,11052,4402
1639414800,33.575,33.81,33.485,33.76,33.67235,7873,2740
1639415700,33.7606,33.84,33.61,33.81,33.72731,5789,2103
1639416600,33.82,33.87,33.76,33.8073,33.81937,5576,2135
1639417500,33.82,33.83,33.61,33.675,33.69256,5705,2134
1639418400,33.66,33.88,33.625,33.8,33.78462,5693,2293
1639419300,33.79,33.94,33.7504,33.92,33.85038,4857,2571
1639420200,33.93,33.99,33.76,33.94,33.87534,6404,2968
1639421100,33.94,33.9421,33.76,33.8,33.83716,4399,2034
1639422000,33.79,33.85,33.645,33.7,33.7198,4937,2120
1639422900,33.7046,33.88,33.66,33.739,33.78119,5505,2734
1639423800,33.72,33.76,33.58,33.6849,33.65772,7009,2850
1639424700,33.68,33.7,33.55,33.67,33.63475,4160,1846
1639425600,33.68,33.865,33.61,33.83,33.74288,6012,2355
1639426500,33.84,33.9,33.75,33.79,33.81306,6297,2533
1639427400,33.78,33.84,33.63,33.74,33.72783,7005,3026
1639428300,33.75,33.79,33.65,33.66,33.72389,14532,5340
1639429200,33.74,33.74,33.56,33.56,33.65946,4749,41
1639430100,33.6,33.66,33.6,33.61,33.61115,134,24
1639431000,33.59,33.66,33.58,33.61,33.6455,198,54
1639431900,33.65,33.66,33.61,33.62,33.64882,61,16
1639432800,33.65,33.65,33.6,33.6,33.62644,69,23
1639433700,33.6,33.6,33.54,33.54,33.56262,92,21
1639434600,33.55,33.55,33.41,33.49,33.48724,196,43
1639435500,33.48,33.5,33.46,33.5,33.4802,24,10
1639436400,33.48,33.58,33.48,33.55,33.52572,42,20
1639437300,33.53,33.53,33.48,33.5,33.50576,23,10
1639438200,33.51,33.54,33.5,33.51,33.50662,69,11
1639439100,33.5,33.52,33.35,33.4,33.42803,322,100
1639440000,33.42,33.48,33.36,33.36,33.43546,212,38
1639440900,33.37,33.43,33.35,33.4,33.37431,181,38
1639441800,33.4,33.46,33.38,33.38,33.40832,84,27
1639442700,33.37,33.42,33.33,33.38,33.36425,166,55
1639472400,33.37,33.44,33.33,33.33,33.361,29,18
1639473300,33.33,33.37,33.18,33.22,33.24726,94,33
1639474200,33.18,33.19,33.01,33.12,33.10557,111,46
1639475100,33.1,33.1,32.8,32.83,32.92851,144,78
1639476000,32.82,33.04,32.82,32.97,32.90891,105,47
1639476900,32.91,33.09,32.89,33.09,32.96099,59,25
1639477800,33.01,33.14,32.98,33.03,33.03435,39,19
1639478700,33.08,33.1,32.98,33.01,33.04207,61,29
1639479600,33.04,33.07,32.92,33.02,32.99139,93,36
1639480500,33.04,33.04,33.01,33.01,33.02846,6,5
1639481400,33.04,33.06,33.0,33.0,33.04267,25,9
1639482300,33.03,33.03,32.95,33.0,32.99059,13,9
1639483200,33.03,33.04,32.92,33.0,33.00003,213,66
1639484100,33.02,33.06,32.93,33.04,33.00489,127,58
1639485000,33.05,33.05,32.95,32.97,33.00592,189,46
1639485900,32.97,32.98,32.91,32.94,32.94841,108,47
1639486800,32.9999,33.0501,32.8,32.92,32.90037,1593,292
1639487700,32.9,32.95,32.82,32.82,32.89671,236,106
1639488600,32.83,32.85,32.34,32.34,32.63357,718,259
1639489500,32.35,32.4899,32.22,32.38,32.33414,1384,361
1639490400,32.37,32.39,32.0,32.13,32.17226,1239,379
1639491300,32.14,32.4,32.0,32.26,32.11077,1886,539
1639492200,32.23,32.38,31.3,31.73,31.82174,61240,20633
1639493100,31.73,31.94,31.2,31.85,31.57102,52588,18462
1639494000,31.86,31.9599,31.459,31.735,31.7419,25426,9706
1639494900,31.73,32.15,31.4999,32.1,31.86142,26514,10225
1639495800,32.1,32.32,31.99,32.2501,32.15046,18874,7054
1639496700,32.26,32.29,31.69,31.7741,31.95594,17411,6320
1639497600,31.77,31.8,31.55,31.57,31.65812,14699,5266
1639498500,31.57,31.84,31.53,31.616,31.67176,13792,4589
1639499400,31.615,31.74,31.54,31.64,31.63223,12403,5128
1639500300,31.645,31.85,31.5704,31.775,31.73496,10289,3271
1639501200,31.77,31.83,31.62,31.7,31.74359,8282,2918
1639502100,31.69,31.71,31.49,31.6201,31.57676,12042,3961
1639503000,31.62,31.68,31.51,31.535,31.58104,7217,2302
1639503900,31.535,31.6,31.51,31.5801,31.55069,8018,2559
1639504800,31.582,31.89,31.52,31.81,31.72122,10009,3893
1639505700,31.805,31.9776,31.78,31.95,31.86325,8199,2780
1639506600,31.955,31.9697,31.76,31.765,31.85028,5495,2145
1639507500,31.765,31.82,31.57,31.61,31.69345,6950,2684
1639508400,31.605,31.815,31.53,31.745,31.67719,8606,3367
1639509300,31.745,31.97,31.725,31.86,31.8496,6691,2850
1639510200,31.86,31.98,31.85,31.93,31.92212,6067,2380
1639511100,31.93,32.07,31.82,31.8709,31.95339,8020,3021
1639512000,31.87,32.21,31.845,32.145,32.08482,8460,3623
1639512900,32.15,32.35,32.1208,32.315,32.22233,8498,3334
