date,open,high,low,close,average,volume,count
1648627200,22.15,22.28,21.8,22.05,22.03203,777,240
1648627500,22.03,22.12,22.01,22.1,22.06016,130,38
1648627800,22.06,22.07,21.93,21.95,21.99552,288,59
1648628100,21.94,22.05,21.93,22.03,21.9901,74,31
1648628400,22.03,22.05,21.98,22.0,22.0188,120,30
1648628700,21.97,22.01,21.95,21.95,21.97898,65,32
1648629000,21.97,22.0,21.96,22.0,21.97331,40,14
1648629300,22.0,22.0,21.97,22.0,21.99479,59,16
1648629600,21.97,21.99,21.97,21.98,21.98168,36,12
1648629900,21.98,21.98,21.93,21.93,21.94782,20,9
1648630200,21.91,21.93,21.81,21.9,21.86697,94,29
1648630500,21.89,21.95,21.89,21.95,21.90028,51,14
1648630800,21.94,21.97,21.94,21.97,21.94439,22,9
1648631100,21.96,21.96,21.93,21.94,21.94536,50,9
1648631400,21.93,21.95,21.92,21.94,21.93581,29,9
1648631700,21.94,21.96,21.94,21.96,21.95536,10,4
1648632000,21.96,21.97,21.96,21.97,21.96371,15,9
1648632300,21.97,21.97,21.94,21.94,21.95736,48,17
1648632600,21.94,21.94,21.88,21.88,21.90068,123,26
1648632900,21.88,21.88,21.84,21.85,21.85414,29,7
1648633200,21.88,21.88,21.88,21.88,21.88,6,3
1648633500,21.87,21.88,21.87,21.88,21.87458,32,10
1648633800,21.87,21.92,21.87,21.92,21.89733,18,10
1648634100,21.9,21.9,21.9,21.9,21.9,4,2
1648634400,21.9,21.9,21.88,21.9,21.89663,75,21
1648634700,21.88,21.88,21.86,21.86,21.87731,14,5
1648635000,21.86,21.86,21.84,21.85,21.85274,40,20
1648635300,21.83,21.83,21.8,21.83,21.82327,31,10
1648635600,21.84,21.86,21.84,21.86,21.84349,19,4
1648635900,21.86,21.86,21.86,21.86,21.86,1,1
1648636200,21.86,21.86,21.86,21.86,21.86,0,0
1648636500,21.87,21.87,21.87,21.87,21.87,4,1
1648636800,21.87,21.91,21.87,21.91,21.89193,13,10
1648637100,21.91,21.92,21.9,21.92,21.90477,10,5
1648637400,21.92,21.93,21.92,21.92,21.92394,24,12
1648637700,21.92,21.94,21.91,21.92,21.92497,16,7
1648638000,21.92,21.97,21.9,21.92,21.94478,250,69
1648638300,21.92,21.97,21.92,21.93,21.94983,150,45
1648638600,21.95,21.95,21.93,21.93,21.93612,51,16
1648638900,21.94,21.94,21.88,21.88,21.91212,78,43
1648639200,21.87,21.92,21.86,21.86,21.88939,107,65
1648639500,21.86,21.9,21.85,21.9,21.87243,114,42
1648639800,21.91,21.91,21.89,21.9,21.89781,21,13
1648640100,21.91,21.94,21.9,21.94,21.91199,45,42
1648640400,21.94,21.96,21.93,21.93,21.9413,71,47
1648640700,21.92,21.97,21.92,21.97,21.95087,58,30
1648641000,21.97,21.97,21.94,21.96,21.95865,128,60
1648641300,21.96,21.96,21.94,21.95,21.95276,15,13
1648641600,21.95,22.71,21.86,21.92,21.9599,1038,205
1648641900,21.92,21.92,21.89,21.89,21.89603,116,55
1648642200,21.89,21.9,21.81,21.81,21.88053,428,157
1648642500,21.81,21.84,21.81,21.82,21.82937,288,91
1648642800,21.81,21.82,21.71,21.73,21.76637,326,148
1648643100,21.74,21.74,21.68,21.7,21.71628,387,124
1648643400,21.72,21.74,21.7,21.72,21.72748,439,93
1648643700,21.72,21.79,21.71,21.76,21.74756,505,189
1648644000,21.75,21.76,21.73,21.74,21.74587,124,69
1648644300,21.73,21.74,21.6,21.61,21.66208,691,232
1648644600,21.6,21.72,21.6,21.68,21.63969,369,120
1648644900,21.68,21.74,21.68,21.69,21.70547,493,173
1648645200,21.68,21.7,21.63,21.64,21.6619,326,131
1648645500,21.6512,21.66,21.63,21.66,21.64635,214,130
1648645800,21.66,21.68,21.61,21.66,21.64472,347,137
1648646100,21.66,21.66,21.6,21.66,21.63092,235,94
1648646400,21.66,21.73,21.63,21.64,21.66995,504,229
1648646700,21.64,21.84,21.63,21.84,21.69721,673,223
1648647000,21.83,22.08,21.63,22.075,21.8077,13689,2431
1648647300,22.0759,22.485,22.04,22.46,22.30503,34504,10413
1648647600,22.46,22.65,22.38,22.53,22.51858,23040,5777
1648647900,22.535,22.73,22.43,22.6292,22.57947,21949,6162
1648648200,22.62,22.84,22.565,22.84,22.71311,23110,6696
1648648500,22.8311,23.09,22.755,23.0601,22.97995,31910,7699
1648648800,23.06,23.26,23.0,23.04,23.13138,38567,9663
1648649100,23.045,23.1,22.88,23.085,22.96684,29933,7593
1648649400,23.09,23.33,23.04,23.2411,23.20457,25550,7013
1648649700,23.243,23.35,23.0,23.0928,23.14128,24399,6224
1648650000,23.095,23.34,23.07,23.3207,23.22906,19960,4828
1648650300,23.325,23.54,23.3201,23.4718,23.45451,30383,6869
1648650600,23.475,23.5,23.3,23.42,23.39873,21837,5722
1648650900,23.4179,23.67,23.32,23.655,23.53268,21806,4661
1648651200,23.65,23.66,23.45,23.485,23.57181,20508,4747
1648651500,23.4849,23.49,23.25,23.415,23.37523,20455,5039
1648651800,23.41,23.54,23.28,23.415,23.41803,15352,3777
1648652100,23.425,23.52,23.19,23.2022,23.30545,18214,4437
1648652400,23.205,23.37,23.16,23.31,23.27319,13443,3235
