date,open,high,low,close,average,volume,count
1627563600,13.13,13.13,13.13,13.13,13.13,0,0
1627563601,13.13,13.13,13.13,13.13,13.13,0,0
1627563602,13.13,13.13,13.13,13.13,13.13,0,0
1627563603,13.13,13.13,13.13,13.13,13.13,4,2
1627563604,13.13,13.13,13.13,13.13,13.13,1,1
1627563605,13.12,13.12,13.12,13.12,13.12,40,2
1627563606,13.12,13.13,13.12,13.12,13.12,41,3
1627563607,13.12,13.12,13.12,13.12,13.12,20,1
1627563608,13.12,13.13,13.12,13.13,13.122,24,2
1627563609,13.13,13.13,13.13,13.13,13.13,6,2
1627563610,13.12,13.12,13.12,13.12,13.12,18,5
1627563611,13.12,13.12,13.12,13.12,13.12,0,0
1627563612,13.12,13.12,13.12,13.12,13.12,0,0
1627563613,13.13,13.13,13.13,13.13,13.13,1,1
1627563614,13.13,13.13,13.13,13.13,13.13,0,0
1627563615,13.13,13.13,13.13,13.13,13.13,0,0
1627563616,13.13,13.13,13.13,13.13,13.13,5,1
1627563617,13.11,13.11,13.1,13.1,13.104,58,7
1627563618,13.1,13.1,13.1,13.1,13.1,0,0
1627563619,13.1,13.1,13.1,13.1,13.1,67,9
1627563620,13.1,13.1,13.1,13.1,13.1,0,0
1627563621,13.1,13.1,13.1,13.1,13.1,3,3
1627563622,13.09,13.1,13.09,13.1,13.093,40,2
1627563623,13.09,13.1,13.09,13.09,13.09,6,2
1627563624,13.09,13.09,13.09,13.09,13.09,0,0
1627563625,13.09,13.09,13.09,13.09,13.09,0,0
1627563626,13.1,13.1,13.1,13.1,13.1,1,1
1627563627,13.1,13.1,13.1,13.1,13.1,0,0
1627563628,13.09,13.09,13.09,13.09,13.09,42,17
1627563629,13.09,13.09,13.09,13.09,13.09,0,0
1627563630,13.09,13.09,13.09,13.09,13.09,0,0
1627563631,13.09,13.09,13.09,13.09,13.09,0,0
1627563632,13.08,13.08,13.07,13.07,13.078,9,7
1627563633,13.07,13.07,13.07,13.07,13.07,0,0
1627563634,13.07,13.07,13.07,13.07,13.07,3,3
1627563635,13.07,13.07,13.07,13.07,13.07,2,1
1627563636,13.08,13.08,13.08,13.08,13.08,5,1
1627563637,13.08,13.08,13.08,13.08,13.08,3,1
1627563638,13.08,13.08,13.08,13.08,13.08,0,0
1627563639,13.08,13.08,13.08,13.08,13.08,0,0
1627563640,13.08,13.08,13.08,13.08,13.08,0,0
1627563641,13.08,13.08,13.08,13.08,13.08,0,0
1627563642,13.08,13.08,13.08,13.08,13.08,5,1
1627563643,13.07,13.07,13.07,13.07,13.07,6,3
1627563644,13.07,13.07,13.07,13.07,13.07,0,0
1627563645,13.07,13.07,13.07,13.07,13.07,0,0
1627563646,13.08,13.08,13.08,13.08,13.08,5,1
1627563647,13.08,13.08,13.08,13.08,13.08,0,0
1627563648,13.08,13.08,13.08,13.08,13.08,2,1
1627563649,13.08,13.08,13.08,13.08,13.08,0,0
1627563650,13.08,13.08,13.08,13.08,13.08,1,1
1627563651,13.08,13.08,13.08,13.08,13.08,0,0
1627563652,13.08,13.08,13.08,13.08,13.08,5,1
