date,open,high,low,close,average,volume,count
1626786000,3.47,3.5,3.47,3.5,3.48912,43,5
1626786001,3.5,3.5,3.5,3.5,3.5,0,0
1626786002,3.5,3.5,3.5,3.5,3.5,0,0
1626786003,3.5,3.5,3.5,3.5,3.5,0,0
1626786004,3.5,3.5,3.5,3.5,3.5,0,0
1626786005,3.74,3.74,3.74,3.74,3.74,1,1
1626786006,3.94,3.94,3.94,3.94,3.94,1,1
1626786007,3.97,3.98,3.97,3.97,3.976,5,4
1626786008,3.97,3.97,3.97,3.97,3.97,0,0
1626786009,3.98,4.18,3.98,4.18,4.09472,5,4
1626786010,4.18,4.18,4.18,4.18,4.18,0,0
1626786011,4.0,4.0,4.0,4.0,4.0,15,3
1626786012,4.0,4.0,4.0,4.0,4.0,0,0
1626786013,4.0,4.0,4.0,4.0,4.0,0,0
1626786014,4.0,4.0,4.0,4.0,4.0,0,0
1626786015,4.0,4.0,4.0,4.0,4.0,0,0
1626786016,3.9999,3.9999,3.9999,3.9999,3.9999,2,1
1626786017,3.99,4.0,3.99,4.0,3.99921,38,9
1626786018,4.12,4.13,4.12,4.13,4.12706,3,2
1626786019,4.12,4.18,4.12,4.18,4.14008,15,3
1626786020,4.3,4.3,4.18,4.2999,4.28086,12,3
1626786021,4.3,4.42,4.3,4.39,4.34553,15,6
1626786022,4.42,4.5,4.42,4.5,4.44448,54,6
1626786023,4.39,4.42,4.19,4.19,4.33257,28,8
1626786024,4.1999,4.1999,4.1999,4.1999,4.1999,2,1
1626786025,4.1999,4.1999,4.1999,4.1999,4.1999,0,0
1626786026,4.1999,4.1999,4.1999,4.1999,4.1999,0,0
1626786027,4.18,4.18,4.18,4.18,4.18,10,2
1626786028,4.18,4.18,4.07,4.1799,4.17232,17,5
1626786029,4.17,4.18,4.17,4.18,4.17786,14,4
1626786030,4.2,4.2,4.2,4.2,4.2,28,10
1626786031,4.2,4.2,4.18,4.2,4.19846,13,5
1626786032,4.02,4.2,4.02,4.2,4.19175,52,8
1626786033,4.15,4.2,4.15,4.2,4.16631,14,4
1626786034,4.2,4.2,4.2,4.2,4.2,0,0
1626786035,4.12,4.12,4.12,4.12,4.12,2,1
1626786036,4.04,4.2,4.02,4.2,4.17465,57,12
1626786037,4.02,4.02,4.02,4.02,4.02,6,3
1626786038,4.02,4.02,4.02,4.02,4.02,0,0
1626786039,4.0,4.0,4.0,4.0,4.0,10,2
1626786040,4.015,4.015,3.93,3.93,3.96778,2,2
1626786041,3.98,4.01,3.98,4.01,3.992,5,2
1626786042,4.01,4.01,4.01,4.01,4.01,1,1
1626786043,4.01,4.01,4.01,4.01,4.01,0,0
1626786044,4.01,4.01,4.01,4.01,4.01,0,0
1626786045,4.01,4.02,4.01,4.01,4.01533,19,10
1626786046,4.02,4.02,4.02,4.02,4.02,8,3
1626786047,4.02,4.02,4.02,4.02,4.02,18,5
1626786048,4.01,4.01,4.01,4.01,4.01,7,3
1626786049,4.01,4.01,4.0,4.01,4.00573,7,4
1626786050,4.0,4.01,4.0,4.01,4.0043,12,5
1626786051,4.0,4.01,4.0,4.01,4.00844,95,20
1626786052,4.01,4.01,4.01,4.01,4.01,5,2
1626786053,4.01,4.02,4.01,4.02,4.01804,5,2
1626786054,4.02,4.02,4.02,4.02,4.02,4,1
1626786055,4.02,4.02,4.02,4.02,4.02,0,0
1626786056,4.02,4.02,4.02,4.02,4.02,0,0
1626786057,4.02,4.02,4.02,4.02,4.02,0,0
1626786058,4.02,4.02,4.02,4.02,4.02,0,0
1626786059,4.0,4.0,3.95,4.0,3.98759,23,7
1626786060,3.96,3.96,3.93,3.93,3.945,2,2
1626786061,3.93,3.93,3.93,3.93,3.93,0,0
1626786062,3.91,3.91,3.91,3.91,3.91,4,1
1626786063,3.91,3.91,3.91,3.91,3.91,0,0
1626786064,3.85,3.85,3.81,3.81,3.81714,14,3
1626786065,3.81,3.81,3.81,3.81,3.81,1,1
1626786066,3.81,3.81,3.81,3.81,3.81,0,0
1626786067,3.8,3.8,3.8,3.8,3.8,14,5
1626786068,3.8,3.8,3.8,3.8,3.8,9,3
1626786069,3.77,3.77,3.77,3.77,3.77,3,1
1626786070,3.77,3.77,3.77,3.77,3.77,7,2
1626786071,3.78,3.78,3.74,3.74,3.74308,13,3
1626786072,3.71,3.71,3.67,3.68,3.68249,8,4
1626786073,3.75,3.75,3.68,3.68,3.68778,18,3
1626786074,3.77,3.77,3.77,3.77,3.77,2,2
1626786075,3.68,3.68,3.68,3.68,3.68,1,1
1626786076,3.68,3.69,3.68,3.68,3.682,25,4
1626786077,3.67,3.67,3.67,3.67,3.67,6,2
1626786078,3.78,3.8,3.75,3.8,3.78512,47,8
1626786079,3.8,3.8,3.77,3.8,3.7974,33,4
1626786080,3.8,3.8,3.8,3.8,3.8,6,2
1626786081,3.8,3.8,3.8,3.8,3.8,0,0
1626786082,3.77,3.8,3.77,3.79,3.79166,19,6
1626786083,3.8,3.83,3.785,3.83,3.80356,53,8
1626786084,3.84,3.84,3.84,3.84,3.84,3,1
1626786085,3.84,3.84,3.84,3.84,3.84,17,3
1626786086,3.83,3.84,3.8,3.8,3.82048,21,4
1626786087,3.84,3.84,3.84,3.84,3.84,11,2
1626786088,3.8,3.84,3.8,3.84,3.8265,14,4
1626786089,3.81,3.81,3.81,3.81,3.81,1,1
1626786090,3.8,3.8,3.8,3.8,3.8,13,4
1626786091,3.81,3.84,3.79,3.84,3.82579,58,9
1626786092,3.84,3.84,3.84,3.84,3.84,0,0
1626786093,3.79,3.79,3.79,3.79,3.79,1,1
1626786094,3.8,3.84,3.8,3.84,3.82055,8,2
1626786095,3.84,3.84,3.84,3.84,3.84,0,0
1626786096,3.82,3.82,3.82,3.82,3.82,1,1
1626786097,3.82,3.82,3.82,3.82,3.82,0,0
1626786098,3.82,3.82,3.82,3.82,3.82,0,0
1626786099,3.82,3.82,3.82,3.82,3.82,0,0
1626786100,3.82,3.82,3.82,3.82,3.82,0,0
1626786101,3.82,3.82,3.82,3.82,3.82,1,1
1626786102,3.81,3.81,3.81,3.81,3.81,10,1
1626786103,3.81,3.81,3.81,3.81,3.81,5,1
1626786104,3.82,3.83,3.8,3.815,3.81316,20,7
1626786105,3.815,3.815,3.815,3.815,3.815,0,0
1626786106,3.8,3.8,3.79,3.79,3.79815,5,2
1626786107,3.79,3.79,3.79,3.79,3.79,0,0
1626786108,3.79,3.79,3.79,3.79,3.79,0,0
1626786109,3.75,3.77,3.75,3.77,3.7531,22,10
1626786110,3.77,3.77,3.77,3.77,3.77,0,0
1626786111,3.74,3.76,3.74,3.74,3.75,12,11
1626786112,3.75,3.75,3.75,3.75,3.75,1,1
1626786113,3.74,3.76,3.74,3.76,3.75308,28,3
1626786114,3.74,3.75,3.74,3.75,3.74455,11,3
1626786115,3.75,3.75,3.75,3.75,3.75,0,0
1626786116,3.75,3.75,3.75,3.75,3.75,6,2
1626786117,3.75,3.75,3.74,3.74,3.74499,4,3
1626786118,3.75,3.75,3.75,3.75,3.75,2,1
1626786119,3.75,3.75,3.75,3.75,3.75,0,0
1626786120,3.74,3.78,3.74,3.78,3.75294,74,15
1626786121,3.78,3.78,3.78,3.78,3.78,0,0
1626786122,3.78,3.78,3.78,3.78,3.78,0,0
1626786123,3.8,3.81,3.8,3.8099,3.80795,25,7
1626786124,3.8,3.81,3.8,3.81,3.80936,15,4
1626786125,3.83,3.84,3.81,3.81,3.8146,24,5
1626786126,3.81,3.81,3.81,3.81,3.81,7,1
1626786127,3.83,3.84,3.83,3.84,3.83796,4,3
1626786128,3.83,3.84,3.83,3.84,3.83541,2,2
1626786129,3.84,3.84,3.84,3.84,3.84,0,0
1626786130,3.84,3.84,3.84,3.84,3.84,0,0
1626786131,3.83,3.83,3.83,3.83,3.83,1,1
1626786132,3.81,3.84,3.81,3.83,3.82007,11,6
1626786133,3.83,3.83,3.83,3.83,3.83,0,0
1626786134,3.83,3.83,3.83,3.83,3.83,2,2
1626786135,3.83,3.83,3.83,3.83,3.83,0,0
1626786136,3.83,3.83,3.83,3.83,3.83,5,5
1626786137,3.83,3.83,3.83,3.83,3.83,2,2
1626786138,3.83,3.84,3.83,3.84,3.8389,9,3
1626786139,3.83,3.84,3.83,3.83,3.8332,7,7
1626786140,3.84,3.87,3.84,3.87,3.86519,12,3
1626786141,3.86,3.89,3.85,3.89,3.87074,38,9
1626786142,3.89,3.89,3.89,3.89,3.89,1,1
1626786143,3.89,3.89,3.89,3.89,3.89,8,2
1626786144,3.89,3.89,3.89,3.89,3.89,0,0
1626786145,3.89,3.9,3.89,3.89,3.89045,22,4
1626786146,3.89,3.9,3.89,3.9,3.89629,8,6
1626786147,3.88,3.88,3.88,3.88,3.88,6,2
1626786148,3.89,3.9,3.89,3.9,3.89266,12,6
1626786149,3.9,3.9,3.9,3.9,3.9,1,1
1626786150,3.89,3.89,3.89,3.89,3.89,3,3
1626786151,3.89,3.9,3.89,3.9,3.89831,5,2
1626786152,3.9,3.9,3.9,3.9,3.9,1,1
1626786153,3.9,3.9,3.9,3.9,3.9,1,1
1626786154,3.9,3.9,3.9,3.9,3.9,3,2
1626786155,3.89,3.9,3.89,3.89,3.89169,11,5
1626786156,3.89,3.89,3.84,3.87,3.85343,66,14
1626786157,3.85,3.85,3.84,3.84,3.84572,3,2
1626786158,3.8201,3.8201,3.82,3.82,3.82009,11,3
1626786159,3.82,3.82,3.82,3.82,3.82,1,1
1626786160,3.82,3.82,3.82,3.82,3.82,0,0
1626786161,3.82,3.82,3.82,3.82,3.82,0,0
1626786162,3.82,3.82,3.82,3.82,3.82,0,0
1626786163,3.82,3.82,3.82,3.82,3.82,0,0
1626786164,3.82,3.82,3.82,3.82,3.82,0,0
1626786165,3.84,3.85,3.84,3.85,3.84723,10,2
1626786166,3.85,3.85,3.85,3.85,3.85,0,0
1626786167,3.85,3.85,3.85,3.85,3.85,0,0
1626786168,3.85,3.85,3.85,3.85,3.85,0,0
1626786169,3.85,3.85,3.85,3.85,3.85,0,0
1626786170,3.82,3.82,3.82,3.82,3.82,1,1
1626786171,3.82,3.82,3.82,3.82,3.82,5,1
1626786172,3.82,3.82,3.72,3.78,3.76331,72,19
1626786173,3.78,3.78,3.78,3.78,3.78,0,0
1626786174,3.78,3.78,3.78,3.78,3.78,0,0
1626786175,3.78,3.78,3.78,3.78,3.78,0,0
1626786176,3.78,3.78,3.78,3.78,3.78,0,0
1626786177,3.78,3.78,3.78,3.78,3.78,0,0
1626786178,3.8,3.8,3.79,3.8,3.7992,12,3
1626786179,3.8,3.8,3.8,3.8,3.8,5,2
1626786180,3.79,3.79,3.79,3.79,3.79,10,4
1626786181,3.79,3.79,3.79,3.79,3.79,1,1
1626786182,3.79,3.79,3.79,3.79,3.79,0,0
1626786183,3.79,3.79,3.79,3.79,3.79,0,0
1626786184,3.71,3.73,3.71,3.73,3.71571,7,4
1626786185,3.73,3.78,3.72,3.72,3.75338,8,6
1626786186,3.71,3.71,3.71,3.71,3.71,2,2
1626786187,3.75,3.75,3.75,3.75,3.75,3,1
1626786188,3.72,3.72,3.72,3.72,3.72,53,4
1626786189,3.73,3.73,3.73,3.73,3.73,2,1
1626786190,3.73,3.73,3.73,3.73,3.73,0,0
1626786191,3.73,3.73,3.73,3.73,3.73,0,0
1626786192,3.73,3.73,3.73,3.73,3.73,0,0
1626786193,3.78,3.78,3.74,3.74,3.74452,8,2
1626786194,3.78,3.79,3.78,3.79,3.78444,8,3
1626786195,3.79,3.79,3.79,3.79,3.79,1,1
1626786196,3.79,3.79,3.79,3.79,3.79,0,0
1626786197,3.79,3.79,3.79,3.79,3.79,0,0
1626786198,3.79,3.8,3.79,3.8,3.79959,49,5
1626786199,3.8,3.8,3.8,3.8,3.8,0,0
1626786200,3.79,3.79,3.79,3.79,3.79,1,1
1626786201,3.79,3.8,3.79,3.8,3.79886,13,4
1626786202,3.8,3.8,3.8,3.8,3.8,0,0
1626786203,3.8,3.8,3.8,3.8,3.8,1,1
1626786204,3.8,3.8,3.8,3.8,3.8,4,1
1626786205,3.8,3.8,3.8,3.8,3.8,0,0
1626786206,3.8,3.8,3.8,3.8,3.8,9,2
1626786207,3.8,3.8,3.76,3.76,3.7833,5,2
1626786208,3.8,3.8,3.77,3.77,3.78286,7,3
1626786209,3.77,3.77,3.77,3.77,3.77,0,0
1626786210,3.77,3.77,3.77,3.77,3.77,0,0
1626786211,3.77,3.77,3.77,3.77,3.77,3,2
1626786212,3.77,3.77,3.77,3.77,3.77,0,0
1626786213,3.77,3.77,3.77,3.77,3.77,0,0
1626786214,3.77,3.77,3.77,3.77,3.77,0,0
1626786215,3.8,3.8,3.8,3.8,3.8,3,1
1626786216,3.78,3.78,3.78,3.78,3.78,5,1
1626786217,3.78,3.78,3.78,3.78,3.78,0,0
1626786218,3.78,3.78,3.78,3.78,3.78,2,1
1626786219,3.78,3.78,3.78,3.78,3.78,0,0
1626786220,3.78,3.78,3.78,3.78,3.78,0,0
1626786221,3.78,3.78,3.78,3.78,3.78,0,0
1626786222,3.78,3.78,3.78,3.78,3.78,0,0
1626786223,3.78,3.78,3.78,3.78,3.78,1,1
1626786224,3.78,3.78,3.78,3.78,3.78,0,0
1626786225,3.78,3.78,3.78,3.78,3.78,3,2
1626786226,3.78,3.78,3.78,3.78,3.78,2,2
1626786227,3.78,3.78,3.78,3.78,3.78,13,5
1626786228,3.78,3.78,3.78,3.78,3.78,1,1
1626786229,3.78,3.78,3.78,3.78,3.78,0,0
1626786230,3.78,3.78,3.78,3.78,3.78,0,0
1626786231,3.78,3.78,3.78,3.78,3.78,1,1
1626786232,3.78,3.78,3.78,3.78,3.78,17,2
1626786233,3.78,3.78,3.78,3.78,3.78,2,1
1626786234,3.77,3.77,3.77,3.77,3.77,2,1
1626786235,3.77,3.77,3.77,3.77,3.77,1,1
1626786236,3.77,3.77,3.77,3.77,3.77,0,0
1626786237,3.77,3.77,3.77,3.77,3.77,0,0
1626786238,3.77,3.77,3.77,3.77,3.77,6,3
1626786239,3.77,3.77,3.77,3.77,3.77,0,0
1626786240,3.77,3.77,3.76,3.76,3.762,5,2
1626786241,3.76,3.76,3.76,3.76,3.76,0,0
1626786242,3.76,3.76,3.76,3.76,3.76,0,0
