date,open,high,low,close,average,volume,count
1626940800,21.49,21.83,20.76,21.83,21.57083,11,7
1626940805,21.83,21.83,21.83,21.83,21.83,0,0
1626940810,22.1,22.1,20.61,20.61,21.37698,17,10
1626940815,20.67,20.67,20.67,20.67,20.67,1,1
1626940820,20.67,20.67,20.67,20.67,20.67,0,0
1626940825,20.67,20.67,20.67,20.67,20.67,0,0
1626940830,21.47,21.5,21.47,21.5,21.49664,8,3
1626940835,21.5,21.5,21.5,21.5,21.5,3,1
1626940840,22.05,22.05,22.05,22.05,22.05,2,2
1626940845,22.1,22.1,22.1,22.1,22.1,3,1
1626940850,22.1,22.5,22.1,22.5,22.35497,17,6
1626940855,22.5,22.5,22.5,22.5,22.5,0,0
1626940860,22.4,22.63,22.4,22.51,22.52632,9,6
1626940865,22.51,22.77,22.4,22.77,22.6261,8,5
1626940870,22.65,23.12,22.65,23.12,22.85748,28,13
1626940875,23.1,23.5,23.03,23.5,23.31268,16,11
1626940880,23.5,23.54,23.14,23.14,23.44606,8,5
1626940885,23.5,23.52,23.5,23.52,23.51,2,2
1626940890,23.5,23.5,23.19,23.19,23.44032,15,9
1626940895,23.44,23.47,23.43,23.43,23.44603,7,4
1626940900,23.43,23.8,23.43,23.54,23.52813,15,7
1626940905,23.97,24.06,23.95,24.06,23.99148,10,5
1626940910,24.0,24.43,24.0,24.0,24.12979,22,12
1626940915,24.31,24.49,24.31,24.49,24.38443,7,6
1626940920,24.21,24.21,23.98,24.0,24.12715,40,12
1626940925,24.1,24.39,23.99,24.23,24.1894,39,10
1626940930,23.99,24.23,23.99,24.1,24.05837,12,8
1626940935,24.1,24.17,24.0,24.17,24.07994,10,5
1626940940,23.96,23.96,23.8,23.91,23.89508,3,3
1626940945,23.52,23.95,23.5,23.5,23.63145,14,7
1626940950,23.53,23.53,23.53,23.53,23.53,1,1
1626940955,23.78,23.78,23.78,23.78,23.78,1,1
1626940960,23.8,23.95,23.79,23.95,23.88532,13,5
1626940965,23.95,23.95,23.95,23.95,23.95,0,0
1626940970,23.95,24.2,23.95,24.2,23.97407,42,12
1626940975,23.94,23.94,23.94,23.94,23.94,1,1
1626940980,23.97,23.97,23.97,23.97,23.97,1,1
1626940985,23.97,23.97,23.84,23.84,23.94215,11,4
1626940990,23.78,23.78,23.78,23.78,23.78,2,2
1626940995,23.75,23.94,23.75,23.94,23.80986,5,3
1626941000,23.95,23.95,23.95,23.95,23.95,1,1
1626941005,23.95,23.95,23.95,23.95,23.95,0,0
1626941010,23.89,23.97,23.89,23.97,23.94021,6,4
1626941015,23.97,24.09,23.97,24.0,24.02579,5,4
1626941020,24.11,24.2,24.11,24.2,24.1675,4,4
1626941025,24.24,24.3,24.24,24.3,24.2772,3,3
1626941030,24.3,24.3,24.3,24.3,24.3,0,0
1626941035,24.3,24.3,24.3,24.3,24.3,0,0
1626941040,24.3,24.3,24.3,24.3,24.3,0,0
1626941045,24.09,24.09,23.97,23.97,23.9768,42,12
1626941050,24.0,24.0,23.9,23.9,23.97015,19,7
1626941055,23.96,23.97,23.95,23.95,23.96143,3,3
1626941060,24.0,24.2,24.0,24.2,24.01553,24,10
1626941065,24.2,24.2,24.2,24.2,24.2,0,0
1626941070,24.16,24.16,24.16,24.16,24.16,1,1
1626941075,24.09,24.11,24.09,24.11,24.1,2,2
1626941080,24.22,24.49,24.22,24.49,24.36731,20,11
1626941085,24.5,24.7,24.2,24.2,24.46201,21,15
1626941090,24.7,24.87,24.7,24.7,24.7455,7,4
1626941095,24.7,24.7,24.7,24.7,24.7,0,0
1626941100,24.7,24.7,24.7,24.7,24.7,0,0
1626941105,24.6,24.6,24.41,24.41,24.51204,2,2
1626941110,24.5,24.5,24.5,24.5,24.5,1,1
1626941115,24.5,24.5,24.5,24.5,24.5,0,0
1626941120,24.59,24.59,24.59,24.59,24.59,3,3
1626941125,24.84,24.92,24.65,24.92,24.83465,11,10
1626941130,24.97,25.2,24.89,24.89,25.00366,53,17
1626941135,24.89,24.98,24.89,24.98,24.92308,5,4
1626941140,24.8,24.89,24.79,24.89,24.81792,12,6
1626941145,24.8,24.89,24.8,24.89,24.84462,9,5
1626941150,24.89,25.24,24.89,25.24,24.99308,7,4
1626941155,25.14,25.21,25.14,25.21,25.175,2,2
1626941160,25.2,25.38,25.19,25.38,25.29926,6,5
1626941165,25.45,25.45,25.1,25.1,25.29617,5,3
1626941170,25.31,25.31,25.12,25.2,25.21909,10,4
1626941175,25.33,25.37,25.33,25.37,25.345,4,3
1626941180,25.37,25.49,25.05,25.21,25.2273,27,10
1626941185,25.44,25.69,25.44,25.69,25.48245,24,11
1626941190,25.69,25.69,25.51,25.51,25.65797,5,4
1626941195,25.7,25.7,25.7,25.7,25.7,3,3
1626941200,25.8,25.85,25.8,25.85,25.83143,3,3
1626941205,25.86,26.0,25.86,26.0,25.95911,38,23
1626941210,26.0,26.0,25.86,25.94,25.97886,51,26
1626941215,25.85,26.0,25.85,25.85,25.90276,16,9
1626941220,25.89,26.1,25.89,26.02,25.99849,29,15
1626941225,26.12,26.12,26.12,26.12,26.12,6,2
1626941230,26.21,26.21,26.21,26.21,26.21,1,1
1626941235,26.23,26.29,26.23,26.29,26.25569,4,3
1626941240,26.25,26.25,26.25,26.25,26.25,8,4
1626941245,26.44,26.45,26.44,26.45,26.44403,7,4
1626941250,26.36,26.45,26.3,26.45,26.35335,9,5
1626941255,26.36,26.45,26.36,26.45,26.41151,3,3
1626941260,26.3,26.3,26.23,26.23,26.25245,24,12
1626941265,26.23,26.23,26.14,26.14,26.19184,7,4
1626941270,26.11,26.11,26.02,26.02,26.0725,2,2
1626941275,26.1,26.11,26.1,26.11,26.10609,5,3
1626941280,26.2,26.2,26.2,26.2,26.2,1,1
1626941285,26.29,26.29,26.21,26.27,26.25545,7,6
1626941290,26.39,26.42,26.39,26.42,26.4079,2,2
1626941295,26.45,26.69,26.45,26.69,26.50717,19,7
1626941300,26.75,26.85,26.75,26.75,26.80788,15,9
1626941305,26.75,26.77,26.75,26.77,26.76399,6,5
1626941310,26.72,26.77,26.72,26.77,26.75043,2,2
1626941315,26.89,26.9,26.89,26.9,26.89909,10,3
1626941320,26.8,26.8,26.8,26.8,26.8,1,1
1626941325,26.73,26.9,26.73,26.9,26.84636,25,9
1626941330,26.91,27.0,26.88,27.0,26.95482,19,8
1626941335,26.94,26.94,26.88,26.88,26.90087,46,19
1626941340,26.9,26.9,26.8,26.8,26.85568,10,9
1626941345,26.9,27.29,26.9,27.29,27.09082,13,9
1626941350,27.29,27.29,27.29,27.29,27.29,3,2
1626941355,27.29,27.29,27.29,27.29,27.29,1,1
1626941360,27.39,27.54,27.39,27.45,27.45525,8,7
1626941365,27.5,27.55,27.39,27.39,27.48978,16,11
1626941370,27.4,27.4,27.3,27.3,27.35589,21,16
1626941375,27.3,27.3,27.3,27.3,27.3,2,2
1626941380,27.59,27.59,27.59,27.59,27.59,1,1
1626941385,27.58,27.8,27.57,27.8,27.64121,38,16
1626941390,27.8,28.0,27.76,28.0,27.86431,49,21
1626941395,28.0,28.07,28.0,28.0,28.01123,12,7
1626941400,28.0,28.01,27.71,28.0,27.93567,44,23
1626941405,28.0,28.0,27.62,28.0,27.87285,34,10
1626941410,27.99,27.99,27.99,27.99,27.99,4,1
1626941415,27.8,27.8,27.78,27.78,27.78526,3,2
1626941420,27.78,27.9,27.7,27.9,27.77211,11,6
1626941425,27.78,27.78,27.61,27.61,27.68755,17,9
1626941430,27.61,27.62,27.61,27.62,27.61302,3,3
1626941435,27.61,27.67,27.5,27.5,27.59482,30,15
1626941440,27.45,27.63,27.45,27.63,27.56699,8,2
1626941445,27.44,27.44,27.44,27.44,27.44,2,1
1626941450,27.35,27.35,27.16,27.35,27.25164,9,6
1626941455,27.35,27.5,27.35,27.5,27.37439,14,5
1626941460,27.63,27.64,27.63,27.64,27.63495,2,2
1626941465,27.51,27.51,27.35,27.5,27.4778,11,6
1626941470,27.27,27.27,27.27,27.27,27.27,2,1
1626941475,27.13,27.13,27.03,27.04,27.0575,8,6
1626941480,27.44,27.51,27.44,27.51,27.45993,7,5
1626941485,27.51,27.51,27.51,27.51,27.51,0,0
1626941490,27.36,27.48,27.36,27.48,27.41769,2,2
1626941495,27.5,27.51,27.32,27.51,27.47491,16,8
1626941500,27.51,27.51,27.51,27.51,27.51,0,0
1626941505,27.44,27.44,27.44,27.44,27.44,1,1
1626941510,27.36,27.36,27.21,27.21,27.29551,7,5
1626941515,27.2,27.2,27.2,27.2,27.2,4,3
1626941520,27.27,27.27,27.27,27.27,27.27,2,2
1626941525,27.3,27.3,27.0,27.0,27.11411,13,10
1626941530,27.0,27.2,27.0,27.2,27.02106,30,13
1626941535,27.05,27.1,27.01,27.01,27.04344,4,4
1626941540,27.01,27.01,26.8,26.8,26.87649,5,3
1626941545,26.59,26.59,26.5,26.52,26.53116,4,4
1626941550,26.64,26.76,26.59,26.61,26.62565,17,8
1626941555,26.77,26.77,26.77,26.77,26.77,1,1
1626941560,26.77,26.77,26.77,26.77,26.77,0,0
1626941565,26.77,26.77,26.77,26.77,26.77,0,0
1626941570,26.77,26.77,26.77,26.77,26.77,0,0
1626941575,26.77,26.77,26.77,26.77,26.77,1,1
1626941580,26.77,26.77,26.77,26.77,26.77,0,0
1626941585,26.85,27.1,26.77,27.05,26.97397,25,13
1626941590,27.17,27.17,27.17,27.17,27.17,1,1
1626941595,27.17,27.21,27.17,27.18,27.18594,8,4
1626941600,27.27,27.44,27.27,27.44,27.41418,7,4
1626941605,27.45,27.47,27.45,27.47,27.45693,8,3
1626941610,27.5,27.71,27.5,27.71,27.6402,19,9
1626941615,27.7,27.7,27.5,27.5,27.52614,21,9
