date,open,high,low,close,average,volume,count
1626444000,748.19,748.19,748.19,748.19,748.19,1,1
1626444001,748.19,748.19,748.19,748.19,748.19,0,0
1626444002,748.4,748.4,748.4,748.4,748.4,3,3
1626444003,748.42,748.42,748.26,748.26,748.32,2,2
1626444004,748.45,748.45,748.44,748.44,748.445,2,2
1626444005,748.22,748.22,748.21,748.22,748.215,1,1
1626444006,748.4,748.42,748.26,748.26,748.372,8,8
1626444007,748.14,748.41,748.14,748.19,748.185,16,3
1626444008,748.13,748.13,748.13,748.13,748.13,3,3
1626444009,748.02,748.29,748.02,748.26,748.094,7,3
1626444010,748.3,748.3,748.29,748.3,748.299,4,2
1626444011,748.3,748.3,748.29,748.3,748.3,0,0
1626444012,748.5,748.5,748.34,748.34,748.42,2,2
1626444013,748.34,748.34,748.34,748.34,748.34,0,0
1626444014,748.34,748.34,748.34,748.34,748.34,0,0
1626444015,748.34,748.34,748.34,748.34,748.34,0,0
1626444016,748.65,748.73,748.64,748.72,748.692,4,2
1626444017,748.72,748.73,748.72,748.72,748.72,0,0
1626444018,748.75,748.75,748.75,748.75,748.75,2,2
1626444019,748.76,748.77,748.76,748.76,748.765,11,2
1626444020,748.89,749.04,748.79,748.8,748.934,13,13
1626444021,749.13,749.23,749.0,749.16,749.093,9,9
1626444022,749.16,749.16,749.16,749.16,749.16,0,0
1626444023,748.84,749.21,748.84,749.04,749.099,6,5
1626444024,748.89,749.17,748.89,749.17,748.989,4,4
1626444025,749.17,749.17,749.16,749.17,749.17,0,0
1626444026,748.89,749.0,748.89,749.0,748.91,17,8
1626444027,749.22,749.4,749.04,749.04,749.199,9,9
1626444028,749.25,749.48,748.69,749.24,749.019,8,5
1626444029,749.24,749.24,749.24,749.24,749.24,0,0
1626444030,749.24,749.24,749.24,749.24,749.24,0,0
1626444031,749.32,749.32,749.31,749.32,749.319,1,1
1626444032,749.5,749.5,749.46,749.47,749.488,3,3
1626444033,749.2,749.2,749.05,749.16,749.135,3,3
1626444034,749.0,749.13,748.9,748.9,749.052,19,9
1626444035,748.97,748.97,748.97,748.97,748.97,1,1
1626444036,749.11,749.2,749.11,749.19,749.143,3,3
1626444037,749.19,749.2,749.19,749.19,749.19,0,0
1626444038,749.19,749.2,749.19,749.19,749.19,0,0
1626444039,749.59,749.59,749.59,749.59,749.59,5,1
1626444040,749.32,749.32,749.16,749.2,749.262,8,4
1626444041,749.18,749.18,749.16,749.16,749.17,2,2
1626444042,749.01,749.01,748.81,748.81,748.84,14,3
1626444043,749.16,749.16,749.16,749.16,749.16,1,1
1626444044,749.16,749.16,749.16,749.16,749.16,0,0
1626444045,749.06,749.06,749.06,749.06,749.06,1,1
1626444046,749.06,749.06,749.06,749.06,749.06,0,0
1626444047,749.46,749.46,749.06,749.08,749.122,6,3
1626444048,749.08,749.08,749.08,749.08,749.08,0,0
1626444049,749.21,749.21,748.69,749.16,748.951,14,9
1626444050,749.2,749.2,749.06,749.06,749.14,3,3
1626444051,749.12,749.12,748.8,748.82,748.956,5,5
1626444052,749.08,749.08,749.0,749.0,749.053,3,3
1626444053,749.0,749.0,749.0,749.0,749.0,0,0
1626444054,749.0,749.0,749.0,749.0,749.0,0,0
1626444055,748.97,748.97,748.97,748.97,748.97,2,1
1626444056,748.97,748.97,748.97,748.97,748.97,0,0
1626444057,748.97,748.97,748.97,748.97,748.97,0,0
1626444058,748.77,748.98,748.77,748.98,748.929,20,5
1626444059,749.09,749.09,749.09,749.09,749.09,1,1
1626444060,748.98,748.98,748.98,748.98,748.98,1,1
1626444061,749.19,749.2,749.19,749.19,749.193,1,1
1626444062,749.04,749.04,749.04,749.04,749.04,1,1
1626444063,749.04,749.04,749.04,749.04,749.04,0,0
1626444064,748.8,748.8,748.8,748.8,748.8,1,1
1626444065,749.17,749.18,748.99,749.0,749.115,3,3
1626444066,749.0,749.0,748.99,749.0,749.0,0,0
1626444067,749.07,749.07,749.06,749.07,749.065,2,2
1626444068,749.07,749.07,749.06,749.07,749.065,1,1
1626444069,749.07,749.07,749.06,749.07,749.07,0,0
