date,open,high,low,close,average,volume,count
1631088300,7.29,7.3,7.29,7.3,7.29742,3,2
1631088600,7.29,7.29,7.28,7.28,7.285,4,2
1631088900,7.27,7.27,7.24,7.27,7.26809,38,9
1631089200,7.26,7.26,7.23,7.23,7.24172,14,5
1631089500,7.23,7.24,7.23,7.23,7.23184,10,7
1631089800,7.23,7.23,7.23,7.23,7.23,0,0
1631090100,7.23,7.23,7.23,7.23,7.23,6,3
1631090400,7.23,7.23,7.23,7.23,7.23,1,1
1631090700,7.23,7.23,7.23,7.23,7.23,0,0
1631091000,7.23,7.23,7.23,7.23,7.23,0,0
1631091300,7.23,7.23,7.23,7.23,7.23,0,0
1631091600,7.26,7.26,7.26,7.26,7.26,8,3
1631091900,7.26,7.26,7.26,7.26,7.26,0,0
1631092200,7.28,7.28,7.28,7.28,7.28,2,2
1631092500,7.25,7.26,7.24,7.26,7.25,3,3
1631092800,7.26,7.26,7.26,7.26,7.26,1,1
1631093100,7.25,7.25,7.25,7.25,7.25,1,1
1631093400,7.25,7.25,7.25,7.25,7.25,0,0
1631093700,7.26,7.26,7.26,7.26,7.26,1,1
1631094000,7.25,7.25,7.25,7.25,7.25,1,1
1631094300,7.25,7.25,7.25,7.25,7.25,1,1
1631094600,7.25,7.25,7.25,7.25,7.25,1,1
1631094900,7.25,7.25,7.25,7.25,7.25,0,0
1631095200,7.26,7.26,7.25,7.26,7.25795,10,5
1631095500,7.26,7.26,7.26,7.26,7.26,0,0
1631095800,7.26,7.26,7.26,7.26,7.26,0,0
1631096100,7.26,7.26,7.26,7.26,7.26,0,0
1631096400,7.27,7.27,7.25,7.25,7.26,2,2
1631096700,7.25,7.25,7.25,7.25,7.25,0,0
1631097000,7.25,7.25,7.25,7.25,7.25,0,0
1631097300,7.25,7.25,7.25,7.25,7.25,0,0
1631097600,7.28,7.28,7.28,7.28,7.28,13,3
1631097900,7.28,7.28,7.28,7.28,7.28,1,1
1631098200,7.29,7.29,7.29,7.29,7.29,1,1
1631098500,7.29,7.29,7.29,7.29,7.29,0,0
1631098800,7.27,7.33,7.27,7.33,7.30685,25,9
1631099100,7.31,7.32,7.31,7.32,7.31543,20,4
1631099400,7.32,7.32,7.32,7.32,7.32,0,0
1631099700,7.31,7.31,7.31,7.31,7.31,1,1
1631100000,7.32,7.32,7.32,7.32,7.32,14,5
1631100300,7.32,7.32,7.32,7.32,7.32,0,0
1631100600,7.32,7.32,7.32,7.32,7.32,0,0
1631100900,7.33,7.35,7.33,7.35,7.33812,60,11
1631101200,7.36,7.36,7.36,7.36,7.36,10,3
1631101500,7.36,7.36,7.36,7.36,7.36,0,0
1631101800,7.36,7.36,7.36,7.36,7.36,0,0
1631102100,7.36,7.38,7.36,7.38,7.37407,32,11
1631102400,7.3299,7.38,7.31,7.38,7.34534,286,38
1631102700,7.38,7.38,7.38,7.38,7.38,14,3
1631103000,7.38,7.38,7.38,7.38,7.38,0,0
1631103300,7.37,7.37,7.35,7.35,7.351,20,6
1631103600,7.37,7.37,7.37,7.37,7.37,1,1
1631103900,7.35,7.35,7.3499,7.35,7.34998,17,4
1631104200,7.33,7.35,7.33,7.35,7.33505,5,2
1631104500,7.3496,7.35,7.33,7.33,7.34782,39,6
1631104800,7.33,7.33,7.33,7.33,7.33,10,3
1631105100,7.36,7.36,7.36,7.36,7.36,1,1
1631105400,7.33,7.33,7.31,7.31,7.32493,5,5
1631105700,7.31,7.3101,7.31,7.31,7.31003,19,4
1631106000,7.32,7.33,7.3,7.3,7.31071,25,7
1631106300,7.3,7.31,7.3,7.3,7.30055,69,7
1631106600,7.3001,7.31,7.3,7.3,7.3003,38,8
1631106900,7.31,7.32,7.3,7.3007,7.30685,45,4
1631107200,7.31,7.32,7.31,7.32,7.31093,10,3
1631107500,7.31,7.31,7.31,7.31,7.31,4,3
1631107800,7.33,7.38,7.25,7.2708,7.3081,2231,431
1631108100,7.27,7.29,7.23,7.2648,7.25328,1150,413
1631108400,7.27,7.31,7.26,7.2701,7.28425,584,270
1631108700,7.275,7.2784,7.24,7.255,7.25577,610,229
1631109000,7.2548,7.28,7.24,7.259,7.25468,464,179
1631109300,7.255,7.26,7.15,7.1695,7.18791,1758,418
1631109600,7.161,7.21,7.15,7.174,7.166,923,321
1631109900,7.1794,7.1824,7.13,7.1608,7.15635,1501,467
1631110200,7.16,7.1644,7.15,7.1547,7.15615,556,150
1631110500,7.151,7.19,7.151,7.1648,7.16956,988,268
1631110800,7.1691,7.19,7.1518,7.155,7.1742,531,176
1631111100,7.1538,7.155,7.09,7.12,7.1171,1384,428
1631111400,7.1244,7.14,7.09,7.11,7.11095,1025,306
1631111700,7.115,7.12,7.07,7.0736,7.09603,1043,317
1631112000,7.0701,7.1,7.065,7.091,7.081,970,261
1631112300,7.0982,7.15,7.09,7.1405,7.11952,902,254
1631112600,7.142,7.15,7.08,7.0899,7.10486,517,188
1631112900,7.0811,7.13,7.07,7.1,7.09636,855,280
1631113200,7.1,7.11,7.0716,7.11,7.08993,854,302
1631113500,7.103,7.1162,7.071,7.0905,7.09155,448,215
1631113800,7.095,7.155,7.095,7.155,7.12137,417,155
1631114100,7.15,7.196,7.1408,7.19,7.1655,369,150
1631114400,7.1908,7.2,7.176,7.1837,7.18697,517,179
1631114700,7.1807,7.19,7.17,7.1711,7.17897,430,129
1631115000,7.17,7.2,7.17,7.2,7.1775,483,131
1631115300,7.2,7.27,7.2,7.2681,7.24269,818,211
1631115600,7.265,7.28,7.23,7.23,7.2553,488,197
1631115900,7.23,7.23,7.2,7.2088,7.21134,237,108
1631116200,7.2062,7.2062,7.19,7.1931,7.19722,258,90
1631116500,7.19,7.195,7.16,7.19,7.17503,278,123
1631116800,7.1909,7.2,7.17,7.195,7.18679,324,152
1631117100,7.195,7.2099,7.19,7.205,7.19474,124,46
1631117400,7.21,7.215,7.19,7.19,7.20132,325,96
1631117700,7.1871,7.215,7.18,7.215,7.1947,458,99
1631118000,7.22,7.24,7.22,7.235,7.23088,148,50
1631118300,7.23,7.235,7.22,7.225,7.22383,281,100
1631118600,7.2208,7.2299,7.2,7.2,7.21703,403,174
1631118900,7.2012,7.205,7.18,7.19,7.19437,249,101
1631119200,7.195,7.195,7.17,7.175,7.17711,244,74
1631119500,7.175,7.18,7.165,7.17,7.17146,329,148
1631119800,7.175,7.22,7.1711,7.215,7.18976,215,51
1631120100,7.215,7.23,7.2016,7.2299,7.21796,229,66
1631120400,7.225,7.23,7.195,7.195,7.20785,196,108
1631120700,7.195,7.2,7.19,7.1933,7.19484,161,71
1631121000,7.195,7.205,7.18,7.2001,7.1861,252,80
1631121300,7.2082,7.21,7.2,7.205,7.20399,201,111
1631121600,7.205,7.2099,7.18,7.1832,7.19425,271,98
1631121900,7.189,7.1899,7.18,7.1887,7.18371,108,40
1631122200,7.1812,7.1812,7.17,7.17,7.17726,70,34
1631122500,7.175,7.18,7.17,7.179,7.17434,158,50
1631122800,7.1729,7.1799,7.16,7.1649,7.1692,368,100
1631123100,7.165,7.18,7.16,7.165,7.17036,305,132
1631123400,7.1665,7.18,7.165,7.17,7.17356,142,49
1631123700,7.175,7.1993,7.175,7.1908,7.18129,311,111
1631124000,7.19,7.2,7.18,7.18,7.18767,215,108
1631124300,7.18,7.185,7.16,7.165,7.16765,449,115
1631124600,7.16,7.169,7.16,7.16,7.16407,86,34
1631124900,7.1691,7.18,7.15,7.1733,7.16221,540,186
1631125200,7.1764,7.2,7.16,7.198,7.18138,425,130
1631125500,7.1992,7.2,7.19,7.195,7.19651,95,44
1631125800,7.19,7.1999,7.19,7.195,7.19473,151,38
1631126100,7.195,7.2,7.17,7.1782,7.18415,380,97
1631126400,7.175,7.18,7.14,7.1414,7.15685,541,95
1631126700,7.1499,7.15,7.14,7.145,7.14538,218,47
1631127000,7.145,7.15,7.14,7.14,7.14498,88,33
1631127300,7.145,7.15,7.11,7.11,7.13126,310,111
1631127600,7.1109,7.12,7.11,7.111,7.11687,341,121
1631127900,7.1183,7.13,7.11,7.1262,7.11936,469,94
1631128200,7.125,7.17,7.12,7.1512,7.15695,319,126
1631128500,7.15,7.15,7.1313,7.135,7.14172,155,68
1631128800,7.1399,7.14,7.13,7.135,7.13534,214,48
1631129100,7.135,7.14,7.12,7.1207,7.1347,441,87
1631129400,7.12,7.13,7.1,7.13,7.1171,584,223
1631129700,7.1212,7.17,7.12,7.1608,7.14303,685,218
1631130000,7.1634,7.1634,7.11,7.115,7.12318,732,219
1631130300,7.1138,7.1284,7.1001,7.12,7.11565,922,322
1631130600,7.12,7.13,7.1,7.1051,7.11338,1721,525
1631130900,7.1,7.12,7.0818,7.105,7.10137,2746,761
1631131200,7.11,7.12,7.08,7.1,7.11002,1525,14
1631131500,7.14,7.17,7.1,7.1,7.15057,25,10
1631131800,7.16,7.2,7.1,7.19,7.17745,93,21
1631132100,7.17,7.2,7.17,7.19,7.18827,62,13
1631132400,7.18,7.19,7.15,7.15,7.16979,23,12
1631132700,7.15,7.15,7.15,7.15,7.15,25,5
1631133000,7.12,7.15,7.12,7.15,7.1298,26,8
1631133300,7.15,7.16,7.15,7.15,7.15192,17,4
1631133600,7.17,7.17,7.15,7.16,7.15308,31,11
1631133900,7.1699,7.1699,7.1499,7.15,7.15026,76,7
1631134200,7.17,7.17,7.1499,7.1499,7.15516,10,5
1631134500,7.15,7.15,7.14,7.15,7.14872,23,8
1631134800,7.14,7.15,7.14,7.14,7.1476,20,7
1631135100,7.14,7.19,7.14,7.19,7.16612,23,7
1631135400,7.1999,7.2,7.18,7.18,7.18752,44,10
1631135700,7.18,7.2,7.18,7.18,7.18254,7,4
1631136000,7.18,7.18,7.15,7.15,7.15638,4,2
1631136300,7.15,7.15,7.14,7.15,7.1488,25,6
1631136600,7.15,7.15,7.15,7.15,7.15,5,4
1631136900,7.15,7.15,7.15,7.15,7.15,1,1
1631137200,7.15,7.15,7.15,7.15,7.15,0,0
1631137500,7.15,7.15,7.15,7.15,7.15,3,2
1631137800,7.15,7.15,7.15,7.15,7.15,0,0
1631138100,7.1999,7.1999,7.1999,7.1999,7.1999,20,1
1631138400,7.1999,7.1999,7.1999,7.1999,7.1999,0,0
1631138700,7.17,7.17,7.17,7.17,7.17,13,3
1631139000,7.17,7.17,7.17,7.17,7.17,0,0
1631139300,7.2,7.2,7.2,7.2,7.2,2,2
1631139600,7.2,7.2,7.2,7.2,7.2,0,0
1631139900,7.17,7.17,7.17,7.17,7.17,2,2
1631140200,7.18,7.18,7.17,7.17,7.17259,3,2
1631140500,7.17,7.17,7.17,7.17,7.17,0,0
1631140800,7.17,7.17,7.17,7.17,7.17,0,0
1631141100,7.18,7.18,7.18,7.18,7.18,1,1
1631141400,7.19,7.19,7.15,7.15,7.17008,7,3
1631141700,7.18,7.18,7.18,7.18,7.18,9,2
1631142000,7.16,7.16,7.16,7.16,7.16,1,1
1631142300,7.17,7.17,7.17,7.17,7.17,3,1
1631142600,7.17,7.17,7.17,7.17,7.17,6,2
1631142900,7.15,7.15,7.15,7.15,7.15,1,1
1631143200,7.17,7.2,7.15,7.15,7.19785,89,4
1631143500,7.18,7.18,7.18,7.18,7.18,60,5
1631143800,7.17,7.18,7.17,7.17,7.17827,11,3
1631144100,7.17,7.17,7.17,7.17,7.17,0,0
1631144400,7.18,7.18,7.18,7.18,7.18,2,2
1631144700,7.1999,7.2,7.19,7.2,7.19845,30,4
1631145000,7.2,7.2,7.19,7.19,7.19984,92,5
1631145300,7.2,7.2,7.18,7.18,7.18196,10,3
1631175300,7.07,7.07,7.06,7.06,7.06297,3,3
1631175600,7.06,7.06,7.06,7.06,7.06,0,0
1631175900,7.06,7.06,7.06,7.06,7.06,1,1
1631176200,7.15,7.15,7.15,7.15,7.15,2,2
1631176500,7.15,7.15,7.15,7.15,7.15,5,4
1631176800,7.15,7.15,7.15,7.15,7.15,0,0
1631177100,7.15,7.15,7.15,7.15,7.15,0,0
1631177400,7.15,7.15,7.15,7.15,7.15,0,0
1631177700,7.15,7.15,7.15,7.15,7.15,0,0
