date,open,high,low,close,average,volume,count
1636119000,10.11,10.11,10.11,10.11,10.11,48,25
1636119001,10.12,10.14,10.1,10.12,10.11886,90,36
1636119002,10.13,10.14,10.12,10.13,10.13006,2610,43
1636119003,10.125,10.18,10.12,10.17,10.14342,313,136
1636119004,10.18,10.19,10.1201,10.1201,10.16681,58,34
1636119005,10.14,10.169,10.13,10.165,10.1574,49,17
1636119006,10.1201,10.18,10.1201,10.18,10.14554,148,10
1636119007,10.16,10.18,10.11,10.1299,10.13829,109,63
1636119008,10.13,10.15,10.12,10.122,10.12911,106,36
1636119009,10.1397,10.15,10.1324,10.15,10.14126,63,15
1636119010,10.14,10.15,10.14,10.15,10.14638,75,16
1636119011,10.16,10.18,10.155,10.175,10.1619,49,14
1636119012,10.19,10.19,10.17,10.19,10.18832,19,11
1636119013,10.19,10.19,10.17,10.19,10.18576,78,18
1636119014,10.1838,10.189,10.17,10.18,10.17968,26,12
1636119015,10.1886,10.1886,10.181,10.181,10.18353,30,2
1636119016,10.17,10.17,10.15,10.1601,10.16375,36,19
1636119017,10.1501,10.16,10.1501,10.16,10.15321,34,5
1636119018,10.1586,10.16,10.155,10.16,10.15767,29,6
1636119019,10.155,10.155,10.155,10.155,10.155,5,1
1636119020,10.155,10.16,10.155,10.16,10.15773,5,3
1636119021,10.1501,10.1599,10.15,10.1599,10.15705,56,5
1636119022,10.16,10.1875,10.16,10.1875,10.16403,61,26
1636119023,10.188,10.19,10.18,10.18,10.18981,97,21
1636119024,10.19,10.19,10.18,10.1899,10.18898,87,13
1636119025,10.188,10.1893,10.17,10.18,10.18595,78,5
1636119026,10.19,10.2,10.1801,10.19,10.19015,32,12
1636119027,10.19,10.19,10.185,10.19,10.18777,36,6
1636119028,10.18,10.19,10.18,10.1894,10.1871,24,8
1636119029,10.1895,10.19,10.18,10.185,10.18934,39,6
1636119030,10.1813,10.19,10.18,10.1895,10.18355,24,5
1636119031,10.185,10.19,10.175,10.1799,10.17885,103,18
1636119032,10.18,10.19,10.17,10.1701,10.17285,52,10
1636119033,10.175,10.19,10.175,10.19,10.18058,69,28
1636119034,10.18,10.2,10.18,10.19,10.19156,59,18
1636119035,10.19,10.19,10.19,10.19,10.19,9,6
1636119036,10.181,10.2,10.181,10.2,10.19245,18,7
1636119037,10.19,10.2,10.1801,10.2,10.19247,64,20
1636119038,10.209,10.25,10.195,10.25,10.21723,314,68
1636119039,10.24,10.249,10.23,10.249,10.24003,31,18
1636119040,10.25,10.28,10.23,10.28,10.2695,688,155
