date,open,high,low,close,average,volume,count
20201228,5.36,7.4,5.36,6.22,5.858,23473,6782
20201229,6.05,6.3,3.31,3.98,4.982,19498,5745
20201230,3.75,4.47,3.57,4.3,4.205,34170,11844
20201231,4.21,4.24,4.06,4.15,4.121,9032,3187
20210104,4.03,4.42,4.02,4.35,4.224,11349,3823
20210105,4.32,4.67,4.25,4.43,4.415,7709,2165
20210106,4.17,4.59,4.17,4.46,4.484,5553,1879
20210107,4.5,4.65,4.41,4.58,4.563,5596,2163
20210108,4.58,4.69,4.45,4.48,4.55,3141,1010
20210111,4.35,4.54,4.31,4.36,4.398,4850,1229
20210112,4.37,4.54,4.34,4.45,4.46,4339,1136
20210113,4.58,4.58,4.39,4.4,4.448,2091,744
20210114,4.38,4.56,4.35,4.5,4.48,3033,744
20210115,4.42,4.5,4.31,4.35,4.388,6158,1547
20210119,4.4,4.52,4.31,4.31,4.41,2774,933
20210120,4.35,4.44,4.2,4.23,4.277,2746,906
20210121,4.25,4.33,4.17,4.2,4.238,3391,1023
20210122,4.24,4.55,4.18,4.46,4.414,5879,1581
20210125,4.46,4.66,4.33,4.62,4.535,2965,1026
20210126,4.63,4.76,4.5,4.51,4.602,3541,1343
20210127,4.44,4.5,4.26,4.32,4.39,3662,1347
20210128,4.34,4.41,4.2,4.2,4.278,2966,1228
20210129,4.22,4.33,4.09,4.17,4.207,3577,1127
20210201,4.18,4.32,4.1,4.25,4.213,3079,1147
20210202,4.3,4.32,4.2,4.27,4.258,2568,923
20210203,4.29,4.54,4.25,4.35,4.416,4012,1294
20210204,4.38,4.55,4.35,4.52,4.469,2464,833
20210205,4.54,4.68,4.4,4.58,4.532,3898,1029
20210208,4.63,4.95,4.6,4.84,4.798,4220,1375
20210209,4.8,4.93,4.76,4.77,4.819,2231,667
20210210,4.75,4.87,4.63,4.65,4.713,3370,987
20210211,4.72,4.72,4.41,4.53,4.559,4476,1085
20210212,4.53,4.72,4.41,4.59,4.6,3207,817
20210216,4.61,4.64,4.42,4.51,4.554,6541,1750
20210217,4.48,4.5,4.36,4.43,4.433,1796,561
20210218,4.37,4.4,4.27,4.27,4.345,2581,656
20210219,4.34,4.43,4.25,4.3,4.35,2619,588
20210222,4.29,4.35,4.23,4.34,4.265,4391,1360
20210223,4.13,4.25,3.95,4.16,4.086,3473,1422
20210224,4.18,4.22,4.03,4.14,4.114,4343,1498
20210225,4.22,4.25,3.91,3.96,4.037,3279,996
20210226,3.96,4.04,3.78,3.9,3.913,6108,1265
20210301,3.85,3.98,3.77,3.9,3.857,1781,621
20210302,3.85,3.95,3.72,3.8,3.805,2888,987
20210303,3.79,3.89,3.6,3.72,3.685,2041,628
20210304,3.64,3.65,3.39,3.48,3.516,3280,983
20210305,3.48,3.59,3.27,3.56,3.458,2525,950
20210308,3.58,3.7,3.48,3.54,3.592,2139,802
20210309,3.62,3.72,3.59,3.63,3.651,2392,819
20210310,3.71,3.84,3.65,3.68,3.731,2810,905
20210311,3.74,3.74,3.59,3.73,3.657,2744,845
20210312,3.7,3.72,3.56,3.69,3.646,2078,604
20210315,3.89,3.9,3.63,3.68,3.671,2073,692
20210316,3.64,3.66,3.48,3.63,3.569,3144,991
20210317,3.56,3.98,3.4,3.59,3.51,5138,1195
20210318,3.52,4.0,3.47,3.78,3.782,6340,1605
20210319,3.77,3.87,3.7,3.86,3.798,2153,613
20210322,3.87,3.89,3.72,3.79,3.797,1685,496
20210323,3.79,3.89,3.6,3.6,3.672,2365,895
20210324,3.65,3.72,3.46,3.47,3.589,3919,1132
20210325,3.46,3.91,3.46,3.82,3.735,3594,1417
20210326,3.84,3.88,3.67,3.73,3.768,4392,1879
20210329,3.72,4.05,3.61,3.95,3.873,4608,1712
20210330,3.95,4.0,3.3,3.5,3.575,4729,1732
20210331,3.38,3.51,3.1,3.28,3.254,8147,2399
20210401,3.31,3.55,3.3,3.45,3.416,3880,1424
20210405,3.42,3.51,3.39,3.45,3.447,1418,564
20210406,3.44,3.55,3.34,3.5,3.441,1478,718
20210407,3.47,3.47,3.31,3.31,3.361,1321,658
20210408,3.3,3.33,3.18,3.24,3.221,2463,855
20210409,3.31,3.36,3.22,3.31,3.299,2033,631
20210412,3.3,3.33,3.1,3.18,3.158,2651,1112
20210413,3.13,3.19,2.96,2.97,3.018,2362,834
20210414,2.95,3.15,2.95,3.05,3.07,3166,1349
20210415,3.05,3.18,3.02,3.15,3.132,1487,634
20210416,3.49,3.49,3.03,3.27,3.187,2525,1000
20210419,3.27,3.27,3.09,3.16,3.154,1488,539
20210420,3.15,3.15,3.02,3.04,3.052,1994,757
20210421,3.06,3.15,3.02,3.15,3.079,1625,691
20210422,3.12,3.18,3.07,3.14,3.122,894,438
20210423,3.12,3.15,3.03,3.04,3.069,1894,805
20210426,3.05,3.1,3.02,3.03,3.054,2012,854
20210427,3.02,3.04,2.87,2.93,2.937,5423,1514
20210428,2.98,3.0,2.89,2.97,2.939,2436,921
20210429,3.09,3.67,2.87,2.87,2.963,2218,836
20210430,2.85,2.97,2.81,2.91,2.894,1610,483
20210503,2.88,3.05,2.85,3.0,2.985,1665,593
20210504,3.05,3.06,2.9,2.97,2.972,1505,557
20210505,2.95,3.25,2.9,2.99,3.085,3436,1072
20210506,3.04,3.05,2.87,2.97,2.939,2098,620
20210507,2.98,3.05,2.89,2.91,2.94,2022,855
20210510,2.9,3.09,2.87,2.95,2.983,2731,974
20210511,2.98,3.25,2.94,3.24,3.175,2588,907
20210512,3.19,3.24,3.1,3.1,3.173,1467,487
20210513,3.14,3.2,2.95,3.01,3.066,3676,981
20210514,3.07,3.14,3.01,3.07,3.076,1413,720
20210517,3.02,3.09,3.01,3.01,3.042,1227,474
20210518,3.01,3.14,3.0,3.12,3.107,1435,568
20210519,3.08,3.13,3.03,3.07,3.075,510,223
20210520,3.28,3.28,2.94,3.02,3.032,2243,837
20210521,3.05,3.12,3.0,3.06,3.065,1017,398
20210524,3.07,3.07,2.92,2.92,2.977,1208,409
20210525,2.94,3.03,2.91,2.97,2.945,1283,459
20210526,3.0,3.0,2.87,2.9,2.903,2680,640
20210527,2.9,2.95,2.9,2.94,2.932,1105,326
20210528,2.92,2.97,2.89,2.91,2.917,804,267
20210601,2.95,2.95,2.87,2.88,2.891,823,303
20210602,2.92,2.92,2.89,2.92,2.907,1090,432
20210603,2.92,2.99,2.9,2.94,2.946,1096,407
20210604,2.95,2.96,2.93,2.95,2.944,854,326
20210607,2.95,2.96,2.92,2.94,2.944,1387,467
20210608,2.96,3.02,2.93,3.02,2.979,1845,588
20210609,3.02,3.1,2.98,3.07,3.051,2307,987
20210610,3.0,3.26,3.0,3.21,3.176,3224,1011
20210611,3.18,3.26,3.05,3.07,3.113,1683,662
20210614,3.1,3.13,3.05,3.06,3.08,1905,778
20210615,3.06,3.08,2.96,3.01,3.001,1259,630
20210616,2.95,3.0,2.89,2.99,2.943,1524,639
20210617,2.9,2.98,2.87,2.94,2.911,2096,906
20210618,3.08,3.48,2.85,2.89,2.894,8896,1312
20210621,2.88,3.04,2.77,2.88,2.858,2116,870
20210622,2.85,2.86,2.74,2.85,2.794,2342,822
20210623,2.86,2.88,2.77,2.83,2.806,1887,780
20210624,2.83,2.9,2.78,2.9,2.829,1728,868
20210625,3.11,5.15,3.11,3.6,4.172,562265,151476
