date,open,high,low,close,average,volume,count
20211206,29.53,30.26,29.0,29.91,29.761,98391,46321
20211207,30.35,31.7,30.21,31.5,31.131,121682,54667
20211208,31.22,31.79,30.69,30.8,30.957,98197,39235
20211209,30.98,31.02,30.11,30.15,30.416,80211,34130
20211210,30.24,30.9,29.71,30.85,30.31,85111,38147
20211213,30.88,30.97,29.04,29.25,29.457,112073,47548
20211214,29.22,29.64,28.61,28.83,28.98,107302,45287
20211215,28.86,28.86,27.22,28.64,27.993,159793,69011
20211216,29.0,29.7,28.31,28.33,28.95,112978,50081
20211217,28.17,28.48,27.43,28.0,27.984,207338,60481
20211220,27.19,27.22,26.05,27.12,26.76,186721,79564
20211221,27.49,28.67,27.3,28.6,28.26,115119,51190
20211222,28.34,29.27,28.24,28.93,28.88,73431,33951
20211223,28.96,29.37,28.53,28.93,29.033,74581,31037
20211227,29.0,29.72,28.2,29.69,29.303,74994,30769
20211228,29.74,30.38,29.35,29.6,29.687,84711,31162
20211229,29.58,29.68,29.01,29.26,29.298,88117,35268
20211230,29.08,29.63,28.91,28.91,29.218,87478,36065
20211231,28.98,29.23,28.66,29.05,29.018,78088,30818
20220103,29.43,31.15,29.03,31.04,30.675,134812,56936
20220104,31.01,33.72,31.01,33.45,33.163,241236,100305
20220105,33.4,33.82,31.77,31.87,32.75,190025,81291
20220106,32.12,33.48,31.91,32.9,32.676,167599,70579
20220107,32.85,33.59,32.69,33.28,33.128,130017,58838
20220110,33.49,33.51,31.93,32.45,32.338,155547,66424
20220111,32.91,34.86,32.64,34.7,34.029,184801,83594
20220112,34.58,35.42,34.12,34.77,34.761,138998,57192
20220113,34.63,35.24,34.0,34.03,34.518,121035,50334
20220114,34.64,35.7,33.92,35.5,35.053,169723,64552
20220118,35.57,36.93,34.96,36.47,36.045,218985,94803
20220119,36.03,37.0,35.55,35.65,36.201,161421,77512
20220120,36.11,36.42,34.5,34.62,35.65,141998,63312
20220121,34.22,34.69,33.1,33.53,33.939,161541,74052
20220124,33.9,34.19,31.37,33.75,32.619,187990,98543
20220125,33.25,37.11,33.1,36.77,35.76,242748,110761
20220126,36.77,38.28,36.37,37.15,37.487,219596,103258
20220127,37.1,38.93,36.39,37.48,37.458,180740,88433
20220128,37.5,38.43,36.6,37.75,37.401,139622,64556
20220131,37.97,38.13,36.51,37.67,37.533,140964,61062
20220201,37.52,39.55,36.87,39.22,38.962,176643,79500
20220202,39.22,39.9,38.61,39.26,39.24,121186,55078
20220203,38.98,40.49,38.9,40.19,39.827,200149,81418
20220204,40.5,42.31,40.1,40.6,41.273,209316,88725
20220207,40.35,41.5,39.71,41.06,40.907,133800,55334
20220208,41.05,41.24,38.97,39.42,39.536,156314,75476
20220209,39.53,41.06,39.16,40.3,40.396,135613,59183
20220210,40.39,41.88,39.7,40.65,41.059,135730,64522
20220211,40.4,43.2,40.25,43.0,42.241,211654,91197
20220214,43.0,43.43,40.82,41.18,41.537,188080,92678
20220215,40.96,41.26,38.81,40.0,39.632,193535,89848
20220216,40.26,41.15,39.26,39.65,40.304,157427,68494
20220217,40.11,41.0,39.26,39.9,39.84,126777,58590
20220218,39.6,40.15,39.0,39.78,39.627,121466,58812
20220222,41.1,41.83,37.65,38.6,38.992,177800,82571
20220223,38.7,39.49,38.25,39.27,38.755,129841,61303
20220224,39.69,41.19,37.55,39.88,38.634,276001,134286
20220225,39.88,40.35,38.39,38.65,39.11,261794,136624
20220228,40.0,43.86,38.24,43.77,42.287,445955,196417
20220301,44.0,47.83,43.9,47.35,46.564,626604,271024
20220302,48.2,49.29,47.01,48.7,48.427,463912,188270
20220303,49.08,49.6,47.07,49.0,47.93,392392,162791
20220304,47.75,57.24,47.24,57.24,53.278,918931,402085
20220307,58.5,63.95,52.41,55.6,55.848,730696,264205
20220308,55.65,58.75,51.43,55.2,55.401,731556,261791
20220309,55.29,58.58,50.5,57.2,56.093,1204034,411021
20220310,57.36,59.6,56.41,58.4,57.98,755922,227632
20220311,58.88,59.01,56.47,57.95,57.616,418660,152550
20220314,58.13,58.13,53.32,55.26,55.221,495530,189582
20220315,53.4,55.53,52.1,54.39,53.847,447093,174493
20220316,55.08,56.25,52.58,53.0,53.784,390473,181911
20220317,54.0,58.25,53.54,57.95,57.215,536061,200580
20220318,58.22,58.79,56.2,56.3,56.924,367578,119485
20220321,57.52,62.4,56.8,61.25,60.794,468614,177684
20220322,61.57,61.57,58.7,59.85,59.768,317597,118625
20220323,60.48,63.24,59.59,59.82,61.061,344711,128925
20220324,59.83,60.88,57.32,58.13,58.535,249991,97679
20220325,57.75,60.71,56.75,58.74,58.991,342149,122259
20220328,57.75,58.56,55.59,56.79,56.644,219610,81979
20220329,57.21,58.14,54.51,57.39,55.91,252036,98581
20220330,57.4,59.84,56.81,57.46,58.067,231254,79658
20220331,57.01,59.22,55.44,56.98,57.985,282289,100347
20220401,56.72,58.18,56.3,58.04,57.442,182432,65456
20220404,58.57,59.48,56.85,57.85,57.664,170092,60835
20220405,58.1,59.81,55.6,56.0,57.253,198675,68985
20220406,56.49,58.53,55.56,56.3,56.807,248805,88083
20220407,55.86,57.94,55.1,57.78,56.614,210272,73747
20220408,57.9,62.09,57.29,61.7,60.599,369540,126268
20220411,60.7,61.1,57.6,57.94,58.544,235151,90432
20220412,58.45,61.36,58.39,59.57,60.059,238380,84564
20220413,59.91,61.03,58.2,59.5,59.525,188241,70645
20220414,59.62,60.37,58.71,59.31,59.529,165826,61744
20220418,59.38,63.01,59.34,61.62,61.549,273436,103554
20220419,61.62,61.62,59.83,60.6,60.706,173193,72531
20220420,61.0,61.84,59.86,61.54,61.024,186240,74938
20220421,61.9,63.56,58.52,59.22,61.108,284884,115036
20220422,59.27,59.5,56.1,56.11,57.572,188970,80844
20220425,56.0,56.0,51.53,54.8,53.642,292010,135496
20220426,54.52,56.89,54.29,55.08,55.757,241285,89017
20220427,55.33,56.4,53.21,55.8,55.338,182341,77091
20220428,56.78,57.52,53.92,56.99,55.85,183959,81029
20220429,57.3,57.72,54.67,55.2,56.266,170839,73079
20220502,55.16,58.55,53.88,58.18,56.947,327808,167407
20220503,57.51,60.49,57.46,59.68,59.484,218585,93926
20220504,60.35,61.86,58.87,61.45,60.213,247027,99953
20220505,61.41,64.5,60.43,62.89,62.519,377862,140232
20220506,62.95,65.05,61.45,64.94,63.525,272484,111962
