date,open,high,low,close,average,volume,count
1654761600,68.65,68.79,68.46,68.53,68.632,41,18
1654762500,68.55,68.55,68.55,68.55,68.55,4,2
1654763400,68.52,68.52,68.52,68.52,68.52,1,1
1654764300,68.52,68.52,68.52,68.52,68.52,0,0
1654765200,68.59,68.78,68.51,68.51,68.63,27,12
1654766100,68.51,68.51,68.51,68.51,68.51,0,0
1654767000,68.51,68.51,68.51,68.51,68.51,0,0
1654767900,68.62,68.62,68.45,68.45,68.532,18,12
1654768800,68.46,68.46,68.45,68.45,68.455,4,2
1654769700,68.45,68.45,68.45,68.45,68.45,0,0
1654770600,68.45,68.45,68.45,68.45,68.45,0,0
1654771500,68.59,68.59,68.5,68.5,68.538,6,5
1654772400,68.6,68.75,68.54,68.54,68.658,45,24
1654773300,68.7,68.8,68.7,68.8,68.771,15,13
1654774200,68.75,68.78,68.67,68.67,68.739,19,9
1654775100,68.73,68.81,68.61,68.77,68.747,51,27
1654776000,68.6,68.89,68.46,68.48,68.639,423,93
1654776900,68.49,68.7,68.49,68.54,68.583,85,52
1654777800,68.5,68.56,68.15,68.22,68.33,237,90
1654778700,68.18,68.2,67.87,68.01,68.032,888,288
1654779600,67.99,68.06,67.74,67.84,67.874,587,216
1654780500,67.86,68.03,67.79,68.03,67.917,211,68
1654781400,68.0,68.84,67.18,67.4,68.01,23158,8408
1654782300,67.39,67.45,66.94,67.23,67.174,13457,4920
1654783200,67.26,67.49,67.02,67.3,67.308,11078,4092
1654784100,67.32,67.97,67.31,67.69,67.705,8845,3256
1654785000,67.7,67.9,67.06,67.14,67.504,8065,2646
1654785900,67.14,67.34,66.75,67.06,67.022,11160,3946
1654786800,67.06,67.13,66.67,66.83,66.834,7031,2565
1654787700,66.83,66.86,66.54,66.76,66.694,6116,2195
1654788600,66.76,67.15,66.73,66.94,66.907,7253,2498
1654789500,66.93,67.37,66.77,67.35,67.018,6639,2323
1654790400,67.34,67.34,66.88,66.98,67.096,5946,2380
1654791300,66.97,67.15,66.72,67.04,66.918,4914,1896
1654792200,67.04,67.34,67.0,67.25,67.146,5093,1514
1654793100,67.24,67.52,67.12,67.51,67.31,5893,2007
1654794000,67.51,67.64,67.26,67.46,67.468,5344,1784
1654794900,67.46,67.47,67.05,67.11,67.265,3469,1334
1654795800,67.1,67.18,66.93,67.02,67.034,4711,1542
