date,open,high,low,close,average,volume,count
1662561000,13.29,13.3,13.29,13.3,13.298,164,29
1662561001,13.3,13.31,13.3,13.31,13.304,26,6
1662561002,13.32,13.33,13.31,13.32,13.319,10,6
1662561003,13.32,13.32,13.31,13.32,13.312,20,8
1662561004,13.31,13.31,13.3,13.31,13.308,16,14
1662561005,13.3,13.31,13.3,13.31,13.301,196,29
1662561006,13.3,13.31,13.29,13.3,13.3,203,22
1662561007,13.29,13.3,13.29,13.29,13.294,35,16
1662561008,13.29,13.3,13.29,13.29,13.294,15,9
1662561009,13.29,13.3,13.28,13.29,13.29,11,8
1662561010,13.29,13.29,13.28,13.29,13.285,3,2
1662561011,13.28,13.29,13.28,13.28,13.281,9,1
1662561012,13.29,13.3,13.29,13.29,13.29,32,20
1662561013,13.29,13.29,13.28,13.29,13.288,9,8
1662561014,13.29,13.29,13.28,13.29,13.288,5,5
1662561015,13.28,13.29,13.28,13.29,13.285,5,4
1662561016,13.29,13.29,13.28,13.28,13.284,7,3
1662561017,13.28,13.29,13.28,13.29,13.284,6,2
1662561018,13.29,13.29,13.28,13.28,13.281,9,8
1662561019,13.29,13.29,13.28,13.29,13.285,5,1
1662561020,13.28,13.29,13.28,13.28,13.28,21,2
1662561021,13.28,13.29,13.28,13.28,13.28,0,0
1662561022,13.29,13.29,13.28,13.28,13.284,11,2
1662561023,13.29,13.29,13.28,13.28,13.284,4,3
1662561024,13.28,13.29,13.28,13.28,13.28,0,0
1662561025,13.28,13.29,13.28,13.28,13.28,13,12
1662561026,13.28,13.28,13.27,13.28,13.275,9,3
1662561027,13.28,13.28,13.27,13.28,13.278,9,5
1662561028,13.28,13.28,13.27,13.28,13.275,1,1
1662561029,13.28,13.28,13.27,13.28,13.28,0,0
1662561030,13.28,13.28,13.26,13.27,13.27,9,8
1662561031,13.27,13.27,13.27,13.27,13.27,3,3
1662561032,13.27,13.27,13.27,13.27,13.27,0,0
1662561033,13.27,13.27,13.27,13.27,13.27,0,0
1662561034,13.27,13.27,13.25,13.25,13.261,104,62
1662561035,13.26,13.26,13.25,13.26,13.256,12,7
1662561036,13.26,13.26,13.23,13.24,13.239,138,88
1662561037,13.24,13.27,13.24,13.27,13.259,47,26
1662561038,13.27,13.28,13.27,13.28,13.273,30,3
1662561039,13.28,13.28,13.27,13.28,13.28,0,0
1662561040,13.27,13.28,13.27,13.28,13.273,3,2
1662561041,13.27,13.27,13.27,13.27,13.27,1,1
1662561042,13.27,13.28,13.27,13.27,13.27,10,6
1662561043,13.28,13.3,13.28,13.3,13.287,69,44
1662561044,13.29,13.3,13.29,13.29,13.29,4,4
1662561045,13.29,13.29,13.28,13.29,13.29,13,9
1662561046,13.29,13.3,13.29,13.3,13.299,42,10
1662561047,13.3,13.31,13.3,13.31,13.305,46,3
1662561048,13.29,13.3,13.29,13.3,13.293,26,5
1662561049,13.3,13.3,13.3,13.3,13.3,12,9
1662561050,13.3,13.3,13.3,13.3,13.3,3,2
1662561051,13.3,13.32,13.3,13.32,13.31,34,18
1662561052,13.32,13.32,13.3,13.31,13.309,8,4
1662561053,13.32,13.32,13.3,13.31,13.31,4,4
1662561054,13.32,13.32,13.3,13.31,13.309,13,3
1662561055,13.32,13.32,13.31,13.32,13.316,5,3
1662561056,13.32,13.32,13.31,13.32,13.316,11,5
1662561057,13.32,13.32,13.31,13.31,13.314,17,3
1662561058,13.32,13.32,13.31,13.32,13.315,7,2
1662561059,13.32,13.32,13.31,13.32,13.315,25,2
1662561060,13.32,13.32,13.31,13.32,13.318,4,1
1662561061,13.32,13.33,13.31,13.32,13.32,23,17
1662561062,13.32,13.32,13.31,13.32,13.318,3,3
1662561063,13.32,13.32,13.31,13.32,13.315,34,4
1662561064,13.31,13.32,13.31,13.32,13.311,23,3
1662561065,13.32,13.32,13.31,13.32,13.32,0,0
1662561066,13.32,13.32,13.31,13.32,13.315,6,4
1662561067,13.32,13.32,13.31,13.32,13.315,5,2
1662561068,13.31,13.31,13.3,13.31,13.31,26,23
1662561069,13.3,13.31,13.29,13.29,13.295,39,11
1662561070,13.28,13.28,13.28,13.28,13.28,4,3
1662561071,13.29,13.29,13.28,13.29,13.29,8,1
1662561072,13.29,13.29,13.28,13.28,13.283,7,3
1662561073,13.29,13.29,13.28,13.29,13.289,8,8
1662561074,13.29,13.29,13.28,13.29,13.287,10,8
1662561075,13.29,13.29,13.29,13.29,13.29,0,0
1662561076,13.29,13.29,13.29,13.29,13.29,0,0
1662561077,13.29,13.32,13.29,13.31,13.311,150,46
1662561078,13.32,13.32,13.3,13.31,13.309,48,11
1662561079,13.3,13.3,13.29,13.29,13.296,26,3
1662561080,13.3,13.3,13.29,13.3,13.296,10,1
1662561081,13.3,13.3,13.29,13.29,13.297,11,3
1662561082,13.29,13.3,13.29,13.29,13.295,11,2
1662561083,13.29,13.3,13.29,13.29,13.295,1,1
1662561084,13.29,13.3,13.29,13.29,13.29,0,0
1662561085,13.3,13.3,13.28,13.29,13.295,35,24
1662561086,13.29,13.29,13.28,13.29,13.288,2,2
1662561087,13.29,13.29,13.28,13.29,13.285,16,7
1662561088,13.29,13.29,13.29,13.29,13.29,0,0
1662561089,13.29,13.29,13.28,13.29,13.289,11,7
1662561090,13.29,13.29,13.28,13.29,13.29,2,1
1662561091,13.29,13.29,13.28,13.29,13.285,7,3
1662561092,13.29,13.29,13.28,13.29,13.287,13,10
1662561093,13.29,13.29,13.28,13.29,13.28,0,0
1662561094,13.3,13.32,13.28,13.32,13.307,96,38
1662561095,13.32,13.33,13.31,13.32,13.32,21,19
1662561096,13.32,13.32,13.31,13.31,13.313,20,5
1662561097,13.32,13.34,13.31,13.34,13.32,140,44
1662561098,13.34,13.35,13.33,13.35,13.34,103,20
1662561099,13.35,13.35,13.34,13.35,13.348,24,7
1662561100,13.35,13.36,13.33,13.33,13.35,109,35
1662561101,13.33,13.34,13.33,13.33,13.33,21,19
1662561102,13.33,13.34,13.33,13.34,13.338,4,2
1662561103,13.34,13.34,13.33,13.34,13.335,20,1
1662561104,13.34,13.34,13.33,13.34,13.339,25,2
1662561105,13.34,13.34,13.33,13.34,13.335,2,1
1662561106,13.34,13.34,13.32,13.33,13.331,23,12
1662561107,13.33,13.33,13.32,13.33,13.33,66,4
1662561108,13.33,13.33,13.32,13.33,13.329,23,4
1662561109,13.33,13.33,13.32,13.33,13.33,0,0
1662561110,13.32,13.33,13.32,13.32,13.32,25,2
1662561111,13.33,13.33,13.32,13.32,13.324,4,3
1662561112,13.33,13.33,13.32,13.33,13.325,1,1
