date,open,high,low,close,average,volume,count
1642689000,69.22,69.27,69.01,69.22,69.219,2472,26
1642689001,69.25,69.26,69.18,69.25,69.24,136,29
1642689002,69.3,69.66,69.2,69.53,69.456,109,78
1642689003,69.39,69.64,69.2,69.56,69.421,187,88
1642689004,69.3,69.6,69.29,69.55,69.483,39,29
1642689005,69.41,69.57,69.41,69.57,69.481,21,20
1642689006,69.47,69.63,69.47,69.63,69.55,49,40
1642689007,69.58,69.61,69.48,69.48,69.516,18,14
1642689008,69.45,69.53,69.42,69.53,69.499,34,13
1642689009,69.43,69.63,69.43,69.54,69.507,19,15
1642689010,69.49,69.51,69.45,69.51,69.476,8,7
1642689011,69.4,69.51,69.37,69.43,69.413,21,13
1642689012,69.39,69.56,69.39,69.5,69.449,16,8
1642689013,69.38,69.59,69.37,69.58,69.429,11,7
1642689014,69.58,69.59,69.58,69.58,69.58,0,0
1642689015,69.48,69.57,69.4,69.54,69.452,23,14
1642689016,69.5,69.66,69.41,69.66,69.619,35,18
1642689017,69.66,69.66,69.57,69.59,69.642,13,7
1642689018,69.51,69.59,69.51,69.59,69.577,6,2
1642689019,69.59,69.66,69.56,69.66,69.593,26,22
1642689020,69.65,69.71,69.56,69.71,69.632,28,18
1642689021,69.69,69.78,69.68,69.78,69.738,73,54
1642689022,69.79,69.9,69.77,69.88,69.819,106,60
1642689023,69.86,69.9,69.82,69.86,69.866,38,25
1642689024,69.9,69.97,69.87,69.89,69.901,81,35
1642689025,69.95,69.98,69.91,69.94,69.944,62,50
1642689026,69.96,70.18,69.89,70.18,70.014,352,131
1642689027,70.18,70.35,70.15,70.34,70.235,101,53
1642689028,70.36,70.4,70.29,70.39,70.341,68,45
1642689029,70.32,70.4,70.3,70.4,70.33,19,13
1642689030,70.29,70.37,70.21,70.31,70.292,63,32
1642689031,70.28,70.35,70.23,70.29,70.275,31,14
1642689032,70.26,70.26,70.17,70.19,70.212,15,11
1642689033,70.26,70.26,70.2,70.2,70.229,2,2
1642689034,70.17,70.17,69.97,70.09,70.049,44,23
1642689035,70.06,70.13,70.04,70.12,70.065,5,5
1642689036,70.01,70.13,70.01,70.11,70.09,8,7
1642689037,70.03,70.03,70.02,70.02,70.025,6,4
1642689038,70.15,70.15,70.03,70.03,70.056,14,3
1642689039,70.01,70.11,70.01,70.05,70.034,15,13
1642689040,70.02,70.02,69.96,69.99,70.004,35,34
1642689041,69.99,70.08,69.97,70.08,70.007,19,17
1642689042,70.03,70.13,70.03,70.11,70.11,27,18
1642689043,70.12,70.17,70.07,70.17,70.127,28,19
1642689044,70.12,70.17,70.11,70.17,70.122,6,6
1642689045,70.12,70.12,70.01,70.01,70.09,30,23
1642689046,70.07,70.07,70.02,70.02,70.055,3,2
1642689047,70.01,70.03,69.99,70.03,70.004,67,21
1642689048,69.96,70.04,69.96,70.04,69.997,13,8
1642689049,70.11,70.11,70.08,70.08,70.106,7,2
1642689050,70.03,70.03,69.99,70.03,70.016,23,12
1642689051,69.97,70.06,69.91,70.04,69.984,60,42
1642689052,70.04,70.04,70.04,70.04,70.04,0,0
1642689053,70.01,70.02,69.91,69.98,69.974,30,15
1642689054,69.92,69.92,69.75,69.85,69.81,31,23
1642689055,69.8,69.94,69.8,69.94,69.869,2,2
1642689056,69.96,70.01,69.95,69.97,69.986,24,19
1642689057,69.96,69.96,69.92,69.92,69.944,4,4
1642689058,69.94,69.94,69.86,69.86,69.9,2,2
