date,open,high,low,close,average,volume,count
20210723,102.96,103.5,95.97,96.69,97.592,90407,50556
20210726,95.0,96.5,83.58,88.8,90.523,130452,63806
20210727,83.77,87.63,77.66,80.0,81.041,219723,109608
20210728,81.2,94.75,81.0,93.94,90.264,168952,88509
20210729,95.03,97.41,89.07,91.1,91.66,86782,40611
20210730,90.0,92.44,87.36,92.06,91.074,46164,23309
20210802,92.44,93.8,87.62,91.54,90.755,46223,23496
20210803,89.65,91.2,87.44,88.64,88.518,41014,21012
20210804,90.25,93.19,88.64,89.51,90.472,37338,17604
20210805,88.28,90.5,86.36,90.1,88.87,25634,15013
20210806,90.1,91.0,86.06,87.45,87.562,37678,18449
20210809,88.5,93.81,87.0,92.55,91.789,38535,20286
20210810,93.9,95.89,91.01,91.85,93.016,32936,17288
20210811,92.1,93.28,89.38,89.8,90.353,23596,13097
20210812,89.8,90.01,85.3,87.11,86.94,33026,16967
20210813,86.46,87.55,83.68,84.2,84.661,37683,19189
20210816,83.0,83.8,80.93,82.5,82.065,40271,24334
20210817,80.7,82.64,77.01,79.5,79.836,64608,38389
20210818,80.0,82.26,78.29,81.0,80.835,44132,23404
20210819,78.96,78.96,74.12,74.14,75.27,74147,36893
20210820,73.98,81.4,72.61,77.8,78.36,80379,39277
20210823,77.9,83.0,76.38,81.17,79.412,72263,38945
20210824,85.03,101.0,83.35,101.0,95.034,355905,149521
20210825,99.0,99.89,95.85,97.7,97.285,79788,39916
20210826,96.18,99.0,94.6,95.87,96.246,60282,29771
20210827,96.3,97.25,93.01,95.0,94.569,54676,26936
20210830,96.88,96.88,90.17,95.1,93.061,60830,28343
20210831,96.5,101.17,95.28,99.78,98.453,120692,52843
20210901,101.0,109.79,99.99,107.45,106.738,120800,66916
20210902,107.5,109.37,100.0,102.74,103.282,89449,46625
20210903,101.89,103.81,100.46,101.98,102.009,49974,26010
20210907,106.0,109.0,104.23,107.8,107.728,144077,70535
20210908,107.44,108.11,102.53,104.7,104.513,56503,32606
20210909,102.0,105.36,100.0,105.0,103.938,37878,21151
20210910,106.99,107.61,103.09,103.4,105.128,34916,18970
20210913,102.0,104.86,99.1,104.59,102.477,64553,36052
20210914,102.5,104.0,100.97,101.9,102.114,28995,14602
20210915,99.61,100.0,96.78,99.6,98.509,75413,31577
20210916,98.06,100.65,96.64,99.45,99.369,35932,18190
20210917,102.0,102.47,99.04,100.3,100.565,43059,18527
20210920,98.0,98.0,91.61,93.51,94.732,69832,35653
20210921,95.5,96.7,93.89,94.78,95.151,33886,17341
20210922,96.0,99.68,94.8,98.27,98.034,36914,21927
20210923,99.0,99.15,95.28,98.5,97.014,28991,16199
20210924,97.4,97.4,93.55,94.2,94.652,37038,16698
20210927,94.05,96.55,91.0,96.29,94.341,41870,20790
20210928,97.0,97.0,88.1,89.4,89.944,92689,53045
20210929,90.1,91.86,87.55,89.15,89.652,56093,30100
20210930,90.0,91.64,88.51,90.8,90.661,49540,26129
20211001,90.0,91.53,87.58,88.2,88.458,32957,18145
20211004,87.58,87.58,83.75,84.2,84.88,39957,22511
20211005,85.31,88.65,85.29,87.41,87.53,40409,21434
20211006,86.27,90.3,84.58,89.75,89.107,35458,16912
