date,open,high,low,close,average,volume,count
1629817200,48.51,48.52,48.5,48.51,48.509,46,25
1629817201,48.52,48.52,48.51,48.52,48.515,1,1
1629817202,48.52,48.52,48.51,48.52,48.518,11,2
1629817203,48.52,48.52,48.51,48.51,48.515,25,4
1629817204,48.51,48.53,48.51,48.53,48.52,28,10
1629817205,48.53,48.53,48.52,48.52,48.52,25,16
1629817206,48.51,48.52,48.5,48.5,48.51,13,12
1629817207,48.51,48.51,48.49,48.5,48.495,69,19
1629817208,48.5,48.5,48.49,48.5,48.5,6,2
1629817209,48.5,48.51,48.49,48.51,48.503,55,13
1629817210,48.51,48.51,48.5,48.51,48.51,0,0
1629817211,48.51,48.52,48.51,48.52,48.512,11,8
1629817212,48.52,48.52,48.51,48.51,48.514,29,13
1629817213,48.51,48.52,48.51,48.52,48.518,9,3
1629817214,48.52,48.52,48.5,48.5,48.507,13,10
1629817215,48.51,48.51,48.5,48.51,48.507,19,7
1629817216,48.51,48.51,48.51,48.51,48.51,0,0
1629817217,48.51,48.51,48.51,48.51,48.51,2,1
1629817218,48.51,48.51,48.51,48.51,48.51,0,0
1629817219,48.52,48.52,48.51,48.51,48.513,3,3
1629817220,48.51,48.52,48.51,48.51,48.51,0,0
1629817221,48.51,48.52,48.51,48.51,48.51,0,0
1629817222,48.52,48.52,48.5,48.51,48.51,41,21
1629817223,48.52,48.52,48.51,48.52,48.517,1,1
1629817224,48.52,48.52,48.51,48.52,48.514,8,4
1629817225,48.52,48.52,48.51,48.52,48.513,13,11
1629817226,48.51,48.52,48.51,48.51,48.514,3,1
1629817227,48.51,48.51,48.51,48.51,48.51,11,11
1629817228,48.51,48.52,48.51,48.51,48.512,18,8
1629817229,48.51,48.52,48.5,48.51,48.514,18,3
1629817230,48.51,48.51,48.5,48.5,48.506,11,5
1629817231,48.5,48.51,48.5,48.51,48.501,182,12
1629817232,48.51,48.51,48.5,48.51,48.506,36,9
1629817233,48.51,48.51,48.51,48.51,48.51,0,0
1629817234,48.52,48.52,48.51,48.51,48.513,20,11
1629817235,48.51,48.52,48.51,48.51,48.512,14,11
1629817236,48.52,48.52,48.51,48.52,48.52,2,2
1629817237,48.52,48.52,48.51,48.52,48.519,6,1
1629817238,48.51,48.52,48.51,48.51,48.512,8,1
1629817239,48.51,48.52,48.51,48.52,48.511,25,2
1629817240,48.52,48.52,48.51,48.51,48.515,3,3
1629817241,48.52,48.52,48.51,48.51,48.519,22,3
1629817242,48.51,48.52,48.51,48.51,48.512,2,1
1629817243,48.51,48.51,48.5,48.51,48.509,7,5
1629817244,48.51,48.51,48.5,48.5,48.5,41,8
1629817245,48.5,48.5,48.5,48.5,48.5,0,0
1629817246,48.5,48.5,48.49,48.5,48.495,6,3
1629817247,48.5,48.5,48.49,48.5,48.5,0,0
1629817248,48.49,48.5,48.49,48.49,48.493,1,1
1629817249,48.5,48.5,48.5,48.5,48.5,3,1
1629817250,48.5,48.5,48.49,48.5,48.496,14,9
1629817251,48.5,48.5,48.49,48.5,48.498,4,2
1629817252,48.5,48.51,48.49,48.51,48.5,29,18
1629817253,48.51,48.51,48.5,48.51,48.51,0,0
1629817254,48.51,48.52,48.5,48.52,48.516,45,18
1629817255,48.53,48.53,48.52,48.53,48.525,2,1
1629817256,48.52,48.52,48.52,48.52,48.52,4,4
1629817257,48.52,48.52,48.51,48.52,48.516,1,1
1629817258,48.52,48.52,48.51,48.52,48.52,0,0
1629817259,48.52,48.52,48.51,48.52,48.517,2,2
1629817260,48.52,48.52,48.51,48.52,48.52,0,0
1629817261,48.53,48.53,48.52,48.53,48.525,2,2
1629817262,48.53,48.53,48.52,48.53,48.529,27,6
1629817263,48.52,48.53,48.51,48.53,48.523,108,42
1629817264,48.53,48.53,48.53,48.53,48.53,0,0
1629817265,48.54,48.55,48.53,48.54,48.539,34,22
1629817266,48.54,48.54,48.53,48.54,48.535,44,6
1629817267,48.53,48.54,48.53,48.54,48.535,27,2
1629817268,48.54,48.54,48.53,48.54,48.535,1,1
1629817269,48.54,48.54,48.53,48.54,48.54,0,0
1629817270,48.53,48.54,48.52,48.53,48.53,27,15
1629817271,48.54,48.54,48.54,48.54,48.54,8,7
1629817272,48.55,48.55,48.54,48.55,48.547,5,2
1629817273,48.55,48.56,48.55,48.55,48.55,72,18
1629817274,48.55,48.55,48.55,48.55,48.55,13,6
1629817275,48.55,48.56,48.55,48.55,48.553,19,7
1629817276,48.55,48.55,48.54,48.55,48.545,30,1
1629817277,48.55,48.55,48.54,48.55,48.55,0,0
1629817278,48.55,48.55,48.54,48.55,48.545,6,4
1629817279,48.55,48.55,48.54,48.55,48.546,1,1
1629817280,48.54,48.54,48.53,48.54,48.54,32,22
1629817281,48.54,48.54,48.54,48.54,48.54,1,1
1629817282,48.54,48.54,48.53,48.54,48.537,10,2
1629817283,48.54,48.54,48.53,48.54,48.535,6,1
1629817284,48.54,48.54,48.53,48.53,48.533,4,4
1629817285,48.54,48.54,48.53,48.54,48.54,3,1
1629817286,48.54,48.54,48.53,48.53,48.532,6,5
1629817287,48.53,48.54,48.52,48.54,48.535,36,16
1629817288,48.54,48.54,48.53,48.54,48.535,7,2
1629817289,48.54,48.54,48.53,48.54,48.536,1,1
1629817290,48.53,48.54,48.53,48.53,48.53,20,1
1629817291,48.53,48.53,48.52,48.52,48.527,11,5
1629817292,48.53,48.53,48.52,48.53,48.525,1,1
1629817293,48.53,48.53,48.52,48.53,48.53,0,0
1629817294,48.53,48.53,48.52,48.53,48.528,10,1
1629817295,48.53,48.53,48.52,48.53,48.53,0,0
1629817296,48.53,48.53,48.52,48.53,48.53,0,0
1629817297,48.53,48.53,48.52,48.52,48.522,43,13
1629817298,48.52,48.52,48.51,48.52,48.519,10,1
1629817299,48.52,48.52,48.5,48.51,48.51,8,6
1629817300,48.5,48.51,48.5,48.51,48.5,41,2
1629817301,48.51,48.51,48.51,48.51,48.51,0,0
1629817302,48.5,48.5,48.5,48.5,48.5,48,14
1629817303,48.5,48.51,48.5,48.5,48.501,15,4
1629817304,48.5,48.51,48.5,48.5,48.504,17,4
1629817305,48.5,48.51,48.5,48.5,48.5,0,0
1629817306,48.51,48.51,48.5,48.51,48.506,7,3
1629817307,48.51,48.51,48.5,48.51,48.51,26,13
1629817308,48.52,48.52,48.51,48.52,48.515,1,1
1629817309,48.51,48.52,48.51,48.51,48.516,20,5
1629817310,48.51,48.51,48.51,48.51,48.51,0,0
1629817311,48.51,48.51,48.51,48.51,48.51,1,1
1629817312,48.51,48.51,48.51,48.51,48.51,0,0
1629817313,48.51,48.51,48.51,48.51,48.51,0,0
1629817314,48.51,48.51,48.51,48.51,48.51,24,13
1629817315,48.51,48.51,48.5,48.51,48.508,3,3
1629817316,48.51,48.51,48.5,48.5,48.505,12,3
1629817317,48.5,48.51,48.5,48.5,48.5,0,0
1629817318,48.51,48.51,48.5,48.51,48.507,2,2
1629817319,48.51,48.51,48.5,48.51,48.506,11,3
1629817320,48.51,48.51,48.5,48.51,48.509,2,2
1629817321,48.51,48.51,48.5,48.51,48.509,1,1
1629817322,48.51,48.51,48.5,48.51,48.51,0,0
1629817323,48.51,48.51,48.5,48.51,48.509,51,38
1629817324,48.51,48.51,48.5,48.51,48.507,1,1
1629817325,48.5,48.51,48.5,48.51,48.509,70,26
1629817326,48.51,48.51,48.5,48.51,48.507,3,3
1629817327,48.5,48.51,48.5,48.5,48.504,15,1
1629817328,48.5,48.5,48.5,48.5,48.5,35,14
1629817329,48.5,48.51,48.49,48.51,48.499,27,12
1629817330,48.51,48.51,48.5,48.51,48.51,0,0
1629817331,48.5,48.51,48.49,48.49,48.493,106,22
1629817332,48.5,48.5,48.49,48.49,48.492,37,13
1629817333,48.49,48.5,48.49,48.49,48.493,8,3
1629817334,48.49,48.49,48.49,48.49,48.49,342,17
1629817335,48.49,48.49,48.49,48.49,48.49,0,0
1629817336,48.48,48.49,48.48,48.48,48.482,5,3
1629817337,48.49,48.5,48.48,48.49,48.489,46,20
1629817338,48.48,48.49,48.48,48.48,48.483,29,5
1629817339,48.48,48.49,48.48,48.48,48.48,0,0
1629817340,48.49,48.49,48.48,48.49,48.488,3,2
1629817341,48.48,48.49,48.48,48.49,48.489,28,12
1629817342,48.5,48.5,48.49,48.5,48.494,8,6
1629817343,48.49,48.5,48.49,48.5,48.496,6,2
1629817344,48.5,48.5,48.49,48.5,48.5,0,0
1629817345,48.49,48.5,48.49,48.5,48.494,4,3
1629817346,48.5,48.5,48.49,48.5,48.5,0,0
1629817347,48.49,48.5,48.49,48.49,48.5,52,3
1629817348,48.5,48.5,48.49,48.5,48.495,7,2
1629817349,48.49,48.49,48.49,48.49,48.49,1,1
1629817350,48.5,48.5,48.49,48.5,48.496,2,2
1629817351,48.49,48.49,48.48,48.48,48.483,42,11
1629817352,48.48,48.49,48.48,48.49,48.489,15,10
1629817353,48.49,48.49,48.49,48.49,48.49,0,0
1629817354,48.5,48.5,48.49,48.5,48.5,1,1
1629817355,48.49,48.5,48.48,48.5,48.491,40,22
1629817356,48.49,48.5,48.48,48.5,48.483,77,15
1629817357,48.5,48.52,48.49,48.52,48.505,191,58
1629817358,48.52,48.53,48.52,48.52,48.52,61,10
1629817359,48.51,48.52,48.5,48.51,48.511,28,7
1629817360,48.51,48.52,48.51,48.52,48.513,42,7
1629817361,48.51,48.51,48.51,48.51,48.51,2,1
1629817362,48.51,48.51,48.51,48.51,48.51,1,1
1629817363,48.52,48.52,48.51,48.52,48.515,2,2
1629817364,48.51,48.52,48.5,48.51,48.51,36,23
1629817365,48.52,48.52,48.5,48.51,48.508,4,3
1629817366,48.51,48.51,48.5,48.51,48.508,17,7
1629817367,48.5,48.51,48.5,48.51,48.503,4,2
1629817368,48.51,48.51,48.5,48.51,48.51,0,0
1629817369,48.51,48.51,48.49,48.5,48.501,27,18
1629817370,48.5,48.5,48.49,48.49,48.493,3,3
1629817371,48.5,48.5,48.5,48.5,48.5,27,9
1629817372,48.5,48.51,48.49,48.51,48.507,62,10
1629817373,48.51,48.51,48.5,48.5,48.503,29,17
1629817374,48.5,48.5,48.5,48.5,48.5,0,0
1629817375,48.5,48.5,48.5,48.5,48.5,11,2
1629817376,48.51,48.51,48.5,48.51,48.505,1,1
1629817377,48.51,48.51,48.5,48.51,48.507,6,2
1629817378,48.51,48.51,48.5,48.51,48.51,0,0
1629817379,48.51,48.51,48.5,48.51,48.507,2,1
1629817380,48.5,48.51,48.5,48.51,48.5,12,3
1629817381,48.51,48.51,48.49,48.49,48.5,16,13
1629817382,48.5,48.5,48.49,48.5,48.495,3,2
1629817383,48.49,48.5,48.49,48.5,48.498,6,2
1629817384,48.5,48.5,48.49,48.49,48.495,8,3
1629817385,48.49,48.49,48.49,48.49,48.49,35,10
1629817386,48.49,48.49,48.48,48.48,48.484,2,2
1629817387,48.49,48.49,48.48,48.49,48.486,1,1
1629817388,48.49,48.49,48.48,48.49,48.486,1,1
1629817389,48.48,48.49,48.48,48.48,48.485,1,1
1629817390,48.48,48.49,48.48,48.48,48.48,0,0
1629817391,48.48,48.49,48.48,48.48,48.48,0,0
1629817392,48.48,48.49,48.48,48.49,48.482,2,2
1629817393,48.48,48.48,48.48,48.48,48.48,42,17
1629817394,48.48,48.48,48.47,48.48,48.477,6,3
1629817395,48.48,48.48,48.47,48.48,48.477,2,2
1629817396,48.48,48.48,48.47,48.48,48.475,12,6
1629817397,48.47,48.48,48.47,48.48,48.474,4,4
1629817398,48.47,48.48,48.47,48.48,48.477,11,2
1629817399,48.48,48.48,48.47,48.48,48.475,2,2
1629817400,48.48,48.48,48.47,48.48,48.475,1,1
1629817401,48.47,48.48,48.47,48.47,48.471,2,2
1629817402,48.48,48.48,48.47,48.48,48.477,1,1
1629817403,48.47,48.48,48.47,48.47,48.474,15,4
1629817404,48.47,48.48,48.47,48.48,48.475,53,5
1629817405,48.47,48.48,48.47,48.47,48.47,22,10
1629817406,48.46,48.47,48.46,48.47,48.464,12,3
1629817407,48.47,48.47,48.46,48.47,48.467,3,3
1629817408,48.46,48.47,48.45,48.46,48.46,117,35
1629817409,48.46,48.47,48.45,48.47,48.458,23,10
1629817410,48.46,48.46,48.45,48.46,48.455,37,7
1629817411,48.45,48.46,48.45,48.46,48.455,28,6
1629817412,48.46,48.46,48.45,48.46,48.454,7,3
1629817413,48.46,48.46,48.45,48.45,48.454,4,2
1629817414,48.46,48.46,48.45,48.46,48.455,14,5
1629817415,48.46,48.46,48.44,48.45,48.45,154,77
1629817416,48.45,48.46,48.44,48.44,48.445,91,51
1629817417,48.44,48.45,48.44,48.44,48.444,6,4
1629817418,48.45,48.45,48.44,48.44,48.441,67,13
1629817419,48.45,48.45,48.44,48.45,48.442,13,4
1629817420,48.44,48.46,48.44,48.46,48.451,28,18
1629817421,48.46,48.46,48.45,48.45,48.454,6,2
1629817422,48.45,48.48,48.45,48.48,48.462,91,32
1629817423,48.47,48.48,48.47,48.48,48.473,3,3
1629817424,48.48,48.48,48.47,48.48,48.48,0,0
1629817425,48.48,48.49,48.48,48.48,48.48,15,7
1629817426,48.48,48.49,48.48,48.48,48.485,2,1
1629817427,48.48,48.49,48.48,48.48,48.48,0,0
1629817428,48.49,48.49,48.48,48.49,48.487,12,3
1629817429,48.48,48.49,48.48,48.49,48.486,10,3
1629817430,48.48,48.48,48.47,48.48,48.478,9,6
1629817431,48.47,48.48,48.47,48.47,48.473,2,1
1629817432,48.47,48.49,48.47,48.49,48.486,65,14
1629817433,48.49,48.49,48.48,48.49,48.49,43,18
1629817434,48.49,48.5,48.49,48.49,48.493,24,6
1629817435,48.5,48.5,48.48,48.49,48.491,15,7
1629817436,48.48,48.49,48.48,48.48,48.486,21,5
1629817437,48.48,48.49,48.48,48.49,48.488,6,6
1629817438,48.49,48.49,48.48,48.49,48.485,7,3
1629817439,48.49,48.49,48.49,48.49,48.49,8,5
1629817440,48.49,48.49,48.49,48.49,48.49,1,1
1629817441,48.49,48.5,48.49,48.5,48.493,3,3
1629817442,48.49,48.5,48.49,48.5,48.494,4,4
1629817443,48.5,48.5,48.49,48.5,48.495,1,1
1629817444,48.5,48.5,48.49,48.49,48.496,14,9
1629817445,48.5,48.5,48.49,48.5,48.495,2,2
1629817446,48.49,48.49,48.49,48.49,48.49,11,10
1629817447,48.49,48.5,48.49,48.5,48.498,22,3
1629817448,48.49,48.5,48.49,48.5,48.493,3,2
1629817449,48.5,48.5,48.48,48.48,48.481,203,14
1629817450,48.49,48.49,48.48,48.48,48.484,6,2
1629817451,48.48,48.49,48.48,48.48,48.483,5,1
1629817452,48.48,48.49,48.48,48.49,48.486,45,10
1629817453,48.5,48.5,48.49,48.49,48.492,15,12
1629817454,48.49,48.49,48.49,48.49,48.49,3,2
1629817455,48.49,48.49,48.48,48.48,48.489,10,9
1629817456,48.5,48.5,48.49,48.5,48.493,13,7
1629817457,48.49,48.49,48.48,48.49,48.488,8,4
1629817458,48.49,48.49,48.48,48.49,48.49,1,1
1629817459,48.48,48.49,48.48,48.49,48.487,4,4
1629817460,48.49,48.49,48.48,48.49,48.486,14,6
1629817461,48.49,48.49,48.49,48.49,48.49,10,1
1629817462,48.48,48.49,48.48,48.49,48.485,12,3
1629817463,48.48,48.48,48.48,48.48,48.48,28,14
1629817464,48.47,48.48,48.47,48.48,48.473,6,4
1629817465,48.48,48.48,48.47,48.48,48.476,5,4
1629817466,48.47,48.47,48.47,48.47,48.47,1,1
1629817467,48.47,48.48,48.47,48.47,48.471,8,1
1629817468,48.48,48.5,48.47,48.5,48.484,114,49
