date,open,high,low,close,average,volume,count
1614848400,24.83,24.83,24.2,24.4,24.48143,283,114
1614848700,24.31,24.48,24.25,24.39,24.33379,131,66
1614849000,24.35,24.44,24.34,24.34,24.35127,83,28
1614849300,24.35,24.37,24.22,24.25,24.28774,99,61
1614849600,24.21,24.21,23.85,23.85,24.0193,229,101
1614849900,23.83,24.0,23.65,23.65,23.84472,325,123
1614850200,23.63,23.8,23.63,23.77,23.69843,218,73
1614850500,23.78,23.9,23.75,23.85,23.80391,92,45
1614850800,23.87,23.9,23.72,23.72,23.83589,71,32
1614851100,23.72,23.76,23.7,23.7,23.73013,131,50
1614851400,23.71,23.78,23.68,23.76,23.71727,165,51
1614851700,23.7,23.7,23.5,23.67,23.59555,275,97
1614852000,23.72,23.8,23.7,23.8,23.78372,147,39
1614852300,23.8,23.9,23.8,23.88,23.84434,52,18
1614852600,23.87,23.9,23.77,23.89,23.83962,95,35
1614852900,23.89,23.89,23.68,23.68,23.75707,64,30
1614853200,23.68,23.8,23.68,23.78,23.74146,79,43
1614853500,23.76,23.8,23.75,23.8,23.77397,26,16
1614853800,23.8,23.81,23.7,23.81,23.77829,59,27
1614854100,23.84,23.98,23.8,23.8,23.85422,325,71
1614854400,23.8,23.82,23.62,23.67,23.70941,168,61
1614854700,23.66,23.76,23.58,23.7,23.6456,97,59
1614855000,23.7,23.93,23.65,23.83,23.81692,237,33
1614855300,23.82,23.83,23.7,23.83,23.80534,117,38
1614855600,23.84,23.84,23.72,23.77,23.77828,26,17
1614855900,23.75,23.82,23.75,23.77,23.77656,22,13
1614856200,23.76,23.84,23.7,23.75,23.78807,67,43
1614856500,23.77,23.8,23.7,23.72,23.74488,19,17
1614856800,23.65,23.75,23.6,23.75,23.66745,92,58
1614857100,23.73,23.79,23.7,23.78,23.73979,40,27
1614857400,23.79,23.81,23.73,23.73,23.7694,44,23
1614857700,23.73,23.88,23.73,23.88,23.78822,111,44
1614858000,23.88,24.02,23.88,24.0,23.94865,364,82
1614858300,24.04,24.15,24.02,24.11,24.08186,107,37
1614858600,24.11,24.15,24.1,24.15,24.12384,74,30
1614858900,24.14,24.2,24.1,24.18,24.14593,117,66
1614859200,24.17,24.47,24.11,24.33,24.34755,2069,626
1614859500,24.35,24.46,24.29,24.33,24.38626,647,234
1614859800,24.349,24.45,24.25,24.42,24.3389,668,211
1614860100,24.39,24.6,24.38,24.6,24.48886,614,210
1614860400,24.6,24.61,24.3,24.49,24.52369,881,260
1614860700,24.49,24.52,24.28,24.35,24.41137,875,263
1614861000,24.38,24.44,24.25,24.25,24.33507,267,101
1614861300,24.25,24.39,24.25,24.33,24.30671,145,43
1614861600,24.34,24.39,24.32,24.39,24.33993,237,53
1614861900,24.39,24.49,24.38,24.4,24.427,275,95
1614862200,24.39,24.42,24.3,24.33,24.37487,235,75
1614862500,24.31,24.35,24.27,24.34,24.31201,330,77
1614862800,24.3399,24.6,24.19,24.5,24.38748,5733,1095
1614863100,24.49,24.51,24.33,24.35,24.40978,639,179
1614863400,24.35,24.37,24.32,24.36,24.33923,629,118
1614863700,24.36,24.45,24.36,24.4,24.39713,689,144
1614864000,24.41,24.57,24.34,24.56,24.4179,747,272
1614864300,24.57,24.6,24.44,24.57,24.57244,1037,311
1614864600,24.58,24.8,24.51,24.7899,24.68734,2213,512
1614864900,24.756,24.99,24.71,24.85,24.88496,3525,710
1614865200,24.85,25.08,24.78,25.0,24.97483,3833,766
1614865500,25.01,25.25,25.0,25.15,25.11734,5107,1444
1614865800,25.13,25.14,24.85,24.92,25.00537,3076,655
1614866100,24.92,25.09,24.9,25.02,24.99063,2185,555
1614866400,25.0,25.04,24.75,24.77,24.87007,2084,618
1614866700,24.7701,24.94,24.71,24.72,24.82326,2644,734
1614867000,24.71,24.83,24.7,24.79,24.77367,1060,396
1614867300,24.8,24.85,24.78,24.85,24.83314,1434,392
1614867600,24.85,24.85,24.7,24.82,24.768,1886,487
1614867900,24.82,24.84,24.72,24.82,24.78211,1272,361
1614868200,24.85,24.9,24.34,24.5378,24.70605,59856,11966
1614868500,24.5222,25.08,24.52,25.015,24.87405,45962,10753
1614868800,25.01,25.05,24.65,24.695,24.91623,29633,7973
1614869100,24.695,24.76,24.25,24.36,24.44562,26802,6823
1614869400,24.37,24.48,24.1,24.3399,24.28962,20352,5665
1614869700,24.361,24.37,23.85,24.0422,24.03922,29574,7012
1614870000,24.04,24.14,23.8,23.8,23.97432,23182,6080
1614870300,23.8,23.99,23.38,23.39,23.67424,33949,8188
1614870600,23.4,23.9,23.27,23.89,23.51336,25929,7632
1614870900,23.8901,24.0,23.64,23.65,23.83833,18156,5476
1614871200,23.65,24.05,23.52,23.99,23.85123,20346,6021
1614871500,24.0,24.2,23.78,24.19,24.03994,19739,5998
1614871800,24.18,24.59,24.01,24.57,24.33946,25437,6465
1614872100,24.57,24.75,24.36,24.5489,24.60986,23262,6376
1614872400,24.54,24.85,24.34,24.845,24.66528,18272,5216
1614872700,24.8499,24.95,24.5,24.56,24.7698,19689,5134
1614873000,24.5401,24.81,24.23,24.39,24.54248,15278,4231
1614873300,24.3903,24.85,24.35,24.73,24.6813,13081,3528
1614873600,24.74,24.94,24.6,24.92,24.82651,14168,3728
1614873900,24.92,24.94,24.62,24.6701,24.79354,12301,3301
1614874200,24.675,24.76,24.33,24.42,24.47934,15232,4154
1614874500,24.41,24.74,24.405,24.68,24.56581,8677,2570
1614874800,24.68,24.83,24.59,24.7999,24.73699,8626,2632
1614875100,24.795,24.8,24.41,24.54,24.57425,10327,3164
1614875400,24.54,24.73,24.42,24.45,24.58554,9358,2686
1614875700,24.45,24.85,24.45,24.7914,24.73571,12162,3143
1614876000,24.79,25.0,24.76,24.94,24.91478,20729,5976
1614876300,24.9479,25.19,24.91,25.18,25.03699,35554,10346
1614876600,25.18,25.49,25.16,25.4672,25.32652,39869,12178
1614876900,25.4689,25.49,25.07,25.2611,25.25133,29061,8133
