date,open,high,low,close,average,volume,count
1625670000,23.09,23.0975,23.09,23.095,23.0922,37,7
1625670001,23.095,23.095,23.095,23.095,23.095,10,1
1625670002,23.0942,23.095,23.0942,23.095,23.09462,13,2
1625670003,23.1,23.1,23.1,23.1,23.1,122,35
1625670004,23.1052,23.1083,23.1,23.1083,23.10433,22,11
1625670005,23.101,23.101,23.101,23.101,23.101,3,1
1625670006,23.1,23.1,23.1,23.1,23.1,1,1
1625670007,23.1,23.1,23.1,23.1,23.1,14,5
1625670008,23.095,23.095,23.095,23.095,23.095,1,1
1625670009,23.095,23.095,23.095,23.095,23.095,0,0
1625670010,23.1,23.1,23.095,23.095,23.09556,11,2
1625670011,23.095,23.095,23.095,23.095,23.095,11,2
1625670012,23.0953,23.0953,23.0953,23.0953,23.0953,2,1
1625670013,23.095,23.095,23.095,23.095,23.095,5,4
1625670014,23.095,23.1,23.095,23.1,23.09936,78,22
1625670015,23.105,23.105,23.1,23.1,23.1025,2,2
1625670016,23.1,23.1,23.1,23.1,23.1,0,0
1625670017,23.11,23.11,23.11,23.11,23.11,3,3
1625670018,23.1,23.11,23.1,23.11,23.10316,3,2
1625670019,23.105,23.11,23.105,23.105,23.10766,14,5
1625670020,23.1062,23.1062,23.1062,23.1062,23.1062,5,1
1625670021,23.11,23.11,23.11,23.11,23.11,1,1
1625670022,23.1,23.1,23.1,23.1,23.1,1,1
1625670023,23.105,23.105,23.105,23.105,23.105,1,1
1625670024,23.105,23.105,23.105,23.105,23.105,0,0
1625670025,23.105,23.1098,23.105,23.1098,23.10864,4,2
1625670026,23.105,23.105,23.105,23.105,23.105,1,1
1625670027,23.105,23.105,23.105,23.105,23.105,0,0
1625670028,23.105,23.105,23.1,23.1,23.10061,8,2
1625670029,23.1,23.1,23.1,23.1,23.1,0,0
1625670030,23.1099,23.1099,23.105,23.1069,23.10544,59,3
1625670031,23.1069,23.1069,23.1069,23.1069,23.1069,0,0
1625670032,23.11,23.11,23.105,23.105,23.1075,2,2
1625670033,23.1057,23.11,23.1057,23.11,23.10597,16,2
1625670034,23.1017,23.1017,23.1017,23.1017,23.1017,5,1
1625670035,23.11,23.115,23.11,23.115,23.11026,37,18
1625670036,23.12,23.12,23.115,23.115,23.11538,13,4
1625670037,23.11,23.11,23.11,23.11,23.11,1,1
1625670038,23.12,23.12,23.1101,23.115,23.11047,55,4
1625670039,23.11,23.11,23.11,23.11,23.11,5,1
1625670040,23.11,23.11,23.11,23.11,23.11,4,1
1625670041,23.12,23.12,23.12,23.12,23.12,9,6
1625670042,23.1182,23.12,23.115,23.115,23.11828,5,3
1625670043,23.115,23.12,23.11,23.12,23.11398,74,29
1625670044,23.12,23.12,23.115,23.1199,23.11788,12,5
1625670045,23.11,23.12,23.11,23.12,23.11135,59,33
1625670046,23.11,23.11,23.1099,23.1099,23.10997,22,10
1625670047,23.105,23.1088,23.105,23.105,23.10711,9,4
1625670048,23.1,23.1,23.1,23.1,23.1,5,1
1625670049,23.1014,23.1036,23.1014,23.1036,23.10287,3,2
1625670050,23.1036,23.1036,23.1036,23.1036,23.1036,0,0
1625670051,23.105,23.105,23.105,23.105,23.105,1,1
1625670052,23.105,23.11,23.105,23.11,23.1099,51,25
1625670053,23.1121,23.1187,23.1121,23.1187,23.1181,11,2
1625670054,23.111,23.111,23.111,23.111,23.111,11,1
1625670055,23.1185,23.1185,23.11,23.11,23.11067,15,2
1625670056,23.11,23.11,23.11,23.11,23.11,9,1
1625670057,23.11,23.11,23.11,23.11,23.11,0,0
1625670058,23.12,23.12,23.12,23.12,23.12,1,1
1625670059,23.12,23.12,23.12,23.12,23.12,42,17
1625670060,23.12,23.12,23.12,23.12,23.12,0,0
1625670061,23.1216,23.13,23.12,23.13,23.12385,18,6
1625670062,23.1224,23.1224,23.1224,23.1224,23.1224,1,1
1625670063,23.1299,23.1299,23.1201,23.1201,23.125,2,2
1625670064,23.1201,23.1201,23.1201,23.1201,23.1201,0,0
1625670065,23.1201,23.1201,23.1201,23.1201,23.1201,0,0
1625670066,23.12,23.12,23.12,23.12,23.12,2,1
1625670067,23.13,23.13,23.12,23.125,23.12417,6,6
1625670068,23.12,23.125,23.12,23.125,23.12129,3,3
1625670069,23.1201,23.1201,23.11,23.11,23.11755,36,20
1625670070,23.11,23.11,23.11,23.11,23.11,4,2
1625670071,23.1113,23.1113,23.1,23.1099,23.1099,24,7
1625670072,23.1,23.1,23.1,23.1,23.1,24,3
1625670073,23.1,23.105,23.1,23.1,23.10321,11,5
