date,open,high,low,close,average,volume,count
1632384000,27.7,27.7,27.68,27.68,27.68857,3,2
1632384005,27.68,27.75,27.68,27.75,27.70171,7,4
1632384010,27.7,27.7,27.58,27.58,27.64226,11,5
1632384015,27.72,27.72,27.72,27.72,27.72,10,2
1632384020,27.71,27.71,27.71,27.71,27.71,1,1
1632384025,27.71,27.72,27.71,27.72,27.71925,14,6
1632384030,27.72,27.72,27.72,27.72,27.72,0,0
1632384035,27.72,27.72,27.72,27.72,27.72,0,0
1632384040,27.71,27.71,27.71,27.71,27.71,1,1
1632384045,27.71,27.71,27.71,27.71,27.71,0,0
1632384050,27.71,27.71,27.71,27.71,27.71,0,0
1632384055,27.71,27.71,27.71,27.71,27.71,0,0
1632384060,27.71,27.71,27.71,27.71,27.71,0,0
1632384065,27.71,27.71,27.71,27.71,27.71,0,0
1632384070,27.71,27.71,27.71,27.71,27.71,0,0
1632384075,27.71,27.71,27.71,27.71,27.71,0,0
1632384080,27.66,27.66,27.66,27.66,27.66,1,1
1632384085,27.66,27.66,27.66,27.66,27.66,0,0
1632384090,27.66,27.66,27.66,27.66,27.66,0,0
1632384095,27.66,27.66,27.66,27.66,27.66,0,0
1632384100,27.66,27.66,27.66,27.66,27.66,0,0
1632384105,27.66,27.66,27.66,27.66,27.66,0,0
1632384110,27.66,27.66,27.66,27.66,27.66,0,0
1632384115,27.66,27.66,27.66,27.66,27.66,0,0
1632384120,27.66,27.66,27.66,27.66,27.66,0,0
1632384125,27.72,27.72,27.66,27.66,27.708,5,3
1632384130,27.66,27.66,27.66,27.66,27.66,0,0
1632384135,27.66,27.66,27.66,27.66,27.66,0,0
1632384140,27.66,27.66,27.66,27.66,27.66,0,0
1632384145,27.66,27.66,27.66,27.66,27.66,0,0
1632384150,27.66,27.66,27.66,27.66,27.66,0,0
1632384155,27.66,27.66,27.66,27.66,27.66,0,0
1632384160,27.66,27.66,27.66,27.66,27.66,0,0
1632384165,27.76,27.8,27.76,27.76,27.77665,12,5
1632384170,27.76,27.76,27.76,27.76,27.76,0,0
1632384175,27.76,27.76,27.76,27.76,27.76,0,0
1632384180,27.76,27.76,27.76,27.76,27.76,0,0
1632384185,27.76,27.76,27.76,27.76,27.76,0,0
1632384190,27.76,27.76,27.76,27.76,27.76,0,0
1632384195,27.76,27.76,27.76,27.76,27.76,0,0
1632384200,27.76,27.76,27.76,27.76,27.76,0,0
1632384205,27.73,27.73,27.73,27.73,27.73,2,1
1632384210,27.73,27.73,27.73,27.73,27.73,0,0
1632384215,27.73,27.73,27.73,27.73,27.73,0,0
1632384220,27.73,27.73,27.73,27.73,27.73,0,0
1632384225,27.73,27.73,27.73,27.73,27.73,5,1
1632384230,27.73,27.73,27.73,27.73,27.73,0,0
1632384235,27.73,27.73,27.7,27.73,27.72143,7,4
1632384240,27.75,27.77,27.75,27.77,27.75739,17,9
1632384245,27.77,27.77,27.77,27.77,27.77,0,0
1632384250,27.77,27.77,27.77,27.77,27.77,0,0
1632384255,27.77,27.77,27.77,27.77,27.77,0,0
1632384260,27.77,27.77,27.77,27.77,27.77,0,0
1632384265,27.77,27.77,27.77,27.77,27.77,0,0
1632384270,27.77,27.77,27.77,27.77,27.77,0,0
1632384275,27.77,27.77,27.77,27.77,27.77,0,0
1632384280,27.77,27.77,27.77,27.77,27.77,0,0
1632384285,27.77,27.77,27.77,27.77,27.77,0,0
1632384290,27.77,27.77,27.77,27.77,27.77,0,0
1632384295,27.77,27.77,27.77,27.77,27.77,0,0
1632384300,27.77,27.77,27.77,27.77,27.77,0,0
1632384305,27.77,27.77,27.77,27.77,27.77,0,0
1632384310,27.77,27.77,27.77,27.77,27.77,0,0
1632384315,27.78,27.78,27.78,27.78,27.78,2,1
1632384320,27.78,27.78,27.78,27.78,27.78,0,0
1632384325,27.78,27.78,27.78,27.78,27.78,0,0
1632384330,27.78,27.78,27.78,27.78,27.78,0,0
1632384335,27.71,27.71,27.71,27.71,27.71,2,2
1632384340,27.71,27.71,27.71,27.71,27.71,0,0
1632384345,27.71,27.71,27.71,27.71,27.71,1,1
1632384350,27.71,27.71,27.71,27.71,27.71,0,0
1632384355,27.71,27.71,27.71,27.71,27.71,0,0
1632384360,27.71,27.71,27.71,27.71,27.71,2,1
1632384365,27.71,27.71,27.71,27.71,27.71,0,0
1632384370,27.72,27.72,27.72,27.72,27.72,3,3
1632384375,27.72,27.72,27.72,27.72,27.72,0,0
1632384380,27.72,27.72,27.72,27.72,27.72,0,0
1632384385,27.72,27.72,27.72,27.72,27.72,2,2
1632384390,27.71,27.71,27.71,27.71,27.71,1,1
1632384395,27.71,27.71,27.71,27.71,27.71,0,0
1632384400,27.71,27.71,27.71,27.71,27.71,0,0
1632384405,27.71,27.71,27.71,27.71,27.71,0,0
1632384410,27.71,27.71,27.71,27.71,27.71,0,0
1632384415,27.71,27.71,27.71,27.71,27.71,0,0
1632384420,27.71,27.71,27.71,27.71,27.71,0,0
1632384425,27.71,27.71,27.71,27.71,27.71,0,0
1632384430,27.71,27.71,27.71,27.71,27.71,0,0
1632384435,27.71,27.71,27.71,27.71,27.71,0,0
1632384440,27.71,27.71,27.71,27.71,27.71,0,0
1632384445,27.72,27.72,27.72,27.72,27.72,6,2
1632384450,27.72,27.72,27.72,27.72,27.72,0,0
1632384455,27.72,27.72,27.72,27.72,27.72,0,0
