date,open,high,low,close,average,volume,count
1634803200,32.9,32.9,32.9,32.9,32.9,2,1
1634803500,32.55,32.7,32.55,32.7,32.61379,3,2
1634803800,32.55,32.55,32.55,32.55,32.55,1,1
1634804100,32.55,32.55,32.55,32.55,32.55,0,0
1634804400,32.55,32.55,32.55,32.55,32.55,0,0
1634804700,32.61,32.61,32.61,32.61,32.61,1,1
1634805000,32.61,32.61,32.61,32.61,32.61,0,0
1634805300,32.61,32.61,32.61,32.61,32.61,0,0
1634805600,32.61,32.61,32.61,32.61,32.61,0,0
1634805900,32.62,32.62,32.62,32.62,32.62,1,1
1634806200,32.64,32.8,32.63,32.78,32.72922,32,16
1634806500,32.91,32.91,32.91,32.91,32.91,1,1
1634806800,32.91,32.91,32.91,32.91,32.91,0,0
1634807100,32.91,32.91,32.91,32.91,32.91,0,0
1634807400,32.91,32.91,32.91,32.91,32.91,0,0
1634807700,32.87,32.87,32.87,32.87,32.87,2,1
1634808000,32.86,32.86,32.86,32.86,32.86,1,1
1634808300,32.81,32.81,32.81,32.81,32.81,1,1
1634808600,32.81,32.81,32.81,32.81,32.81,0,0
1634808900,32.81,32.81,32.81,32.81,32.81,0,0
1634809200,32.81,32.81,32.81,32.81,32.81,0,0
1634809500,32.82,32.82,32.75,32.75,32.78596,14,12
1634809800,32.75,32.75,32.75,32.75,32.75,0,0
1634810100,32.75,32.75,32.75,32.75,32.75,0,0
1634810400,32.75,32.75,32.75,32.75,32.75,0,0
1634810700,32.75,32.75,32.75,32.75,32.75,0,0
1634811000,32.75,32.75,32.75,32.75,32.75,0,0
1634811300,32.76,32.76,32.76,32.76,32.76,3,2
1634811600,32.72,32.73,32.72,32.73,32.72478,2,2
1634811900,32.73,32.73,32.73,32.73,32.73,0,0
1634812200,32.73,32.73,32.73,32.73,32.73,0,0
1634812500,32.73,32.73,32.73,32.73,32.73,0,0
1634812800,32.74,32.75,32.74,32.75,32.747,20,7
1634813100,32.81,32.81,32.81,32.81,32.81,1,1
1634813400,32.82,32.82,32.82,32.82,32.82,4,2
1634813700,32.81,32.81,32.81,32.81,32.81,1,1
1634814000,32.73,32.8,32.71,32.8,32.78844,35,6
1634814300,32.68,32.7,32.68,32.7,32.695,4,2
1634814600,32.69,32.7,32.65,32.65,32.681,10,8
1634814900,32.65,32.65,32.65,32.65,32.65,0,0
1634815200,32.7,32.7,32.7,32.7,32.7,1,1
1634815500,32.7,32.73,32.7,32.73,32.715,2,2
1634815800,32.72,32.72,32.71,32.71,32.715,2,2
1634816100,32.71,32.71,32.71,32.71,32.71,0,0
1634816400,32.74,32.74,32.74,32.74,32.74,1,1
1634816700,32.75,32.75,32.75,32.75,32.75,3,3
1634817000,32.75,32.75,32.75,32.75,32.75,1,1
1634817300,32.75,32.75,32.75,32.75,32.75,0,0
1634817600,32.6803,32.7599,32.65,32.7501,32.71099,220,34
1634817900,32.78,32.79,32.78,32.79,32.78667,3,2
1634818200,32.76,32.76,32.75,32.75,32.75124,8,4
1634818500,32.76,32.76,32.76,32.76,32.76,1,1
1634818800,32.75,32.79,32.75,32.79,32.76816,9,6
1634819100,32.75,32.7504,32.75,32.7501,32.75013,4,4
1634819400,32.75,32.75,32.75,32.75,32.75,1,1
1634819700,32.78,32.8,32.7509,32.78,32.77506,32,10
1634820000,32.78,32.86,32.78,32.86,32.80806,65,22
1634820300,32.86,32.86,32.83,32.83,32.85102,26,10
1634820600,32.82,32.865,32.82,32.865,32.83087,16,4
1634820900,32.85,32.85,32.85,32.85,32.85,1,1
1634821200,32.82,32.83,32.77,32.83,32.79272,16,7
1634821500,32.83,32.85,32.83,32.85,32.83488,24,4
1634821800,32.79,32.8495,32.79,32.8461,32.84311,15,4
1634822100,32.8461,32.8461,32.8461,32.8461,32.8461,0,0
1634822400,32.85,32.9,32.7703,32.7703,32.81612,56,22
1634822700,32.91,33.12,32.6,33.07,32.97583,517,164
1634823000,32.96,33.69,32.86,33.69,33.23727,10238,2243
1634823300,33.6822,33.95,33.6019,33.75,33.82658,9261,2971
1634823600,33.7416,34.51,33.72,34.4699,34.10353,14113,5120
1634823900,34.469,34.55,34.1,34.21,34.39698,12720,4818
1634824200,34.2,34.79,34.2,34.7701,34.50872,10264,3832
1634824500,34.7848,34.8,34.51,34.51,34.69942,8560,2990
1634824800,34.505,34.6,34.3822,34.5193,34.49304,6434,2555
1634825100,34.5192,34.71,34.445,34.6368,34.6342,5309,1882
1634825400,34.63,34.885,34.605,34.81,34.78996,7602,2700
1634825700,34.81,34.91,34.67,34.815,34.81065,5627,1995
1634826000,34.82,34.83,34.58,34.5801,34.70048,5302,1599
1634826300,34.59,34.59,34.4,34.4299,34.50308,5545,2209
1634826600,34.43,34.6084,34.43,34.591,34.55865,5338,1752
1634826900,34.59,34.96,34.55,34.785,34.79696,5585,2208
1634827200,34.78,34.91,34.58,34.625,34.79258,4619,1515
1634827500,34.63,34.68,34.56,34.6555,34.61292,3068,1146
1634827800,34.655,34.73,34.51,34.539,34.6011,3115,1149
1634828100,34.54,34.54,34.425,34.49,34.48249,2943,1119
1634828400,34.49,34.7,34.46,34.67,34.56286,5243,1483
1634828700,34.68,34.7,34.46,34.485,34.60142,3124,1077
1634829000,34.49,34.59,34.46,34.505,34.52223,2039,680
1634829300,34.51,34.54,34.06,34.085,34.25821,5952,2156
1634829600,34.09,34.1689,34.07,34.0999,34.11158,3478,1391
1634829900,34.0982,34.0982,33.7603,33.79,33.93665,5311,1768
1634830200,33.795,33.89,33.5,33.58,33.68652,5793,2037
1634830500,33.57,33.79,33.56,33.76,33.69679,3235,1015
1634830800,33.76,33.83,33.67,33.76,33.76909,2877,843
1634831100,33.76,33.84,33.71,33.775,33.78106,1832,711
1634831400,33.775,33.84,33.7255,33.772,33.77985,2713,754
1634831700,33.778,33.9,33.6601,33.895,33.77907,2855,1072
1634832000,33.9,33.99,33.89,33.96,33.9438,2504,1089
1634832300,33.96,34.0,33.84,33.885,33.94831,2135,785
1634832600,33.885,33.92,33.85,33.883,33.88292,1187,521
1634832900,33.8893,33.905,33.765,33.802,33.83814,1283,535
1634833200,33.802,33.8525,33.8009,33.83,33.83313,736,301
1634833500,33.8301,33.925,33.8301,33.885,33.89357,946,367
1634833800,33.8809,33.89,33.84,33.8405,33.87227,1062,436
1634834100,33.84,33.865,33.77,33.81,33.80708,1174,420
1634834400,33.8,33.85,33.7701,33.83,33.80758,898,415
1634834700,33.825,33.825,33.67,33.675,33.74702,1412,612
1634835000,33.67,33.71,33.64,33.6989,33.68171,1903,796
1634835300,33.6999,34.045,33.6855,34.045,33.89008,3285,1648
1634835600,34.04,34.08,33.93,33.9603,34.00794,2754,892
1634835900,33.9645,34.157,33.96,34.15,34.06285,1862,787
1634836200,34.15,34.19,34.11,34.16,34.15931,2178,868
1634836500,34.165,34.1788,34.0,34.01,34.07862,1648,716
1634836800,34.01,34.065,33.98,34.01,34.01876,1247,492
1634837100,34.01,34.048,34.0,34.0111,34.02256,792,383
1634837400,34.0101,34.07,33.98,33.9884,34.02057,1701,549
1634837700,33.988,34.02,33.95,33.97,33.98254,1012,475
1634838000,33.965,33.97,33.91,33.95,33.94281,1242,528
1634838300,33.9499,33.96,33.83,33.8399,33.8983,1140,438
1634838600,33.84,33.84,33.6463,33.67,33.72554,1821,794
1634838900,33.67,33.84,33.67,33.815,33.77631,1855,813
1634839200,33.82,34.0,33.82,33.998,33.92807,2522,979
1634839500,34.0,34.01,33.91,33.925,33.96564,1384,590
1634839800,33.92,33.93,33.85,33.8715,33.89015,1045,410
1634840100,33.88,33.9699,33.88,33.94,33.93642,700,285
1634840400,33.94,34.005,33.82,33.86,33.92544,1334,457
1634840700,33.85,33.89,33.79,33.83,33.84169,1328,589
1634841000,33.8389,33.8598,33.81,33.8297,33.82818,747,386
1634841300,33.825,33.885,33.8,33.82,33.83153,851,371
1634841600,33.82,33.88,33.8,33.815,33.83306,1105,520
1634841900,33.81,33.93,33.7852,33.92,33.85169,881,455
1634842200,33.92,33.99,33.915,33.985,33.96051,1730,595
1634842500,33.9809,33.99,33.885,33.925,33.92371,1213,496
1634842800,33.93,33.99,33.9,33.945,33.95383,1383,566
1634843100,33.94,33.97,33.915,33.933,33.94088,750,310
1634843400,33.93,33.955,33.82,33.86,33.87812,1102,365
1634843700,33.85,33.855,33.78,33.79,33.8063,1029,396
1634844000,33.787,33.84,33.755,33.827,33.80203,899,337
1634844300,33.82,33.835,33.76,33.795,33.79486,1180,405
1634844600,33.79,33.845,33.78,33.821,33.81335,894,397
1634844900,33.8293,33.83,33.7,33.715,33.75663,1607,580
1634845200,33.715,33.7208,33.61,33.62,33.663,2327,1033
1634845500,33.625,33.6511,33.6,33.63,33.62815,1407,619
1634845800,33.635,33.64,33.56,33.57,33.59102,1769,958
1634846100,33.58,33.73,33.575,33.66,33.6589,6659,2871
1634846400,33.67,33.82,33.6,33.6181,33.67035,4801,23
