date,open,high,low,close,average,volume,count
1648022400,27.28,27.28,26.8,27.27,27.19946,6,3
1648023300,27.31,27.35,27.31,27.31,27.32915,6,4
1648024200,27.25,27.31,27.25,27.31,27.28,2,2
1648025100,27.31,27.31,27.25,27.25,27.26423,8,3
1648026000,27.37,27.37,27.37,27.37,27.37,1,1
1648026900,27.47,27.47,27.41,27.41,27.45823,17,9
1648027800,27.41,27.41,27.0,27.0,27.26081,45,18
1648028700,27.09,27.09,27.01,27.01,27.06143,5,3
1648029600,27.0,27.0,26.9,26.94,26.9623,32,11
1648030500,26.92,26.92,26.91,26.91,26.9115,6,3
1648031400,26.91,26.91,26.91,26.91,26.91,0,0
1648032300,27.0,27.05,27.0,27.05,27.02996,8,5
1648033200,27.08,27.1,27.0,27.03,27.05451,32,17
1648034100,27.08,27.18,27.04,27.04,27.12483,62,25
1648035000,27.02,27.02,27.0,27.0,27.002,29,13
1648035900,26.96,27.05,26.93,27.05,26.9832,25,23
1648036800,27.0,27.65,27.0,27.46,27.24234,545,159
1648037700,27.65,27.75,27.48,27.69,27.61217,419,146
1648038600,27.69,27.69,27.33,27.4,27.49131,273,103
1648039500,27.34,27.36,27.14,27.24,27.29235,245,68
1648040400,27.24,27.31,27.24,27.29,27.28118,168,66
1648041300,27.3,27.33,27.05,27.1,27.19878,137,79
1648042200,27.11,27.89,26.95,27.53,27.53963,19100,7221
1648043100,27.53,27.57,26.84,26.87,27.07457,12943,5027
1648044000,26.85,27.1696,26.75,27.135,27.01135,9918,3548
1648044900,27.14,27.375,27.0,27.175,27.18381,8868,2656
1648045800,27.18,27.51,27.11,27.27,27.33076,8397,2663
1648046700,27.26,27.59,27.12,27.54,27.40669,6542,1862
1648047600,27.55,27.82,27.51,27.78,27.72782,5044,1891
1648048500,27.78,28.19,27.76,28.145,28.05122,13462,4214
1648049400,28.14,28.525,28.135,28.46,28.3154,12225,4422
1648050300,28.45,28.925,28.371,28.915,28.60659,15904,4328
1648051200,28.915,29.0758,28.63,28.86,28.8704,19332,5208
1648052100,28.86,29.0,28.53,28.53,28.77334,10615,3465
1648053000,28.55,28.65,28.255,28.3,28.45658,14075,3769
1648053900,28.32,28.59,28.14,28.555,28.28755,11429,3226
1648054800,28.5579,28.5599,28.16,28.39,28.32477,4590,1816
1648055700,28.405,28.44,27.86,27.88,28.00472,8550,2664
1648056600,27.8799,28.04,27.8,27.801,27.92143,4465,1923
1648057500,27.805,28.015,27.715,27.95,27.82887,4637,1634
1648058400,27.96,27.965,27.64,27.65,27.77241,4779,1591
1648059300,27.63,27.735,27.57,27.61,27.65116,5420,1857
1648060200,27.61,27.76,27.54,27.725,27.64381,3402,1198
1648061100,27.73,27.865,27.625,27.6473,27.73915,4740,1786
1648062000,27.64,27.76,27.58,27.635,27.6547,3441,1332
1648062900,27.6323,27.635,27.39,27.54,27.51039,5634,2376
1648063800,27.525,27.725,27.52,27.7,27.61456,5081,1941
1648064700,27.6963,27.825,27.621,27.63,27.69476,7986,3794
1648065600,27.64,27.75,27.59,27.61,27.64002,4771,26
1648066500,27.6962,27.7,27.5101,27.5101,27.62438,12,7
1648067400,27.5101,27.5101,27.5101,27.5101,27.5101,0,0
1648068300,27.5101,27.64,27.5101,27.56,27.56868,71,18
1648069200,27.63,27.64,27.55,27.6,27.61654,27,8
1648070100,27.5604,27.6,27.5604,27.6,27.56789,37,2
1648071000,27.57,27.6294,27.56,27.56,27.60934,38,4
1648071900,27.56,27.56,27.56,27.56,27.56,0,0
1648072800,27.62,27.67,27.62,27.67,27.64503,8,6
1648073700,27.56,27.56,27.56,27.56,27.56,4,1
1648074600,27.68,27.68,27.67,27.67,27.67333,3,2
1648075500,27.67,27.67,27.67,27.67,27.67,0,0
1648076400,27.68,27.68,27.64,27.64,27.66672,5,2
1648077300,27.68,27.68,27.68,27.68,27.68,6,3
1648078200,27.6799,27.68,27.66,27.68,27.66301,33,4
1648079100,27.68,27.69,27.57,27.59,27.61066,36,11
1648108800,27.85,28.09,27.65,28.06,27.92222,59,10
1648109700,28.02,28.07,28.02,28.05,28.04056,35,12
1648110600,28.06,28.06,28.05,28.06,28.05801,27,8
1648111500,28.0,28.04,27.93,28.04,27.96264,38,10
1648112400,28.01,28.05,28.01,28.05,28.02725,12,5
1648113300,28.05,28.05,28.05,28.05,28.05,3,2
1648114200,28.0,28.1,27.99,27.99,28.00583,25,9
1648115100,28.01,28.04,27.98,27.98,28.0032,28,10
1648116000,27.94,27.97,27.94,27.97,27.955,2,2
1648116900,27.9,28.01,27.77,27.92,27.89127,30,15
1648117800,27.93,27.93,27.88,27.88,27.89316,19,5
1648118700,27.89,27.94,27.89,27.94,27.92885,17,7
1648119600,27.9,28.02,27.87,28.0,27.98,36,24
1648120500,28.01,28.01,27.94,27.95,27.95159,25,15
1648121400,27.95,27.99,27.94,27.94,27.95469,20,12
1648122300,27.96,28.05,27.96,28.04,28.0174,37,25
1648123200,27.8614,28.11,27.8614,27.98,28.03863,442,99
1648124100,27.9617,28.0799,27.9617,28.0799,28.02916,58,7
1648125000,28.0,28.13,27.95,28.1,28.04204,189,54
1648125900,28.0601,28.1099,28.06,28.06,28.06762,21,11
1648126800,28.06,28.09,27.94,28.0,28.00264,121,40
1648127700,28.0,28.04,27.64,27.65,27.79328,383,115
1648128600,27.66,27.97,27.42,27.88,27.66864,16475,4889
1648129500,27.885,27.91,27.18,27.44,27.46317,9767,3915
1648130400,27.46,27.83,27.18,27.27,27.43625,8316,3037
1648131300,27.26,27.265,26.91,27.02,27.05201,9414,3923
1648132200,27.01,27.405,26.905,27.29,27.23816,8214,3461
1648133100,27.295,27.539,27.26,27.5095,27.40809,6903,2100
1648134000,27.5135,27.73,27.475,27.5911,27.60078,6017,2525
1648134900,27.595,27.775,27.5198,27.66,27.66293,5216,2012
1648135800,27.65,27.76,27.55,27.7129,27.65513,4081,1536
1648136700,27.72,27.88,27.52,27.62,27.65866,4183,1381
1648137600,27.61,27.73,27.42,27.7282,27.55134,3739,1434
1648138500,27.7101,28.06,27.7101,27.9001,27.94021,10731,3172
1648139400,27.9,27.99,27.74,27.98,27.89031,3546,1214
1648140300,27.975,27.99,27.83,27.99,27.91257,4448,1374
1648141200,27.98,28.06,27.86,27.91,27.96675,4300,1800
1648142100,27.905,28.04,27.9,27.99,27.98316,2286,1073
1648143000,27.99,28.1688,27.94,28.07,28.02793,7106,2301
1648143900,28.085,28.14,28.03,28.095,28.09204,4894,1375
1648144800,28.095,28.2,27.92,27.98,28.09687,5928,1676
1648145700,27.98,28.037,27.8725,27.9938,27.96973,2386,1092
