date,open,high,low,close,average,volume,count
20211006,24.02,25.0,23.46,24.66,24.43449,123306,53042
20211007,24.92,26.51,24.65,26.14,25.91525,136762,61362
20211008,26.32,27.355,26.21,27.25,26.99752,155588,64431
20211011,27.28,28.27,26.99,27.8,27.91841,145941,61831
20211012,27.69,29.96,27.55,29.5,29.17835,254158,96020
20211013,30.92,34.3,30.92,34.28,32.91111,782484,264634
20211014,35.0,35.0,31.3121,31.55,32.30695,708638,247662
20211015,31.76,32.7,30.77,31.48,31.70785,375103,121829
20211018,30.98,33.14,30.35,32.87,32.46115,291406,107267
20211019,32.86,33.57,31.91,33.27,32.87356,224773,83110
20211020,33.27,33.81,32.53,32.78,33.05387,173949,62952
20211021,32.9,34.96,32.55,33.37,34.1467,251010,90125
20211022,33.74,33.9899,31.96,32.58,32.68777,147311,60649
20211025,32.83,35.05,32.55,35.0,34.20202,211094,77706
20211026,35.2,35.53,33.545,34.24,34.44924,193723,78706
20211027,34.43,35.43,33.85,34.55,34.82816,205829,80551
20211028,34.85,38.45,34.612,37.1,37.02693,451955,170333
20211029,37.1,38.49,36.81,38.39,37.87737,236855,89505
20211101,38.8,42.62,38.8,42.61,40.72671,368727,145534
20211102,42.82,43.48,40.17,40.83,41.34022,303134,114739
20211103,40.93,41.3,38.63,40.21,39.98291,198843,81619
20211104,40.4,41.4,39.4699,40.28,40.21443,135731,59553
20211105,40.28,40.32,37.77,38.23,38.91465,166452,77304
20211108,38.82,41.64,38.7,41.1,40.95897,278516,79035
20211109,41.14,42.44,38.0,38.95,40.62042,254304,106906
20211110,38.75,42.05,37.89,40.45,40.62987,227692,93769
20211111,40.54,44.49,39.59,43.94,43.27107,286318,109180
20211112,43.92,44.42,41.96,43.0,42.91874,156187,64497
20211115,43.31,43.86,41.0201,41.68,42.2023,152077,63499
20211116,42.12,43.33,40.71,43.02,42.3883,135934,54913
20211117,42.78,45.33,41.76,41.7901,43.12634,166408,69415
20211118,42.4,42.71,39.45,40.26,40.61471,159654,63484
20211119,41.25,45.2,41.15,44.5,43.88743,330683,111541
20211122,45.01,46.5,42.22,42.62,44.1524,214834,83006
20211123,42.5,44.08,41.14,42.4,42.2108,136780,54126
20211124,42.72,43.2,40.74,43.14,42.41696,129624,47442
20211126,41.52,42.48,39.57,40.17,40.50411,115442,47873
20211129,40.59,41.7,39.4601,41.57,40.87514,132458,51904
