date,open,high,low,close,average,volume,count
1662039000,27.41,27.41,27.36,27.4,27.37757,12,7
1662039001,27.4,27.41,27.32,27.345,27.40776,1454,41
1662039002,27.34,27.4,27.32,27.4,27.36192,97,51
1662039003,27.4,27.41,27.36,27.38,27.38118,47,37
1662039004,27.36,27.39,27.36,27.39,27.36856,30,12
1662039005,27.41,27.42,27.41,27.41,27.411,10,9
1662039006,27.4,27.42,27.39,27.41,27.39861,22,18
1662039007,27.42,27.44,27.39,27.44,27.41556,48,17
1662039008,27.435,27.46,27.38,27.45,27.43674,18,10
1662039009,27.4,27.43,27.4,27.43,27.41778,9,3
1662039010,27.475,27.56,27.45,27.555,27.52017,249,44
1662039011,27.555,27.555,27.53,27.555,27.54154,13,12
1662039012,27.5342,27.5396,27.52,27.5396,27.53573,26,3
1662039013,27.55,27.55,27.55,27.55,27.55,1,1
1662039014,27.545,27.545,27.5,27.52,27.5255,10,10
1662039015,27.515,27.52,27.4205,27.4206,27.46751,146,97
1662039016,27.43,27.43,27.41,27.41,27.42,4,3
1662039017,27.41,27.41,27.41,27.41,27.41,0,0
1662039018,27.41,27.44,27.41,27.42,27.42093,7,5
1662039019,27.435,27.435,27.4116,27.4116,27.41861,23,15
1662039020,27.41,27.41,27.41,27.41,27.41,3,2
1662039021,27.42,27.42,27.39,27.3978,27.39738,19,4
1662039022,27.39,27.41,27.39,27.41,27.3965,35,21
1662039023,27.4,27.4,27.4,27.4,27.4,3,1
1662039024,27.4187,27.4187,27.38,27.39,27.40393,40,12
1662039025,27.4088,27.4088,27.385,27.385,27.40331,13,2
1662039026,27.4,27.4199,27.39,27.4199,27.4104,21,9
1662039027,27.42,27.5197,27.42,27.5197,27.45568,24,19
1662039028,27.5197,27.5197,27.5197,27.5197,27.5197,0,0
1662039029,27.5085,27.5085,27.5085,27.5085,27.5085,20,1
1662039030,27.52,27.52,27.49,27.49,27.50587,18,12
1662039031,27.5014,27.5014,27.47,27.47,27.48817,18,8
1662039032,27.47,27.5,27.47,27.5,27.4825,4,3
1662039033,27.5,27.5,27.5,27.5,27.5,0,0
1662039034,27.5,27.5,27.5,27.5,27.5,0,0
1662039035,27.5,27.5001,27.47,27.5,27.48694,70,30
1662039036,27.4887,27.4887,27.47,27.47,27.48365,7,3
1662039037,27.5,27.5,27.5,27.5,27.5,20,1
1662039038,27.5,27.5,27.5,27.5,27.5,0,0
1662039039,27.49,27.5,27.48,27.48,27.48927,11,7
1662039040,27.51,27.52,27.48,27.49,27.50477,23,13
1662039041,27.48,27.49,27.48,27.49,27.48333,9,6
1662039042,27.48,27.49,27.44,27.47,27.45891,60,34
1662039043,27.47,27.47,27.47,27.47,27.47,0,0
1662039044,27.46,27.46,27.4519,27.4519,27.45256,37,3
1662039045,27.46,27.46,27.45,27.45,27.45181,14,5
1662039046,27.49,27.49,27.49,27.49,27.49,1,1
1662039047,27.49,27.49,27.49,27.49,27.49,0,0
1662039048,27.5,27.505,27.5,27.505,27.50042,12,6
1662039049,27.51,27.51,27.5,27.51,27.505,4,3
1662039050,27.52,27.52,27.51,27.51,27.51064,47,13
1662039051,27.53,27.545,27.53,27.545,27.53536,14,10
1662039052,27.5367,27.5367,27.5367,27.5367,27.5367,3,1
1662039053,27.5458,27.5458,27.54,27.54,27.54483,6,2
1662039054,27.5,27.5,27.46,27.47,27.47997,9,8
1662039055,27.4608,27.4608,27.4608,27.4608,27.4608,1,1
1662039056,27.45,27.46,27.44,27.44,27.45,5,4
1662039057,27.4338,27.4338,27.4338,27.4338,27.4338,1,1
1662039058,27.4499,27.4499,27.4198,27.4198,27.42384,29,3
1662039059,27.4198,27.4198,27.4198,27.4198,27.4198,0,0
1662039060,27.41,27.42,27.39,27.4,27.39793,41,25
1662039061,27.39,27.41,27.38,27.38,27.39426,30,9
1662039062,27.4,27.4,27.39,27.4,27.39451,15,8
1662039063,27.38,27.3844,27.375,27.375,27.3803,24,3
1662039064,27.375,27.375,27.375,27.375,27.375,0,0
1662039065,27.3899,27.4,27.3899,27.39,27.39454,48,23
1662039066,27.4,27.44,27.4,27.44,27.43641,103,11
1662039067,27.39,27.425,27.38,27.38,27.38667,56,25
1662039068,27.36,27.36,27.35,27.35,27.35922,12,4
1662039069,27.35,27.39,27.35,27.39,27.37441,17,10
1662039070,27.3604,27.3604,27.3604,27.3604,27.3604,1,1
1662039071,27.38,27.38,27.38,27.38,27.38,1,1
1662039072,27.38,27.38,27.38,27.38,27.38,0,0
