date,open,high,low,close,average,volume,count
1627569000,150.05,150.05,150.05,150.05,150.05,0,0
1627569001,150.06,150.06,150.06,150.06,150.06,2,2
1627569002,150.04,150.05,150.04,150.05,150.044,2,2
1627569003,150.1,150.1,150.1,150.1,150.1,1,1
1627569004,150.11,150.12,150.11,150.12,150.115,2,2
1627569005,150.12,150.12,150.12,150.12,150.12,1,1
1627569006,150.12,150.13,150.08,150.12,150.111,10,6
1627569007,150.11,150.13,150.08,150.08,150.09,7,3
1627569008,150.06,150.06,150.05,150.05,150.058,11,6
1627569009,150.06,150.06,150.06,150.06,150.06,1,1
1627569010,150.09,150.09,150.04,150.05,150.054,11,10
1627569011,150.06,150.06,150.06,150.06,150.06,6,5
1627569012,150.06,150.06,150.06,150.06,150.06,0,0
1627569013,150.06,150.06,150.06,150.06,150.06,0,0
1627569014,150.06,150.07,150.06,150.06,150.065,1,1
1627569015,150.08,150.08,150.08,150.08,150.08,1,1
1627569016,150.08,150.08,150.08,150.08,150.08,0,0
1627569017,150.06,150.07,150.06,150.06,150.065,2,2
1627569018,150.06,150.07,150.06,150.06,150.06,0,0
1627569019,150.08,150.08,150.08,150.08,150.08,3,2
1627569020,150.08,150.08,150.03,150.05,150.059,26,16
1627569021,150.08,150.08,150.08,150.08,150.08,1,1
1627569022,150.05,150.06,150.04,150.06,150.048,6,3
1627569023,150.06,150.06,150.05,150.06,150.06,0,0
1627569024,150.07,150.07,150.07,150.07,150.07,1,1
1627569025,150.06,150.06,150.05,150.06,150.055,1,1
1627569026,150.06,150.06,150.05,150.06,150.06,0,0
1627569027,150.08,150.12,150.08,150.12,150.098,8,8
1627569028,150.12,150.13,150.05,150.08,150.117,31,12
1627569029,150.1,150.1,150.07,150.07,150.095,11,2
1627569030,150.07,150.08,150.07,150.07,150.07,0,0
1627569031,150.09,150.09,150.09,150.09,150.09,1,1
1627569032,150.11,150.11,150.11,150.11,150.11,1,1
1627569033,150.12,150.14,150.12,150.13,150.129,8,7
1627569034,150.15,150.22,150.15,150.22,150.196,55,22
1627569035,150.21,150.22,150.15,150.16,150.17,16,6
1627569036,150.16,150.16,150.16,150.16,150.16,0,0
1627569037,150.16,150.16,150.16,150.16,150.16,0,0
1627569038,150.13,150.13,150.12,150.12,150.125,2,2
1627569039,150.13,150.13,150.1,150.1,150.114,6,3
1627569040,150.1,150.1,150.1,150.1,150.1,0,0
1627569041,150.1,150.1,150.1,150.1,150.1,0,0
1627569042,150.1,150.1,150.1,150.1,150.1,0,0
1627569043,150.1,150.1,150.1,150.1,150.1,1,1
1627569044,150.1,150.1,150.1,150.1,150.1,0,0
1627569045,150.12,150.12,150.12,150.12,150.12,2,2
1627569046,150.1,150.13,150.1,150.12,150.116,4,3
1627569047,150.13,150.16,150.13,150.16,150.15,5,5
1627569048,150.15,150.16,150.11,150.16,150.133,9,7
1627569049,150.12,150.17,150.12,150.17,150.148,6,6
1627569050,150.17,150.17,150.16,150.17,150.17,0,0
1627569051,150.14,150.14,150.14,150.14,150.14,2,2
1627569052,150.15,150.15,150.14,150.15,150.146,3,1
1627569053,150.15,150.15,150.14,150.15,150.15,0,0
1627569054,150.14,150.18,150.14,150.18,150.158,4,3
1627569055,150.18,150.18,150.18,150.18,150.18,0,0
1627569056,150.17,150.17,150.17,150.17,150.17,7,7
1627569057,150.17,150.17,150.17,150.17,150.17,0,0
1627569058,150.17,150.17,150.17,150.17,150.17,1,1
1627569059,150.17,150.17,150.17,150.17,150.17,0,0
1627569060,150.17,150.2,150.17,150.2,150.187,3,3
1627569061,150.17,150.19,150.15,150.19,150.181,12,5
1627569062,150.17,150.19,150.14,150.19,150.165,13,4
1627569063,150.17,150.21,150.17,150.21,150.183,3,3
1627569064,150.23,150.25,150.23,150.25,150.248,17,13
1627569065,150.24,150.25,150.23,150.24,150.24,10,8
1627569066,150.25,150.25,150.23,150.24,150.238,3,2
1627569067,150.25,150.25,150.21,150.24,150.231,6,5
1627569068,150.25,150.25,150.24,150.25,150.245,1,1
1627569069,150.23,150.23,150.23,150.23,150.23,1,1
1627569070,150.21,150.22,150.21,150.21,150.213,1,1
1627569071,150.23,150.23,150.18,150.18,150.205,26,17
1627569072,150.16,150.22,150.16,150.17,150.179,4,4
1627569073,150.15,150.18,150.14,150.18,150.154,24,6
1627569074,150.18,150.18,150.18,150.18,150.18,0,0
1627569075,150.18,150.18,150.18,150.18,150.18,0,0
1627569076,150.18,150.18,150.18,150.18,150.18,0,0
1627569077,150.15,150.17,150.15,150.17,150.16,3,2
1627569078,150.17,150.17,150.16,150.17,150.17,0,0
1627569079,150.17,150.17,150.16,150.17,150.17,0,0
1627569080,150.14,150.14,150.14,150.14,150.14,1,1
1627569081,150.14,150.14,150.14,150.14,150.14,0,0
1627569082,150.16,150.16,150.13,150.14,150.139,18,5
1627569083,150.11,150.11,150.11,150.11,150.11,2,2
1627569084,150.11,150.11,150.11,150.11,150.11,4,2
1627569085,150.11,150.11,150.11,150.11,150.11,0,0
1627569086,150.13,150.14,150.13,150.14,150.135,2,2
1627569087,150.14,150.14,150.14,150.14,150.14,0,0
1627569088,150.14,150.15,150.12,150.15,150.138,5,5
1627569089,150.14,150.14,150.12,150.14,150.138,9,4
1627569090,150.14,150.14,150.14,150.14,150.14,0,0
1627569091,150.14,150.14,150.12,150.14,150.125,7,6
1627569092,150.14,150.14,150.13,150.14,150.14,0,0
1627569093,150.13,150.13,150.13,150.13,150.13,1,1
1627569094,150.13,150.13,150.13,150.13,150.13,1,1
1627569095,150.13,150.13,150.13,150.13,150.13,1,1
1627569096,150.1,150.11,150.1,150.11,150.104,2,2
1627569097,150.13,150.13,150.12,150.13,150.125,3,2
1627569098,150.12,150.14,150.12,150.14,150.13,2,2
1627569099,150.14,150.14,150.14,150.14,150.14,0,0
1627569100,150.13,150.13,150.12,150.13,150.125,1,1
1627569101,150.13,150.13,150.12,150.13,150.13,0,0
1627569102,150.13,150.14,150.08,150.08,150.116,13,13
1627569103,150.07,150.07,150.02,150.03,150.043,7,7
1627569104,150.03,150.03,150.02,150.03,150.03,0,0
1627569105,150.04,150.04,150.04,150.04,150.04,10,1
1627569106,150.04,150.04,150.04,150.04,150.04,0,0
1627569107,150.04,150.04,150.04,150.04,150.04,0,0
1627569108,150.06,150.06,150.06,150.06,150.06,2,2
1627569109,150.07,150.08,150.06,150.08,150.073,4,4
1627569110,150.08,150.08,150.08,150.08,150.08,2,2
1627569111,150.08,150.08,150.08,150.08,150.08,0,0
1627569112,150.08,150.08,150.07,150.07,150.076,4,2
1627569113,150.08,150.09,150.08,150.09,150.086,4,4
1627569114,150.1,150.1,150.1,150.1,150.1,3,1
1627569115,150.1,150.1,150.1,150.1,150.1,0,0
1627569116,150.1,150.1,150.1,150.1,150.1,0,0
1627569117,150.11,150.11,150.11,150.11,150.11,1,1
1627569118,150.11,150.11,150.11,150.11,150.11,0,0
1627569119,150.11,150.11,150.11,150.11,150.11,0,0
1627569120,150.09,150.09,150.09,150.09,150.09,1,1
1627569121,150.09,150.1,150.09,150.09,150.093,3,3
1627569122,150.11,150.15,150.1,150.12,150.134,26,22
1627569123,150.13,150.13,150.11,150.13,150.127,19,10
1627569124,150.13,150.13,150.13,150.13,150.13,0,0
1627569125,150.1,150.11,150.1,150.1,150.1,1,1
1627569126,150.13,150.14,150.13,150.14,150.135,2,2
1627569127,150.14,150.14,150.14,150.14,150.14,0,0
1627569128,150.13,150.13,150.13,150.13,150.13,2,1
1627569129,150.1,150.1,150.08,150.08,150.094,7,7
1627569130,150.1,150.1,150.1,150.1,150.1,3,3
1627569131,150.1,150.1,150.1,150.1,150.1,0,0
1627569132,150.1,150.1,150.1,150.1,150.1,0,0
1627569133,150.1,150.1,150.1,150.1,150.1,0,0
1627569134,150.07,150.07,150.07,150.07,150.07,2,2
1627569135,150.05,150.07,150.04,150.07,150.048,5,5
1627569136,150.05,150.05,150.04,150.05,150.045,1,1
1627569137,150.05,150.05,150.04,150.05,150.05,0,0
1627569138,150.06,150.06,150.06,150.06,150.06,3,3
1627569139,150.06,150.07,150.06,150.06,150.061,2,1
1627569140,150.05,150.07,150.05,150.05,150.054,8,7
