date,open,high,low,close,average,volume,count
1625751000,26.95,26.95,26.95,26.95,26.95,0,0
1625751001,26.96,26.96,26.85,26.85,26.899,1866,18
1625751002,26.86,26.93,26.77,26.78,26.834,43,15
1625751003,26.78,26.87,26.74,26.74,26.761,94,26
1625751004,26.87,26.94,26.71,26.71,26.804,92,45
1625751005,26.74,26.94,26.53,26.94,26.7,188,83
1625751006,26.7,26.7,26.45,26.45,26.545,108,67
1625751007,26.52,26.52,26.45,26.45,26.456,109,21
1625751008,26.45,26.52,26.2,26.21,26.405,147,51
1625751009,26.17,26.2,26.0,26.08,26.06,409,123
1625751010,25.96,26.12,25.96,26.12,26.028,60,31
1625751011,26.0,26.17,25.93,25.93,26.042,198,106
1625751012,26.02,26.03,25.93,26.02,26.003,39,11
1625751013,25.98,26.04,25.84,26.03,25.956,296,132
1625751014,26.03,26.03,25.6,25.71,25.739,449,155
1625751015,25.61,25.76,25.5,25.51,25.599,370,119
1625751016,25.47,25.58,25.28,25.3,25.38,385,90
1625751017,25.28,25.39,25.11,25.13,25.196,151,56
1625751018,25.11,25.31,24.59,24.59,24.972,640,160
1625751019,24.69,25.29,24.59,24.79,24.809,96,50
1625751020,24.79,24.86,24.69,24.81,24.791,78,38
1625751021,24.79,25.14,24.79,25.14,24.996,96,50
1625751022,25.13,25.27,25.13,25.24,25.243,75,28
1625751023,25.27,25.27,25.1,25.1,25.177,46,28
1625751024,25.15,25.27,25.01,25.04,25.16,49,23
1625751025,24.75,25.27,24.75,24.92,25.14,63,47
1625751026,25.13,25.26,24.93,25.26,25.133,34,19
1625751027,25.12,25.26,25.07,25.07,25.145,100,33
1625751028,25.06,25.26,25.02,25.26,25.1,95,36
1625751029,25.05,25.25,25.02,25.15,25.14,113,58
1625751030,25.23,25.25,25.15,25.23,25.227,28,22
1625751031,25.22,25.23,25.04,25.05,25.155,70,31
1625751032,25.1,25.18,25.01,25.02,25.083,64,35
1625751033,25.22,25.22,25.04,25.17,25.104,59,21
1625751034,25.17,25.17,25.01,25.08,25.063,13,11
1625751035,25.12,25.18,25.01,25.13,25.118,342,162
1625751036,25.15,25.17,25.1,25.14,25.123,154,94
1625751037,25.13,25.16,25.1,25.13,25.128,62,31
1625751038,25.13,25.16,25.1,25.12,25.129,177,98
1625751039,25.13,25.23,25.12,25.22,25.153,1022,137
1625751040,25.22,25.23,25.14,25.22,25.17,247,103
1625751041,25.23,25.23,25.16,25.22,25.218,82,43
1625751042,25.22,25.23,25.15,25.16,25.215,213,119
1625751043,25.16,25.18,25.14,25.14,25.159,30,19
1625751044,25.15,25.16,25.09,25.1,25.107,223,112
1625751045,25.11,25.11,24.64,24.65,25.066,1432,99
1625751046,24.64,24.71,24.39,24.46,24.519,85,43
1625751047,24.51,24.51,24.15,24.15,24.361,68,33
1625751048,24.19,24.36,24.16,24.36,24.246,39,24
1625751049,24.35,24.36,24.16,24.26,24.277,37,24
1625751050,24.36,24.36,24.2,24.27,24.276,42,23
1625751051,24.26,24.35,24.16,24.21,24.256,89,51
1625751052,24.21,24.35,24.21,24.3,24.283,137,88
1625751053,24.26,24.3,24.25,24.29,24.283,35,18
1625751054,24.28,24.29,24.22,24.26,24.275,21,15
1625751055,24.21,24.28,24.17,24.27,24.251,85,52
1625751056,24.19,24.28,24.19,24.23,24.247,161,58
1625751057,24.23,24.24,24.19,24.2,24.226,38,10
1625751058,24.24,24.28,24.21,24.28,24.265,67,55
