date,open,high,low,close,average,volume,count
1629379800,360.22,360.24,360.15,360.15,360.199,1657,89
1629379801,360.13,360.21,359.99,360.0,360.05,229,118
1629379802,360.0,360.08,359.96,360.0,360.004,195,109
1629379803,359.97,360.1,359.97,360.05,360.035,289,172
1629379804,360.05,360.05,360.0,360.0,360.02,272,82
1629379805,360.01,360.02,359.97,359.99,360.0,112,39
1629379806,359.98,360.15,359.96,360.1,360.042,162,78
1629379807,360.12,360.13,359.96,360.1,360.08,131,34
1629379808,360.07,360.11,360.04,360.07,360.078,91,46
1629379809,360.09,360.17,360.08,360.16,360.123,42,31
1629379810,360.15,360.16,360.09,360.13,360.123,212,106
1629379811,360.13,360.17,360.13,360.17,360.146,54,27
1629379812,360.18,360.2,360.17,360.17,360.184,63,34
1629379813,360.16,360.29,360.15,360.28,360.206,118,61
1629379814,360.3,360.3,360.25,360.3,360.26,80,37
1629379815,360.32,360.37,360.31,360.34,360.348,182,89
1629379816,360.34,360.39,360.32,360.39,360.345,83,39
1629379817,360.4,360.47,360.34,360.36,360.431,199,84
1629379818,360.35,360.42,360.29,360.41,360.34,96,54
1629379819,360.4,360.42,360.34,360.39,360.37,59,43
1629379820,360.4,360.49,360.4,360.48,360.466,51,33
1629379821,360.48,360.52,360.47,360.5,360.49,57,31
1629379822,360.55,360.58,360.55,360.55,360.569,73,38
1629379823,360.56,360.57,360.54,360.56,360.547,29,13
1629379824,360.58,360.61,360.58,360.58,360.593,54,25
1629379825,360.56,360.61,360.56,360.6,360.594,35,25
1629379826,360.63,360.64,360.61,360.61,360.623,18,14
1629379827,360.64,360.68,360.64,360.68,360.663,22,15
1629379828,360.68,360.71,360.67,360.71,360.688,11,10
1629379829,360.72,360.73,360.64,360.64,360.684,71,34
1629379830,360.61,360.67,360.55,360.55,360.618,47,30
1629379831,360.57,360.61,360.56,360.58,360.585,40,27
1629379832,360.58,360.62,360.58,360.61,360.604,126,50
1629379833,360.59,360.61,360.58,360.59,360.594,70,29
1629379834,360.59,360.63,360.58,360.6,360.595,43,29
1629379835,360.6,360.61,360.56,360.56,360.583,19,14
1629379836,360.56,360.71,360.56,360.69,360.612,203,133
1629379837,360.69,360.7,360.68,360.7,360.693,26,14
1629379838,360.67,360.7,360.65,360.69,360.676,41,23
1629379839,360.69,360.7,360.68,360.68,360.687,25,13
1629379840,360.64,360.66,360.63,360.66,360.648,18,13
1629379841,360.68,360.72,360.68,360.68,360.702,73,40
1629379842,360.67,360.68,360.64,360.66,360.66,29,17
1629379843,360.66,360.66,360.65,360.65,360.658,20,11
1629379844,360.66,360.66,360.65,360.65,360.657,12,12
1629379845,360.66,360.66,360.63,360.63,360.648,18,18
1629379846,360.63,360.63,360.55,360.59,360.594,40,33
1629379847,360.57,360.61,360.51,360.53,360.563,43,30
1629379848,360.55,360.55,360.52,360.53,360.541,12,10
1629379849,360.53,360.55,360.52,360.55,360.54,10,7
1629379850,360.51,360.52,360.51,360.52,360.516,5,4
1629379851,360.52,360.56,360.51,360.54,360.533,34,15
1629379852,360.55,360.57,360.55,360.57,360.56,9,6
1629379853,360.6,360.61,360.6,360.61,360.602,19,10
1629379854,360.59,360.64,360.59,360.62,360.632,189,98
1629379855,360.68,360.69,360.66,360.66,360.673,17,6
1629379856,360.69,360.7,360.67,360.69,360.69,18,13
1629379857,360.7,360.73,360.68,360.69,360.708,34,19
1629379858,360.71,360.71,360.7,360.71,360.709,16,9
1629379859,360.72,360.78,360.72,360.78,360.741,26,11
1629379860,360.79,360.82,360.78,360.81,360.804,30,21
1629379861,360.8,360.81,360.77,360.81,360.794,92,60
1629379862,360.8,360.93,360.77,360.92,360.855,63,43
1629379863,360.92,360.95,360.9,360.94,360.931,58,38
1629379864,360.89,360.93,360.89,360.92,360.905,17,10
