date,open,high,low,close,average,volume,count
1656057600,286.32,288.15,286.32,287.71,287.755,234,69
1656057900,287.69,287.75,287.55,287.57,287.633,141,35
1656058200,287.56,287.69,287.27,287.37,287.52,234,61
1656058500,287.32,287.63,287.32,287.55,287.471,318,63
1656058800,287.53,287.56,287.0,287.14,287.116,335,57
1656059100,287.11,287.38,287.05,287.38,287.235,42,13
1656059400,287.38,287.61,287.28,287.61,287.493,99,22
1656059700,287.53,287.53,287.46,287.49,287.51,13,4
1656060000,287.6,287.62,287.57,287.6,287.595,21,7
1656060300,287.56,287.56,287.43,287.43,287.499,52,8
1656060600,287.43,287.49,287.42,287.45,287.462,10,4
1656060900,287.51,287.67,287.5,287.56,287.512,64,12
1656061200,287.51,287.51,287.49,287.49,287.503,20,5
1656061500,287.35,287.64,287.35,287.64,287.522,27,8
1656061800,287.61,287.7,287.61,287.7,287.669,30,13
1656062100,287.73,287.81,287.73,287.81,287.765,16,5
1656062400,287.7,287.7,287.6,287.6,287.633,92,22
1656062700,287.6,287.6,287.4,287.42,287.467,45,10
1656063000,287.36,287.36,287.36,287.36,287.36,2,1
1656063300,287.55,287.55,287.35,287.4,287.399,80,14
1656063600,287.34,287.57,287.29,287.57,287.395,35,13
1656063900,287.57,287.74,287.55,287.67,287.612,29,11
1656064200,287.58,287.65,287.58,287.65,287.633,4,4
1656064500,287.7,287.84,287.62,287.84,287.707,22,7
1656064800,287.84,288.03,287.84,288.03,287.952,26,13
1656065100,288.0,288.04,287.82,288.04,287.972,105,26
1656065400,287.94,288.02,287.94,288.0,287.999,50,15
1656065700,288.02,288.02,287.87,287.93,287.922,247,56
1656066000,287.9,287.9,287.8,287.8,287.892,54,13
1656066300,287.7,287.75,287.7,287.73,287.744,56,10
1656066600,287.69,287.73,287.69,287.69,287.705,17,6
1656066900,287.93,287.93,287.8,287.88,287.876,64,12
1656067200,287.81,287.86,287.75,287.75,287.805,23,7
1656067500,287.78,287.87,287.77,287.77,287.8,24,6
1656067800,287.8,287.83,287.65,287.7,287.758,190,33
1656068100,287.7,287.7,287.56,287.66,287.649,33,9
1656068400,287.55,287.61,287.46,287.5,287.523,326,93
1656068700,287.5,287.5,287.44,287.49,287.464,195,70
1656069000,287.49,287.63,287.48,287.62,287.554,160,89
1656069300,287.64,287.65,287.54,287.61,287.595,239,85
1656069600,287.62,287.72,287.57,287.69,287.646,129,70
1656069900,287.65,287.73,287.62,287.73,287.68,233,97
1656070200,287.74,287.91,287.72,287.81,287.805,318,121
1656070500,287.85,287.9,287.6,287.68,287.771,303,98
1656070800,287.65,287.67,287.36,287.41,287.54,297,113
1656071100,287.3,287.36,286.9,286.96,287.016,463,177
1656071400,286.95,287.17,286.88,287.15,287.045,639,353
1656071700,287.16,287.2,287.03,287.05,287.112,327,181
1656072000,287.53,287.92,285.06,287.25,287.248,1069,334
