date,open,high,low,close,average,volume,count
1658908800,299.0,299.79,298.9,299.56,299.175,819,162
1658909700,299.54,299.61,299.16,299.25,299.425,202,51
1658910600,299.21,299.45,299.21,299.4,299.394,100,32
1658911500,299.4,299.52,299.36,299.37,299.423,328,99
1658912400,299.32,299.38,299.19,299.23,299.258,92,21
1658913300,299.23,299.23,299.07,299.07,299.188,56,19
1658914200,299.14,299.23,299.0,299.09,299.151,522,99
1658915100,299.05,299.05,298.8,298.87,298.922,59,23
1658916000,298.94,298.94,298.68,298.83,298.793,77,36
1658916900,298.77,298.77,298.54,298.6,298.637,68,35
1658917800,298.58,298.8,298.4,298.75,298.696,159,55
1658918700,298.74,298.87,298.61,298.87,298.773,115,29
1658919600,298.8,298.86,298.14,298.38,298.4,694,184
1658920500,298.41,298.6,298.31,298.53,298.421,365,154
1658921400,298.6,298.6,298.29,298.56,298.483,244,100
1658922300,298.56,298.57,298.26,298.26,298.429,300,136
1658923200,298.76,299.59,294.59,298.39,298.342,877,314
1658924100,298.42,298.78,298.33,298.56,298.502,1146,353
1658925000,298.56,298.88,298.13,298.64,298.444,1055,378
1658925900,298.66,299.12,298.64,298.93,298.969,1781,578
1658926800,298.93,299.24,298.89,299.22,299.064,860,324
1658927700,299.24,299.24,298.91,299.03,299.041,1589,468
1658928600,299.04,300.85,298.46,300.68,299.597,32426,15307
1658929500,300.69,301.48,300.69,301.11,301.111,20239,11045
1658930400,301.11,301.87,300.78,301.82,301.371,19361,9738
1658931300,301.87,302.28,301.44,301.69,301.92,13565,6540
1658932200,301.69,301.86,301.16,301.38,301.463,11477,4972
1658933100,301.36,302.12,301.27,302.07,301.777,8575,3920
1658934000,302.06,302.63,302.03,302.22,302.308,12781,5319
1658934900,302.23,302.5,301.6,301.98,302.057,10704,4903
1658935800,301.99,302.43,301.98,302.19,302.209,7188,2760
1658936700,302.2,302.59,302.04,302.42,302.343,11767,4503
1658937600,302.41,302.9,302.2,302.88,302.562,9654,4242
1658938500,302.9,303.27,302.73,302.98,302.984,8879,3642
1658939400,302.98,303.04,302.49,302.58,302.834,6897,3102
1658940300,302.56,302.67,302.09,302.17,302.357,5560,2509
1658941200,302.16,302.44,301.85,302.41,302.158,7662,3502
1658942100,302.41,302.49,302.26,302.45,302.391,5322,2526
1658943000,302.45,302.69,302.07,302.1,302.38,5962,3209
1658943900,302.09,302.55,302.0,302.38,302.303,11677,5596
1658944800,302.43,303.61,301.57,302.2,302.476,31212,13340
1658945700,302.19,303.11,302.15,302.82,302.69,12122,5611
1658946600,302.87,306.17,301.73,306.15,304.069,52664,23948
1658947500,306.19,306.63,305.33,305.85,306.032,32921,14057
1658948400,305.89,306.93,305.42,306.41,306.397,24149,11398
1658949300,306.39,308.46,306.21,308.45,307.055,29635,14889
1658950200,308.45,308.54,307.58,307.8,307.932,31944,15069
1658951100,307.8,307.92,306.69,306.74,307.175,71440,31954
1658952000,306.75,306.81,304.82,305.59,306.059,20835,3358
1658952900,305.58,306.36,305.38,305.99,305.874,4357,1199
1658953800,305.98,306.81,305.85,305.93,306.241,2635,782
1658954700,305.96,305.96,305.75,305.9,305.836,1126,520
1658955600,305.81,306.01,305.6,306.01,305.812,638,187
1658956500,306.0,306.05,305.81,305.99,305.968,397,120
1658957400,305.99,306.05,305.76,305.9,305.965,113,63
1658958300,305.9,305.9,305.73,305.84,305.801,159,40
1658959200,305.84,305.9,305.68,305.77,305.776,609,141
1658960100,305.75,305.76,305.6,305.75,305.719,674,181
1658961000,305.75,305.91,305.67,305.68,305.777,266,113
1658961900,305.72,305.8,305.72,305.72,305.757,41,16
1658962800,305.8,306.12,305.77,306.04,305.995,196,55
1658963700,306.03,306.03,305.86,305.89,305.931,173,50
1658964600,305.9,305.91,305.81,305.85,305.848,162,50
1658965500,305.82,305.96,305.68,305.76,305.78,771,192
1658995200,305.6,305.6,304.22,304.57,304.66,359,108
1658996100,304.51,304.72,304.4,304.4,304.575,91,38
1658997000,304.32,304.33,304.07,304.3,304.246,226,48
1658997900,304.36,304.36,303.95,304.1,304.075,61,19
1658998800,304.2,304.2,303.65,303.65,303.984,707,125
1658999700,303.65,303.83,303.57,303.83,303.68,529,133
1659000600,303.85,304.25,303.81,304.25,304.058,48,13
1659001500,304.24,304.61,304.24,304.53,304.43,215,51
1659002400,304.6,304.8,304.44,304.44,304.679,290,63
1659003300,304.47,304.98,304.47,304.98,304.71,160,46
1659004200,304.98,305.05,304.81,305.0,304.965,146,40
1659005100,304.96,305.06,304.71,304.97,304.909,206,56
1659006000,305.0,305.29,305.0,305.29,305.134,426,120
1659006900,305.25,305.3,305.0,305.16,305.155,506,136
1659007800,305.16,305.17,304.79,304.8,304.889,1528,313
1659008700,304.89,304.98,304.8,304.92,304.91,396,117
1659009600,305.1,307.04,303.71,304.6,304.744,1680,560
1659010500,304.55,304.86,304.49,304.8,304.676,730,254
1659011400,304.85,306.04,303.88,305.95,305.039,7732,2564
1659012300,305.93,306.99,305.7,305.9,306.376,5907,1944
1659013200,305.9,306.26,305.51,306.17,305.854,1876,632
1659014100,306.16,306.9,306.08,306.61,306.501,2438,677
1659015000,306.59,307.69,304.34,304.43,306.431,38730,19190
1659015900,304.43,304.44,302.87,303.71,303.759,31471,17111
1659016800,303.75,304.68,303.21,303.83,303.963,23072,11266
1659017700,303.85,304.35,302.82,303.35,303.5,14333,7275
1659018600,303.35,304.37,302.74,303.89,303.727,14565,6822
1659019500,303.93,305.87,303.77,305.83,305.041,16212,8003
