date,open,high,low,close,average,volume,count
1632470400,27.0,27.0,27.0,27.0,27.0,1,1
1632470405,26.89,26.89,26.8,26.8,26.822,6,3
1632470410,26.8,26.8,26.8,26.8,26.8,3,1
1632470415,26.89,26.89,26.89,26.89,26.89,2,2
1632470420,26.89,26.89,26.89,26.89,26.89,0,0
1632470425,26.89,26.89,26.89,26.89,26.89,0,0
1632470430,26.89,26.89,26.89,26.89,26.89,0,0
1632470435,26.89,26.89,26.89,26.89,26.89,0,0
1632470440,26.81,26.81,26.81,26.81,26.81,1,1
1632470445,26.89,26.89,26.89,26.89,26.89,14,6
1632470450,26.89,26.89,26.89,26.89,26.89,0,0
1632470455,26.89,26.89,26.89,26.89,26.89,0,0
1632470460,27.04,27.04,27.04,27.04,27.04,1,1
1632470465,27.04,27.04,27.04,27.04,27.04,0,0
1632470470,27.04,27.04,27.04,27.04,27.04,1,1
1632470475,27.04,27.04,27.04,27.04,27.04,5,1
1632470480,27.04,27.04,27.04,27.04,27.04,0,0
1632470485,27.04,27.04,27.04,27.04,27.04,0,0
1632470490,27.04,27.04,27.04,27.04,27.04,0,0
1632470495,27.04,27.04,27.04,27.04,27.04,0,0
1632470500,27.04,27.04,27.04,27.04,27.04,0,0
1632470505,27.04,27.04,27.04,27.04,27.04,0,0
1632470510,27.04,27.04,27.04,27.04,27.04,0,0
1632470515,27.04,27.04,27.04,27.04,27.04,0,0
1632470520,26.81,26.81,26.81,26.81,26.81,1,1
1632470525,26.81,26.81,26.81,26.81,26.81,0,0
1632470530,26.81,26.81,26.81,26.81,26.81,0,0
1632470535,26.81,26.81,26.81,26.81,26.81,0,0
1632470540,26.81,26.81,26.81,26.81,26.81,0,0
1632470545,26.69,26.69,26.69,26.69,26.69,1,1
1632470550,26.69,26.69,26.69,26.69,26.69,0,0
1632470555,26.69,26.69,26.69,26.69,26.69,1,1
1632470560,26.69,26.69,26.69,26.69,26.69,0,0
1632470565,26.69,26.69,26.69,26.69,26.69,0,0
1632470570,26.69,26.69,26.69,26.69,26.69,0,0
1632470575,26.69,26.69,26.69,26.69,26.69,0,0
1632470580,26.69,26.69,26.69,26.69,26.69,0,0
1632470585,26.69,26.69,26.68,26.68,26.685,3,2
1632470590,26.68,26.68,26.68,26.68,26.68,0,0
1632470595,26.68,26.68,26.68,26.68,26.68,0,0
1632470600,26.68,26.68,26.68,26.68,26.68,0,0
1632470605,26.7,26.7,26.7,26.7,26.7,3,1
1632470610,26.69,26.69,26.68,26.68,26.681,9,2
1632470615,26.61,26.61,26.61,26.61,26.61,1,1
1632470620,26.61,26.61,26.61,26.61,26.61,0,0
1632470625,26.68,26.68,26.67,26.68,26.679,14,8
1632470630,26.68,26.68,26.68,26.68,26.68,0,0
1632470635,26.68,26.68,26.68,26.68,26.68,0,0
1632470640,26.68,26.68,26.68,26.68,26.68,0,0
1632470645,26.68,26.68,26.68,26.68,26.68,0,0
1632470650,26.68,26.68,26.68,26.68,26.68,0,0
1632470655,26.68,26.68,26.68,26.68,26.68,0,0
1632470660,26.69,26.71,26.68,26.71,26.704,8,3
1632470665,26.71,26.71,26.71,26.71,26.71,0,0
1632470670,26.71,26.71,26.71,26.71,26.71,0,0
1632470675,26.71,26.71,26.71,26.71,26.71,0,0
1632470680,26.7,26.7,26.7,26.7,26.7,4,1
1632470685,26.7,26.7,26.7,26.7,26.7,0,0
1632470690,26.7,26.7,26.7,26.7,26.7,0,0
1632470695,26.7,26.7,26.7,26.7,26.7,0,0
1632470700,26.7,26.7,26.7,26.7,26.7,0,0
1632470705,26.7,26.7,26.7,26.7,26.7,0,0
1632470710,26.7,26.7,26.7,26.7,26.7,0,0
1632470715,26.65,26.65,26.65,26.65,26.65,2,1
1632470720,26.65,26.65,26.65,26.65,26.65,0,0
1632470725,26.7,26.7,26.65,26.68,26.685,8,6
1632470730,26.68,26.68,26.68,26.68,26.68,0,0
1632470735,26.68,26.68,26.68,26.68,26.68,0,0
1632470740,26.68,26.68,26.68,26.68,26.68,1,1
1632470745,26.7,26.7,26.7,26.7,26.7,8,8
1632470750,26.7,26.7,26.7,26.7,26.7,0,0
1632470755,26.7,26.7,26.7,26.7,26.7,0,0
1632470760,26.7,26.7,26.7,26.7,26.7,0,0
1632470765,26.7,26.7,26.7,26.7,26.7,0,0
1632470770,26.7,26.7,26.7,26.7,26.7,1,1
1632470775,26.7,26.7,26.7,26.7,26.7,0,0
1632470780,26.7,26.7,26.7,26.7,26.7,0,0
1632470785,26.7,26.7,26.7,26.7,26.7,0,0
1632470790,26.7,26.7,26.7,26.7,26.7,0,0
1632470795,26.7,26.7,26.7,26.7,26.7,0,0
1632470800,26.7,26.7,26.7,26.7,26.7,0,0
1632470805,26.7,26.7,26.7,26.7,26.7,0,0
1632470810,26.7,26.7,26.7,26.7,26.7,0,0
1632470815,26.7,26.7,26.7,26.7,26.7,0,0
1632470820,26.7,26.7,26.7,26.7,26.7,0,0
1632470825,26.7,26.7,26.7,26.7,26.7,0,0
1632470830,26.7,26.7,26.7,26.7,26.7,0,0
1632470835,26.7,26.7,26.7,26.7,26.7,0,0
1632470840,26.7,26.7,26.7,26.7,26.7,0,0
1632470845,26.7,26.7,26.7,26.7,26.7,0,0
1632470850,26.7,26.7,26.7,26.7,26.7,0,0
1632470855,26.7,26.7,26.7,26.7,26.7,0,0
1632470860,26.7,26.7,26.7,26.7,26.7,0,0
1632470865,26.7,26.7,26.7,26.7,26.7,0,0
1632470870,26.7,26.7,26.7,26.7,26.7,0,0
1632470875,26.7,26.7,26.7,26.7,26.7,0,0
1632470880,26.7,26.7,26.7,26.7,26.7,0,0
1632470885,26.7,26.7,26.7,26.7,26.7,0,0
1632470890,26.7,26.7,26.7,26.7,26.7,0,0
1632470895,26.7,26.7,26.7,26.7,26.7,0,0
1632470900,26.7,26.7,26.7,26.7,26.7,0,0
1632470905,26.7,26.7,26.7,26.7,26.7,0,0
1632470910,26.7,26.7,26.7,26.7,26.7,0,0
1632470915,26.7,26.7,26.7,26.7,26.7,0,0
1632470920,26.61,26.61,26.61,26.61,26.61,10,4
1632470925,26.61,26.61,26.61,26.61,26.61,0,0
1632470930,26.61,26.61,26.61,26.61,26.61,0,0
1632470935,26.61,26.61,26.61,26.61,26.61,0,0
1632470940,26.61,26.61,26.61,26.61,26.61,0,0
1632470945,26.61,26.61,26.61,26.61,26.61,0,0
1632470950,26.61,26.61,26.61,26.61,26.61,0,0
1632470955,26.61,26.61,26.61,26.61,26.61,0,0
1632470960,26.61,26.61,26.61,26.61,26.61,0,0
1632470965,26.63,26.63,26.61,26.61,26.619,3,3
1632470970,26.61,26.61,26.61,26.61,26.61,0,0
1632470975,26.61,26.61,26.61,26.61,26.61,0,0
1632470980,26.61,26.61,26.61,26.61,26.61,0,0
1632470985,26.61,26.61,26.61,26.61,26.61,0,0
1632470990,26.61,26.61,26.61,26.61,26.61,0,0
1632470995,26.61,26.61,26.61,26.61,26.61,0,0
1632471000,26.61,26.61,26.61,26.61,26.61,0,0
1632471005,26.61,26.61,26.61,26.61,26.61,0,0
1632471010,26.61,26.61,26.61,26.61,26.61,0,0
1632471015,26.61,26.61,26.61,26.61,26.61,0,0
1632471020,26.61,26.61,26.61,26.61,26.61,0,0
1632471025,26.61,26.61,26.61,26.61,26.61,0,0
1632471030,26.61,26.61,26.61,26.61,26.61,0,0
1632471035,26.61,26.61,26.61,26.61,26.61,0,0
1632471040,26.61,26.61,26.61,26.61,26.61,0,0
1632471045,26.61,26.61,26.61,26.61,26.61,0,0
1632471050,26.61,26.61,26.61,26.61,26.61,0,0
1632471055,26.61,26.61,26.61,26.61,26.61,0,0
1632471060,26.61,26.61,26.61,26.61,26.61,0,0
1632471065,26.61,26.61,26.61,26.61,26.61,0,0
1632471070,26.61,26.61,26.61,26.61,26.61,0,0
1632471075,26.61,26.61,26.61,26.61,26.61,0,0
1632471080,26.61,26.61,26.61,26.61,26.61,0,0
1632471085,26.61,26.61,26.61,26.61,26.61,0,0
1632471090,26.61,26.61,26.61,26.61,26.61,0,0
1632471095,26.61,26.61,26.61,26.61,26.61,0,0
1632471100,26.61,26.61,26.61,26.61,26.61,0,0
1632471105,26.61,26.61,26.61,26.61,26.61,0,0
1632471110,26.61,26.61,26.61,26.61,26.61,0,0
1632471115,26.61,26.61,26.61,26.61,26.61,0,0
1632471120,26.61,26.61,26.61,26.61,26.61,0,0
1632471125,26.61,26.61,26.61,26.61,26.61,0,0
1632471130,26.61,26.61,26.61,26.61,26.61,0,0
1632471135,26.61,26.61,26.61,26.61,26.61,0,0
1632471140,26.61,26.61,26.61,26.61,26.61,0,0
1632471145,26.61,26.61,26.61,26.61,26.61,0,0
1632471150,26.61,26.61,26.61,26.61,26.61,0,0
1632471155,26.61,26.61,26.61,26.61,26.61,0,0
1632471160,26.61,26.61,26.61,26.61,26.61,0,0
1632471165,26.61,26.61,26.61,26.61,26.61,0,0
1632471170,26.61,26.61,26.61,26.61,26.61,0,0
1632471175,26.61,26.61,26.61,26.61,26.61,0,0
1632471180,26.61,26.61,26.61,26.61,26.61,0,0
1632471185,26.61,26.61,26.61,26.61,26.61,0,0
1632471190,26.61,26.61,26.61,26.61,26.61,0,0
1632471195,26.61,26.61,26.61,26.61,26.61,0,0
1632471200,26.61,26.61,26.61,26.61,26.61,0,0
1632471205,26.61,26.61,26.61,26.61,26.61,0,0
1632471210,26.61,26.61,26.61,26.61,26.61,0,0
1632471215,26.61,26.61,26.61,26.61,26.61,0,0
1632471220,26.61,26.61,26.61,26.61,26.61,0,0
1632471225,26.61,26.61,26.61,26.61,26.61,0,0
1632471230,26.61,26.61,26.61,26.61,26.61,0,0
1632471235,26.61,26.61,26.61,26.61,26.61,0,0
1632471240,26.61,26.61,26.61,26.61,26.61,0,0
1632471245,26.61,26.61,26.61,26.61,26.61,0,0
1632471250,26.61,26.61,26.61,26.61,26.61,0,0
1632471255,26.61,26.61,26.61,26.61,26.61,0,0
1632471260,26.61,26.61,26.61,26.61,26.61,0,0
1632471265,26.61,26.61,26.61,26.61,26.61,0,0
1632471270,26.61,26.61,26.61,26.61,26.61,0,0
1632471275,26.61,26.61,26.61,26.61,26.61,0,0
1632471280,26.58,26.58,26.55,26.55,26.557,10,5
1632471285,26.55,26.55,26.55,26.55,26.55,0,0
1632471290,26.55,26.55,26.55,26.55,26.55,0,0
1632471295,26.55,26.55,26.55,26.55,26.55,0,0
1632471300,26.53,26.53,26.52,26.52,26.523,19,5
1632471305,26.52,26.52,26.52,26.52,26.52,0,0
1632471310,26.52,26.52,26.52,26.52,26.52,0,0
1632471315,26.52,26.52,26.52,26.52,26.52,0,0
1632471320,26.52,26.52,26.52,26.52,26.52,0,0
1632471325,26.54,26.54,26.5,26.53,26.525,4,3
1632471330,26.53,26.53,26.53,26.53,26.53,0,0
1632471335,26.53,26.53,26.53,26.53,26.53,0,0
1632471340,26.53,26.53,26.53,26.53,26.53,0,0
1632471345,26.53,26.53,26.53,26.53,26.53,1,1
1632471350,26.53,26.53,26.53,26.53,26.53,0,0
1632471355,26.53,26.53,26.53,26.53,26.53,0,0
1632471360,26.53,26.53,26.53,26.53,26.53,0,0
1632471365,26.53,26.53,26.53,26.53,26.53,0,0
1632471370,26.52,26.52,26.52,26.52,26.52,6,1
1632471375,26.51,26.51,26.51,26.51,26.51,4,2
1632471380,26.51,26.51,26.51,26.51,26.51,0,0
1632471385,26.51,26.51,26.51,26.51,26.51,1,1
1632471390,26.51,26.51,26.51,26.51,26.51,0,0
1632471395,26.5,26.5,26.5,26.5,26.5,8,1
1632471400,26.5,26.5,26.5,26.5,26.5,0,0
1632471405,26.5,26.5,26.5,26.5,26.5,0,0
1632471410,26.5,26.5,26.5,26.5,26.5,0,0
1632471415,26.43,26.43,26.43,26.43,26.43,2,2
1632471420,26.43,26.43,26.43,26.43,26.43,0,0
1632471425,26.43,26.43,26.43,26.43,26.43,0,0
1632471430,26.49,26.49,26.49,26.49,26.49,1,1
1632471435,26.49,26.49,26.49,26.49,26.49,0,0
1632471440,26.55,26.55,26.55,26.55,26.55,1,1
1632471445,26.55,26.55,26.55,26.55,26.55,0,0
1632471450,26.55,26.55,26.55,26.55,26.55,0,0
1632471455,26.55,26.55,26.55,26.55,26.55,0,0
1632471460,26.54,26.54,26.54,26.54,26.54,1,1
1632471465,26.54,26.54,26.54,26.54,26.54,0,0
1632471470,26.54,26.54,26.54,26.54,26.54,0,0
1632471475,26.54,26.54,26.54,26.54,26.54,0,0
1632471480,26.54,26.54,26.54,26.54,26.54,0,0
1632471485,26.54,26.54,26.54,26.54,26.54,0,0
1632471490,26.54,26.54,26.54,26.54,26.54,0,0
1632471495,26.54,26.54,26.54,26.54,26.54,0,0
1632471500,26.54,26.54,26.54,26.54,26.54,0,0
1632471505,26.54,26.54,26.54,26.54,26.54,0,0
1632471510,26.54,26.54,26.54,26.54,26.54,0,0
1632471515,26.54,26.54,26.54,26.54,26.54,0,0
1632471520,26.54,26.54,26.54,26.54,26.54,0,0
1632471525,26.54,26.54,26.54,26.54,26.54,0,0
1632471530,26.54,26.54,26.54,26.54,26.54,0,0
1632471535,26.54,26.54,26.54,26.54,26.54,0,0
1632471540,26.54,26.54,26.54,26.54,26.54,0,0
1632471545,26.54,26.54,26.54,26.54,26.54,0,0
1632471550,26.54,26.54,26.54,26.54,26.54,0,0
1632471555,26.54,26.54,26.54,26.54,26.54,0,0
1632471560,26.54,26.54,26.54,26.54,26.54,0,0
1632471565,26.54,26.54,26.54,26.54,26.54,0,0
1632471570,26.54,26.54,26.54,26.54,26.54,0,0
1632471575,26.54,26.54,26.54,26.54,26.54,0,0
1632471580,26.54,26.54,26.54,26.54,26.54,0,0
1632471585,26.54,26.54,26.54,26.54,26.54,0,0
1632471590,26.54,26.54,26.54,26.54,26.54,0,0
1632471595,26.54,26.54,26.54,26.54,26.54,0,0
1632471600,26.54,26.54,26.54,26.54,26.54,1,1
1632471605,26.54,26.54,26.54,26.54,26.54,0,0
1632471610,26.43,26.43,26.43,26.43,26.43,3,1
1632471615,26.43,26.43,26.43,26.43,26.43,0,0
1632471620,26.43,26.43,26.43,26.43,26.43,0,0
1632471625,26.43,26.43,26.43,26.43,26.43,0,0
1632471630,26.43,26.43,26.43,26.43,26.43,0,0
1632471635,26.43,26.43,26.43,26.43,26.43,0,0
1632471640,26.43,26.43,26.43,26.43,26.43,0,0
1632471645,26.43,26.43,26.43,26.43,26.43,0,0
1632471650,26.43,26.43,26.43,26.43,26.43,0,0
1632471655,26.43,26.43,26.43,26.43,26.43,0,0
1632471660,26.43,26.43,26.43,26.43,26.43,0,0
1632471665,26.43,26.43,26.43,26.43,26.43,0,0
1632471670,26.43,26.43,26.43,26.43,26.43,0,0
1632471675,26.43,26.43,26.43,26.43,26.43,0,0
1632471680,26.43,26.43,26.4,26.42,26.41,19,7
1632471685,26.42,26.42,26.42,26.42,26.42,0,0
1632471690,26.42,26.42,26.42,26.42,26.42,0,0
1632471695,26.42,26.42,26.42,26.42,26.42,0,0
1632471700,26.42,26.42,26.42,26.42,26.42,0,0
1632471705,26.42,26.42,26.42,26.42,26.42,0,0
1632471710,26.42,26.42,26.42,26.42,26.42,0,0
1632471715,26.42,26.42,26.42,26.42,26.42,0,0
1632471720,26.42,26.42,26.42,26.42,26.42,0,0
1632471725,26.42,26.42,26.42,26.42,26.42,0,0
1632471730,26.42,26.42,26.42,26.42,26.42,4,4
1632471735,26.42,26.42,26.42,26.42,26.42,0,0
1632471740,26.42,26.42,26.42,26.42,26.42,0,0
1632471745,26.43,26.43,26.42,26.42,26.423,3,2
1632471750,26.42,26.42,26.42,26.42,26.42,0,0
1632471755,26.42,26.42,26.42,26.42,26.42,0,0
1632471760,26.42,26.42,26.42,26.42,26.42,0,0
1632471765,26.42,26.42,26.42,26.42,26.42,0,0
1632471770,26.42,26.42,26.42,26.42,26.42,0,0
1632471775,26.42,26.42,26.42,26.42,26.42,0,0
1632471780,26.41,26.42,26.41,26.42,26.417,3,3
1632471785,26.42,26.42,26.42,26.42,26.42,2,1
1632471790,26.42,26.42,26.42,26.42,26.42,0,0
1632471795,26.42,26.42,26.42,26.42,26.42,0,0
1632471800,26.42,26.42,26.42,26.42,26.42,0,0
1632471805,26.42,26.42,26.42,26.42,26.42,0,0
1632471810,26.42,26.42,26.42,26.42,26.42,0,0
1632471815,26.42,26.42,26.42,26.42,26.42,0,0
1632471820,26.42,26.42,26.42,26.42,26.42,0,0
1632471825,26.42,26.42,26.42,26.42,26.42,0,0
1632471830,26.42,26.42,26.42,26.42,26.42,0,0
1632471835,26.42,26.42,26.42,26.42,26.42,0,0
1632471840,26.42,26.42,26.42,26.42,26.42,0,0
1632471845,26.42,26.42,26.42,26.42,26.42,0,0
1632471850,26.42,26.42,26.42,26.42,26.42,0,0
1632471855,26.42,26.42,26.42,26.42,26.42,0,0
1632471860,26.42,26.42,26.42,26.42,26.42,0,0
1632471865,26.43,26.43,26.4,26.43,26.412,4,3
1632471870,26.43,26.43,26.43,26.43,26.43,0,0
1632471875,26.43,26.43,26.43,26.43,26.43,0,0
1632471880,26.43,26.43,26.43,26.43,26.43,0,0
1632471885,26.43,26.43,26.43,26.43,26.43,0,0
1632471890,26.43,26.43,26.43,26.43,26.43,0,0
1632471895,26.43,26.43,26.43,26.43,26.43,0,0
1632471900,26.43,26.43,26.43,26.43,26.43,0,0
1632471905,26.43,26.43,26.43,26.43,26.43,0,0
1632471910,26.43,26.43,26.43,26.43,26.43,0,0
1632471915,26.43,26.43,26.43,26.43,26.43,0,0
1632471920,26.43,26.43,26.43,26.43,26.43,0,0
1632471925,26.43,26.43,26.43,26.43,26.43,0,0
1632471930,26.43,26.43,26.43,26.43,26.43,0,0
1632471935,26.43,26.43,26.43,26.43,26.43,0,0
1632471940,26.43,26.43,26.43,26.43,26.43,1,1
1632471945,26.43,26.43,26.43,26.43,26.43,0,0
1632471950,26.43,26.43,26.43,26.43,26.43,0,0
1632471955,26.43,26.43,26.43,26.43,26.43,0,0
1632471960,26.43,26.43,26.43,26.43,26.43,0,0
1632471965,26.43,26.43,26.43,26.43,26.43,0,0
1632471970,26.43,26.43,26.43,26.43,26.43,0,0
1632471975,26.43,26.43,26.43,26.43,26.43,0,0
1632471980,26.43,26.43,26.43,26.43,26.43,0,0
1632471985,26.43,26.43,26.43,26.43,26.43,0,0
1632471990,26.43,26.43,26.43,26.43,26.43,0,0
1632471995,26.43,26.43,26.43,26.43,26.43,0,0
1632472000,26.43,26.43,26.43,26.43,26.43,0,0
1632472005,26.43,26.43,26.43,26.43,26.43,0,0
1632472010,26.43,26.43,26.43,26.43,26.43,0,0
1632472015,26.43,26.43,26.43,26.43,26.43,0,0
1632472020,26.43,26.43,26.43,26.43,26.43,0,0
1632472025,26.43,26.43,26.43,26.43,26.43,0,0
1632472030,26.43,26.43,26.43,26.43,26.43,0,0
1632472035,26.43,26.43,26.43,26.43,26.43,0,0
1632472040,26.43,26.43,26.43,26.43,26.43,0,0
1632472045,26.43,26.43,26.43,26.43,26.43,0,0
1632472050,26.43,26.43,26.43,26.43,26.43,0,0
1632472055,26.43,26.43,26.43,26.43,26.43,0,0
1632472060,26.43,26.43,26.43,26.43,26.43,0,0
1632472065,26.43,26.43,26.43,26.43,26.43,0,0
1632472070,26.43,26.43,26.43,26.43,26.43,0,0
1632472075,26.43,26.43,26.43,26.43,26.43,0,0
1632472080,26.43,26.43,26.43,26.43,26.43,0,0
1632472085,26.46,26.46,26.46,26.46,26.46,1,1
1632472090,26.46,26.46,26.46,26.46,26.46,0,0
1632472095,26.46,26.46,26.46,26.46,26.46,0,0
1632472100,26.46,26.46,26.46,26.46,26.46,0,0
1632472105,26.46,26.46,26.46,26.46,26.46,0,0
1632472110,26.46,26.46,26.46,26.46,26.46,0,0
1632472115,26.46,26.46,26.46,26.46,26.46,0,0
1632472120,26.46,26.46,26.46,26.46,26.46,0,0
1632472125,26.46,26.46,26.46,26.46,26.46,0,0
1632472130,26.46,26.46,26.46,26.46,26.46,0,0
1632472135,26.46,26.46,26.46,26.46,26.46,0,0
1632472140,26.46,26.46,26.46,26.46,26.46,0,0
1632472145,26.46,26.46,26.46,26.46,26.46,0,0
1632472150,26.46,26.46,26.46,26.46,26.46,0,0
1632472155,26.46,26.46,26.46,26.46,26.46,0,0
1632472160,26.46,26.46,26.46,26.46,26.46,0,0
1632472165,26.46,26.46,26.46,26.46,26.46,0,0
1632472170,26.46,26.46,26.46,26.46,26.46,0,0
1632472175,26.46,26.46,26.46,26.46,26.46,0,0
1632472180,26.46,26.46,26.46,26.46,26.46,0,0
1632472185,26.46,26.46,26.46,26.46,26.46,0,0
1632472190,26.46,26.46,26.46,26.46,26.46,0,0
1632472195,26.46,26.46,26.46,26.46,26.46,0,0
1632472200,26.46,26.46,26.46,26.46,26.46,0,0
1632472205,26.46,26.46,26.46,26.46,26.46,0,0
1632472210,26.46,26.46,26.46,26.46,26.46,0,0
1632472215,26.46,26.46,26.46,26.46,26.46,0,0
1632472220,26.46,26.46,26.46,26.46,26.46,0,0
1632472225,26.46,26.46,26.46,26.46,26.46,0,0
1632472230,26.46,26.46,26.46,26.46,26.46,0,0
1632472235,26.46,26.46,26.46,26.46,26.46,0,0
1632472240,26.46,26.46,26.46,26.46,26.46,0,0
1632472245,26.46,26.46,26.46,26.46,26.46,0,0
1632472250,26.46,26.46,26.46,26.46,26.46,0,0
1632472255,26.46,26.46,26.46,26.46,26.46,0,0
1632472260,26.46,26.46,26.46,26.46,26.46,0,0
1632472265,26.46,26.46,26.46,26.46,26.46,0,0
1632472270,26.46,26.46,26.46,26.46,26.46,0,0
1632472275,26.46,26.46,26.46,26.46,26.46,0,0
1632472280,26.46,26.46,26.46,26.46,26.46,0,0
1632472285,26.46,26.46,26.46,26.46,26.46,0,0
1632472290,26.46,26.46,26.46,26.46,26.46,0,0
1632472295,26.46,26.46,26.46,26.46,26.46,0,0
1632472300,26.46,26.46,26.46,26.46,26.46,0,0
1632472305,26.46,26.46,26.46,26.46,26.46,0,0
1632472310,26.46,26.46,26.46,26.46,26.46,0,0
1632472315,26.46,26.46,26.46,26.46,26.46,0,0
1632472320,26.46,26.46,26.46,26.46,26.46,0,0
1632472325,26.46,26.46,26.46,26.46,26.46,0,0
1632472330,26.46,26.46,26.46,26.46,26.46,0,0
1632472335,26.46,26.46,26.46,26.46,26.46,0,0
1632472340,26.46,26.46,26.46,26.46,26.46,0,0
1632472345,26.46,26.46,26.46,26.46,26.46,0,0
1632472350,26.46,26.46,26.46,26.46,26.46,0,0
1632472355,26.46,26.46,26.46,26.46,26.46,0,0
1632472360,26.46,26.46,26.46,26.46,26.46,0,0
1632472365,26.46,26.46,26.46,26.46,26.46,0,0
1632472370,26.46,26.46,26.46,26.46,26.46,0,0
1632472375,26.46,26.46,26.46,26.46,26.46,0,0
1632472380,26.46,26.46,26.46,26.46,26.46,0,0
1632472385,26.46,26.46,26.46,26.46,26.46,0,0
1632472390,26.46,26.46,26.46,26.46,26.46,0,0
1632472395,26.46,26.46,26.46,26.46,26.46,0,0
1632472400,26.46,26.46,26.46,26.46,26.46,0,0
1632472405,26.46,26.46,26.46,26.46,26.46,0,0
1632472410,26.46,26.46,26.46,26.46,26.46,0,0
1632472415,26.46,26.46,26.46,26.46,26.46,0,0
1632472420,26.46,26.46,26.46,26.46,26.46,0,0
1632472425,26.46,26.46,26.46,26.46,26.46,0,0
1632472430,26.46,26.46,26.46,26.46,26.46,0,0
1632472435,26.46,26.46,26.46,26.46,26.46,0,0
1632472440,26.46,26.46,26.46,26.46,26.46,0,0
1632472445,26.46,26.46,26.46,26.46,26.46,0,0
1632472450,26.46,26.46,26.46,26.46,26.46,0,0
1632472455,26.46,26.46,26.46,26.46,26.46,0,0
1632472460,26.46,26.46,26.46,26.46,26.46,0,0
1632472465,26.46,26.46,26.46,26.46,26.46,0,0
1632472470,26.46,26.46,26.46,26.46,26.46,0,0
1632472475,26.46,26.46,26.46,26.46,26.46,0,0
1632472480,26.46,26.46,26.46,26.46,26.46,0,0
1632472485,26.46,26.46,26.46,26.46,26.46,0,0
1632472490,26.46,26.46,26.46,26.46,26.46,0,0
1632472495,26.46,26.46,26.46,26.46,26.46,0,0
1632472500,26.46,26.46,26.46,26.46,26.46,0,0
1632472505,26.46,26.46,26.46,26.46,26.46,0,0
1632472510,26.46,26.46,26.46,26.46,26.46,0,0
1632472515,26.47,26.47,26.47,26.47,26.47,1,1
1632472520,26.47,26.47,26.47,26.47,26.47,0,0
1632472525,26.47,26.47,26.47,26.47,26.47,0,0
1632472530,26.47,26.47,26.47,26.47,26.47,0,0
1632472535,26.5,26.5,26.5,26.5,26.5,10,1
1632472540,26.5,26.5,26.5,26.5,26.5,0,0
1632472545,26.5,26.5,26.5,26.5,26.5,0,0
1632472550,26.5,26.5,26.5,26.5,26.5,0,0
1632472555,26.5,26.5,26.5,26.5,26.5,0,0
