date,open,high,low,close,average,volume,count
1624629600,16.71,16.71,16.69,16.71,16.702,36,26
1624629601,16.69,16.7,16.69,16.69,16.69,12,8
1624629602,16.69,16.69,16.69,16.69,16.69,0,0
1624629603,16.68,16.69,16.65,16.69,16.654,120,19
1624629604,16.69,16.69,16.68,16.69,16.69,0,0
1624629605,16.66,16.66,16.66,16.66,16.66,5,5
1624629606,16.66,16.66,16.66,16.66,16.66,0,0
1624629607,16.66,16.66,16.66,16.66,16.66,0,0
1624629608,16.67,16.67,16.67,16.67,16.67,1,1
1624629609,16.66,16.66,16.65,16.66,16.659,1,1
1624629610,16.65,16.65,16.64,16.64,16.648,6,3
1624629611,16.64,16.64,16.64,16.64,16.64,0,0
1624629612,16.64,16.64,16.64,16.64,16.64,0,0
1624629613,16.64,16.64,16.64,16.64,16.64,0,0
1624629614,16.64,16.64,16.64,16.64,16.64,0,0
1624629615,16.64,16.64,16.64,16.64,16.64,0,0
1624629616,16.64,16.67,16.63,16.64,16.656,177,53
1624629617,16.67,16.67,16.66,16.67,16.666,3,1
1624629618,16.66,16.67,16.66,16.66,16.665,1,1
1624629619,16.66,16.67,16.66,16.66,16.66,0,0
1624629620,16.66,16.67,16.66,16.66,16.66,0,0
1624629621,16.66,16.66,16.64,16.64,16.653,11,11
1624629622,16.64,16.65,16.64,16.64,16.64,0,0
1624629623,16.64,16.65,16.64,16.64,16.641,1,1
1624629624,16.64,16.65,16.64,16.64,16.64,0,0
1624629625,16.65,16.65,16.64,16.65,16.648,5,1
1624629626,16.65,16.65,16.64,16.65,16.65,0,0
1624629627,16.64,16.65,16.64,16.64,16.645,3,3
1624629628,16.64,16.66,16.64,16.66,16.654,128,32
1624629629,16.66,16.66,16.66,16.66,16.66,0,0
1624629630,16.66,16.66,16.66,16.66,16.66,0,0
1624629631,16.66,16.66,16.66,16.66,16.66,0,0
1624629632,16.65,16.66,16.65,16.65,16.652,5,1
1624629633,16.65,16.66,16.65,16.66,16.654,3,2
1624629634,16.66,16.66,16.66,16.66,16.66,10,10
1624629635,16.67,16.7,16.67,16.68,16.684,45,29
1624629636,16.7,16.7,16.7,16.7,16.7,1,1
1624629637,16.68,16.69,16.68,16.68,16.683,5,1
1624629638,16.68,16.69,16.68,16.68,16.68,0,0
1624629639,16.68,16.69,16.68,16.68,16.68,0,0
1624629640,16.69,16.69,16.69,16.69,16.69,4,4
1624629641,16.69,16.69,16.69,16.69,16.69,0,0
1624629642,16.69,16.69,16.69,16.69,16.69,0,0
1624629643,16.69,16.69,16.69,16.69,16.69,0,0
