date,open,high,low,close,average,volume,count
1662991200,45.71,45.71,45.71,45.71,45.71,0,0
1662991201,45.73,45.73,45.73,45.73,45.73,4,2
1662991202,45.71,45.72,45.71,45.72,45.713,4,2
1662991203,45.73,45.75,45.72,45.72,45.742,41,12
1662991204,45.71,45.71,45.69,45.69,45.707,5,4
1662991205,45.7,45.71,45.7,45.71,45.703,3,3
1662991206,45.73,45.73,45.72,45.72,45.722,4,2
1662991207,45.71,45.71,45.69,45.7,45.704,5,5
1662991208,45.7,45.7,45.7,45.7,45.7,0,0
1662991209,45.7,45.73,45.7,45.72,45.718,4,4
1662991210,45.7,45.71,45.7,45.7,45.703,1,1
1662991211,45.7,45.71,45.7,45.7,45.7,0,0
1662991212,45.71,45.73,45.7,45.73,45.713,13,6
1662991213,45.72,45.72,45.71,45.71,45.711,7,7
1662991214,45.7,45.71,45.7,45.71,45.706,2,2
1662991215,45.71,45.71,45.71,45.71,45.71,0,0
1662991216,45.71,45.72,45.71,45.72,45.715,2,2
1662991217,45.72,45.72,45.72,45.72,45.72,0,0
1662991218,45.72,45.72,45.72,45.72,45.72,2,1
1662991219,45.71,45.71,45.7,45.7,45.707,6,6
1662991220,45.7,45.7,45.7,45.7,45.7,0,0
1662991221,45.71,45.71,45.7,45.7,45.703,5,5
1662991222,45.7,45.7,45.7,45.7,45.7,0,0
1662991223,45.69,45.72,45.69,45.71,45.7,4,2
1662991224,45.71,45.71,45.7,45.7,45.703,7,5
1662991225,45.71,45.71,45.71,45.71,45.71,1,1
1662991226,45.71,45.71,45.69,45.69,45.7,2,2
1662991227,45.69,45.7,45.69,45.69,45.69,0,0
1662991228,45.69,45.7,45.69,45.69,45.691,23,17
1662991229,45.68,45.69,45.68,45.69,45.682,7,7
1662991230,45.69,45.69,45.68,45.69,45.69,0,0
1662991231,45.69,45.69,45.68,45.69,45.69,0,0
1662991232,45.69,45.69,45.69,45.69,45.69,1,1
1662991233,45.67,45.68,45.67,45.67,45.67,10,10
1662991234,45.67,45.67,45.67,45.67,45.67,0,0
1662991235,45.67,45.67,45.67,45.67,45.67,0,0
1662991236,45.68,45.68,45.67,45.68,45.675,3,2
1662991237,45.68,45.69,45.66,45.66,45.668,12,12
1662991238,45.65,45.66,45.65,45.65,45.65,11,2
1662991239,45.66,45.66,45.65,45.66,45.654,4,4
1662991240,45.65,45.66,45.65,45.66,45.651,24,3
1662991241,45.66,45.66,45.66,45.66,45.66,0,0
1662991242,45.67,45.68,45.66,45.68,45.668,14,12
1662991243,45.68,45.68,45.68,45.68,45.68,0,0
1662991244,45.68,45.68,45.68,45.68,45.68,6,4
1662991245,45.68,45.69,45.68,45.69,45.683,4,2
1662991246,45.7,45.7,45.7,45.7,45.7,1,1
1662991247,45.7,45.7,45.7,45.7,45.7,10,10
1662991248,45.72,45.72,45.71,45.72,45.717,6,4
1662991249,45.72,45.72,45.72,45.72,45.72,7,2
1662991250,45.72,45.72,45.69,45.71,45.711,14,13
1662991251,45.71,45.71,45.71,45.71,45.71,0,0
1662991252,45.72,45.72,45.72,45.72,45.72,1,1
1662991253,45.72,45.72,45.72,45.72,45.72,84,9
1662991254,45.73,45.73,45.72,45.72,45.725,12,2
1662991255,45.72,45.72,45.72,45.72,45.72,0,0
1662991256,45.73,45.73,45.72,45.73,45.728,3,2
1662991257,45.71,45.73,45.71,45.73,45.718,14,5
1662991258,45.71,45.72,45.71,45.72,45.714,11,11
1662991259,45.73,45.73,45.73,45.73,45.73,20,1
1662991260,45.73,45.73,45.73,45.73,45.73,0,0
1662991261,45.73,45.73,45.73,45.73,45.73,0,0
1662991262,45.73,45.73,45.73,45.73,45.73,0,0
1662991263,45.71,45.71,45.68,45.68,45.697,47,30
1662991264,45.68,45.68,45.68,45.68,45.68,0,0
