date,open,high,low,close,average,volume,count
20220315,37.0,38.62,35.53,37.78,37.294,201653,71503
20220316,37.9,41.79,37.9,41.59,40.67,181016,65920
20220317,41.63,46.56,40.01,45.75,44.7,278396,90655
20220318,45.93,50.24,45.11,49.66,48.821,291873,92925
20220321,49.7,49.7,45.51,46.18,46.772,187469,58562
20220322,46.23,51.61,46.2,50.35,49.939,218369,71691
20220323,51.05,53.0,48.15,51.27,50.65,185304,63475
20220324,51.61,51.7,47.23,50.32,49.362,141426,54165
20220325,50.85,51.0,46.15,46.89,47.369,178416,62071
20220328,48.48,49.29,46.12,47.91,47.614,156737,53723
20220329,48.43,51.53,48.0,50.58,50.292,167477,59500
20220330,50.03,52.52,47.81,48.34,49.922,172991,56326
20220331,48.95,48.95,46.11,46.39,47.253,117550,38100
20220401,47.3,47.3,44.7,45.95,45.726,133579,46474
20220404,46.0,50.72,45.01,49.92,49.657,151304,58364
20220405,48.97,51.1,47.6,49.0,48.964,141659,53366
20220406,48.56,49.0,44.63,45.4,45.751,159549,59872
20220407,46.15,47.97,42.55,44.82,44.751,254879,85931
20220408,45.45,45.45,42.77,42.9,43.857,159574,54067
20220411,43.88,44.71,40.86,43.88,43.588,149514,55284
20220412,43.8,46.79,42.8,43.25,44.203,158716,57455
20220413,43.31,45.93,42.16,45.0,44.553,151777,53497
20220414,45.18,45.25,42.03,42.25,43.179,115052,43730
20220418,42.68,42.68,39.27,41.2,40.38,165563,62366
20220419,40.53,42.87,38.65,40.4,41.513,183522,65780
20220420,40.98,41.7,36.05,37.02,37.103,332646,121295
20220421,37.85,37.85,34.25,34.64,35.479,192379,78968
20220422,34.7,35.83,33.54,34.14,34.476,158116,65294
20220425,34.0,35.13,33.4,34.64,34.438,176814,68660
20220426,34.32,34.83,30.75,31.6,32.179,212735,68690
20220427,31.66,32.3,29.9,31.2,30.628,239962,91338
20220428,31.41,32.67,29.52,31.1,31.115,216141,80071
20220429,33.0,33.53,30.6,30.82,31.892,167021,60491
20220502,31.45,32.83,30.0,32.53,31.573,150401,57239
20220503,32.55,33.84,31.8,33.35,33.025,140335,51145
20220504,33.1,35.06,30.77,34.7,32.593,184702,67364
