date,open,high,low,close,average,volume,count
20210430,40.89,42.09,40.39,41.34,41.334,309,193
20210503,41.17,42.95,41.17,42.7,42.424,291,209
20210504,42.97,43.6,39.75,43.28,42.429,270,135
20210505,43.04,44.42,42.0,43.29,43.342,127,93
20210506,43.0,44.89,42.88,44.8,44.145,239,160
20210507,45.19,48.07,44.35,46.61,46.43,297,175
20210510,46.84,48.0,41.66,44.0,44.467,492,299
20210511,42.5,47.12,41.33,46.65,45.029,212,138
20210512,46.03,47.38,43.33,43.68,45.257,319,222
20210513,44.23,46.3,41.83,44.14,44.355,404,240
20210514,44.14,44.37,42.22,43.34,43.344,305,185
20210517,43.44,43.7,42.19,43.69,42.959,188,107
20210518,43.19,45.8,43.04,44.73,44.888,626,347
20210519,43.58,44.98,42.5,44.38,43.607,344,189
20210520,44.19,46.0,44.0,44.97,45.063,256,170
20210521,45.69,47.25,44.24,46.71,45.767,318,204
20210524,46.75,48.7,45.0,46.24,46.648,263,179
20210525,46.0,46.0,42.87,43.12,44.146,511,271
20210526,43.4,46.0,43.4,45.33,44.892,236,144
20210527,45.4,50.0,45.4,49.64,48.144,343,179
20210528,49.97,53.4,49.52,51.7,51.799,368,220
20210601,52.0,53.57,48.58,50.88,51.048,500,245
20210602,51.18,52.25,47.06,49.14,48.84,480,328
20210603,48.0,48.7,46.03,46.99,47.14,371,214
20210604,46.6,48.1,42.05,47.02,45.309,974,628
20210607,46.78,47.7,45.43,45.75,46.447,827,580
20210608,41.75,46.06,41.75,44.41,44.387,438,274
20210609,44.75,45.74,43.59,43.91,44.681,560,359
20210610,44.57,44.57,41.3,41.68,42.424,505,285
20210611,42.32,46.27,42.04,43.7,44.091,1031,802
20210614,43.01,45.46,42.64,43.14,43.835,570,325
20210615,44.24,47.0,43.59,46.59,46.209,626,278
20210616,46.2,47.62,45.51,47.1,46.864,427,249
20210617,47.15,48.97,45.07,46.26,46.568,472,215
20210618,45.89,45.89,43.77,43.82,44.433,585,148
20210621,47.2,47.2,44.0,44.56,44.698,506,319
20210622,44.23,45.99,43.01,45.94,44.772,431,190
20210623,45.9,49.24,45.09,48.45,47.713,567,271
20210624,48.69,52.0,48.69,52.0,50.585,466,257
20210625,52.0,52.88,49.42,49.65,49.905,2871,426
20210628,49.28,52.28,49.28,51.68,51.063,916,652
20210629,51.84,53.42,49.71,50.38,51.608,896,543
20210630,51.0,52.78,50.01,51.05,51.054,391,256
20210701,50.85,54.82,50.59,54.3,53.179,647,404
20210702,54.51,60.13,53.77,60.01,57.883,524,339
20210706,61.62,66.44,60.35,63.1,63.28,1023,625
20210707,62.54,63.96,57.91,60.07,60.514,1059,609
20210708,58.38,61.81,56.5,57.86,58.267,386,253
20210709,59.07,62.9,58.0,62.74,60.681,482,211
20210712,61.89,64.9,61.39,63.59,62.972,698,309
20210713,63.73,64.06,61.52,61.8,62.823,424,204
20210714,62.25,63.11,58.55,58.72,59.449,411,207
20210715,58.01,60.09,56.5,58.53,58.319,490,302
20210716,59.88,60.99,53.63,55.32,55.662,988,445
20210719,53.91,55.55,52.01,53.17,53.57,781,451
20210720,52.56,55.2,52.09,52.97,53.713,822,499
20210721,53.84,54.58,51.78,51.94,52.571,870,517
20210722,51.42,53.71,50.05,50.52,50.83,564,318
20210723,51.4,53.73,49.69,51.63,51.108,565,303
20210726,51.47,52.45,47.74,49.73,50.639,2137,584
20210727,49.34,51.48,47.11,49.36,48.824,1450,417
20210728,49.65,51.0,48.62,50.41,49.91,801,338
20210729,50.86,54.38,50.86,51.96,52.516,401,247
20210730,51.6,52.6,50.13,50.61,51.047,829,381
20210802,51.13,53.4,49.35,49.63,50.412,677,301
20210803,49.98,50.89,47.29,50.38,49.393,666,251
20210804,49.48,52.87,49.48,51.38,51.411,372,238
20210805,51.61,54.99,51.61,54.09,53.643,337,223
20210806,55.0,56.0,52.58,53.36,53.803,255,138
20210809,53.42,54.86,52.23,54.22,53.547,184,120
20210810,54.44,54.83,50.1,52.37,52.362,491,345
20210811,52.43,52.83,48.54,48.87,50.34,579,337
20210812,48.97,51.92,48.33,48.97,49.446,388,180
20210813,49.18,50.75,47.76,49.52,49.2,418,214
20210816,49.25,50.21,48.05,49.62,49.281,191,135
20210817,49.36,49.97,46.0,47.29,47.578,530,327
20210818,47.11,47.11,45.24,45.39,46.24,502,251
20210819,45.0,45.06,42.91,44.42,43.926,515,278
20210820,41.0,43.07,35.2,38.58,38.531,6559,3349
20210823,39.52,45.21,39.25,40.95,41.476,1568,1101
20210824,41.5,41.5,37.76,38.19,38.898,1325,860
20210825,38.63,45.5,38.26,45.25,43.566,2930,1866
20210826,45.5,54.83,45.5,49.41,49.518,5041,2614
20210827,49.46,50.67,47.45,47.6,48.383,1536,786
20210830,47.35,47.68,42.83,43.4,43.997,1468,836
20210831,42.89,43.8,41.02,41.85,41.975,649,439
20210901,41.85,42.62,40.54,41.68,41.629,1212,686
20210902,42.2,43.58,41.22,41.39,41.894,799,548
20210903,41.31,42.24,39.14,40.51,40.594,917,552
20210907,41.0,41.06,37.5,39.01,38.748,1959,1131
20210908,38.95,38.95,35.75,36.42,36.788,1684,995
20210909,36.39,37.27,35.31,36.07,36.388,1730,1234
20210910,36.26,36.5,34.8,35.26,35.469,2264,1450
20210913,35.53,36.5,34.33,35.42,35.771,1351,974
20210914,35.34,35.69,33.76,35.01,34.701,1196,705
20210915,35.04,37.14,34.52,36.33,35.997,1010,632
20210916,36.32,36.72,35.26,36.32,36.266,757,486
20210917,36.21,36.96,35.1,36.84,36.543,1821,457
20210920,36.0,36.11,34.02,35.19,34.931,1087,467
20210921,35.68,36.9,35.46,35.93,36.091,394,243
20210922,36.2,37.23,34.31,36.46,36.169,1426,849
20210923,36.72,38.06,36.23,37.61,37.116,481,259
20210924,36.98,37.5,34.63,35.26,35.246,1803,984
20210927,35.31,36.43,33.7,35.95,35.435,1575,760
20210928,35.33,36.0,34.52,35.57,35.284,844,401
20210929,35.69,36.19,33.05,33.22,33.883,977,527
20210930,33.67,34.67,30.16,30.73,31.87,2710,1705
20211001,30.92,33.0,30.5,31.82,31.933,2077,1347
20211004,31.99,32.64,30.79,31.63,31.45,2212,1079
20211005,32.0,33.54,31.11,32.16,32.229,1176,618
20211006,42.78,42.78,32.67,35.0,34.602,4183,2315
20211007,34.79,34.79,33.0,33.8,33.912,2345,1172
20211008,33.61,33.83,31.32,31.84,32.269,941,617
20211011,31.78,32.23,30.12,30.82,31.196,1622,897
20211012,31.08,32.06,30.47,30.78,31.016,1022,665
20211013,30.85,32.21,29.2,30.1,30.123,2105,1587
20211014,30.21,31.56,29.56,31.17,30.72,634,360
20211015,31.87,32.34,30.04,30.39,30.722,604,321
20211018,30.47,31.66,30.3,31.25,31.033,613,379
20211019,31.17,32.75,31.11,31.76,32.006,599,326
20211020,32.2,32.57,31.0,31.26,31.594,1136,671
20211021,31.3,32.4,30.53,31.31,31.404,1046,640
20211022,31.56,32.08,30.56,30.97,31.076,647,421
20211025,31.03,31.89,29.91,31.2,30.769,1095,490
20211026,31.19,31.94,30.74,31.05,31.263,642,429
20211027,31.0,31.8,30.03,30.17,30.797,756,425
20211028,29.51,29.51,5.9,7.78,7.177,228060,71427
