date,open,high,low,close,average,volume,count
1623681000,9.04,9.05,9.04,9.04,9.04,0,0
1623681001,9.04,9.04,9.04,9.04,9.04,21,16
1623681002,9.04,9.04,9.03,9.04,9.035,2,1
1623681003,9.04,9.04,9.03,9.04,9.039,10,1
1623681004,9.04,9.04,9.04,9.04,9.04,1,1
1623681005,9.04,9.04,9.03,9.04,9.04,15,3
1623681006,9.04,9.04,9.03,9.04,9.04,0,0
1623681007,9.04,9.04,9.03,9.04,9.035,11,3
1623681008,9.04,9.04,9.03,9.04,9.04,4,2
1623681009,9.04,9.04,9.03,9.04,9.036,7,3
1623681010,9.04,9.04,9.03,9.04,9.04,0,0
1623681011,9.03,9.04,9.03,9.04,9.032,44,18
1623681012,9.04,9.04,9.03,9.04,9.035,4,2
1623681013,9.03,9.03,9.01,9.02,9.029,208,21
1623681014,9.01,9.02,9.01,9.01,9.011,17,5
1623681015,9.02,9.02,9.01,9.02,9.015,20,1
1623681016,9.02,9.02,9.02,9.02,9.02,2,2
1623681017,9.02,9.02,9.01,9.02,9.019,10,1
1623681018,9.02,9.02,9.01,9.02,9.02,0,0
1623681019,9.02,9.02,9.01,9.02,9.018,5,1
1623681020,9.01,9.01,9.0,9.01,9.009,54,31
1623681021,9.01,9.01,9.0,9.01,9.001,589,92
1623681022,9.01,9.01,9.0,9.01,9.01,0,0
1623681023,9.01,9.01,9.0,9.0,9.006,2,2
1623681024,9.01,9.01,9.0,9.01,9.009,2,2
1623681025,9.0,9.0,9.0,9.0,9.0,2,1
1623681026,9.0,9.01,9.0,9.0,9.0,1,1
1623681027,9.0,9.01,9.0,9.01,9.004,4,2
1623681028,9.01,9.01,9.01,9.01,9.01,1,1
1623681029,9.0,9.01,9.0,9.0,9.0,7,3
1623681030,9.0,9.01,9.0,9.01,9.005,2,2
1623681031,9.0,9.01,9.0,9.0,9.001,9,3
1623681032,9.0,9.0,9.0,9.0,9.0,0,0
1623681033,9.0,9.0,9.0,9.0,9.0,0,0
1623681034,9.0,9.0,9.0,9.0,9.0,2,1
1623681035,9.01,9.01,9.0,9.01,9.005,1,1
1623681036,9.01,9.01,9.0,9.01,9.005,8,7
1623681037,9.01,9.01,9.0,9.0,9.01,22,3
1623681038,9.01,9.01,9.0,9.01,9.005,13,3
1623681039,9.01,9.01,9.0,9.01,9.01,0,0
1623681040,9.01,9.01,9.0,9.01,9.009,13,4
1623681041,9.01,9.01,9.0,9.01,9.01,0,0
1623681042,9.01,9.01,9.01,9.01,9.01,1,1
1623681043,9.01,9.01,9.0,9.01,9.009,181,26
1623681044,9.01,9.01,8.99,9.0,9.001,259,75
1623681045,9.0,9.0,8.99,9.0,8.996,107,62
1623681046,9.0,9.0,9.0,9.0,9.0,0,0
1623681047,9.0,9.0,8.99,9.0,9.0,35,16
1623681048,9.0,9.0,9.0,9.0,9.0,2,2
1623681049,9.0,9.0,8.99,9.0,8.998,8,8
1623681050,9.0,9.0,8.99,9.0,8.995,19,10
1623681051,9.0,9.0,8.99,9.0,8.998,5,5
1623681052,9.0,9.0,8.99,9.0,8.998,4,3
1623681053,9.0,9.0,8.99,9.0,8.999,5,4
1623681054,9.0,9.0,8.99,8.99,8.992,12,3
1623681055,8.99,9.0,8.99,8.99,8.99,0,0
1623681056,9.0,9.0,8.99,9.0,8.995,1,1
1623681057,9.0,9.0,8.99,9.0,8.997,15,4
1623681058,9.0,9.0,9.0,9.0,9.0,2,1
1623681059,8.99,9.0,8.99,8.99,8.996,62,9
1623681060,9.0,9.0,9.0,9.0,9.0,9,8
1623681061,9.0,9.0,8.99,9.0,8.997,3,3
1623681062,9.0,9.0,8.99,9.0,8.996,6,6
1623681063,8.99,9.0,8.99,9.0,8.995,5,2
1623681064,9.0,9.0,8.99,9.0,8.999,4,3
1623681065,9.0,9.0,8.99,8.99,8.991,100,4
1623681066,9.0,9.0,8.99,9.0,8.997,23,17
1623681067,9.0,9.0,8.99,9.0,8.995,36,7
1623681068,9.0,9.0,8.99,9.0,8.998,2,2
1623681069,8.99,9.0,8.99,9.0,8.994,15,6
1623681070,9.0,9.0,8.99,9.0,8.994,16,7
1623681071,8.99,9.0,8.99,9.0,8.995,24,11
1623681072,9.0,9.0,8.99,8.99,8.996,12,4
1623681073,9.0,9.0,8.99,9.0,8.998,269,10
1623681074,8.99,9.0,8.99,9.0,8.994,7,2
1623681075,9.0,9.0,8.99,9.0,8.995,495,20
