date,open,high,low,close,average,volume,count
1623225600,10.5,10.98,10.31,10.8,10.713,132,59
1623225900,10.78,10.85,10.55,10.8,10.722,156,80
1623226200,10.75,10.75,10.67,10.75,10.735,36,21
1623226500,10.75,11.1,10.75,10.91,10.952,131,68
1623226800,10.91,10.91,10.8,10.82,10.817,30,16
1623227100,10.82,10.82,10.64,10.64,10.709,59,19
1623227400,10.7,10.7,10.69,10.7,10.698,13,6
1623227700,10.7,10.7,10.69,10.69,10.692,12,7
1623228000,10.73,10.84,10.73,10.84,10.753,21,11
1623228300,10.87,11.1,10.87,11.1,10.946,48,24
1623228600,11.09,11.22,11.06,11.16,11.188,158,51
1623228900,11.16,11.16,11.06,11.06,11.112,52,20
1623229200,11.05,11.05,10.89,10.89,10.911,98,36
1623229500,10.89,11.0,10.89,11.0,10.957,30,14
1623229800,11.0,11.09,10.91,11.09,11.01,38,17
1623230100,11.08,11.1,11.06,11.06,11.087,9,5
1623230400,11.06,11.07,11.06,11.06,11.061,14,6
1623230700,11.06,11.1,11.05,11.1,11.076,28,13
1623231000,11.11,11.11,11.1,11.1,11.103,8,4
1623231300,11.09,11.11,11.0,11.05,11.042,51,28
1623231600,11.06,11.06,11.06,11.06,11.06,2,2
1623231900,11.07,11.07,11.06,11.07,11.064,8,6
1623232200,11.06,11.06,11.05,11.06,11.059,16,6
1623232500,11.05,11.13,11.02,11.13,11.08,66,20
1623232800,11.1,11.17,11.06,11.1,11.095,33,14
1623233100,11.12,11.35,11.12,11.35,11.209,43,29
1623233400,11.4,11.51,11.33,11.48,11.484,214,111
1623233700,11.45,11.45,11.22,11.35,11.312,64,29
1623234000,11.35,11.47,11.34,11.46,11.416,142,42
1623234300,11.34,11.39,11.34,11.34,11.349,48,27
1623234600,11.35,11.42,11.34,11.34,11.367,27,22
1623234900,11.34,11.34,11.2,11.2,11.31,48,21
1623235200,11.33,11.33,11.25,11.32,11.315,23,17
1623235500,11.31,11.4,11.31,11.4,11.373,26,10
1623235800,11.45,11.55,11.41,11.5,11.466,65,25
1623236100,11.55,11.55,11.49,11.52,11.505,144,26
1623236400,11.5,11.51,10.95,10.96,11.192,670,215
1623236700,10.99,11.0,10.76,10.84,10.907,742,177
1623237000,10.84,10.95,10.8,10.82,10.865,233,64
1623237300,10.85,10.85,10.8,10.81,10.832,146,59
1623237600,10.8,10.8,10.7,10.7,10.736,389,92
1623237900,10.76,10.76,10.67,10.7,10.697,180,58
1623238200,10.74,10.8,10.73,10.79,10.754,184,35
1623238500,10.77,10.89,10.77,10.82,10.821,104,38
1623238800,10.88,10.95,10.87,10.9,10.909,121,35
1623239100,10.93,10.95,10.83,10.83,10.888,172,44
1623239400,10.84,10.91,10.81,10.81,10.822,137,44
1623239700,10.82,10.82,10.7,10.73,10.772,340,67
1623240000,11.3,11.45,10.67,10.76,10.896,1582,336
1623240300,10.79,10.79,10.75,10.75,10.76,336,94
1623240600,10.75,10.76,10.73,10.76,10.752,363,100
1623240900,10.75,10.76,10.7,10.72,10.734,302,73
1623241200,10.72,10.72,10.69,10.7,10.707,300,70
1623241500,10.7,10.7,10.65,10.68,10.677,544,139
1623241800,10.68,10.69,10.65,10.66,10.659,366,96
1623242100,10.66,10.77,10.63,10.75,10.694,338,124
1623242400,10.75,10.9,10.71,10.75,10.784,304,93
1623242700,10.75,10.95,10.73,10.9,10.867,642,250
1623243000,10.88,11.0,10.84,10.91,10.943,326,115
1623243300,10.91,10.91,10.82,10.84,10.873,467,113
1623243600,10.84,10.88,10.76,10.76,10.815,334,117
1623243900,10.79,10.8,10.7,10.73,10.726,538,135
1623244200,10.71,10.9,10.7,10.83,10.802,469,171
1623244500,10.85,10.92,10.83,10.92,10.879,256,75
1623244800,10.93,10.94,10.76,10.76,10.87,530,127
1623245100,10.76,10.76,9.95,10.11,10.23,4783,1456
1623245400,10.12,10.45,9.52,10.18,9.947,37108,7395
1623245700,10.19,10.31,9.83,10.18,10.077,10701,3158
1623246000,10.16,10.26,9.85,10.11,10.048,7375,2005
1623246300,10.13,10.4,9.92,9.99,10.178,9157,2365
