date,open,high,low,close,average,volume,count
1629971110,5.56,5.59,5.56,5.59,5.586,9,2
1629971115,5.59,5.59,5.59,5.59,5.59,0,0
1629971120,5.59,5.59,5.59,5.59,5.59,0,0
1629971125,5.59,5.59,5.59,5.59,5.59,0,0
1629971130,5.59,5.59,5.59,5.59,5.59,0,0
1629971135,5.59,5.59,5.59,5.59,5.59,0,0
1629971140,5.59,5.59,5.59,5.59,5.59,0,0
1629971145,5.59,5.59,5.59,5.59,5.59,0,0
1629971150,5.59,5.59,5.59,5.59,5.59,0,0
1629971155,5.59,5.59,5.59,5.59,5.59,0,0
1629971160,5.59,5.59,5.59,5.59,5.59,0,0
1629971165,5.59,5.59,5.59,5.59,5.59,0,0
1629971170,5.59,5.59,5.59,5.59,5.59,0,0
1629971175,5.59,5.59,5.59,5.59,5.59,0,0
1629971180,5.59,5.59,5.59,5.59,5.59,0,0
1629971185,5.59,5.59,5.59,5.59,5.59,0,0
1629971190,5.59,5.59,5.59,5.59,5.59,0,0
1629971195,5.59,5.59,5.59,5.59,5.59,0,0
1629971200,5.59,5.59,5.59,5.59,5.59,0,0
1629971205,5.59,5.59,5.59,5.59,5.59,0,0
1629971210,5.59,5.59,5.59,5.59,5.59,0,0
1629971215,5.59,5.59,5.59,5.59,5.59,0,0
1629971220,5.59,5.59,5.59,5.59,5.59,0,0
1629971225,5.59,5.59,5.59,5.59,5.59,0,0
1629971230,5.59,5.59,5.59,5.59,5.59,0,0
1629971235,5.59,5.59,5.59,5.59,5.59,0,0
1629971240,5.59,5.59,5.59,5.59,5.59,0,0
1629971245,5.59,5.59,5.59,5.59,5.59,0,0
1629971250,5.59,5.59,5.59,5.59,5.59,0,0
1629971255,5.59,5.59,5.59,5.59,5.59,0,0
1629971260,5.59,5.59,5.59,5.59,5.59,0,0
1629971265,5.59,5.59,5.59,5.59,5.59,0,0
1629971270,5.59,5.59,5.59,5.59,5.59,0,0
1629971275,5.59,5.59,5.59,5.59,5.59,0,0
1629971280,5.59,5.59,5.59,5.59,5.59,0,0
1629971285,5.59,5.59,5.59,5.59,5.59,0,0
1629971290,5.59,5.59,5.59,5.59,5.59,0,0
1629971295,5.59,5.59,5.59,5.59,5.59,0,0
1629971300,5.59,5.59,5.59,5.59,5.59,0,0
1629971305,5.59,5.59,5.59,5.59,5.59,0,0
1629971310,5.59,5.59,5.59,5.59,5.59,0,0
1629971315,5.59,5.59,5.59,5.59,5.59,0,0
1629971320,5.59,5.59,5.59,5.59,5.59,0,0
1629971325,5.59,5.59,5.59,5.59,5.59,0,0
1629971330,5.59,5.59,5.59,5.59,5.59,0,0
1629971335,5.59,5.59,5.59,5.59,5.59,0,0
1629971340,5.59,5.59,5.59,5.59,5.59,0,0
1629971345,5.59,5.59,5.59,5.59,5.59,0,0
1629971350,5.59,5.59,5.59,5.59,5.59,0,0
1629971355,5.59,5.59,5.59,5.59,5.59,0,0
1629971360,5.59,5.59,5.59,5.59,5.59,0,0
1629971365,5.59,5.59,5.59,5.59,5.59,0,0
1629971370,5.59,5.59,5.59,5.59,5.59,0,0
